layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:For,7: this,8: asthma,9: patient,"10:,",11: produce,12: a,13: focused,14: clinical,15: snapshot,16:.,"17:
",18:Include,19: only,20: demographic,21: and,22: relevant,23: past,24: medical,25: history,26:.,27: Start,28: your,29: response,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L1,0.693147,0.312375,0.058269,0.058269,0.307485,0.187862,-0.375906,0.686458,0.182321,-0.190354,-0.061875,-0.190354,0.064538,0.182321,0.058269,1.062409,0.000000,-0.127833,0.058269,0.252055,0.307485,0.125163,0.182321,0.119263,0.307485,0.058269,0.182321,-0.006689,0.125163,0.058269,0.187862,-0.006689,0.193371,0.125163,-0.310155,0.064538,-0.120286,0.187862,0.000000,0.182321,0.058269,0.000000,-0.127833,0.246860,1.187843
L2,0.490623,0.423087,-0.190354,0.125163,0.187862,-0.068993,-0.252744,-0.190354,0.119263,0.624154,-0.127833,-0.257045,-0.194394,-0.252744,0.246860,1.062409,-0.127833,-0.252744,0.058269,0.182321,0.246860,0.058269,0.000000,0.125163,0.058269,0.369262,-0.127833,-0.061875,0.246860,-0.061875,0.373860,0.246860,0.312375,-1.012434,0.125163,0.058269,-0.380772,0.064538,0.182321,0.125163,0.182321,0.119263,0.058269,-0.186329,0.864295
L3,0.119263,0.125163,0.125163,0.058269,0.058269,0.182321,0.252055,0.369262,-0.198451,0.307485,0.064538,-0.061875,-0.127833,0.058269,-0.006689,1.250856,-0.006689,-0.252744,-0.061875,-0.127833,0.252055,-0.190354,0.125163,0.125163,0.182321,-0.006689,0.058269,-0.006689,0.000000,-0.319287,0.498753,-0.127833,0.616986,-0.068993,-0.186329,0.125163,0.000000,0.312375,0.000000,0.252055,-0.190354,0.119263,-0.068993,0.064538,1.000632
L4,0.000000,0.187862,-0.061875,-0.127833,0.058269,0.246860,0.373860,0.307485,-0.257045,0.745107,0.187862,-0.127833,0.000000,0.241638,0.119263,0.373860,-0.190354,0.373860,-0.252744,0.058269,-0.194394,-0.061875,0.312375,0.125163,0.176750,0.307485,0.182321,0.182321,0.000000,0.241638,0.557709,0.490623,0.436102,-0.006689,0.058269,0.246860,-0.248461,0.436102,-0.127833,0.246860,-0.006689,-0.006689,0.125163,0.812410,0.317241
L5,-0.006689,0.187862,-0.127833,0.058269,0.182321,0.557709,0.058269,0.058269,0.000000,0.058269,0.000000,-0.061875,-0.068993,0.187862,0.494696,1.438254,-0.385662,0.058269,-0.061875,0.119263,0.000000,0.058269,0.119263,0.125163,0.307485,0.307485,0.119263,0.182321,0.058269,-0.006689,-0.061875,0.182321,0.187862,-0.567984,-0.252744,-0.395515,0.070769,0.373860,-0.068993,0.058269,0.182321,0.187862,0.241638,-0.747955,-0.456758
L6,0.182321,0.182321,0.119263,0.119263,0.119263,-1.321754,0.187862,-0.061875,-0.375906,0.373860,0.436102,0.187862,0.058269,-0.006689,-0.061875,-0.006689,-0.135438,0.058269,0.058269,0.119263,-0.127833,-0.248461,-0.068993,-0.127833,0.182321,0.058269,0.252055,0.246860,0.119263,-0.190354,0.312375,0.312375,0.246860,-0.194394,0.107358,0.940007,0.064538,0.312375,0.000000,-0.061875,0.125163,-0.127833,0.307485,-0.693147,-0.061875
L7,1.067007,0.751416,0.000000,0.119263,0.498753,-0.351924,0.182321,0.182321,0.369262,-0.328504,0.182321,0.307485,0.246860,0.000000,0.246860,0.624154,-0.194394,-0.194394,0.058269,0.000000,0.125163,-0.127833,0.058269,0.000000,0.000000,0.125163,0.182321,0.119263,0.058269,0.182321,0.125163,0.000000,-0.194394,-0.634878,0.125163,0.686458,-1.059391,0.252055,0.125163,0.058269,-0.252744,-0.061875,0.000000,-0.068993,0.165514
L8,0.125163,-0.061875,0.182321,0.246860,0.182321,0.686458,0.119263,0.436102,1.496642,1.565834,0.182321,0.058269,0.246860,0.307485,0.058269,0.187862,0.119263,0.058269,0.058269,0.119263,-0.061875,0.058269,0.246860,0.373860,0.246860,0.187862,0.182321,0.058269,0.119263,0.373860,0.557709,0.498753,1.000632,0.751416,0.125163,0.812410,-0.248461,0.373860,0.064538,0.058269,0.373860,-0.061875,0.119263,1.691325,0.631272
L9,-0.061875,0.000000,-0.127833,0.058269,0.187862,0.246860,0.119263,-0.068993,0.058269,-0.314711,-0.061875,0.125163,0.182321,0.373860,-0.068993,0.246860,0.125163,0.307485,0.058269,0.000000,0.000000,0.187862,0.058269,0.182321,-0.127833,-0.248461,0.436102,0.119263,0.064538,-0.127833,0.182321,0.252055,0.246860,0.686458,-0.006689,0.557709,0.252055,0.373860,0.119263,-0.061875,0.252055,0.064538,0.064538,-0.319287,-0.647536
L10,0.246860,0.125163,0.119263,0.119263,0.312375,0.565314,0.119263,-0.006689,0.751416,-0.061875,0.058269,-0.068993,-0.061875,-0.194394,0.058269,0.373860,0.058269,-0.127833,0.182321,0.246860,0.182321,0.058269,0.058269,0.125163,0.058269,0.312375,0.373860,0.119263,0.058269,0.051960,0.616986,0.369262,0.312375,-0.820980,-0.693147,0.252055,0.940007,0.373860,-0.061875,0.058269,-0.127833,-0.248461,0.436102,-1.321754,-0.006689
L11,0.058269,0.125163,0.187862,-0.068993,0.312375,0.125163,0.000000,-0.068993,2.375835,1.000632,0.624154,0.125163,0.125163,0.307485,0.182321,0.187862,0.000000,0.373860,0.058269,0.182321,0.557709,-0.127833,0.182321,0.246860,0.125163,0.502793,0.436102,0.125163,0.187862,0.119263,0.252055,0.745107,-0.127833,1.565834,0.058269,0.000000,-0.194394,0.373860,0.125163,0.000000,0.058269,0.058269,-0.068993,2.501435,-0.510825
L12,0.119263,0.125163,0.125163,0.252055,0.125163,-0.127833,0.187862,0.436102,-1.192922,-0.441092,0.058269,0.058269,0.125163,0.307485,-0.061875,0.307485,-0.061875,0.119263,0.119263,0.182321,0.751416,-0.061875,0.125163,0.125163,-0.068993,0.058269,-0.252744,0.058269,0.125163,-0.248461,0.125163,-0.061875,-0.375906,1.748620,0.297632,-0.828584,0.246860,0.312375,-0.127833,0.182321,0.125163,-0.061875,0.506817,1.191900,0.369262
L13,0.182321,0.182321,0.125163,0.058269,0.064538,0.000000,-0.068993,0.058269,-0.375906,-0.252744,0.064538,-0.061875,0.125163,-0.127833,0.058269,0.000000,0.246860,0.246860,0.246860,0.125163,0.182321,0.182321,-0.127833,0.000000,0.119263,0.312375,0.436102,0.000000,0.058269,0.058269,-0.314711,0.436102,0.000000,0.745107,0.431782,0.751416,-0.061875,0.119263,-0.061875,0.058269,0.125163,0.187862,-0.446287,1.187843,1.103047
L14,0.252055,0.064538,0.058269,0.000000,0.246860,-0.006689,0.565314,0.436102,-0.441092,-0.567984,-0.186329,0.058269,0.058269,0.125163,-0.061875,0.058269,0.000000,0.436102,0.125163,0.000000,0.307485,0.058269,0.000000,0.182321,0.246860,0.187862,0.307485,0.246860,-0.061875,-0.068993,0.000000,0.000000,-0.120286,0.565314,0.431782,0.745107,-0.248461,0.182321,0.064538,0.125163,-0.127833,-0.310155,-0.252744,-0.813433,-0.883500
L15,0.064538,0.182321,0.058269,0.058269,0.064538,0.058269,0.246860,0.182321,-0.505285,0.312375,-0.006689,0.119263,0.182321,0.064538,0.058269,0.312375,0.246860,0.187862,0.058269,0.182321,-0.006689,-0.061875,0.119263,0.064538,-0.127833,0.119263,-0.068993,0.058269,0.000000,0.000000,0.125163,0.058269,-0.380772,-0.061875,0.440403,0.125163,0.307485,0.182321,0.187862,0.125163,-0.061875,-0.068993,-0.375906,0.624154,2.573120
L16,0.058269,0.064538,0.246860,0.058269,0.064538,0.058269,0.125163,0.119263,-0.380772,-0.505285,-0.068993,0.125163,0.000000,0.307485,0.119263,0.064538,0.125163,0.246860,0.125163,0.000000,-0.380772,0.182321,0.125163,0.436102,0.058269,0.312375,-0.186329,0.119263,0.058269,0.058269,-0.061875,0.373860,-0.127833,0.502793,0.125163,0.000000,0.436102,0.312375,0.125163,0.119263,0.373860,0.193371,0.246860,-0.755022,0.064538
L17,0.125163,0.182321,0.119263,0.119263,0.187862,0.058269,0.246860,0.119263,0.436102,-0.061875,-0.068993,0.000000,0.119263,0.000000,0.058269,0.000000,0.000000,-0.061875,0.182321,0.182321,0.058269,0.000000,0.125163,0.064538,0.058269,0.312375,0.252055,0.182321,0.058269,-0.006689,0.064538,0.187862,-0.371063,0.436102,0.312375,-0.127833,-0.319287,0.246860,-0.061875,-0.061875,0.252055,0.125163,-0.510825,1.062409,0.945202
L18,0.187862,0.125163,0.058269,0.000000,0.058269,0.064538,-0.252744,-0.061875,11.576897,8.012477,3.316365,0.373860,0.312375,1.067007,1.372871,1.438254,0.624154,1.000632,0.307485,0.312375,1.748620,0.686458,0.436102,1.250856,0.875468,1.496642,2.057536,0.373860,0.373860,0.307485,0.436102,0.624154,-0.061875,4.879462,0.929536,0.119263,0.679724,0.686458,0.187862,0.119263,0.064538,0.000000,0.182321,2.882190,0.000000
L19,0.000000,0.000000,0.058269,0.000000,0.058269,0.252055,0.187862,0.182321,-0.505285,-0.186329,-0.190354,0.064538,0.064538,0.119263,-0.190354,0.125163,0.058269,-0.314711,0.119263,0.125163,0.565314,0.000000,0.182321,0.125163,0.064538,0.125163,-0.006689,0.125163,0.125163,0.058269,-0.061875,-0.186329,-0.686502,0.000000,-0.252744,0.312375,0.431782,-0.127833,0.000000,0.058269,0.064538,0.119263,0.307485,-0.875468,-0.390576
L20,-0.061875,-0.061875,0.000000,0.058269,0.125163,-0.127833,0.000000,0.058269,-1.455285,-0.194394,-0.252744,0.125163,0.058269,0.058269,-0.006689,-0.127833,-0.190354,-0.061875,-0.061875,0.125163,-0.252744,0.119263,0.058269,0.058269,-0.190354,-0.314711,0.125163,0.125163,0.125163,0.058269,0.000000,0.058269,-0.061875,-0.573883,0.125163,0.125163,-0.375906,0.125163,0.125163,0.064538,0.187862,0.565314,0.246860,-1.514126,5.501475
L21,0.000000,0.000000,-0.061875,-0.061875,-0.061875,-0.127833,-0.061875,0.182321,2.064327,4.326337,0.557709,0.058269,0.058269,0.125163,0.373860,0.182321,0.246860,0.000000,0.125163,-0.061875,0.557709,0.125163,0.182321,0.125163,-0.061875,0.125163,0.119263,0.000000,0.000000,0.058269,0.125163,0.125163,0.624154,1.496642,0.745107,0.557709,-0.190354,-0.252744,0.000000,0.058269,-0.252744,-0.127833,-0.194394,1.691325,6.382672
L22,0.000000,0.000000,0.000000,0.058269,0.058269,0.058269,-0.068993,0.125163,-2.066193,-1.129070,-0.319287,0.246860,-0.061875,-0.061875,-0.257045,-0.380772,-0.006689,-0.380772,0.058269,0.000000,-0.505285,-0.127833,0.119263,-0.061875,-0.190354,-0.252744,-0.252744,0.058269,-0.061875,-0.127833,0.000000,-0.061875,-0.319287,-0.628608,-0.127833,-0.061875,-0.257045,-0.375906,0.000000,0.000000,0.058269,0.252055,0.119263,-1.514126,0.159849
L23,-0.061875,0.000000,0.000000,0.058269,0.058269,0.000000,-0.127833,0.000000,-1.966109,-1.139433,-0.252744,0.125163,-0.127833,0.000000,-0.127833,-0.252744,0.000000,-0.257045,0.058269,0.058269,-0.068993,-0.127833,0.119263,-0.127833,-0.061875,-0.127833,-0.061875,0.000000,-0.006689,0.119263,-0.061875,-0.190354,-0.755022,-1.192922,0.312375,0.058269,-0.120286,-0.127833,0.000000,0.058269,0.125163,0.058269,-0.441092,-0.314711,-1.139433
L24,0.125163,0.000000,0.125163,0.000000,-0.190354,0.869897,-0.061875,0.246860,1.062409,0.498753,0.182321,0.058269,-0.061875,-0.061875,0.058269,0.000000,0.125163,0.307485,0.058269,0.000000,0.058269,0.125163,0.058269,0.182321,0.125163,0.182321,0.182321,0.119263,0.000000,0.058269,0.058269,0.058269,0.187862,0.812410,0.565314,0.125163,0.119263,0.182321,0.252055,0.125163,0.064538,0.187862,0.000000,0.058269,5.231251
L25,0.058269,0.000000,0.000000,-0.006689,-0.127833,-0.061875,0.000000,0.000000,1.124929,0.312375,0.058269,0.000000,0.119263,0.000000,0.182321,0.182321,0.000000,0.373860,0.000000,0.058269,0.125163,0.058269,0.000000,0.125163,0.182321,0.125163,0.000000,0.000000,0.058269,0.058269,0.058269,0.058269,0.058269,1.565834,0.557709,0.119263,0.182321,0.119263,0.125163,0.119263,0.187862,0.187862,0.000000,-1.021650,0.534542
L26,0.058269,0.000000,0.058269,0.119263,0.058269,0.000000,-0.061875,0.058269,-1.003301,-0.319287,-0.127833,0.000000,0.058269,0.000000,0.119263,-0.006689,-0.061875,-0.186329,0.058269,0.119263,-0.061875,-0.068993,-0.061875,0.058269,-0.006689,-0.061875,0.119263,0.000000,0.058269,0.058269,0.119263,0.058269,-0.190354,-0.194394,0.431782,-0.061875,-0.127833,0.000000,0.125163,0.000000,0.193371,0.006645,-0.186329,-0.319287,10.157295
L27,0.058269,-0.061875,0.058269,0.058269,0.064538,0.119263,0.119263,0.058269,0.436102,0.182321,0.058269,0.119263,0.000000,0.058269,0.058269,0.119263,0.058269,0.307485,0.058269,0.058269,0.119263,-0.006689,0.119263,0.119263,0.119263,0.119263,0.058269,0.058269,0.119263,0.119263,0.119263,0.000000,0.000000,-0.006689,0.312375,-0.061875,0.119263,0.119263,0.064538,0.058269,0.064538,0.131028,0.119263,-0.068993,5.249337
L28,-0.061875,0.058269,0.000000,0.000000,0.058269,0.058269,0.058269,0.000000,0.000000,0.000000,0.058269,0.000000,0.058269,0.000000,0.000000,0.119263,0.119263,0.000000,0.000000,0.119263,0.000000,0.058269,-0.061875,0.000000,0.000000,0.119263,0.119263,0.119263,0.000000,0.000000,0.119263,0.058269,0.000000,0.058269,0.302571,0.000000,0.058269,0.058269,0.058269,0.058269,0.193371,-0.310155,0.000000,-0.061875,6.797151
L29,-0.061875,0.000000,0.000000,0.000000,-0.061875,-0.061875,-0.061875,-0.061875,0.000000,-0.061875,-0.061875,0.000000,-0.061875,0.058269,-0.061875,-0.061875,-0.061875,0.000000,0.058269,-0.061875,-0.061875,-0.061875,0.058269,0.058269,0.058269,0.058269,-0.061875,0.000000,-0.061875,-0.061875,0.058269,-0.061875,0.000000,0.000000,0.058269,0.000000,0.000000,0.000000,0.000000,0.000000,0.058269,-0.120286,0.058269,0.125163,7.631748
L30,0.119263,0.119263,-0.061875,0.000000,-0.006689,0.119263,0.000000,-0.061875,0.000000,0.000000,0.000000,0.000000,0.058269,-0.061875,-0.061875,0.119263,-0.061875,-0.061875,-0.061875,0.000000,0.000000,0.000000,0.058269,0.000000,0.058269,0.000000,0.000000,-0.061875,0.000000,0.000000,0.000000,0.000000,-0.061875,0.000000,0.119263,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.127833,0.000000,0.058269,9.817443
