layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Please,7: draft,8: a,9: short,10: admission,11:-,12:style,13: patient,14: presentatio,15: for,16: asthma,"17:,",18: including,19: demographic,20: and,21: pertinent,22: PM,23:H,24:.,25: Start,26: exactly,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L1,0.629428,0.120066,-0.502624,-0.251312,-0.251312,0.059898,-0.122422,-0.375064,-0.122422,0.000000,0.000000,-0.375064,-0.748121,-0.633243,-0.495845,-0.184792,0.000000,0.127339,0.000000,-0.251312,0.190517,-0.059339,0.059898,0.436525,0.000000,-0.189755,-0.251312,0.067620,-0.251312,0.436525,0.376233,-0.305673,-0.436812,-0.251312,-0.189755,-0.436812,0.000000,-0.063715,-0.122422,-0.565802,-0.189755,1.622515
L2,0.735446,0.420439,-0.375064,-0.311275,-0.251312,-0.316909,-0.558582,-0.625521,-0.375064,-0.311275,-0.375064,-0.375064,-0.877931,-0.820223,-0.131768,-0.189755,-0.820223,-0.251312,0.120066,-0.381070,-0.189755,-0.122422,-0.059339,0.684879,0.120066,-0.495845,-0.558582,-0.311275,-0.189755,-0.004124,-1.561209,-0.565802,0.556669,-0.820223,-0.375064,-0.251312,0.004107,-0.122422,-0.251312,-0.316909,-1.123599,-0.194743
L3,-0.189755,-0.251312,-0.689033,-0.256617,-0.063715,-0.063715,-0.311275,-0.251312,-0.689033,-0.436812,0.370567,-0.375064,-0.625521,-0.820223,-0.375064,-0.194743,-0.251312,-0.059339,-0.251312,-0.748121,-0.184792,-0.251312,0.249940,0.625032,0.127339,-0.625521,-1.123599,-0.189755,-0.184792,-0.068111,-0.756855,-0.436812,-0.530212,-0.189755,-0.122422,-0.063715,-0.122422,-0.251312,-0.063715,-0.256617,-1.188980,0.629428
L4,-0.063715,-0.251312,-0.565802,-0.495845,0.000000,-0.059339,-0.127084,-0.684943,-0.436812,-0.194743,-0.443201,-0.375064,-0.375064,-0.748121,0.935039,0.620617,0.804044,-0.251312,-0.375064,-0.820223,-0.063715,0.000000,0.436525,0.370567,0.249940,-0.316909,-0.495845,0.059898,0.000000,0.629428,0.190517,-0.689033,-0.131768,-0.127084,0.190517,-0.251312,-0.063715,-0.251312,-0.059339,0.370567,-0.251312,1.067964
L5,-0.316909,-0.443201,-0.443201,-0.189755,-0.127084,-0.131768,-0.251312,-0.502624,-0.502624,-0.189755,-0.436812,-0.375064,-0.558582,-0.633243,0.689020,0.312072,-0.316909,-0.063715,0.059898,-1.123599,-0.189755,-0.122422,-0.127084,-0.068111,0.059898,-0.189755,-0.436812,1.122999,0.059898,0.376233,-1.561209,-1.004413,-0.094898,-0.502624,0.059898,-0.251312,-0.122422,-0.122422,-0.063715,-0.381070,0.059898,-0.090383
L6,-0.436812,-0.375064,-0.256617,-0.127084,0.127339,-2.720370,-0.189755,-0.375064,-0.194743,-0.316909,-0.436812,-0.375064,-0.194743,-0.810921,0.127339,0.249940,-0.004124,-0.189755,0.243509,-0.184792,0.127339,-0.127084,-0.251312,-0.689033,-0.316909,-0.189755,-0.810921,-0.877931,-1.074207,-0.939173,0.431192,0.306029,0.676546,-0.689033,0.000000,-0.316909,-0.184792,-0.316909,-0.436812,-0.261951,-0.701404,-0.949755
L7,0.127339,-0.122422,-0.316909,-0.251312,-0.059339,-0.363160,-0.251312,-0.184792,-0.251312,-0.251312,-0.369094,0.004107,-0.063715,-0.251312,-0.122422,0.120066,0.566059,-0.122422,-0.068111,-1.062231,-0.251312,-0.184792,-0.063715,0.127339,0.000000,-0.443201,-0.625521,-1.123599,-0.131768,-0.127084,-1.504052,0.318078,0.249940,-1.561209,-0.311275,-0.063715,-0.122422,-0.436812,-0.558582,-0.684943,0.120066,1.190294
L8,-0.251312,-0.184792,-0.131768,-0.184792,0.256330,0.935039,-0.311275,-0.316909,-0.311275,-0.311275,-0.625521,-0.251312,0.059898,0.000000,1.128339,0.689020,1.876533,0.000000,-0.189755,-0.311275,-0.184792,-0.122422,0.183691,0.376233,-0.436812,-0.063715,-0.375064,-0.311275,-0.251312,0.811383,2.445378,0.625032,0.804044,-0.680870,-0.311275,-0.189755,-0.122422,-0.375064,-0.502624,-1.188980,0.441830,0.256330
L9,-0.251312,0.000000,-1.382166,-0.375064,0.059898,-0.063715,-0.189755,-0.251312,-0.189755,-0.311275,-0.558582,-0.436812,0.376233,0.000000,-0.251312,-0.316909,-0.375064,0.000000,0.120066,-0.375064,0.000000,-0.311275,-0.184792,0.183691,0.249940,-0.495845,-0.189755,0.127339,0.190517,0.625032,0.503388,0.127339,0.364870,-0.375064,-0.251312,-0.251312,-0.063715,-0.063715,-0.127084,-0.251312,-0.625521,2.522259
L10,-0.251312,-0.189755,-0.184792,-0.122422,-0.251312,0.190517,-0.127084,0.059898,-0.251312,-0.311275,-0.189755,-0.251312,-0.502624,0.000000,-0.059339,-0.495845,0.941481,0.127339,-0.063715,-0.748121,0.000000,-0.063715,-0.184792,-0.122422,0.127339,-0.256617,-0.316909,-0.495845,-0.063715,-0.063715,-1.382166,-0.311275,-0.256617,-0.820223,-0.184792,-0.316909,-0.122422,-0.316909,-0.256617,-0.369094,-0.565802,0.256330
L11,-0.184792,-0.184792,0.000000,-0.251312,0.067620,-0.251312,0.059898,-0.122422,0.059898,-0.558582,-0.495845,-0.122422,0.625032,0.312072,0.183691,-0.316909,2.317690,-0.184792,0.000000,-0.311275,-0.122422,-0.251312,-0.184792,0.376233,-0.316909,0.183691,-0.063715,0.183691,0.190517,0.804044,4.194437,0.376233,-0.748121,-0.436812,-0.127084,-0.251312,-0.063715,-0.251312,-0.375064,0.804044,3.937772,-0.701404
L12,-0.184792,-0.184792,-0.184792,-0.063715,0.004107,-0.565802,-0.184792,-0.122422,0.000000,-0.063715,0.000000,-0.184792,0.312072,-0.251312,-0.939173,0.000000,-1.318654,0.000000,0.059898,-0.246035,-0.375064,-0.184792,-0.251312,0.004107,-0.375064,0.000000,-0.184792,-0.063715,0.190517,0.243509,1.505443,0.743304,-0.565802,-0.495845,0.059898,-0.063715,-0.189755,-0.063715,-0.251312,0.875122,1.253346,0.854324
L13,-0.184792,-0.251312,-0.251312,-0.436812,-0.184792,-0.251312,-0.122422,0.059898,-0.189755,-0.184792,-0.375064,-0.251312,0.629428,-0.059339,-0.316909,0.183691,-0.375064,0.127339,0.059898,-0.316909,0.249940,0.000000,-0.184792,0.249940,-0.375064,-0.131768,-0.189755,-0.256617,-0.316909,0.120066,-0.558582,0.183691,0.561375,-1.188980,-0.122422,-0.122422,-0.251312,-0.184792,-0.311275,-0.194743,0.293834,0.796650
L14,-0.059339,-0.184792,-0.189755,-0.122422,-0.251312,-0.693140,-0.184792,-0.063715,0.059898,-0.251312,-0.189755,-0.122422,-0.127084,-0.189755,-0.565802,-0.127084,-1.382166,0.000000,0.190517,0.059898,0.000000,0.190517,-0.184792,0.000000,0.561375,0.120066,-0.184792,0.000000,-0.436812,0.004107,0.004107,-0.072526,0.370567,-1.382166,-0.189755,-0.122422,-0.184792,-0.375064,-0.625521,-0.565802,0.503388,-1.937670
L15,-0.063715,-0.251312,-0.189755,-0.127084,-0.316909,-0.189755,-0.127084,-0.122422,-0.251312,-0.189755,-0.316909,0.059898,-0.131768,0.000000,-0.689033,-0.689033,-0.820223,-0.375064,0.000000,-0.565802,-0.189755,-0.122422,0.059898,-0.063715,0.000000,0.000000,-0.127084,0.183691,0.000000,0.120066,0.811383,0.190517,-0.251312,-0.311275,-0.251312,-0.184792,-0.122422,-0.127084,-0.251312,-0.877931,1.437428,1.694590
L16,-0.122422,-0.122422,-0.122422,-0.189755,-0.184792,-0.189755,-0.184792,-0.122422,-0.189755,-0.184792,-0.184792,-0.251312,-0.251312,-0.251312,-0.063715,-0.502624,-1.123599,-0.063715,-0.127084,-0.502624,0.000000,-0.122422,-0.063715,0.127339,0.127339,-0.189755,-0.184792,0.000000,0.059898,-0.059339,-0.810921,0.312072,-0.189755,-0.565802,0.127339,0.000000,0.059898,-0.063715,-0.369094,-0.558582,-1.188980,0.861304
L17,-0.127084,-0.184792,-0.189755,-0.251312,0.000000,-0.251312,-0.189755,-0.122422,0.059898,-0.122422,-0.122422,-0.184792,-0.189755,0.059898,-0.189755,0.183691,-0.502624,-0.063715,-0.184792,-0.127084,-0.316909,-0.063715,-0.063715,-0.127084,0.183691,0.000000,-0.063715,0.000000,0.127339,-0.059339,2.129107,0.743304,-0.251312,-0.939173,-0.122422,0.000000,-0.063715,-0.122422,-0.122422,-0.502624,1.312656,2.578775
L18,-0.063715,0.000000,-0.059339,-0.251312,0.127339,0.000000,0.059898,0.625032,0.059898,0.249940,1.248634,0.625032,1.628993,2.193553,1.128339,0.127339,7.308370,0.503388,0.376233,2.380530,0.441830,0.376233,0.376233,1.445218,1.003709,0.312072,0.441830,0.312072,0.376233,0.811383,11.627980,3.057753,0.176818,0.312072,0.120066,0.127339,0.000000,-0.436812,0.067620,-0.261951,2.416421,0.052116
L19,-0.059339,-0.184792,-0.251312,-0.184792,-0.251312,0.127339,-0.189755,-0.122422,-0.127084,-0.063715,-0.184792,-0.127084,-0.184792,-0.184792,0.190517,0.000000,-0.820223,-0.251312,0.000000,-0.625521,-0.184792,0.000000,-0.251312,0.127339,0.376233,-0.122422,0.000000,-0.184792,-0.117782,-0.430463,-0.565802,-0.131768,-0.261951,0.059898,-0.436812,-0.311275,-0.063715,-0.311275,-0.122422,0.249940,-0.251312,2.374421
L20,-0.127084,-0.063715,-0.251312,-0.127084,-0.184792,-0.436812,-0.063715,-0.184792,-0.189755,-0.127084,-0.063715,0.000000,-0.127084,-0.316909,-0.251312,-0.184792,-1.755357,-0.063715,-0.122422,-0.375064,-0.063715,0.000000,-0.063715,-0.316909,0.312072,-0.127084,0.000000,0.059898,0.059898,-0.127084,-1.996508,-0.436812,-0.820223,-0.877931,-0.122422,-0.122422,-0.184792,-0.122422,0.376233,0.680721,-2.448463,7.268046
L21,-0.189755,0.059898,0.000000,-0.251312,-0.189755,-0.251312,-0.127084,-0.184792,0.059898,0.000000,0.249940,-0.122422,0.000000,0.000000,0.249940,0.127339,1.562246,-0.127084,0.000000,0.625032,0.000000,-0.063715,-0.122422,0.000000,-0.127084,0.000000,0.127339,-0.063715,0.127339,0.436525,5.445505,1.122999,0.556669,0.243509,-0.316909,-0.375064,0.000000,-0.375064,-0.558582,-0.633243,0.318078,8.128298
L22,-0.122422,-0.004124,-0.122422,-0.251312,-0.311275,-0.127084,-0.184792,0.000000,-0.122422,-0.063715,-0.625521,-0.251312,-0.189755,-0.820223,-0.558582,-0.189755,-2.659752,-0.502624,-0.063715,-0.939173,-0.251312,-0.122422,-0.184792,-0.375064,-0.625521,-0.059339,-0.184792,-0.189755,-0.311275,-0.877931,-0.939173,-0.059339,-0.131768,-0.820223,-0.502624,-0.189755,-0.251312,-0.436812,0.004107,-0.381070,-1.015712,3.100160
L23,-0.184792,0.000000,-0.189755,0.000000,-0.122422,-0.063715,-0.122422,0.059898,-0.059339,0.059898,-0.184792,-0.063715,0.120066,-0.375064,0.127339,0.183691,-3.190308,-0.316909,0.000000,-0.122422,-0.189755,0.000000,0.000000,-0.127084,-0.189755,-0.184792,0.000000,0.000000,-0.063715,-1.123599,-1.937670,0.183691,-0.573075,-0.625521,-0.127084,-0.122422,-0.122422,0.004107,-0.189755,-1.123599,-0.565802,0.607254
L24,0.190517,-0.063715,0.059898,0.059898,-0.063715,0.625032,-0.063715,-0.122422,0.059898,0.059898,0.059898,-0.122422,0.000000,-0.059339,0.059898,0.059898,0.875122,-0.059339,-0.063715,0.000000,-0.063715,0.000000,0.059898,0.000000,0.120066,-0.127084,0.000000,-0.122422,0.059898,0.120066,1.317076,0.318078,0.312072,0.059898,-0.063715,0.000000,-0.059339,-0.059339,-0.305673,-0.311275,0.312072,3.531785
L25,-0.122422,-0.063715,-0.063715,-0.184792,-0.063715,0.000000,-0.122422,-0.063715,-0.063715,0.059898,-0.063715,0.059898,-0.184792,0.120066,-0.063715,-0.063715,2.004140,0.120066,-0.063715,0.127339,0.000000,-0.063715,0.059898,0.059898,0.127339,0.000000,-0.004124,-0.063715,0.000000,0.625032,1.758987,0.625032,0.120066,0.127339,0.000000,-0.251312,0.059898,0.059898,-0.436812,0.743304,-1.004413,2.563676
L26,-0.127084,-0.063715,0.000000,-0.063715,-0.122422,-0.063715,-0.063715,0.000000,0.000000,-0.063715,-0.189755,-0.122422,-0.122422,-0.311275,-0.063715,0.120066,-1.258937,-0.251312,-0.122422,-0.063715,0.000000,-0.063715,0.000000,-0.127084,-0.063715,-0.063715,0.059898,0.059898,-0.184792,-0.122422,-0.565802,0.000000,-0.063715,-0.063715,-0.251312,0.004107,-0.063715,-0.059339,-0.305673,-0.251312,-0.820223,8.716506
L27,0.000000,0.000000,-0.063715,-0.063715,0.000000,-0.063715,0.000000,0.000000,0.000000,0.000000,-0.122422,0.000000,0.059898,-0.122422,0.000000,-0.063715,0.000000,0.000000,0.000000,-0.063715,-0.063715,0.000000,0.000000,0.000000,0.059898,0.059898,-0.063715,0.000000,0.059898,0.059898,0.249940,0.127339,-0.063715,0.059898,0.000000,0.059898,-0.122422,-0.059339,-0.240786,0.436525,-0.316909,3.879646
L28,0.000000,-0.122422,0.000000,-0.063715,0.000000,0.000000,-0.063715,-0.063715,-0.063715,-0.063715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063715,0.000000,0.000000,0.059898,0.000000,-0.063715,-0.063715,-0.063715,-0.063715,-0.063715,0.000000,0.000000,-0.184792,-0.122422,-0.063715,0.000000,0.000000,0.000000,-0.122422,0.000000,0.256330,-0.801705,-0.122422,-0.127084,6.025789
L29,-0.063715,-0.063715,0.000000,0.000000,0.000000,0.000000,-0.063715,0.000000,0.000000,0.000000,-0.063715,0.000000,-0.063715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063715,-0.063715,-0.063715,0.000000,0.000000,-0.063715,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063715,0.000000,0.000000,0.000000,0.059898,-0.369094,0.059898,0.000000,8.118300
L30,0.059898,-0.063715,-0.063715,0.000000,-0.122422,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.063715,0.000000,0.000000,0.000000,-0.063715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.311275,-0.063715,-0.063715,8.677070
