layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Pro,7:du,8:ce,9: a,10: discharge,11:-,12:brief,13: style,14: summary,15: for,16: asthma,"17:,",18: limited,19: to,20: demographic,21: and,22: prior,23: medical,24: history,25:.,26: Start,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L1,0.859256,0.711293,-0.478668,0.157154,-0.103623,0.034973,0.097928,0.140863,0.793054,0.271120,-1.011181,0.017640,0.194469,0.387859,-0.312048,0.306121,0.350962,0.179709,-0.017956,-0.537827,-0.186541,-0.059873,-0.098700,0.164729,0.484192,-0.040865,-0.098700,-0.224793,0.113936,-0.013507,0.030803,0.194469,-0.373141,0.286270,-0.197321,0.072910,0.022137,-0.013507,0.081661,0.097928,0.350962,-0.600707
L2,0.117898,-0.088927,0.140863,0.039260,0.101954,0.097928,0.172247,0.264311,0.643512,0.133104,-2.482903,-0.689735,-0.906760,0.399861,-0.366701,0.101954,-0.153581,0.093886,0.089828,0.008859,0.503201,0.201768,-0.186541,0.216207,0.369580,0.089828,0.008859,0.179709,0.125775,-0.749103,-0.158782,0.801074,-0.600707,0.140863,-0.264567,0.209014,0.113936,-0.008938,0.013327,-0.017956,0.399861,-0.341346
L3,0.008859,0.022137,-0.064607,0.230442,0.216207,0.039260,0.072910,0.209014,0.657441,0.179709,-0.341346,0.039260,-0.324280,0.675716,0.590712,0.201768,-0.305988,0.093886,0.056489,-0.143901,-0.485874,-0.123559,0.344678,-0.045801,0.489660,0.089828,0.000000,0.157154,0.121844,0.081661,0.172247,0.216207,-0.450351,0.081661,0.105964,-0.064607,0.081661,0.013327,0.060685,-0.133679,0.440770,-0.416047
L4,0.077037,0.004439,-0.143901,0.043795,-0.153581,0.093886,0.017640,0.125775,0.399861,0.148562,-0.318145,-0.191917,-1.988587,0.093886,-0.230379,0.375710,-0.457356,0.237483,-0.088927,0.357207,0.017640,0.148562,0.039260,0.060685,0.550482,0.257457,0.048045,0.319139,0.411721,0.194469,-0.464409,-0.013507,-0.396015,-0.409325,-0.153581,0.097928,0.113936,-0.069365,0.223350,0.648176,0.312651,0.133104
L5,0.129690,0.101954,-0.050470,0.331990,0.325585,-0.108570,0.089828,0.008859,0.022137,-1.155659,-3.853091,-0.572709,-2.949665,0.473166,0.797072,0.064864,-0.592627,-0.335106,0.060685,-0.241646,0.052276,0.250555,-0.064607,0.230442,0.133104,0.056489,0.271120,0.223350,0.264311,0.101954,-0.197321,0.105964,-0.560946,-0.103623,-0.186541,-0.069365,0.048045,0.048045,0.223350,0.194469,0.216207,-0.617065
L6,-0.022638,-0.031782,0.201768,0.216207,0.550482,0.129690,0.194469,0.164729,0.121844,0.450741,-3.135933,-0.078647,-4.845080,1.352007,0.675716,0.489660,0.077037,-0.036241,0.089828,0.299548,0.363413,0.148562,-0.036241,0.109958,-0.366701,-0.208220,-0.017956,-0.324280,0.271120,0.423442,-0.471513,0.473166,0.292931,-0.409325,-0.241646,0.052276,0.017640,-0.113541,0.072910,-0.545474,0.048045,-0.335106
L7,0.030803,-0.045801,-0.128606,0.375710,0.052276,0.435028,0.172247,-0.008938,0.164729,-0.402648,-1.988587,0.056489,-0.758558,0.590712,0.344678,0.164729,-0.707630,-0.123559,0.097928,-0.103623,0.179709,-0.219238,0.157154,0.072910,-0.013507,0.034973,0.097928,-0.118538,0.732903,-0.164011,-0.464409,-0.642115,-0.507810,-1.358631,-0.224793,0.077037,0.043795,0.030803,-0.031782,-0.064607,-0.347624,0.306121
L8,0.179709,0.179709,0.157154,0.164729,0.043795,0.187116,0.022137,0.004439,-0.017956,-0.083471,-0.633695,0.164729,-1.548709,0.387859,0.331990,0.292931,0.938897,-0.312048,-0.059873,-0.676521,0.363413,-0.128606,0.277882,0.068765,0.022137,0.113936,0.004439,-0.608852,-0.224793,0.201768,0.423442,-0.386148,-0.186541,-0.621196,0.060685,0.148562,0.004439,0.060685,0.187116,-0.698642,0.286270,-0.827369
L9,-0.008938,0.060685,-0.241646,-0.098700,0.179709,0.081661,0.077037,0.013327,0.172247,0.230442,-1.430387,-0.004459,-0.004459,0.462017,-0.004459,-0.078647,0.619857,-0.004459,-0.022638,0.237483,-0.330452,0.223350,0.072910,0.030803,0.077037,0.068765,0.113936,0.179709,0.013327,0.081661,0.306121,0.017640,-0.386148,-0.312048,0.030803,0.030803,0.048045,0.109958,0.140863,-0.224793,-0.457356,-0.149052
L10,0.034973,-0.013507,0.201768,-0.036241,-0.040865,-0.128606,-0.036241,0.017640,0.133104,0.097928,-1.468293,0.026479,0.306121,0.666620,0.017640,0.081661,0.550482,-0.305988,0.077037,0.411721,-0.299965,0.105964,-0.088927,-0.017956,0.338354,-0.031782,0.060685,0.201768,-0.013507,0.325585,0.022137,-0.293978,-0.312048,-0.158782,0.101954,0.097928,0.117898,0.140863,0.331990,0.187116,-0.123559,0.624633
