layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:As,7: a,8: clinical,9: documentati,10: task,11: for,12: asthma,"13:,",14: summarize,15: demographic,16: information,17: and,18: significant,19: prior,20: medical,21: history,22: only,23:.,24: Begin,25: with,26::,"27: """,28:Gender,29::,"30: ""","31:
",32:<,33:|,34:ass,35:istant,36:|>,"37:
",38:Gender,39::
L1,0.229995,-4.433270,-0.187951,-0.020980,0.209747,0.108006,-0.205871,-0.272625,0.196880,-0.538323,0.693516,0.486438,-0.232040,0.005177,-1.762255,-0.194314,-0.372738,0.320946,0.088954,0.504373,0.289967,0.088954,-0.200718,0.149138,0.192554,0.112713,-0.036940,-0.047632,0.246562,-0.348615,-1.646718,0.079776,-0.888359,-0.156730,-0.092445,-0.200718,0.055461,-0.527576,0.126239,-1.117078
L2,-1.269465,-0.759085,-0.175346,0.358367,-0.047632,-0.069647,0.262858,-0.175346,-0.357593,0.074911,0.278893,0.336083,0.196880,-0.313487,-2.388508,0.313290,-0.520475,0.421007,0.179462,0.201187,0.257997,0.188209,0.257997,0.407112,0.201187,0.278893,0.196880,-0.888359,-1.197309,0.561133,-0.175346,-0.015693,-0.394334,0.074911,-0.064307,0.117398,-0.053160,-0.656715,0.098526,0.305576
L3,0.144600,-0.169102,-0.097647,0.144600,0.343566,0.234163,0.158153,-0.299207,0.400091,0.774234,-0.578748,0.400091,0.070023,0.328543,-3.186673,0.601107,-0.940824,0.035624,-0.218870,-0.306322,0.074911,0.328543,-0.272625,-0.218870,0.234163,0.243270,-0.080981,0.266086,-0.613083,-0.121100,0.393020,-0.169102,0.407112,-0.005204,0.020549,-0.080981,0.108006,-1.363543,-0.103459,-0.677195
L4,0.055461,0.070023,-0.047632,-0.144509,-0.419599,0.218234,0.162630,0.130861,0.025556,-1.299852,-0.169102,0.336083,-0.715150,0.801013,-0.984872,-0.047632,-0.286527,0.553909,-0.394334,-0.372738,0.060421,-0.613083,-0.218870,-0.238691,-0.212349,0.460247,0.297802,-0.452107,-0.232040,-0.888359,0.468177,-1.225550,-0.272625,0.050476,-0.010435,0.144600,0.282069,0.020549,-0.342674,-1.299852
L5,0.282069,0.126239,0.305576,0.153655,0.117398,0.170638,0.328543,0.175060,0.289967,0.718423,0.887738,0.297802,-0.272625,0.961125,0.605707,0.693516,0.320946,0.246562,0.243270,-0.109305,0.209747,-0.279552,-0.772650,-0.388116,-0.265745,0.697711,0.499281,0.162630,-0.492564,-1.543157,0.414084,-0.781797,0.030667,-0.205871,0.040683,0.030667,0.025556,0.364226,-0.258913,-0.660777
L6,0.045466,-0.121100,0.188209,-0.086696,0.070023,-0.388116,0.162630,-0.169102,-0.097647,0.234163,0.880791,0.486438,-0.809752,0.718423,1.023468,0.297802,-0.212349,0.639546,0.594168,-0.388116,0.020549,-0.951655,-0.200718,0.055461,-0.410050,0.460247,-0.475508,0.921765,-1.625130,-2.845104,0.343566,-2.220216,-0.103459,0.045466,0.243270,-0.156730,0.364226,-0.848283,0.246562,-1.197309
L7,-0.973677,-0.715150,0.167087,0.020549,0.112713,-1.921217,0.065110,-0.357593,-0.058718,0.088954,0.112713,-1.523673,-0.036940,0.703970,0.834422,0.852512,-0.293552,0.251479,-0.115185,0.282069,0.117398,0.010327,0.005177,0.098526,-0.265745,-0.069647,-0.020980,0.035624,-1.980363,-2.435411,0.234163,-2.435411,0.015451,-0.086696,-0.010435,-0.075298,0.088954,-0.015693,-0.571275,0.863210
L8,-0.005204,0.035624,0.117398,0.040683,-0.313487,0.243270,0.108006,0.030667,0.328543,0.149138,-0.036940,-1.054811,0.617114,0.162630,-0.200718,0.421007,0.460247,0.378727,-0.064307,0.328543,0.243270,0.358367,-1.363543,-0.212349,0.005177,0.005177,-0.624795,0.040683,-0.194314,-1.865374,-1.054811,-2.110313,-0.372738,0.025556,0.005177,0.170638,0.441496,-0.668952,-0.080981,-2.182224
L9,-0.086696,0.040683,-16.751899,0.070023,-0.175346,0.098526,0.025556,-0.133036,0.158153,0.117398,0.140041,-0.715150,-0.265745,0.162630,-0.878189,-0.372738,-0.342674,-0.138454,-0.272625,-0.252127,0.005177,0.005177,-0.031637,0.358367,0.093752,0.320946,-0.121100,-0.097647,-0.258913,-0.888359,0.305576,-0.632680,-0.097647,0.201187,-0.010435,0.040683,-0.026227,0.117398,-0.442243,-0.127050
L10,-0.097647,0.030667,0.205476,-0.005204,-0.020980,0.358367,0.144600,0.108006,-0.127050,0.297802,-0.212349,-0.205871,-0.475508,-0.962605,-1.625130,-1.603998,0.320946,-0.888359,-0.534728,-0.036940,0.282069,0.045466,-0.162897,-0.728129,-0.069647,0.565919,-0.150601,0.421007,-1.197309,-1.603998,-1.414123,-0.413223,0.010327,0.167087,0.144600,0.188209,0.414084,-1.299852,-0.984872,0.140041
