layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:The,7: patient,8: carries,9: a,10: diagnosis,11: of,12: depression,13:.,"14:
",15:Sum,16:mar,17:ize,18: demographic,19: profile,20: and,21: past,22: medical,23: history,24: in,25: 2,26:-,27:4,28: sentences,29:.,30: Start,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L1,0.123794,-0.870826,-0.311212,-0.128009,0.123794,-0.064022,0.240054,0.123794,-0.249654,-0.132424,0.000000,0.183612,0.123794,0.000000,0.183612,0.000000,-0.059898,-0.870826,-0.186983,-0.064022,0.052842,-0.068163,-0.007782,-0.064022,0.190043,-0.244691,0.000000,0.183612,-0.254642,0.060168,-0.249654,0.060168,-0.128009,0.130620,-0.371175,-0.382475,-0.440971,-0.059898,0.060168,-0.064022,0.123794,0.060168,-0.128009,0.000000,0.052842,-0.114880
L2,-0.132424,-0.007782,-0.128009,-0.254642,-0.254642,-0.064022,0.000000,-0.007782,-0.123614,-0.128009,0.316337,0.000000,0.116921,-0.123614,0.246133,0.000000,0.123794,-0.440971,0.116921,0.130620,0.183612,0.183612,0.116921,0.252175,0.183612,-0.186983,0.060168,0.371296,-0.562526,-0.249654,0.183612,-0.191667,-0.007782,0.870286,-0.128009,-0.254642,-0.382475,0.060168,-0.007782,0.060168,0.183612,0.000000,-0.007782,0.060168,0.000000,0.110001
L3,-0.123614,-0.007782,-0.186983,0.060168,-0.249654,-0.064022,0.123794,-0.068163,0.183612,0.000000,0.190043,0.060168,-0.064022,0.000000,0.060168,-0.064022,0.000000,-0.254642,0.371296,0.496773,0.060168,0.060168,0.246133,0.310671,-0.249654,-0.128009,0.000000,0.304973,-0.332603,-0.123614,0.190043,-0.316517,-0.186983,-0.503102,0.190043,-0.007782,-0.889518,-0.316517,0.000000,-0.128009,0.060168,0.060168,-0.123614,0.183612,-0.064022,-0.440971
L4,-0.123614,-0.007782,-0.376809,-0.249654,-0.569351,-0.007782,-0.132424,0.123794,-0.128009,-0.068163,-0.123614,0.000000,-0.186983,-0.123614,-0.128009,-0.128009,0.000000,-0.311212,-0.259654,-0.064022,0.060168,-0.064022,0.183612,0.438504,0.052842,0.000000,0.116921,-0.191667,-1.031168,0.060168,-0.068163,0.123794,0.060168,0.060168,0.316337,-0.748936,-1.492510,-0.191667,0.433492,-0.254642,0.060168,-0.007782,-0.186983,0.246133,0.000000,-0.503102
L5,-0.440971,-0.434965,-0.191667,-0.186983,-0.816759,-0.191667,-0.064022,0.000000,-0.059898,0.060168,-0.311212,-0.191667,-0.382475,-0.123614,0.123794,-0.128009,0.123794,0.183612,-0.119237,0.381934,0.123794,-0.007782,0.060168,0.052842,0.000000,-0.186983,-0.128009,-0.123614,-1.075619,-0.316517,-0.136859,-0.434965,0.190043,0.052842,-0.068163,-0.259654,-0.947786,0.110001,0.052842,-0.186983,0.060168,-0.064022,-0.376809,0.310671,-0.068163,-0.647683
L6,0.310671,0.190043,0.052842,0.060168,0.123794,0.067441,-0.007782,-0.316517,0.000000,-0.064022,-0.196373,0.060168,0.060168,-0.757167,0.190043,0.060168,0.116921,0.310671,-0.316517,0.060168,0.252175,0.060168,0.000000,0.190043,0.310671,0.183612,0.060168,0.492045,-0.496713,0.433492,0.060168,-0.618484,-0.186983,-0.999079,0.304973,-0.007782,-0.259654,0.428454,0.310671,0.123794,-0.123614,0.060168,-0.249654,0.304973,-0.440971,0.060168
L7,0.376629,0.316337,-0.123614,0.000000,0.371296,-0.490363,-0.064022,-0.440971,-0.191667,0.116921,0.190043,0.123794,-0.311212,-0.123614,-0.316517,-0.064022,0.000000,-0.128009,0.177140,0.246133,-0.503102,-0.064022,-0.191667,0.310671,0.000000,-0.064022,-0.064022,-0.064022,-0.128009,-0.007782,0.052842,0.360543,0.240054,0.240054,-0.136859,0.487294,-0.259654,-0.516006,0.116921,0.052842,-0.064022,-0.068163,-0.249654,-0.128009,-0.196373,0.870286
L8,-0.123614,-0.186983,-0.068163,0.000000,0.252175,0.190043,0.123794,0.190043,0.190043,0.000000,-0.064022,0.438504,-0.007782,0.123794,0.067441,-0.007782,0.183612,0.310671,0.177140,0.067441,0.123794,0.060168,0.000000,0.060168,0.060168,0.060168,-0.128009,0.246133,-0.632977,-0.064022,-0.191667,0.183612,0.240054,0.738609,0.316337,-0.196373,-0.259654,-0.254642,0.183612,-0.064022,0.000000,0.060168,-0.059898,-0.440971,-0.555746,0.857214
L9,-0.064022,-0.064022,-1.235467,0.000000,0.060168,-0.007782,-0.123614,-0.191667,-0.064022,0.060168,-0.059898,0.190043,-0.947786,0.000000,-0.376809,-0.249654,-0.064022,-0.064022,-0.196373,0.060168,-0.186983,-0.064022,0.116921,0.123794,0.183612,-0.123614,-0.123614,-0.007782,-0.509533,-0.316517,-0.064022,-0.316517,0.177140,0.183612,-0.562526,-0.503102,-0.388173,-0.132424,-0.249654,-0.068163,-0.068163,-0.007782,-0.128009,0.177140,-0.999079,1.800761
L10,-0.123614,-0.068163,-0.064022,-0.186983,0.183612,-0.055791,0.190043,0.000000,0.000000,-0.128009,-0.007782,0.060168,0.060168,0.000000,0.007722,-0.128009,0.000000,-0.186983,0.052842,0.433492,-0.064022,0.060168,0.190043,0.376629,0.177140,-0.128009,-0.128009,-0.064022,0.067441,0.371296,0.000000,-0.186983,0.000000,0.316337,0.190043,0.123794,-0.693145,0.310671,-0.311212,-0.059898,0.000000,-0.128009,-0.182321,0.190043,-0.632977,0.693146
