layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prep,7:are,8: a,9: brief,10: patient,11: presentatio,12: for,13: depression,14:.,"15:
",16:Prior,17:it,18:ize,19: demographic,20: information,21: followed,22: by,23: major,24: PM,25:H,26:.,27: Begin,28: exactly,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L1,0.629357,1.889790,0.054658,0.179509,0.121521,0.243166,-0.005634,0.184192,0.371176,-0.125538,0.179509,0.000000,0.121521,-0.063790,0.311278,0.247562,0.054658,-0.069796,-0.119188,0.179509,-0.005634,0.116534,0.307154,0.303013,0.121521,0.561219,0.184192,0.438617,-0.191351,0.247562,0.307154,0.561219,0.179509,-0.063790,-0.063790,0.256296,0.179509,0.121521,0.126484,0.184192,0.059963,-0.131927,0.121521,1.000301
L2,0.848902,0.726299,0.121521,0.303013,0.121521,0.184192,-0.131927,0.059963,0.000000,-0.063790,-0.125538,0.629357,0.054658,-0.254530,0.243166,0.311278,0.179509,0.054658,0.059963,-0.063790,-0.063790,0.121521,0.247562,0.179509,0.184192,0.617309,0.247562,0.303013,-0.198177,0.438617,0.247562,0.247562,-0.504292,-0.069796,0.438617,0.184192,0.000000,0.256296,0.378898,0.307154,0.054658,0.623351,-0.441209,0.126484
L3,0.243166,0.054658,-0.131927,0.059963,0.059963,0.054658,0.121521,0.059963,-0.005634,0.311278,0.311278,0.126484,0.501796,-0.247310,0.126484,0.438617,0.311278,0.243166,0.363394,-0.184571,0.251938,0.371176,0.371176,0.251938,0.431344,1.188117,0.501796,0.179509,-0.011300,0.726299,0.617309,0.488097,0.179509,0.000000,0.494970,-0.057820,0.438617,0.121521,0.311278,0.054658,0.431344,0.431344,-0.566663,0.378898
L4,0.179509,0.184192,-0.069796,0.126484,-0.005634,0.059963,0.179509,-0.005634,-0.063790,0.054658,0.424018,0.378898,0.501796,-1.156431,0.188854,0.424018,0.121521,0.059963,-0.205050,0.188854,0.126484,-0.005634,0.184192,0.121521,0.307154,1.056541,0.184192,0.184192,0.116534,0.174803,0.431344,0.687513,0.234317,0.481177,0.731719,0.000000,0.438617,-0.005634,0.184192,0.121521,0.065241,0.251938,0.814668,0.635327
L5,-0.081917,-0.131927,-0.131927,0.307154,-0.005634,0.371176,0.121521,-0.069796,-0.131927,0.184192,0.303013,0.623351,0.501796,-0.419609,0.561219,0.170075,0.243166,0.054658,-0.011300,0.247562,0.184192,0.184192,0.188854,0.111521,0.431344,1.040793,0.494970,0.355551,0.303013,0.303013,0.294680,0.567609,-0.485859,0.501796,0.676149,0.184192,0.371176,0.247562,0.184192,0.307154,0.188854,0.371176,-0.011300,0.592768
L6,0.059963,0.251938,0.054658,0.121521,0.116534,0.251938,0.243166,0.121521,-0.005634,0.623351,0.311278,1.079708,0.814668,0.307154,0.131422,0.371176,0.188854,-0.005634,0.000000,-0.069796,-0.321971,0.184192,0.315385,-0.011300,0.307154,0.424018,0.438617,0.617309,0.121521,0.307154,-0.138358,-0.254530,0.535244,0.617309,0.882001,0.065241,0.378898,0.059963,0.307154,0.000000,-0.119188,0.243166,-0.432513,-0.306586
L7,0.494970,0.371176,0.179509,0.121521,0.501796,3.711377,0.121521,0.116534,0.179509,0.494970,0.311278,-0.057820,0.247562,0.561219,-0.005634,0.043963,0.184192,0.059963,-0.005634,0.000000,-0.131927,0.059963,0.179509,0.000000,0.184192,0.188854,0.371176,0.111521,-0.005634,-0.357478,-0.075838,-0.254530,-0.884498,-0.125538,-0.075838,-0.844492,0.188854,0.065241,0.179509,-0.063790,-0.063790,-0.314249,-0.454396,0.323548
L8,0.247562,0.000000,0.307154,0.065241,0.378898,0.501796,0.247562,0.054658,0.054658,0.363394,0.243166,-0.119188,0.121521,1.247936,0.315385,0.174803,0.059963,-0.005634,-0.005634,-0.191351,-0.261803,0.243166,-0.063790,0.054658,0.184192,0.742472,0.371176,0.184192,0.054658,0.303013,0.363394,0.501796,0.824569,0.126484,0.877339,-0.321971,0.247562,0.247562,0.184192,0.188854,-0.184571,-0.198177,0.494970,-0.601931
L9,0.059963,0.126484,-1.038648,0.121521,0.247562,0.247562,0.059963,0.179509,0.054658,0.378898,0.121521,0.378898,0.371176,-0.254530,0.059963,0.054658,0.243166,0.065241,0.116534,-0.011300,-0.063790,0.065241,0.054658,0.116534,0.059963,0.247562,0.371176,0.378898,0.184192,0.188854,0.494970,0.126484,0.617309,-0.005634,0.867950,-0.191351,0.247562,0.121521,0.126484,0.121521,0.121521,-0.247310,0.106483,0.895859
L10,-0.005634,0.116534,0.243166,0.121521,0.315385,0.251938,0.247562,0.121521,-0.063790,0.243166,0.054658,0.554789,0.753110,0.188854,0.307154,0.174803,0.054658,0.184192,-0.449981,-0.254530,0.116534,0.121521,-0.069796,-0.005634,0.000000,0.371176,0.561219,0.371176,0.179509,0.116534,0.111521,0.059963,-0.075838,-0.591727,0.126484,0.131422,0.059963,0.005602,0.243166,0.059963,-0.057820,-0.458830,-0.398467,-0.472253
L11,0.065241,0.065241,0.307154,0.059963,0.184192,-0.005634,0.054658,0.059963,0.184192,0.188854,0.000000,0.303013,-0.247310,1.505325,0.188854,0.054658,-0.057820,0.059963,0.000000,0.121521,-0.069796,0.121521,-0.138358,-0.005634,0.000000,0.247562,0.311278,0.184192,0.307154,0.307154,0.307154,0.054658,2.075219,0.184192,-0.131927,-0.445585,0.371176,0.126484,0.184192,0.059963,-0.125538,0.481177,1.432942,-0.088033
L12,0.059963,0.121521,0.000000,0.121521,0.000000,-0.063790,0.184192,0.247562,0.121521,0.121521,-0.005634,0.238751,0.247562,0.378898,0.054658,0.121521,0.184192,0.000000,0.179509,-0.069796,-0.254530,0.243166,-0.011300,0.121521,0.059963,0.059963,0.121521,-0.005634,0.179509,0.054658,-0.138358,0.311278,0.438617,0.359480,-0.075838,-0.441209,0.126484,0.121521,0.184192,0.000000,0.188854,-0.005634,1.505325,0.294680
L13,0.065241,0.179509,0.054658,0.121521,0.121521,-0.005634,0.184192,0.184192,0.121521,0.311278,0.311278,0.307154,0.378898,0.315385,0.126484,0.243166,0.116534,0.054658,-0.063790,-0.254530,-0.321971,-0.063790,-0.131927,0.059963,-0.005634,0.371176,0.188854,0.126484,-0.005634,0.116534,0.043963,0.303013,0.809681,0.431344,0.311278,-0.247310,0.121521,0.126484,0.059963,0.131422,0.184192,0.049325,0.355551,2.428078
L14,0.121521,0.188854,0.000000,0.121521,0.188854,-0.191351,-0.125538,-0.063790,0.121521,-0.063790,0.054658,-0.164504,-0.057820,-0.508955,-0.011300,0.054658,-0.131927,0.121521,0.054658,0.000000,-0.131927,-0.005634,0.054658,0.121521,0.121521,0.378898,0.256296,0.059963,0.059963,-0.005634,0.059963,0.121521,-0.436851,-0.411099,0.303013,-0.727436,0.121521,0.126484,0.121521,-0.191351,-0.306586,-0.454396,0.936313,0.038572
L15,0.054658,0.000000,0.059963,0.121521,0.121521,0.054658,0.121521,0.184192,0.121521,0.121521,0.243166,0.059963,0.494970,0.116534,0.054658,0.174803,-0.005634,0.121521,0.184192,-0.125538,-0.254530,0.307154,0.054658,0.184192,0.059963,0.126484,-0.005634,0.126484,0.121521,0.184192,-0.005634,0.054658,1.072045,0.188854,0.065241,0.747805,0.184192,0.188854,0.059963,0.054658,0.005602,0.737110,0.891261,2.451586
L16,0.065241,0.005602,0.059963,0.054658,0.121521,0.000000,0.054658,0.000000,-0.063790,-0.005634,0.065241,-0.069796,0.188854,-0.566663,0.251938,0.121521,0.059963,0.121521,0.059963,-0.191351,0.059963,0.059963,0.121521,0.121521,0.059963,0.371176,0.065241,0.184192,-0.005634,0.111521,0.184192,0.126484,-0.125538,0.059963,-0.005634,0.251938,0.126484,0.378898,0.126484,0.193495,0.011173,0.184192,-0.075838,0.494970
L17,0.121521,0.054658,0.000000,0.054658,0.184192,-0.063790,0.054658,0.059963,0.179509,0.059963,0.251938,0.251938,0.000000,0.814668,0.054658,0.243166,-0.063790,0.116534,0.247562,0.126484,0.111521,-0.125538,0.054658,0.121521,0.059963,0.184192,0.126484,0.188854,0.000000,0.311278,0.311278,-0.005634,1.138985,0.371176,-0.261803,-0.261803,0.126484,-0.063790,0.184192,0.251938,0.131422,0.126484,1.267106,2.029035
L18,0.188854,0.126484,0.059963,0.059963,0.188854,0.121521,0.184192,0.371176,0.251938,0.438617,0.747805,1.443609,0.371176,12.094785,1.563453,0.371176,0.179509,0.179509,0.256296,1.000301,0.561219,0.629357,0.247562,0.126484,0.371176,0.940709,0.188854,0.307154,0.251938,0.431344,0.378898,0.872656,9.397557,0.987827,0.359480,0.363394,0.065241,0.256296,0.251938,0.065241,0.315385,0.371176,2.292421,1.627255
L19,0.065241,-0.057820,0.121521,0.059963,0.059963,0.121521,0.054658,0.059963,0.126484,0.121521,0.188854,0.126484,0.184192,-1.104245,-0.125538,0.054658,0.121521,-0.005634,0.000000,0.188854,0.000000,0.059963,0.059963,0.000000,-0.069796,0.311278,0.188854,0.126484,0.121521,0.184192,0.070490,0.059963,0.554789,0.445837,0.438617,0.494970,-0.138358,0.065241,0.000000,0.188854,0.179509,0.501796,0.829483,0.753110
L20,0.121521,0.000000,0.116534,0.179509,0.184192,-0.063790,0.184192,0.054658,0.054658,0.121521,0.059963,-0.191351,-0.005634,-1.138732,-0.131927,0.054658,0.121521,0.126484,0.121521,-0.005634,0.179509,0.121521,0.121521,0.054658,0.243166,-0.063790,0.188854,0.184192,0.179509,0.121521,0.121521,-0.131927,-0.831505,0.378898,0.054658,-0.191351,0.188854,0.126484,0.184192,0.193495,0.445837,0.251938,-0.857650,5.181215
L21,0.121521,0.179509,-0.063790,0.054658,-0.005634,0.059963,0.065241,0.126484,0.000000,0.179509,0.121521,0.501796,0.371176,3.144249,0.431344,0.059963,0.126484,0.054658,0.121521,0.371176,0.188854,0.188854,0.121521,0.000000,0.054658,0.065241,0.054658,0.054658,0.184192,0.184192,0.251938,0.371176,4.396666,0.753110,0.687513,0.311278,0.054658,0.000000,0.184192,0.121521,-0.125538,-0.138358,0.996160,7.251655
L22,0.121521,0.126484,0.121521,0.000000,-0.063790,0.000000,0.121521,0.126484,0.121521,0.000000,-0.321971,-0.321971,-0.063790,-2.003728,-0.919103,-0.069796,0.184192,0.059963,0.054658,-0.198177,-0.005634,0.179509,0.065241,0.059963,0.116534,0.054658,0.054658,0.121521,0.126484,0.059963,0.000000,-0.191351,-0.254530,0.059963,0.247562,-0.069796,-0.131927,0.121521,0.121521,0.000000,0.193495,-0.131927,-0.333667,1.862249
