layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Please,7: draft,8: a,9: short,10: admission,11:-,12:style,13: patient,14: presentatio,15: for,16: depression,"17:,",18: including,19: demographic,20: and,21: pertinent,22: PM,23:H,24:.,25: Start,26: exactly,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L1,0.192125,0.479807,-0.189242,-0.066182,-0.060933,0.124873,-0.125820,-0.189242,-0.125820,-0.060933,-0.438008,-0.189242,-0.378732,-0.250611,-0.060933,-0.183307,-0.189242,-0.060933,0.066691,-0.125820,-0.125820,0.062072,-0.066182,0.188052,-0.060933,-0.066182,0.255138,0.255138,-0.060933,0.429797,-0.120249,0.442536,-0.125820,0.124873,0.124873,0.062072,0.066691,0.066691,-0.125820,-0.378732,0.124873,1.742107
L2,0.923163,0.658056,-0.066182,-0.183307,-0.309260,-0.189242,-0.189242,-0.189242,-0.315994,-0.378732,-0.309260,-0.183307,-0.496965,-0.066182,-0.125820,-0.125820,-0.501021,-0.060933,0.066691,-0.250611,0.062072,-0.125820,-0.250611,0.124873,0.255138,0.066691,-0.250611,0.062072,0.000000,0.004914,-0.818967,-0.438008,0.436187,-0.438008,-0.060933,-0.060933,0.129212,0.188052,-0.066182,-0.066182,-0.430404,0.057432
L3,0.000000,-0.066182,-0.371563,0.062072,0.062072,0.062072,0.124873,0.062072,-0.378732,-0.125820,0.120516,-0.183307,-0.505095,-0.256960,0.188052,-0.125820,0.004914,0.066691,-0.315994,-0.371563,-0.120249,0.000000,-0.060933,0.171591,0.066691,-0.183307,-0.563935,-0.004938,-0.066182,0.116140,-0.256960,-0.244302,0.038652,-0.189242,0.004914,-0.125820,0.129212,-0.125820,0.124873,0.120516,-0.371563,0.503905
L4,-0.060933,0.066691,-0.250611,-0.060933,0.000000,0.066691,0.062072,-0.438008,-0.250611,-0.256960,0.183962,-0.183307,-0.256960,0.004914,0.755219,0.561725,-0.882389,0.188052,-0.250611,-0.131422,-0.060933,0.062072,0.124873,0.370374,0.000000,-0.189242,-0.315994,0.188052,0.129212,0.626965,0.436187,-0.195212,0.231971,-0.066182,0.377153,-0.120249,0.124873,-0.066182,0.066691,0.120516,-0.055711,0.693147
L5,-0.131422,-0.066182,-0.378732,-0.060933,0.183962,-0.189242,-0.071459,-0.315994,-0.501021,-0.189242,-0.009901,0.062072,-0.505095,-0.071459,1.061819,0.124873,-0.509185,0.066691,0.062072,-0.759329,-0.125820,0.000000,0.000000,-0.385952,-0.120249,0.052770,-0.183307,0.815844,0.066691,0.321584,-0.445671,-0.378732,0.285216,-0.385952,0.314415,0.062072,0.000000,-0.125820,-0.060933,-0.076764,0.497935,0.663145
L6,-0.438008,-0.125820,0.000000,0.062072,-0.055711,-1.599632,-0.066182,-0.189242,0.057432,-0.060933,0.066691,-0.066182,-0.256960,-0.244302,0.436187,0.497935,0.188052,0.004914,0.239754,-0.309260,0.066691,0.000000,-0.183307,-0.568274,-0.125820,0.062072,-0.438008,-0.371563,-0.505095,-0.309260,0.285216,-0.071459,0.866810,-0.189242,0.188052,-0.066182,-0.060933,-0.189242,-0.371563,-0.137056,-0.329599,-0.645061
L7,0.000000,-0.055711,-0.125820,-0.120249,0.192125,2.402363,0.179855,-0.060933,-0.131422,-0.060933,-0.189242,0.000000,-0.315994,-0.183307,-0.195212,-0.071459,0.693147,0.120516,-0.125820,-0.626455,-0.189242,-0.125820,0.004914,0.129212,-0.060933,-0.315994,-0.378732,-0.438008,0.000000,-0.250611,-0.688233,0.448845,0.062072,-1.123550,0.004914,0.062072,-0.055711,-0.125820,-0.183307,-0.371563,0.370374,1.005762
L8,-0.183307,-0.183307,0.066691,-0.060933,0.314415,0.755219,0.004914,-0.183307,-0.066182,-0.250611,-0.438008,-0.125820,-0.125820,0.129212,0.815844,0.314415,0.755219,0.188052,0.000000,-0.445671,0.066691,-0.309260,0.000000,0.116140,0.000000,0.000000,-0.060933,-0.125820,-0.060933,0.626965,1.442563,0.314415,0.683246,0.004914,0.000000,0.124873,0.124873,-0.125820,-0.250611,-0.635715,0.755219,-0.055711
L9,-0.066182,-0.060933,-0.956497,0.000000,0.255138,0.192125,-0.060933,-0.250611,-0.060933,-0.309260,-0.315994,-0.315994,0.188052,0.124873,0.124873,-0.004938,-0.563935,0.314415,0.255138,-0.189242,-0.120249,0.000000,-0.060933,-0.189242,0.188052,-0.189242,-0.250611,0.192125,0.129212,0.442536,0.000000,-0.060933,0.423366,-0.371563,-0.060933,0.000000,0.066691,0.247476,-0.125820,-0.125820,0.383887,2.387994
L10,-0.060933,0.066691,0.066691,-0.125820,-0.125820,0.004914,0.066691,0.066691,0.062072,-0.060933,0.000000,-0.060933,-0.060933,0.314415,0.000000,-0.183307,0.066691,0.066691,0.000000,-0.496965,-0.055711,0.000000,0.129212,-0.125820,0.129212,0.000000,0.000000,-0.060933,0.000000,0.000000,-0.876454,-0.055711,-0.131422,-0.501021,0.066691,-0.125820,0.004914,0.000000,-0.125820,-0.309260,0.247476,-0.183307
L11,0.000000,0.000000,0.066691,0.000000,0.129212,-0.125820,-0.125820,0.000000,0.000000,-0.309260,-0.371563,-0.189242,0.377153,0.442536,0.188052,-0.315994,1.189584,0.066691,0.000000,-0.189242,-0.060933,-0.120249,0.183962,0.442536,0.000000,0.188052,0.124873,0.247476,0.255138,0.683246,3.759595,0.442536,-0.256960,0.062072,0.062072,0.000000,0.062072,-0.066182,-0.189242,0.683246,2.688818,-0.888359
