layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: consult,9:-,10:note,11: style,12: brief,13: for,14: depression,15: that,16: emphasizes,17: demographic,18: and,19: relevant,20: past,21: medical,22: history,23:.,24: Begin,25: with,26::,"27: """,28:Gender,29::,"30: ""","31:
",32:<,33:|,34:ass,35:istant,36:|>,"37:
",38:Gender,39::
L1,-0.500343,-3.367224,0.225439,0.061300,0.496936,-0.115630,1.523051,-0.716401,0.358397,-0.155109,-1.160849,3.988343,-1.374858,1.277093,0.033901,0.354373,-0.059189,0.557971,0.461345,0.675754,-0.135174,-0.090151,0.108803,0.159064,-0.594705,0.000000,0.206920,-0.005764,-0.476922,-1.330407,-0.946924,-0.414122,0.721476,0.005731,-0.023257,-0.096460,-0.029157,0.087969,-0.210295,1.808852
L2,0.904728,0.698877,-0.427251,0.093218,0.216223,-0.239074,0.350332,0.300530,-0.291520,0.055880,-0.109199,0.976508,-2.450978,0.596686,-0.659243,0.243622,0.904728,-0.543933,-0.096460,-0.427251,0.640036,0.346275,0.033901,0.342202,-0.599927,-1.298319,-0.231801,0.374333,0.022728,-1.008011,0.211582,0.386121,0.149212,0.000000,0.017094,-0.083881,-0.035091,-0.090151,0.211582,0.000000
L3,0.163954,0.000000,0.431931,0.342202,-0.529191,-0.090151,0.890677,0.669889,0.832408,-0.102809,-1.374858,0.775838,-2.594074,-0.746254,2.171348,-0.314867,-1.900944,-1.267228,-0.291520,-0.217412,-0.217412,1.039422,0.927718,-0.077651,-0.734206,-1.521460,-0.246400,-1.188757,-1.352385,-1.693308,-0.128617,0.652084,0.287681,-0.077651,0.028330,-0.599927,-0.239074,-0.553883,0.687382,-0.253780
L4,0.066691,-0.065305,-0.239074,0.503904,-0.203228,-0.023257,-0.467706,-0.077651,1.754680,0.738097,0.687382,0.876425,-2.519968,0.571043,-0.011561,0.113944,-0.834919,-1.791747,-0.210295,-0.563933,-0.375738,0.496936,1.363036,0.183279,-0.734206,-0.642714,0.812205,1.006361,-1.575526,-1.725056,0.652084,-0.196210,0.538037,-0.283857,-0.314867,-0.135174,-0.445029,-0.693145,-0.322772,-1.142667
L5,-0.481563,-0.083881,0.066691,0.011429,-0.710536,-0.375738,-0.239074,-0.175448,2.616638,0.454072,3.750988,0.571043,0.287681,0.954625,-1.115999,-0.148420,-0.363264,-1.791747,0.022728,0.257045,-0.401163,0.108803,0.749026,0.139262,-0.458573,0.077386,0.011429,0.721476,-0.783295,0.517697,1.333183,-1.124809,0.687382,-0.363264,-0.071459,0.050431,-0.291520,-0.472304,-0.716401,1.125077
L6,0.401625,0.321583,0.475733,0.168820,-0.414122,-0.445029,0.296265,1.161711,1.351201,2.247046,4.658327,0.786364,0.904728,0.980828,-0.524325,0.197531,-0.122102,0.309004,0.832408,0.129211,0.225439,0.698877,2.144786,0.786364,0.710240,1.450292,1.154491,2.006436,3.089471,-0.175448,-0.637264,2.024813,0.061300,-0.307024,-0.128617,-0.253780,-0.722301,-1.031916,-0.409783,0.000000
L7,0.658055,0.257045,0.274666,-0.128617,0.652084,0.370373,-0.175448,-0.047067,0.985129,0.557971,2.568477,1.523051,-0.231801,0.489918,-0.848253,-0.310938,-0.109199,-0.490909,-0.291520,-0.059189,-0.307024,0.129211,0.454072,1.523051,0.781115,1.770459,1.778257,0.496936,-0.828319,0.401625,-0.359140,0.087969,-0.041061,-0.135174,0.173663,-0.418479,-0.096460,-1.000168,0.475733,0.627841
L8,-0.161843,-0.322772,0.087969,0.028330,-0.196210,0.134249,0.393903,0.087969,-0.011561,0.621687,2.742690,0.017094,0.243622,-0.261215,1.071424,0.681585,1.031258,-1.237076,-0.409783,-0.017392,0.093218,0.077386,0.564529,0.832408,0.000000,1.197051,0.454072,1.808852,0.945736,0.989411,1.345231,3.215188,-0.239074,-0.253780,0.144249,-0.253780,-0.789604,-1.064706,-0.828319,0.005731
L9,-0.217412,-0.122102,0.759837,-0.148420,-0.299242,0.163954,-0.524325,-0.128617,0.022728,0.134249,-0.261215,0.087969,-0.610453,-0.276253,-1.064706,-0.631844,-0.558896,-0.182321,0.077386,0.000000,-0.318812,-0.128617,-0.276253,0.621687,-0.626454,-0.687414,-0.203228,0.401625,1.730534,0.431931,0.503904,2.440844,-0.141775,-0.307024,-0.268705,-0.189241,-0.253780,0.134249,-1.023884,-0.005764
L10,-0.246400,-0.224581,-0.083881,-0.065305,0.313215,0.577516,0.093218,-0.122102,0.098440,0.077386,-0.445029,-0.175448,-1.023884,-0.283857,0.350332,0.775838,-0.371562,0.590337,0.033901,-0.268705,-0.189241,0.087969,0.325741,0.615495,-0.122102,-0.558896,-0.728236,-0.189241,1.874449,-0.224581,-0.122102,-0.445029,0.895383,-0.384141,-0.161843,-0.375738,-0.422855,-0.704705,0.765199,0.022728
L11,-0.168622,-0.135174,0.119059,-0.065305,0.154150,-0.011561,0.087969,0.283362,0.300530,0.066691,-0.155109,-0.777026,-0.802343,-0.534081,0.932253,0.524523,0.206920,-0.168622,0.093218,-0.217412,-0.283857,0.374333,0.296265,-0.141775,-0.367404,0.050431,0.475733,0.134249,4.240083,-0.431666,-0.548896,0.283362,-0.109199,-0.096460,-0.128617,-0.445029,-0.659243,0.202236,1.512976,0.801949
L12,-0.005764,0.124148,-0.090151,0.061300,-0.330741,-0.135174,-0.035091,0.183279,-0.122102,-0.041061,-1.040013,0.583947,0.129211,0.044951,-0.375738,-0.861766,-0.203228,0.807090,-0.396880,0.055880,0.159064,-0.155109,-0.253780,0.077386,-0.454038,0.192802,0.985129,-0.135174,0.571043,0.154150,-0.427251,-2.386441,-0.065305,-0.029157,0.055880,-0.155109,-0.355033,-0.584342,1.371820,1.014729
L13,-0.217412,-0.203228,-0.161843,-0.246400,-0.148420,-0.371562,-0.283857,-0.276253,-0.189241,0.082692,-0.141775,0.061300,-0.903439,-0.196210,0.287681,-0.476922,-0.589510,-0.615758,0.370373,-0.268705,-0.490909,-0.217412,0.000000,1.094772,-0.359140,0.416893,0.621687,0.386121,-0.196210,-0.017392,0.139262,0.005731,0.072053,-0.141775,-0.161843,-0.077651,0.033901,-1.374858,0.669889,2.760298
L14,-0.077651,-0.041061,0.087969,0.061300,0.248116,-0.436101,0.124148,0.000000,0.087969,-0.109199,-0.346870,-0.246400,-0.135174,-0.122102,0.033901,-0.239074,0.124148,-0.626454,0.698877,-0.168622,0.283362,0.248116,0.675754,0.544726,-0.276253,0.248116,-0.568997,-0.514663,-1.980985,1.394876,0.681585,-1.330407,-0.168622,-0.175448,0.087969,-0.322772,-0.659243,-0.659243,2.472374,-1.287848
L15,-0.035091,-0.083881,-0.035091,-0.029157,-0.148420,-0.217412,0.055880,0.225439,0.050431,-0.041061,-0.283857,-0.077651,0.321583,-0.148420,0.168820,0.475733,-0.239074,-0.427251,-0.239074,0.072053,0.197531,0.188052,-0.155109,-0.182321,0.409288,0.837395,-0.182321,-0.053110,3.293277,1.132512,-0.330741,-0.734206,-0.023257,0.072053,-0.109199,-0.231801,-0.917725,0.197531,2.960043,-0.175448
L16,0.011429,-0.141775,0.183279,0.087969,0.011429,-0.096460,-0.196210,-0.035091,0.154150,0.050431,0.424440,0.017094,0.461345,0.220842,-0.854987,0.461345,-0.210295,-0.514663,-0.135174,-0.005764,0.225439,0.050431,0.103635,-0.115630,-0.029157,0.183279,-0.384141,-0.648193,-0.023257,-0.065305,-0.017392,-0.388369,0.431931,0.082692,-0.155109,-0.029157,-0.558896,-0.141775,0.439366,1.590874
L17,-0.053110,-0.005764,-0.011561,0.022728,0.066691,-0.041061,-0.161843,0.022728,0.248116,-0.253780,-0.307024,-0.023257,-0.029157,0.072053,0.932253,0.183279,-0.090151,-0.077651,-0.161843,-0.077651,-0.083881,-0.005764,0.098440,0.017094,-0.090151,0.178482,-0.115630,-0.653703,1.333183,0.812205,-0.203228,-0.436101,-0.589510,-0.102809,-0.096460,-0.041061,-0.314867,-1.757846,1.168880,0.976508
L18,-0.011561,0.044951,-0.035091,-0.035091,-0.035091,0.028330,0.564529,0.274666,0.489918,0.807090,0.602995,-0.011561,0.261479,-0.217412,12.308028,1.471626,0.066691,5.017734,1.244517,0.279023,1.075354,1.371820,2.117499,1.618589,-0.109199,0.496936,0.257045,0.108803,12.789865,2.706514,1.139892,0.439366,-0.210295,0.050431,0.050431,-0.231801,0.072053,-0.371562,9.315777,1.942618
L19,-0.109199,-0.065305,-0.161843,-0.071459,0.028330,0.461345,0.028330,-0.096460,0.304776,-0.011561,0.765199,-0.203228,0.159064,-0.330741,-1.064706,0.055880,0.028330,0.173663,-0.168622,-0.077651,-0.102809,-0.041061,-0.135174,-0.090151,-0.155109,0.028330,-0.681716,-0.505093,1.523051,0.401625,0.842358,2.495386,-0.472304,-0.224581,-0.161843,-0.011561,-0.291520,0.524523,2.128503,5.994417
L20,0.050431,-0.035091,-0.135174,-0.035091,0.119059,-0.268705,-0.161843,-0.077651,0.072053,-0.161843,-0.011561,0.066691,0.055880,0.108803,-1.217467,-0.071459,0.028330,-0.795954,-0.023257,-0.005764,0.017094,-0.422855,-0.939544,-0.392616,0.000000,-0.005764,0.225439,0.265894,-1.142667,0.239107,-0.330741,-1.662537,-0.291520,0.124148,-0.035091,0.005731,0.033901,0.496936,-0.115630,7.697124
L21,0.113944,0.017094,-0.035091,-0.047067,-0.059189,-0.096460,0.119059,0.119059,0.082692,-0.005764,-0.189241,-0.096460,-0.090151,0.093218,2.589402,0.265894,0.061300,2.078001,0.239107,-0.005764,0.000000,-0.090151,0.093218,0.663989,-0.035091,0.033901,0.216223,0.786364,7.515962,0.503904,0.900066,2.111951,-0.023257,-0.096460,-0.035091,-0.065305,-0.161843,0.577516,-0.122102,8.538801
L22,-0.005764,0.044951,-0.053110,-0.065305,-0.059189,-0.096460,0.000000,-0.029157,-0.096460,-0.128617,-0.486225,0.087969,0.098440,-0.071459,-2.386441,-0.704705,-0.035091,-0.932218,-0.253780,0.066691,-0.135174,-0.359140,-0.375738,-0.326749,0.082692,-0.005764,-0.053110,-0.388369,-0.524325,0.050431,0.211582,-0.239074,-0.155109,0.124148,-0.029157,-0.065305,-0.299242,0.362405,-1.470167,4.250625
L23,-0.005764,0.022728,0.055880,0.000000,-0.122102,-0.005764,0.124148,-0.035091,-0.035091,0.000000,-0.109199,0.313215,-0.005764,-0.065305,-2.761122,-0.355033,0.028330,-0.346870,-0.035091,0.061300,-0.122102,-0.096460,-0.096460,-0.148420,0.098440,0.028330,-0.148420,-0.917725,-2.067995,0.577516,-0.090151,-0.834919,-0.122102,0.066691,-0.005764,0.087969,-0.083881,-0.189241,-1.064706,-0.821761
L24,0.061300,0.022728,0.000000,0.033901,-0.128617,0.932253,-0.096460,0.000000,-0.065305,-0.029157,-0.096460,0.055880,-0.096460,-0.065305,0.749026,-0.005764,0.061300,-0.035091,0.124148,0.055880,-0.065305,0.017094,-0.041061,-0.128617,0.119059,0.087969,0.093218,0.358397,0.827395,0.496936,0.468565,0.005731,0.082692,0.044951,0.000000,0.149212,-0.681716,0.183279,-0.342813,5.266492
L25,-0.035091,0.000000,0.039442,-0.065305,-0.047067,-0.017392,-0.109199,-0.035091,0.061300,0.087969,-0.035091,0.028330,-0.096460,-0.161843,2.416527,0.050431,0.050431,0.386121,0.017094,-0.035091,0.061300,0.119059,0.093218,0.129211,0.087969,0.028330,0.000000,0.669889,0.890677,0.577516,-0.023257,0.124148,-0.005764,-0.071459,-0.035091,0.163954,-0.777026,0.524523,-1.098607,4.876773
L26,0.022728,0.022728,0.022728,-0.065305,-0.109199,-0.109199,-0.065305,-0.005764,-0.035091,-0.065305,-0.041061,0.000000,0.022728,-0.065305,-0.954359,-0.224581,-0.065305,-0.224581,-0.035091,-0.077651,-0.035091,-0.011561,-0.035091,-0.035091,-0.035091,-0.096460,-0.077651,-0.203228,-0.514663,0.149212,-0.155109,-0.135174,-0.115630,0.077386,-0.071459,0.149212,-0.848253,0.017094,-0.310938,7.553682
