layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Output,7: a,8: single,9: chart,10:-,11:style,12: line,13: for,14: depression,15: using,16: this,17: pattern,18::,19: demographic,20: |,21: PM,22:H,23:.,24: Begin,25: exactly,26: with,27::,"28: """,29:Gender,30::,"31: ""","32:
",33:<,34:|,35:ass,36:istant,37:|>,"38:
",39:Gender,40::
L1,0.048573,-1.003668,-0.205200,-0.145885,-0.125160,-0.114956,0.147011,0.094896,-0.167049,0.090773,0.229453,0.009009,-0.227672,-0.041575,0.154793,0.192820,-0.004535,-0.055827,0.115263,0.039916,0.222233,0.099003,0.526082,0.127287,0.057157,0.115263,0.192820,0.285411,0.147011,0.039916,-0.161716,0.035558,0.069896,-0.013667,0.009009,0.082474,0.013483,0.107166,-0.041575,0.107166,-0.400937
L2,0.069896,-0.018265,-0.172411,0.026787,-0.060623,-0.051054,-0.051054,-0.051054,-0.329248,0.498981,0.177782,0.487931,-1.372733,0.013483,0.357572,-0.199660,0.107166,0.052874,0.119287,-0.151134,0.162515,0.052874,-0.748946,0.061421,0.482360,0.185329,-0.036870,0.044254,0.123295,0.026787,0.430774,-0.304403,-0.022884,-0.099843,0.048573,0.026787,0.035558,-0.018265,-0.065442,0.065667,0.017937
L3,-0.027524,-0.018265,-0.177802,0.017937,-0.018265,-0.135469,-0.167049,0.086632,-0.094855,0.214960,0.065667,-0.860165,-1.135427,0.298924,0.065667,-0.456505,0.057157,-0.354726,0.099003,-0.274190,0.632510,0.135223,0.170178,-0.244864,0.344833,-0.070285,0.406963,-0.018265,-0.109893,0.292190,0.278585,0.706617,0.200254,0.026787,0.107166,0.074106,0.000000,0.139168,-0.004535,0.200254,0.170178
L4,0.048573,0.004515,-0.065442,0.022372,0.035558,0.000000,-0.013667,0.044254,0.039916,-0.227672,0.214960,-1.003668,0.022372,0.243739,0.418939,-0.084954,0.127287,-0.009091,-0.104855,-0.298287,1.089504,-0.018265,-0.167049,0.292190,0.207634,0.103093,0.222233,0.471124,-0.018265,0.127287,0.057157,0.608178,0.099003,-0.233370,-0.070285,0.078299,-0.046303,-0.051054,0.200254,-0.075151,-0.135469
L5,-0.210771,-0.070285,-0.104855,0.009009,0.236621,-0.361199,-0.051054,-0.032186,-0.140663,0.264792,0.170178,-0.156411,-0.205200,0.285411,0.318858,-0.172411,0.147011,-0.009091,-0.041575,-0.244864,0.312257,0.022372,-0.280160,0.471124,0.338402,-0.022884,-0.084954,0.147011,0.271712,0.177782,0.214960,0.697649,-0.125160,-0.099843,-0.013667,0.061421,0.154793,0.086632,0.257823,0.139168,0.257823
L6,0.162515,0.048573,0.044254,-0.032186,0.044254,-0.135469,-0.089893,-0.205200,0.090773,0.305613,-0.145885,0.459761,-0.833780,-0.335557,0.424874,-0.065442,-0.013667,-0.268256,-0.125160,-0.216373,0.344833,0.082474,-0.932214,-0.456505,-0.151134,-0.084954,0.192820,0.052874,0.031182,0.052874,-0.051054,0.107166,-0.104855,-0.227672,0.013483,0.017937,0.035558,-0.089893,-0.183222,-0.104855,0.547247
L7,0.000000,-0.027524,0.154793,0.154793,0.177782,2.232760,0.009009,0.026787,-0.156411,0.271712,-0.004535,0.264792,-1.337646,0.207634,0.305613,-0.414543,0.107166,0.312257,0.026787,0.082474,0.135223,0.000000,-0.250661,0.872810,-0.120045,0.147011,0.271712,0.318858,0.271712,0.229453,0.094896,-0.227672,0.078299,-0.022884,0.103093,0.044254,0.009009,-0.109893,-0.051054,-0.194150,0.622848
L8,0.057157,0.022372,0.061421,0.135223,0.078299,0.154793,0.448267,-0.065442,-0.032186,0.214960,0.170178,0.048573,-1.320553,0.065667,0.143097,-0.250661,0.103093,0.061421,-0.268256,-0.046303,0.325415,0.162515,0.013483,0.004515,0.004515,0.162515,-0.080041,0.057157,-0.009091,0.057157,0.185329,0.031182,-0.435304,0.115263,0.099003,0.026787,0.048573,0.111223,-0.492871,0.338402,0.318858
L9,0.082474,0.082474,-1.684475,0.048573,0.078299,0.061421,0.069896,-0.140663,-0.027524,0.147011,0.052874,0.177782,-1.016090,0.185329,0.119287,-0.188671,0.154793,0.229453,0.031182,-0.022884,0.214960,-0.051054,-0.316749,-0.167049,0.185329,0.082474,0.278585,0.257823,0.236621,0.257823,0.278585,0.017937,0.382572,-0.080041,-0.060623,0.057157,0.074106,-0.151134,-0.055827,0.154793,-0.711385
L10,0.069896,0.090773,0.094896,0.031182,0.162515,0.061421,0.039916,0.061421,0.052874,-0.013667,0.035558,0.285411,-0.421415,0.285411,-0.065442,-0.027524,0.000000,0.285411,0.061421,0.207634,-0.089893,0.048573,0.229453,0.039916,0.278585,0.026787,0.147011,0.214960,0.325415,0.039916,0.090773,0.026787,-0.250661,0.250806,0.044254,0.013483,0.061421,-0.145885,0.250806,-0.125160,-0.485491
