layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:You,7: are,8: a,9: helpful,10: clinical,11: assistant,12: for,13: inpatient,14: documentati,15:.,16: Condition,17::,18: depression,19:.,"20:
",21:Create,22: a,23: concise,24: patient,25: summary,26: emphasizing,27: demographic,28: and,29: PM,30:H,31:.,32: Start,33: with,34::,"35: """,36:Gender,37::,"38: ""","39:
",40:<,41:|,42:ass,43:istant,44:|>,"45:
",46:Gender,47::
L1,0.628983,1.382044,-0.064162,0.248799,0.185142,0.060292,0.060292,0.185142,-0.256167,0.248799,0.312787,0.376808,0.376808,0.060292,-0.503317,0.054959,-0.126293,-0.376233,0.939739,0.248799,0.248799,0.060292,0.060292,0.248799,0.248799,-0.256167,0.312787,0.500602,0.000000,0.308646,0.122167,-0.005666,0.000000,0.308646,0.244384,0.436977,-0.064162,-0.248895,-0.126293,0.065597,0.248799,0.312787,0.312787,0.122167,-0.064162,-0.185716,0.189825,0.873581
L2,1.056295,1.056295,-0.185716,0.308646,0.000000,0.127155,0.436977,0.253195,0.185142,0.939739,0.185142,0.436977,0.622940,-0.192542,-0.380357,-0.316335,-0.376233,-0.570975,-0.316335,0.500602,0.000000,-0.192542,0.000000,0.054959,-0.316335,-0.058156,-0.192542,0.500602,-0.126293,0.312787,0.628983,0.369026,0.060292,0.060292,0.117155,-0.070204,-0.813045,0.122167,0.436977,0.248799,0.060292,0.185142,0.376808,0.122167,0.065597,0.248799,-0.316335,0.122167
L3,0.248799,0.060292,-0.185716,0.185142,0.060292,0.185142,0.308646,-0.192542,-0.248895,0.560420,0.054959,0.308646,0.873581,-0.751297,0.180436,0.500602,-0.126293,0.304488,-0.627545,0.248799,0.248799,-0.064162,0.000000,0.312787,0.369026,0.939739,-0.126293,0.693145,0.189825,0.189825,1.311530,0.369026,0.000000,-0.308613,-0.185716,0.622940,0.999714,0.060292,-0.192542,0.560420,0.248799,-0.005666,0.127155,-0.126293,0.000000,-0.126293,-0.058156,0.185142
L4,0.060292,0.000000,-0.248895,-0.064162,-0.376233,0.060292,0.185142,0.060292,0.369026,-0.565988,-0.248895,0.560420,0.687479,-0.751297,-0.632850,0.000000,-0.256167,0.117155,0.999714,0.060292,-0.064162,0.127155,0.060292,0.436977,0.308646,0.185142,0.127155,-0.693142,0.122167,0.312787,0.369026,0.308646,0.060292,0.127155,0.065597,0.939739,1.941051,-0.494015,0.185142,0.185142,0.500602,0.000000,0.248799,0.185142,-0.058156,0.122167,0.248799,0.815312
L5,0.122167,0.060292,0.308646,-0.064162,-0.064162,0.000000,0.065597,0.000000,0.000000,0.436977,0.122167,0.939739,1.376354,0.248799,-0.192542,1.064123,-0.248895,-0.376233,1.504701,0.248799,0.185142,0.065597,0.000000,0.122167,-0.126293,0.127155,-0.064162,0.065597,0.127155,0.000000,-0.439948,0.185142,0.000000,-0.192542,-0.126293,0.873581,-1.133087,-0.064162,-0.119903,-0.380357,0.185142,-0.126293,0.122167,0.127155,0.000000,-0.005666,-0.435572,-0.444344
L6,0.312787,0.189825,0.312787,0.000000,-0.064162,0.316910,-0.064162,0.122167,-0.126293,1.131945,0.185142,0.939739,0.939739,0.127155,-0.819434,-0.384498,0.253195,0.185142,-1.254163,-0.005666,0.436977,0.060292,0.000000,0.060292,0.060292,-0.444344,0.376808,-0.376233,0.122167,-0.248895,-0.126293,-0.192542,0.185142,-0.185716,-0.316335,-0.005666,-0.448759,0.436977,0.566851,0.304488,0.248799,0.054959,0.065597,0.000000,-0.126293,-0.185716,-0.380357,-0.885683
L7,-0.308613,-0.372126,0.122167,0.122167,0.376808,-2.778175,0.000000,0.127155,-0.503317,0.065597,0.248799,1.064123,0.308646,0.687479,-0.005666,-0.070204,0.376808,-0.256167,-0.064162,0.185142,0.189825,0.312787,0.185142,0.060292,-0.256167,0.054959,-0.256167,0.000000,0.000000,-0.126293,0.122167,-0.316335,0.185142,0.553948,0.312787,0.312787,-0.885683,0.000000,-0.132724,0.065597,0.065597,0.122167,0.189825,0.000000,-0.126293,0.253195,0.065597,1.442585
L8,0.248799,0.127155,0.308646,0.060292,0.122167,0.436977,0.060292,0.248799,0.185142,0.127155,0.500602,1.188597,0.189825,0.628983,0.122167,-0.380357,-0.064162,0.000000,2.817128,0.185142,0.065597,0.000000,0.060292,0.122167,0.748103,0.060292,-0.005666,0.312787,0.060292,0.308646,0.127155,0.312787,0.060292,0.500602,0.185142,0.873581,2.696682,0.376808,0.810299,-0.192542,0.065597,0.060292,0.127155,0.000000,0.185142,-0.813045,0.065597,0.810299
L9,0.000000,-0.185716,-1.065266,-0.005666,0.189825,0.185142,0.189825,-0.064162,0.000000,0.060292,0.185142,0.436977,0.312787,-0.064162,0.500602,0.000000,-0.316335,-0.126293,-0.693142,0.500602,0.185142,0.000000,0.065597,0.369026,-0.256167,0.180436,0.500602,-0.376233,0.060292,-0.192542,0.000000,0.127155,0.127155,0.376808,0.189825,0.500602,0.000000,-0.256167,0.500602,0.244384,0.248799,0.127155,0.065597,0.127155,0.060292,-0.064162,0.507428,0.444249
L10,0.000000,0.060292,0.065597,0.060292,0.248799,-0.058156,-0.256167,-0.126293,0.117155,0.122167,0.185142,0.436977,0.308646,0.312787,-0.126293,0.117155,-0.248895,-0.064162,0.999714,-0.064162,0.189825,0.185142,0.000000,0.189825,-0.126293,0.312787,-0.316335,-0.126293,0.248799,0.060292,-0.248895,0.436977,0.000000,0.060292,-0.126293,0.748103,-0.192542,-0.126293,0.239950,0.500602,0.185142,-0.064162,0.127155,0.065597,-0.005666,-0.494015,-0.693142,0.065597
L11,0.060292,0.000000,0.185142,0.060292,0.436977,0.065597,0.127155,0.189825,0.000000,0.122167,0.185142,0.753437,-0.192542,0.127155,-0.256167,-0.316335,-0.316335,0.185142,4.254525,0.436977,-0.256167,0.185142,0.122167,0.060292,0.687479,-0.126293,0.185142,0.189825,0.185142,-0.064162,0.500602,0.185142,0.060292,0.122167,0.122167,0.687479,2.633792,0.180436,0.500602,-0.064162,0.185142,0.122167,0.000000,0.180436,0.060292,-0.126293,0.873581,1.064123
L12,-0.064162,0.122167,0.185142,0.065597,0.060292,-0.376233,0.122167,0.000000,-0.064162,0.000000,0.000000,-0.064162,0.122167,0.060292,-0.627545,-0.192542,-0.316335,-0.126293,-0.064162,0.060292,0.127155,0.369026,0.000000,0.060292,-0.687508,0.248799,0.312787,0.999714,0.248799,-0.064162,0.376808,0.185142,0.000000,0.185142,0.376808,0.248799,2.319943,0.815312,0.054959,0.122167,0.117155,0.122167,0.000000,0.122167,-0.126293,0.194487,0.873581,1.442585
L13,0.060292,0.060292,-0.192542,0.122167,0.122167,0.060292,0.185142,0.185142,0.060292,0.060292,-0.126293,-0.126293,-0.192542,0.122167,0.436977,0.122167,-0.751297,-0.192542,1.188597,-0.005666,0.000000,-0.064162,-0.248895,-0.376233,0.312787,0.122167,0.060292,0.185142,0.060292,0.060292,0.500602,0.248799,-0.126293,-0.248895,-0.126293,0.616861,-1.304935,0.560420,0.308646,0.248799,0.060292,0.189825,0.000000,0.127155,0.060292,-0.380357,-0.376233,0.507428
L14,0.248799,0.189825,-0.064162,0.185142,0.248799,-0.376233,0.060292,0.122167,0.185142,-0.064162,0.060292,0.000000,0.000000,-0.248895,0.560420,0.312787,0.248799,0.000000,-0.316335,0.185142,0.308646,0.060292,0.376808,0.122167,0.253195,0.122167,0.189825,0.060292,0.248799,0.248799,0.308646,0.189825,0.065597,-0.064162,-0.064162,0.122167,-0.058156,0.000000,0.560420,-0.380357,0.308646,0.127155,-0.126293,-0.126293,-0.126293,-0.439948,0.189825,0.065597
