layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Condition,7::,8: multiple,9: sclerosis,10:.,"11:
",12:Create,13: a,14: short,15: patient,16: overview,17: including,18: demographic,19: first,"20:,",21: then,22: key,23: past,24: medical,25: history,26:.,27: Start,28: exactly,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L1,0.160930,0.154151,0.031253,0.154151,0.098192,0.031253,-0.032261,-0.065597,-0.061369,-0.256430,-0.057158,0.126563,0.090972,-0.095707,0.000000,0.068993,0.098192,-0.032261,-0.158791,-0.126752,-0.061369,0.061558,0.126563,-0.091350,-0.032261,0.126563,-0.003976,0.000000,-0.282405,-0.095707,-0.061369,0.219964,-0.095707,0.287682,0.317010,0.061558,0.160930,0.061558,0.031253,0.000000,0.023530,-0.221161,0.219964,0.187599
L2,0.147325,0.328504,-0.032261,0.090972,-0.061369,-0.061369,-0.028171,-0.154151,-0.003976,0.476924,0.031253,-0.061369,-0.032261,0.061558,0.154151,-0.061369,0.219964,0.031253,0.061558,-0.028171,-0.122257,-0.087011,0.061558,-0.032261,-0.095707,0.003960,-0.003976,-0.036368,-0.187095,-0.256430,-0.065597,-0.376137,-0.383106,-0.028171,0.257468,-0.091350,0.098192,0.061558,0.090972,0.061558,-0.003976,0.154151,0.090972,0.090972
L3,0.061558,0.031253,-0.126752,0.000000,-0.057158,0.000000,0.281712,0.219964,0.031253,0.689171,0.226313,0.098192,0.003960,0.126563,0.000000,-0.028171,0.180998,0.160930,-0.091350,0.194156,-0.061369,-0.126752,0.031253,0.000000,0.000000,-0.091350,-0.117783,-0.036368,-0.261571,-0.163453,-0.221161,0.023530,0.112478,0.187599,-0.061369,-0.028171,0.257468,-0.095707,0.003960,0.023530,0.090972,0.147325,-0.144934,0.226313
L4,-0.032261,0.061558,0.000000,0.098192,-0.154151,0.031253,0.119545,0.126563,0.031253,3.577771,0.194156,0.000000,0.098192,-0.057158,0.031253,0.054067,-0.069844,0.226313,-0.154151,0.000000,-0.032261,-0.032261,0.000000,-0.065597,-0.065597,0.119545,0.133531,-0.003976,0.000000,-0.131266,-0.057158,0.257468,0.334202,0.269664,-0.036368,0.031253,0.226313,-0.065597,-0.028171,-0.032261,-0.061369,-0.191891,0.652656,0.669050
L5,-0.003976,0.031253,-0.032261,0.126563,-0.091350,0.251314,0.031253,-0.061369,0.219964,1.634518,0.061558,-0.154151,0.003960,0.061558,-0.028171,-0.061369,-0.095707,-0.028171,-0.061369,0.126563,-0.154151,-0.061369,-0.057158,0.090972,0.090972,0.031253,0.031253,-0.065597,-0.216223,0.119545,0.054067,-0.154151,0.400160,-0.061369,0.126563,-0.032261,0.154151,-0.032261,-0.032261,0.000000,-0.154151,-0.003976,0.525010,-0.052966
L6,-0.032261,0.031253,-0.122257,-0.095707,-0.154151,-0.383106,0.061558,-0.191891,0.031253,0.627550,0.090972,0.090972,0.031253,-0.028171,-0.091350,0.126563,0.000000,0.031253,0.031253,-0.036368,-0.122257,0.000000,0.098192,0.003960,0.031253,0.031253,-0.024098,0.126563,-0.095707,-0.292987,-0.314493,-0.383106,0.180998,-0.036368,0.194156,-0.074108,0.281712,-0.061369,-0.032261,-0.028171,-0.126752,0.031253,0.054067,0.287682
L7,0.400160,0.219964,-0.003976,-0.091350,0.061558,1.815290,0.031253,-0.100083,0.061558,0.847298,0.119545,-0.091350,0.031253,0.000000,-0.122257,0.090972,-0.061369,-0.221161,-0.100083,-0.251314,-0.126752,-0.061369,0.031253,0.061558,0.031253,0.031253,-0.095707,-0.032261,-0.032261,-0.191891,-0.287682,-0.196710,-0.032261,0.098192,-0.287682,-0.126752,0.098192,0.031253,-0.061369,-0.061369,-0.216223,-0.383106,-0.032261,0.510826
L8,0.003960,-0.003976,-0.061369,-0.061369,0.000000,0.410742,0.160930,-0.061369,0.098192,1.129865,0.031253,-0.024098,-0.028171,-0.061369,0.000000,0.098192,-0.032261,-0.251314,-0.003976,-0.122257,-0.158791,-0.154151,0.031253,-0.028171,-0.095707,-0.024098,-0.182322,0.126563,0.023530,-0.074108,0.031253,0.000000,0.538996,-0.003976,0.187599,-0.246225,0.031253,-0.036368,-0.028171,0.098192,-0.122257,-0.251314,0.090972,0.491594
L9,0.061558,-0.095707,0.351104,0.031253,0.031253,0.180998,0.154151,-0.028171,-0.091350,0.724400,-0.057158,-0.028171,-0.126752,0.000000,0.000000,0.031253,0.187599,0.061558,-0.168137,0.061558,-0.065597,-0.095707,-0.095707,-0.032261,-0.095707,-0.187095,-0.091350,-0.091350,0.000000,-0.065597,0.160930,-0.100083,0.356675,0.023530,-0.003976,0.023530,-0.122257,0.000000,-0.095707,0.061558,-0.061369,-0.061369,0.510826,0.317010
L10,-0.032261,-0.057158,0.126563,0.031253,0.000000,0.373204,0.031253,0.061558,0.061558,0.160930,0.031253,-0.028171,0.031253,0.023530,-0.032261,0.031253,0.090972,0.160930,-0.065597,0.061558,0.090972,-0.032261,-0.032261,0.031253,-0.122257,0.126563,-0.091350,0.003960,-0.095707,-0.216223,-0.036368,-0.040491,-0.353279,-0.135802,-0.154151,-0.154151,0.187599,0.061558,-0.032261,0.061558,-0.376137,-0.122257,-0.383106,-0.087011
L11,-0.061369,0.000000,0.000000,0.098192,0.000000,-0.028171,-0.126752,-0.032261,-0.032261,-0.003976,0.317010,0.038915,0.031253,-0.028171,-0.057158,0.126563,0.275706,-0.061369,-0.091350,0.126563,-0.065597,-0.154151,-0.032261,-0.061369,-0.061369,0.031253,0.031253,0.187599,-0.032261,0.061558,0.154151,0.317010,0.762140,-0.104479,-0.211309,-0.383106,0.090972,-0.057158,-0.028171,-0.158791,-0.246225,0.119545,1.307904,-0.191891
L12,-0.061369,-0.061369,0.000000,0.000000,-0.154151,-0.036368,0.061558,-0.057158,0.090972,-0.251314,-0.003976,-0.095707,0.000000,-0.061369,-0.095707,-0.065597,-0.028171,0.068993,0.031253,0.068993,0.068993,0.126563,0.154151,-0.036368,-0.065597,0.098192,0.187599,0.119545,-0.061369,-0.091350,-0.036368,0.160930,0.226313,-0.044632,-0.065597,-0.287682,-0.028171,-0.095707,-0.154151,0.090972,0.003960,0.126563,0.245122,0.275706
L13,-0.061369,-0.061369,0.090972,-0.095707,-0.028171,-0.032261,0.090972,-0.091350,-0.095707,-0.091350,0.031253,0.061558,0.031253,-0.003976,0.003960,0.281712,0.219964,0.090972,0.038915,0.031253,0.160930,0.000000,0.031253,0.061558,0.031253,-0.024098,-0.028171,0.054067,0.000000,-0.069844,-0.036368,-0.069844,0.476924,-0.100083,0.187599,-0.376137,0.098192,-0.122257,-0.032261,0.003960,-0.032261,0.023530,-0.011976,1.378326
L14,-0.057158,-0.091350,0.061558,0.061558,-0.057158,-0.003976,0.154151,0.061558,-0.061369,0.112478,0.031253,0.003960,-0.036368,0.031253,-0.028171,-0.032261,0.126563,0.126563,0.023530,0.068993,0.003960,-0.061369,0.031253,0.031253,0.000000,0.000000,-0.032261,-0.126752,0.000000,-0.057158,-0.065597,0.000000,-0.117783,-0.172843,0.147325,-0.342043,0.061558,0.126563,-0.032261,-0.061369,-0.246225,0.147325,-0.226124,0.083699
L15,0.023530,0.031253,0.061558,0.031253,0.031253,-0.032261,0.000000,-0.095707,-0.032261,0.345502,0.061558,0.126563,0.000000,-0.061369,-0.032261,0.061558,0.061558,0.061558,-0.061369,-0.028171,-0.061369,0.061558,-0.003976,0.031253,0.000000,-0.032261,0.031253,-0.065597,-0.032261,0.054067,-0.135802,-0.065597,0.160930,0.219964,-0.383106,-0.158791,0.000000,0.061558,-0.028171,0.061558,-0.246225,-0.158791,0.068993,1.199200
L16,-0.057158,-0.028171,-0.154151,0.000000,-0.091350,0.000000,-0.032261,0.003960,0.031253,0.854078,-0.032261,-0.024098,-0.091350,-0.061369,0.031253,-0.057158,0.031253,-0.057158,-0.061369,0.090972,-0.032261,0.031253,0.000000,-0.057158,-0.057158,0.000000,0.187599,-0.095707,-0.061369,-0.095707,-0.032261,-0.032261,0.003960,0.154151,-0.061369,-0.246225,0.000000,0.061558,0.090972,0.061558,-0.336472,0.061558,-0.040491,0.112478
L17,-0.061369,-0.032261,0.031253,0.000000,0.000000,-0.095707,-0.061369,-0.095707,0.061558,0.501256,-0.061369,0.126563,0.031253,0.031253,0.031253,0.219964,0.000000,0.031253,0.038915,0.061558,0.000000,0.031253,0.000000,-0.057158,0.061558,0.126563,0.090972,-0.028171,-0.061369,0.000000,0.031253,0.038915,0.410742,0.311213,-0.251314,-0.287682,-0.061369,0.000000,-0.061369,0.126563,-0.087011,-0.256430,0.098192,0.579818
L18,0.038915,0.031253,-0.028171,0.000000,-0.091350,-0.032261,-0.032261,0.000000,0.031253,9.400461,1.634518,0.194156,0.061558,0.068993,-0.122257,0.791339,0.194156,-0.028171,0.251314,0.219964,0.287682,0.126563,0.061558,0.126563,0.090972,0.160930,0.068993,0.000000,0.000000,0.090972,0.098192,0.054067,2.139132,0.147325,0.160930,-0.277156,-0.057158,0.003960,0.000000,-0.061369,-0.154151,0.238892,0.874145,0.281712
