layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:For,7: this,8: multiple,9: sclerosis,10: patient,"11:,",12: produce,13: a,14: focused,15: clinical,16: snapshot,17:.,"18:
",19:Include,20: only,21: demographic,22: and,23: relevant,24: past,25: medical,26: history,27:.,28: Start,29: your,30: response,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L1,0.351631,1.326357,0.030962,0.095882,0.162204,0.095882,0.282954,0.193786,0.095882,-0.127262,0.095882,0.060995,0.030962,-0.127262,0.000000,-0.092170,0.356046,0.124053,0.101580,0.124053,-0.058269,0.156842,0.118482,0.030962,0.000000,0.030962,-0.127262,0.030962,0.030962,0.000000,0.084387,0.066894,-0.071692,0.162204,0.000000,0.249216,0.390681,0.095882,0.162204,0.219363,0.095882,-0.071692,0.030962,-0.099091,0.024846,0.748207
L2,-0.186102,-0.058269,0.090151,0.000000,0.000000,-0.092170,-0.156249,-0.031952,0.030962,0.472359,0.129593,-0.058269,-0.256720,-0.071692,-0.127262,0.188591,0.522083,-0.038466,-0.099091,-0.071692,0.024846,0.183369,-0.064958,0.000000,0.055060,0.124053,0.124053,0.000000,0.000000,0.156842,0.156842,0.219363,0.055060,0.060995,-0.400759,-0.064958,0.000000,-0.071692,0.095882,0.060995,0.006270,-0.134430,-0.006309,0.095882,0.162204,0.234401
L3,0.060995,0.095882,0.156842,0.000000,0.000000,0.124053,0.060995,0.219363,-0.006309,0.621455,0.273430,-0.127262,-0.006309,0.000000,-0.186102,-0.006309,0.320168,0.060995,-0.127262,0.000000,-0.092170,0.072759,-0.031952,0.151452,0.000000,0.055060,0.055060,-0.038466,-0.038466,-0.031952,-0.216874,0.440484,-0.064958,0.292388,0.018692,-0.058269,-0.220788,0.135102,0.258972,0.000000,0.066894,-0.099091,0.055060,-0.012658,0.037041,0.444525
L4,0.060995,0.030962,-0.064958,0.118482,0.090151,0.188591,-0.127262,-0.038466,0.060995,2.174609,-0.134430,0.095882,-0.134430,-0.156249,-0.256720,-0.006309,0.037041,-0.092170,0.214300,0.000000,0.006270,-0.171064,-0.058269,0.000000,0.030962,-0.092170,0.172843,0.060995,-0.092170,-0.064958,0.000000,0.306374,0.018692,0.333773,0.315591,0.198954,-0.216874,-0.031952,0.444525,-0.025479,0.090151,-0.071692,-0.099091,-0.031952,0.292388,0.580070
L5,-0.127262,-0.006309,0.030962,0.055060,-0.099091,0.188591,-0.031952,-0.006309,0.095882,4.257529,0.333773,0.006270,-0.127262,-0.064958,-0.071692,0.244302,0.183369,-0.134430,0.024846,-0.064958,-0.038466,-0.134430,-0.064958,0.095882,0.000000,0.030962,0.090151,-0.025479,-0.064958,0.060995,-0.006309,0.193786,0.066894,0.193786,-0.085298,0.060995,-0.012658,0.297072,0.224401,-0.064958,0.060995,0.060995,-0.092170,0.030962,-0.012658,0.095882
L6,0.030962,0.030962,0.090151,0.055060,-0.006309,-0.547116,-0.064958,-0.099091,-0.058269,0.377833,0.394928,0.338268,0.030962,-0.006309,0.124053,-0.006309,-0.064958,-0.171064,-0.113077,-0.031952,-0.038466,-0.092170,-0.092170,0.151452,0.060995,0.183369,0.055060,0.037041,0.124053,0.090151,0.258972,0.209210,-0.127262,0.018692,0.239363,0.012500,0.754142,0.315591,0.468430,0.030962,0.000000,0.124053,-0.085298,-0.038466,-0.071692,0.030962
L7,0.621455,0.382134,0.030962,0.060995,0.188591,0.244302,0.090151,0.151452,0.030962,0.699417,0.268634,0.090151,0.000000,0.055060,0.030962,0.151452,0.249216,-0.134430,-0.099091,-0.031952,-0.031952,0.030962,-0.156249,0.124053,0.124053,0.095882,0.090151,0.030962,0.060995,0.060995,0.084387,0.219363,0.030962,-0.273114,-0.045024,0.628189,-0.025479,-0.306730,0.347196,0.095882,0.084387,-0.064958,-0.092170,-0.092170,-0.099091,-0.148923
L8,0.030962,-0.064958,-0.006309,0.030962,0.156842,0.464485,0.060995,0.060995,0.060995,1.821705,0.347196,0.124053,0.084387,0.000000,0.124053,-0.031952,-0.012658,0.090151,0.124053,-0.031952,0.030962,-0.099091,-0.092170,0.024846,0.060995,0.118482,0.060995,0.030962,-0.092170,0.095882,0.282954,0.249216,0.095882,0.306374,0.156842,0.030962,0.254106,0.107246,0.224401,-0.025479,0.090151,0.156842,-0.025479,-0.031952,-0.058269,0.209210
L9,0.090151,0.000000,0.172843,0.024846,-0.031952,0.214300,0.156842,0.055060,0.060995,0.942363,0.060995,-0.031952,0.000000,0.090151,0.124053,0.090151,0.188591,0.101580,0.018692,0.030962,0.000000,-0.064958,-0.031952,0.060995,0.060995,-0.031952,-0.064958,0.193786,-0.031952,0.060995,-0.134430,0.018692,0.310993,0.124053,0.263815,0.030962,0.030962,0.095882,0.282954,0.030962,-0.031952,0.095882,0.101580,0.030962,0.090151,-0.368424
L10,0.000000,-0.031952,0.060995,0.000000,0.124053,0.403366,0.095882,0.024846,0.000000,0.382134,0.000000,0.024846,-0.038466,-0.031952,-0.071692,-0.092170,0.214300,0.024846,0.000000,0.060995,0.055060,0.030962,0.124053,0.024846,0.095882,0.030962,0.124053,0.156842,0.060995,-0.031952,-0.078472,0.377833,0.090151,0.156842,-0.520304,-0.293991,-0.051624,0.060995,0.124053,-0.025479,0.060995,0.000000,-0.193707,0.156842,-0.615728,0.268634
L11,0.030962,0.030962,0.090151,-0.038466,0.060995,0.000000,-0.071692,0.000000,-0.006309,1.006442,0.407559,0.377833,0.030962,0.030962,0.095882,0.030962,-0.058269,0.060995,0.118482,0.060995,0.060995,0.273430,0.030962,0.037041,0.118482,0.090151,0.162204,0.060995,0.124053,0.060995,-0.038466,0.124053,0.209210,0.000000,0.760041,0.090151,-0.359374,0.000000,0.095882,0.037041,0.006270,-0.127262,-0.085298,-0.045024,0.558717,-0.260793
L12,0.095882,0.090151,0.060995,0.090151,0.066894,-0.127262,0.000000,-0.186102,0.095882,-0.099091,0.306374,-0.092170,-0.031952,0.024846,0.060995,-0.064958,0.124053,-0.064958,0.000000,0.066894,-0.064958,0.282954,0.006270,0.118482,-0.031952,-0.031952,0.030962,0.066894,0.030962,0.060995,-0.064958,0.129593,-0.064958,-0.306730,0.822740,-0.078472,-0.458746,-0.064958,0.219363,-0.038466,0.030962,0.060995,0.030962,0.263815,0.188591,0.112879
L13,0.095882,0.060995,-0.038466,-0.031952,-0.092170,0.000000,-0.120144,-0.006309,0.118482,-0.434175,0.514592,0.095882,-0.127262,0.030962,-0.064958,0.000000,-0.163629,-0.134430,0.024846,0.124053,0.024846,0.156842,0.030962,0.055060,-0.058269,0.000000,0.162204,0.124053,-0.064958,0.030962,-0.064958,-0.163629,-0.045024,-0.252663,0.942363,0.072759,0.315591,0.055060,0.060995,-0.031952,-0.031952,0.060995,0.037041,-0.236598,0.118482,1.530966
L14,0.037041,0.101580,-0.038466,0.124053,0.006270,-0.106060,0.249216,0.124053,0.055060,-0.071692,-0.156249,0.060995,-0.031952,0.000000,0.188591,-0.064958,0.030962,-0.064958,0.000000,0.000000,0.030962,0.124053,0.124053,0.030962,0.000000,0.118482,0.118482,0.060995,0.095882,0.000000,-0.092170,-0.031952,0.000000,0.066894,0.124053,-0.019048,0.306374,-0.113077,0.030962,0.037041,0.060995,-0.092170,-0.240590,-0.071692,-0.277254,-0.031952
L15,0.095882,0.030962,-0.006309,0.095882,0.066894,0.024846,0.060995,-0.092170,0.060995,0.320168,0.101580,-0.092170,-0.064958,0.030962,-0.064958,-0.092170,0.000000,-0.031952,0.055060,0.084387,0.030962,0.060995,0.024846,0.000000,0.030962,-0.031952,0.024846,-0.178555,0.095882,0.024846,-0.006309,0.024846,-0.045024,-0.134430,-0.156249,0.258972,-0.038466,-0.106060,-0.006309,0.162204,0.000000,0.030962,0.024846,-0.148923,0.507045,1.024666
