layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Create,7: a,8: consult,9:-,10:note,11: style,12: brief,13: for,14: multiple,15: sclerosis,16: that,17: emphasizes,18: demographic,19: and,20: relevant,21: past,22: medical,23: history,24:.,25: Begin,26: with,27::,"28: """,29:Gender,30::,"31: ""","32:
",33:<,34:|,35:ass,36:istant,37:|>,"38:
",39:Gender,40::
L1,-0.422160,-2.619381,0.699748,0.260835,0.679814,-0.082806,1.249921,-0.586463,0.852017,-0.246595,-0.922935,1.323079,-0.693147,0.500173,0.463359,-0.898242,-0.104625,0.203076,0.315439,0.170106,0.147506,-0.417122,-0.180998,-0.447737,-0.006645,-0.495491,0.535680,0.124384,-0.205095,-0.686546,-0.387417,0.240215,-0.104625,0.922891,0.250578,0.088666,0.000000,0.158870,0.488052,0.164504,2.197224
L2,0.208467,0.013158,0.425138,0.398820,-0.104625,0.070316,0.483978,0.219162,0.203076,-0.097299,-0.812587,0.834922,-1.798403,-0.276705,-0.104625,2.450662,-0.484680,0.488052,-0.192974,-0.082806,-0.134478,0.325054,0.094708,0.208467,0.118519,-0.812587,-1.406361,-0.192974,1.010999,0.153204,-1.000896,0.617510,0.446552,0.270987,0.192206,-0.047467,-0.339789,-0.013334,0.170106,-0.126931,0.376348
L3,0.057894,0.045315,0.686503,0.082587,-0.574628,0.032576,0.348696,0.164504,1.001313,-0.075637,-1.353717,-0.330530,-2.072839,-0.610560,0.038966,3.765196,0.638712,-1.303707,-0.344451,-0.090026,0.019673,-0.205095,0.420799,0.100714,0.281037,-0.574628,-1.046987,-0.242367,-0.874145,-1.551543,-0.733693,-0.255106,1.598785,0.281037,0.019673,-0.026847,-0.417122,-0.040546,-0.250841,0.454991,0.310596
L4,-0.068520,-0.013334,0.082587,0.339306,-0.250841,0.032576,-0.294327,-0.353841,0.868824,0.357998,-0.437427,0.638712,-2.072839,0.290988,0.339306,0.922891,-0.427223,-0.225630,-0.835229,0.124384,-0.534277,-0.349135,-0.259388,0.744771,0.885353,-0.647832,-0.458153,0.631694,0.454991,-1.279610,-0.407122,0.953982,0.234994,0.974185,-0.184974,-0.134478,0.026145,-0.281081,-1.267775,-0.574628,-0.377708
L5,0.088666,-0.013334,-0.082806,-0.006645,-0.914636,-0.090026,-0.272348,-0.225630,2.065268,0.412066,4.231415,0.442306,-0.157467,1.279829,-0.205095,0.799831,-0.242367,-0.090026,-1.379693,0.019673,-0.104625,-0.075637,-0.104625,0.450780,0.863253,-0.660571,-0.119440,-0.201039,-0.033673,0.026145,0.840653,1.170984,-0.914636,1.058066,-0.090026,0.019673,-0.082806,-0.407122,-0.586463,-0.201039,-0.196998
L6,-0.090026,0.006601,0.026145,-0.104625,-0.432312,-0.598439,0.186727,0.305730,0.846351,1.801644,4.147958,-0.242367,0.504181,0.344012,0.588522,0.229744,0.320258,0.213829,-0.054435,1.219090,0.286025,-0.013334,0.367215,1.614722,1.344022,0.325054,1.287169,0.420799,1.234624,3.020263,0.006601,-0.119440,3.203930,0.459184,0.057894,-0.013334,-0.126931,-0.693147,-1.075698,0.175677,0.376348
L7,1.685908,0.879874,0.141775,-0.026847,0.362617,1.598785,-0.229788,0.153204,0.543402,0.348696,2.782063,0.874364,-0.054435,0.136012,0.124384,0.403255,0.045315,-0.013334,-0.551372,0.483978,-0.068520,-0.097299,0.112619,0.141775,2.065268,0.136012,1.337090,0.890803,0.732113,0.213829,0.558669,0.459184,0.652601,0.153204,0.290988,0.082587,-0.225630,-0.134478,-1.046987,0.799831,0.442306
L8,-0.382551,-0.246595,0.118519,0.013158,-0.335149,0.329828,0.186727,0.057894,0.260835,0.500173,3.570744,0.543402,0.446552,0.153204,0.357998,0.852017,-0.321355,0.712820,-0.835229,-0.387417,0.219162,0.112619,0.026145,0.492108,0.811666,0.265924,1.030092,0.693147,1.593416,-0.325932,1.371281,1.195326,3.380904,0.051624,-0.119440,0.013158,-0.097299,-0.686546,-0.699791,-1.028295,0.260835
L9,-0.142082,-0.213259,0.906976,-0.165250,-0.417122,0.076470,-0.276705,-0.205095,0.334578,0.325054,0.045315,-0.047467,-0.289892,-0.363319,-0.377708,0.624627,-0.974228,-0.432312,-0.268009,0.094708,-0.054435,0.170106,0.019673,-0.119440,0.463359,-0.432312,-0.747582,-0.490071,0.147506,1.881434,1.048828,0.901614,2.436861,-0.165250,-0.221489,0.045315,-0.068520,-0.020068,1.316000,0.566216,-0.790446
L10,-0.054435,-0.082806,-0.119440,-0.054435,0.088666,0.638712,-0.040546,0.100714,-0.180998,0.019673,-0.372889,-0.463403,-1.279610,-0.775953,-0.422160,1.371281,-0.225630,-0.598439,0.638712,-0.068520,-0.372889,-0.196998,-0.026847,-0.201039,0.006601,-0.272348,-0.484680,-0.294327,-0.196998,0.158870,0.353358,0.170106,0.006601,0.738462,-0.097299,-0.006645,-0.213259,-0.506420,-0.442569,-0.149745,-0.392307
