layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prov,7:ide,8: 4,9: bullet,10: points,11: summar,12:izing,13: demographic,14: and,15: past,16: medical,17: history,18: for,19: multiple,20: sclerosis,21:.,22: Start,23: exactly,24: with,25::,"26: """,27:Gender,28::,"29: ""","30:
",31:<,32:|,33:ass,34:istant,35:|>,"36:
",37:Gender,38::
L1,-0.118439,-0.143908,-0.057467,-0.034082,0.016615,-0.028321,0.054343,-0.075371,0.288992,0.000000,0.022093,-0.099754,0.178534,0.105885,0.219719,-0.081411,0.022093,0.000000,-0.099754,0.095787,0.038348,-0.034082,-0.112171,0.032959,-0.016896,-0.150378,-0.617551,-0.028321,-0.726876,-0.395570,-0.093602,-0.105943,-0.022592,-0.045706,0.005569,-0.063399,-0.156890,-0.124745,-0.523712
L2,-0.087488,-0.081411,-0.112171,-0.028321,0.011107,-0.210572,-0.028321,-0.245648,0.038348,0.032959,-0.375046,-0.005600,-0.093602,0.380851,-0.087488,0.000000,-0.028321,-0.118439,-0.296919,0.284800,0.549042,-0.137479,-0.586955,-0.016896,-0.217490,-0.011232,0.038348,0.183195,-0.429311,-0.143908,-0.131092,-0.131092,0.000000,-0.069367,-0.022592,-0.093602,-0.099754,0.043708,-0.105943
L3,-0.069367,-0.118439,-0.183371,-0.063399,0.011107,-0.131092,-0.022592,-0.296919,0.038348,-0.005600,-0.156890,-0.022592,-0.343059,0.629566,-0.028321,0.043708,0.090699,0.070086,-0.176685,0.090699,0.461462,-0.005600,-0.118439,-0.163445,-0.343059,-0.099754,-0.260031,0.263574,-0.063399,0.011107,-0.039877,0.016615,-0.051569,-0.051569,-0.016896,0.064866,-0.196879,0.125780,-0.087488
L4,-0.028321,-0.051569,0.027541,0.011107,0.011107,-0.039877,0.125780,0.130692,-0.051569,0.032959,-0.063399,0.049040,-0.252814,0.043708,0.022093,0.049040,0.043708,0.038348,-0.028321,0.432895,1.124118,-0.726876,0.005569,-0.075371,0.154899,0.475445,-0.075371,-0.282000,-0.607248,0.183195,-0.224455,-0.028321,-0.034082,0.032959,0.000000,0.043708,0.259274,0.070086,-0.649112
L5,-0.112171,-0.112171,-0.039877,-0.039877,0.183195,-0.217490,0.027541,0.032959,0.064866,0.032959,-0.156890,-0.005600,-0.176685,0.005569,-0.011232,-0.005600,-0.124745,-0.112171,-0.045706,0.049040,0.373189,-0.633207,-0.163445,-0.028321,-0.350960,-0.093602,-0.450993,0.000000,0.388453,0.664651,-0.190102,-0.112171,-0.081411,-0.057467,-0.069367,0.043708,0.337969,-0.910212,0.016615
L6,0.125780,0.080446,0.090699,-0.105943,0.154899,0.241886,0.032959,-0.034082,-0.408090,0.150105,0.054343,-0.011232,0.237492,0.080446,-0.063399,-0.034082,0.005569,-0.131092,-0.075371,-0.045706,-0.057467,-0.319723,-0.224455,-0.112171,-0.131092,-0.039877,-0.045706,0.140446,0.272118,0.150105,-0.387310,-0.093602,-0.105943,-0.051569,0.032959,0.140446,0.349848,-0.210572,-0.408090
L7,-0.045706,-0.087488,-0.105943,-0.051569,0.043708,-1.575158,-0.022592,0.022093,0.022093,0.022093,0.159671,0.005569,0.110896,-0.022592,-0.034082,-0.112171,-0.210572,-0.112171,-0.087488,-0.081411,0.715073,-0.459799,-0.143908,0.022093,-0.005600,0.140446,-0.190102,-0.063399,-0.005600,0.032959,-1.109154,-0.045706,-0.011232,-0.022592,-0.028321,0.000000,0.032959,-0.537955,-0.196879
L8,0.032959,-0.034082,0.027541,0.022093,0.022093,0.054343,0.032959,-0.075371,-0.063399,-0.143908,-0.099754,-0.011232,-0.005600,-0.210572,0.043708,-0.016896,0.064866,-0.252814,-0.190102,0.090699,0.670381,-0.105943,-0.163445,-0.075371,-0.339132,-0.081411,-0.075371,0.070086,0.183195,0.115882,-0.542749,-0.118439,-0.075371,0.022093,0.011107,0.115882,0.070086,-0.455386,-0.183371
L9,-0.057467,-0.005600,0.150105,0.032959,0.059619,0.027541,0.005569,-0.022592,-0.005600,0.038348,0.201624,0.016615,0.080446,-0.039877,-0.016896,0.032959,0.022093,-0.022592,-0.099754,-0.051569,0.145287,-0.075371,-0.005600,0.075280,0.070086,0.070086,0.159671,-0.022592,-0.045706,0.140446,-0.224455,0.059619,-0.039877,-0.063399,-0.057467,-0.075371,-0.245648,-0.917175,-0.486691
L10,-0.057467,-0.022592,0.049040,-0.039877,0.032959,0.038348,0.027541,0.000000,0.049040,0.125780,0.049040,0.049040,0.115882,0.150105,0.038348,-0.005600,-0.045706,0.038348,-0.011232,0.183195,0.016615,-0.124745,0.022093,-0.105943,-0.039877,-0.081411,-0.063399,0.080446,-0.081411,0.145287,-0.403899,0.130692,0.032959,-0.016896,0.043708,0.169147,0.145287,-0.547565,0.145287
L11,-0.045706,0.000000,-0.005600,0.005569,0.070086,0.027541,0.043708,0.032959,-0.016896,0.120843,-0.245648,0.022093,-0.016896,0.054343,-0.057467,0.016615,-0.039877,0.005569,-0.093602,0.016615,0.284800,0.263574,0.105885,0.027541,0.110896,-0.016896,0.159671,-0.045706,-0.163445,0.070086,0.130692,0.022093,-0.051569,-0.034082,-0.093602,0.070086,0.085586,-0.391432,-0.203702
L12,-0.028321,-0.075371,0.049040,-0.063399,0.016615,-0.034082,0.016615,-0.057467,-0.022592,0.075280,-0.034082,0.032959,-0.034082,-0.131092,-0.063399,-0.005600,0.005569,0.049040,0.145287,0.022093,-0.087488,0.140446,-0.118439,0.011107,-0.203702,-0.131092,0.022093,0.000000,-0.022592,0.027541,-0.408090,-0.075371,0.038348,-0.051569,-0.039877,0.032959,-0.170043,-0.576961,-0.358925
L13,-0.039877,-0.022592,-0.022592,-0.039877,-0.034082,-0.022592,-0.039877,-0.051569,-0.051569,0.059619,-0.016896,-0.022592,-0.051569,0.038348,0.100848,0.011107,-0.057467,0.070086,0.085586,0.105885,-0.137479,-0.057467,-0.005600,-0.005600,-0.051569,-0.156890,-0.156890,-0.051569,0.337969,0.043708,-0.491245,-0.051569,-0.069367,-0.034082,0.005569,0.000000,0.169147,-0.217490,0.027541
L14,-0.045706,-0.005600,0.005569,-0.075371,-0.081411,-0.028321,-0.063399,-0.087488,0.064866,0.095787,-0.112171,-0.045706,-0.105943,-0.176685,0.005569,0.005569,0.027541,0.011107,0.115882,0.016615,-0.022592,0.105885,-0.087488,-0.039877,-0.081411,0.070086,-0.118439,-0.124745,0.173852,-0.124745,-0.738496,0.022093,-0.028321,0.005569,0.011107,0.011107,-0.960001,-0.081411,-0.505030
L15,-0.028321,-0.112171,-0.016896,0.005569,0.049040,-0.022592,-0.039877,-0.069367,0.080446,-0.099754,0.027541,-0.063399,0.011107,-0.124745,0.043708,-0.028321,0.022093,-0.099754,-0.081411,0.049040,-0.183371,0.054343,0.043708,-0.022592,-0.051569,-0.163445,-0.238534,0.380851,0.005569,0.130692,0.169147,-0.143908,0.011107,0.000000,-0.063399,0.000000,0.085586,0.454397,-0.319723
L16,-0.057467,-0.069367,0.000000,0.016615,0.016615,-0.028321,-0.005600,-0.051569,-0.034082,-0.105943,0.105885,-0.075371,0.043708,-0.137479,-0.087488,-0.087488,-0.022592,-0.051569,-0.081411,0.032959,0.154899,-0.196879,0.011107,-0.069367,-0.039877,0.095787,-0.260031,-0.118439,0.064866,-0.011232,-0.260031,-0.011232,-0.005600,-0.051569,-0.028321,-0.045706,0.329971,-0.335220,0.599358
