layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: short,9: paragraph,10: (,11:2,12:-,13:4,14: sentences,15:),16: for,17: a,18: multiple,19: sclerosis,20: patient,"21:,",22: including,23: demographic,24: and,25: clinically,26: relevant,27: PM,28:H,29:.,30: Start,31: exactly,32: with,33::,"34: """,35:Gender,36::,"37: ""","38:
",39:<,40:|,41:ass,42:istant,43:|>,"44:
",45:Gender,46::
L1,-0.241162,1.418246,0.031952,0.000000,-0.033006,0.092946,-0.124298,-0.060219,-0.060219,-0.526093,0.031952,0.000000,0.156004,0.156004,0.000000,0.000000,-0.060219,-0.283362,-0.060219,-0.436795,-0.402224,-0.124298,0.183403,0.338326,0.092946,-0.124298,0.000000,0.031952,0.639801,-0.067139,-0.184922,-0.279061,-0.060219,-0.060219,-0.088193,-0.313999,-0.154151,0.150433,-0.124298,0.310155,0.177983,0.220543,0.000000,0.000000,0.122103,0.098846,0.809486
L2,-0.411980,-0.232932,0.062914,0.000000,0.122103,-0.060219,-0.060219,-0.033006,-0.088193,0.062914,0.031952,0.062914,0.000000,0.150433,-0.124298,0.000000,0.062914,0.062914,0.031952,0.156004,0.122103,-0.245303,-0.060219,0.183403,0.183403,-0.088193,0.122103,0.031952,0.409785,0.122103,0.092946,0.062914,-0.033006,0.246251,0.144831,-0.421832,-0.373513,0.266352,0.025642,0.241162,0.062914,0.092946,0.183403,0.062914,0.246251,0.251314,0.188794
L3,0.062914,0.122103,-0.039740,0.000000,-0.067139,0.000000,-0.095310,0.031952,0.156004,-0.498991,-0.154151,-0.154151,-0.060219,0.150433,-0.161755,-0.006515,0.156004,-0.060219,0.000000,0.261365,-0.216671,0.188794,-0.026317,0.554034,0.000000,-0.154151,-0.033006,-0.116972,0.504311,0.127833,-0.060219,-0.161755,-0.154151,-0.116972,-0.033006,-0.402224,-0.216671,-0.402224,0.246251,-0.060219,-0.124298,0.156004,0.183403,0.092946,-0.033006,0.319634,0.098846
L4,0.092946,-0.033006,-0.006515,-0.124298,-0.033006,-0.060219,0.000000,-0.124298,0.092946,-0.249461,-0.060219,0.031952,-0.095310,-0.067139,-0.467410,-0.124298,0.025642,0.000000,-0.184922,0.561469,0.619039,-0.124298,0.500382,0.050644,0.031952,0.092946,0.150433,0.087011,0.837978,0.370219,-0.188836,-0.039740,-0.188836,0.000000,0.409785,0.177983,-0.341028,-0.451985,-0.095310,0.338326,-0.067139,0.031952,0.056798,-0.026317,0.361210,0.188794,0.104711
L5,-0.095310,-0.067139,-0.124298,-0.154151,-0.039740,0.056798,-0.060219,-0.088193,-0.184922,-0.088193,-0.154151,-0.033006,0.092946,0.150433,-0.431782,0.031952,0.156004,-0.067139,-0.033006,0.374693,0.204794,0.122103,0.092946,-0.095310,0.246251,0.062914,-0.095310,0.092946,0.780158,0.706051,-0.124298,-0.095310,-0.095310,0.000000,0.156004,0.116339,-0.397381,-0.169418,-0.220711,0.156004,-0.060219,0.122103,0.025642,0.062914,0.210071,-0.131678,0.731368
L6,-0.095310,0.031952,-0.095310,-0.060219,0.031952,0.050644,0.000000,-0.124298,-0.095310,-0.582605,0.122103,-0.033006,0.183403,0.183403,0.122103,0.092946,-0.033006,-0.161755,-0.033006,-0.154151,0.062914,0.098846,0.374693,0.122103,0.092946,0.025642,-0.102479,0.087011,0.516007,0.488500,0.183403,-0.067139,-0.382992,-0.253636,-0.345605,0.699620,0.215321,-0.161755,-0.253636,0.737599,0.188794,0.025642,0.122103,-0.026317,0.496437,0.604954,0.127833
L7,1.012781,0.706051,-0.060219,-0.033006,0.062914,1.346554,-0.033006,-0.033006,0.031952,0.031952,0.092946,0.000000,0.062914,-0.124298,0.000000,-0.033006,-0.124298,0.122103,0.092946,0.435318,-0.630233,-0.249461,0.188794,-0.341028,-0.095310,0.056798,0.000000,0.056798,-0.088193,0.000000,-0.088193,-0.216671,0.025642,-0.131678,0.116339,-0.169418,0.092946,-0.188836,-0.509744,0.215321,0.031952,-0.033006,-0.154151,-0.249461,0.056798,0.414086,-0.116972
L8,-0.124298,0.000000,-0.088193,0.000000,0.068993,0.156004,-0.033006,0.031952,0.000000,0.220543,-0.060219,0.000000,0.092946,-0.060219,-0.154151,0.122103,0.156004,0.000000,0.092946,0.597837,0.276253,0.183403,0.031952,-0.309565,-0.033006,0.031952,0.031952,-0.060219,0.177983,0.031952,0.000000,-0.154151,-0.131678,0.210071,0.646627,0.220543,-0.188836,0.418368,0.210071,0.215321,0.000000,-0.033006,-0.060219,-0.154151,-0.208639,-0.192765,0.568849
L9,-0.060219,-0.095310,-0.993901,-0.060219,0.068993,0.127833,-0.060219,-0.095310,-0.060219,-0.216671,0.062914,-0.033006,0.122103,0.056798,-0.188836,-0.095310,0.000000,0.122103,0.031952,0.374693,-0.102479,0.025642,0.092946,0.590668,0.156004,0.122103,0.031952,0.092946,0.329023,0.251314,-0.188836,-0.033006,-0.095310,0.025642,-0.026317,0.000000,-0.095310,0.500382,-0.067139,0.150433,0.056798,0.092946,0.000000,-0.088193,0.025642,0.561469,0.261365
L10,0.031952,-0.033006,0.092946,0.006473,0.092946,0.405465,0.031952,0.031952,0.092946,0.000000,-0.095310,0.000000,0.000000,0.031952,0.038221,-0.060219,0.062914,0.122103,0.156004,-0.188836,-0.531603,0.031952,0.276253,0.025642,-0.060219,-0.067139,-0.124298,0.092946,0.365725,0.161544,-0.184922,-0.154151,-0.184922,0.150433,0.590668,0.092946,0.122103,-0.109699,0.305382,-0.033006,0.127833,-0.026317,-0.095310,-0.188836,0.356675,0.271315,-0.131678
L11,0.000000,-0.026317,0.150433,0.000000,0.062914,0.062914,-0.154151,-0.124298,-0.184922,0.122103,0.000000,0.006473,-0.060219,-0.033006,0.177983,-0.124298,-0.184922,-0.095310,0.062914,0.056798,0.626008,0.156004,-0.184922,0.177983,-0.116972,0.092946,-0.033006,-0.060219,0.068993,-0.095310,-0.095310,-0.060219,0.000000,0.056798,0.496437,1.726932,0.161544,-0.354821,0.062914,-0.161755,0.031952,-0.095310,-0.033006,-0.373513,0.305382,1.115780,-0.426795
L12,-0.033006,0.031952,0.031952,-0.033006,0.092946,-0.033006,-0.033006,-0.095310,-0.154151,-0.241162,0.000000,0.062914,-0.060219,0.025642,0.342945,-0.088193,-0.060219,-0.088193,0.000000,-0.161755,-0.283362,-0.033006,0.122103,-0.336472,0.031952,-0.033006,-0.184922,-0.033006,0.188794,-0.060219,0.092946,-0.154151,-0.154151,0.062914,-0.088193,0.319634,0.300585,-0.313999,-0.368808,-0.026317,-0.095310,0.025642,0.031952,-0.212647,-0.124298,1.140991,0.871130
L13,-0.033006,0.000000,0.092946,0.025642,0.006473,-0.033006,0.092946,-0.060219,-0.033006,0.156004,-0.033006,-0.060219,-0.033006,-0.060219,-0.253636,-0.033006,0.000000,0.122103,-0.088193,-0.436795,0.472436,-0.067139,0.000000,0.056798,-0.026317,-0.060219,0.000000,-0.060219,-0.060219,0.161544,0.183403,-0.060219,-0.095310,-0.131678,-0.006515,0.496437,0.025642,-0.154151,-0.245303,0.025642,-0.060219,0.031952,0.006473,-0.095310,-0.322928,0.098846,0.597837
L14,-0.026317,0.092946,-0.088193,-0.124298,0.031952,-0.060219,0.000000,0.031952,-0.033006,0.127833,0.031952,-0.033006,-0.088193,-0.124298,-0.067139,-0.154151,0.092946,0.031952,-0.033006,-0.318454,-0.224768,0.092946,0.188794,0.215321,0.092946,0.000000,-0.060219,-0.060219,0.251314,0.251314,-0.060219,-0.124298,0.031952,-0.033006,-0.033006,-0.531603,0.338326,0.056798,-0.467410,0.177983,0.068993,-0.033006,-0.154151,-0.116972,-0.039740,-0.067139,0.025642
L15,0.062914,0.031952,0.062914,-0.060219,0.000000,-0.026317,0.031952,0.087011,0.062914,-0.154151,-0.095310,0.000000,0.000000,-0.095310,0.062914,-0.060219,0.031952,-0.039740,0.062914,0.092946,0.281167,0.092946,-0.095310,-0.033006,-0.124298,0.062914,0.000000,0.122103,0.405465,-0.216671,0.092946,0.000000,0.031952,-0.253636,-0.287682,0.127833,0.188794,-0.216671,-0.493658,0.000000,0.188794,0.031952,-0.033006,-0.095310,0.122103,1.577773,0.352119
L16,0.068993,0.038221,0.025642,0.000000,-0.033006,0.062914,-0.095310,0.000000,-0.026317,0.062914,0.000000,-0.026317,0.031952,0.062914,0.342945,0.056798,-0.060219,-0.095310,0.031952,0.409785,-0.067139,0.062914,0.092946,-0.095310,0.006473,-0.184922,-0.124298,-0.060219,-0.033006,-0.220711,-0.006515,-0.033006,-0.060219,-0.033006,-0.305150,0.062914,0.281167,-0.154151,-0.177140,0.241162,0.098846,0.122103,0.188794,-0.212647,0.797858,0.731368,1.399198
L17,0.000000,0.000000,0.000000,0.031952,0.031952,0.062914,-0.124298,0.092946,0.000000,-0.088193,-0.060219,0.062914,-0.033006,0.031952,0.000000,-0.116972,-0.060219,0.031952,-0.088193,0.188794,-0.220711,-0.184922,0.031952,-0.026317,-0.161755,0.031952,0.000000,0.025642,-0.095310,-0.033006,-0.095310,-0.154151,-0.006515,0.062914,0.122103,0.597837,0.246251,0.144831,-0.287682,-0.095310,-0.088193,0.000000,0.068993,-0.088193,-0.436795,0.266352,-0.322928
L18,0.031952,-0.060219,0.062914,0.031952,0.062914,0.031952,0.127833,0.161544,0.188794,0.122103,0.092946,0.098846,0.062914,0.127833,0.068993,-0.006515,0.122103,0.031952,0.156004,3.227153,3.674820,0.439511,0.092946,0.843580,0.314905,0.122103,0.127833,0.092946,0.597837,0.133531,0.062914,0.188794,0.092946,0.116339,0.496437,7.363214,1.054357,0.472436,-0.336472,-0.216671,0.127833,0.062914,0.068993,-0.184922,0.319634,1.911945,-0.212647
L19,-0.026317,0.031952,-0.026317,0.122103,0.062914,0.246251,0.000000,-0.060219,0.031952,0.220543,0.122103,0.062914,0.056798,0.062914,0.183403,0.122103,0.092946,0.006473,0.092946,-0.060219,0.000000,0.000000,0.062914,-0.124298,0.122103,0.122103,0.000000,0.031952,0.000000,0.062914,0.062914,0.122103,-0.060219,-0.033006,-0.318454,0.456109,-0.313999,-0.060219,0.156004,0.025642,0.183403,0.092946,0.215321,0.122103,0.414086,0.546544,0.110542
L20,-0.006515,0.031952,0.031952,-0.033006,0.127833,-0.067139,0.062914,0.062914,0.000000,-0.033006,0.122103,0.092946,0.000000,0.000000,0.031952,0.062914,-0.033006,0.062914,0.000000,-0.228842,-0.095310,-0.033006,-0.060219,-0.188836,-0.067139,0.031952,0.025642,0.000000,-0.184922,-0.095310,-0.060219,0.000000,0.025642,-0.095310,-0.216671,-0.169418,-0.154151,-0.313999,-0.124298,-0.067139,0.092946,0.000000,0.098846,0.194156,0.122103,0.706051,2.034621
L21,-0.033006,0.000000,0.062914,0.031952,-0.060219,-0.033006,0.062914,0.025642,0.092946,0.031952,0.000000,0.062914,0.056798,-0.060219,-0.184922,-0.033006,0.122103,0.251314,0.215321,1.161526,1.533930,0.127833,0.000000,0.127833,0.092946,0.031952,-0.095310,-0.033006,0.156004,0.188794,0.000000,0.062914,0.031952,0.122103,0.405465,1.476277,0.464306,0.472436,0.127833,0.031952,0.122103,0.031952,0.156004,0.092946,0.000000,0.554034,2.915311
L22,0.000000,-0.060219,0.031952,-0.033006,-0.060219,0.062914,-0.060219,0.025642,-0.095310,-0.060219,0.031952,0.031952,0.031952,0.087011,0.006473,-0.033006,-0.033006,-0.095310,0.000000,-0.257829,0.653407,-0.006515,0.031952,-0.067139,0.000000,-0.006515,-0.033006,-0.095310,-0.095310,-0.220711,-0.095310,-0.006515,-0.060219,-0.095310,-0.154151,0.251314,-0.124298,0.000000,-0.033006,0.000000,0.062914,0.000000,0.056798,-0.060219,0.000000,0.324340,2.290828
L23,0.092946,-0.033006,-0.095310,0.062914,-0.033006,0.092946,0.122103,0.000000,0.000000,0.062914,0.062914,0.000000,0.000000,0.056798,0.122103,0.087011,0.031952,0.000000,0.062914,-0.407090,-0.441833,-0.033006,-0.095310,0.031952,-0.124298,0.000000,0.031952,0.087011,-0.095310,-0.124298,0.056798,0.031952,-0.033006,-0.026317,-0.287682,-0.033006,0.127833,-0.154151,-0.033006,-0.124298,0.092946,0.000000,0.314905,0.220543,-0.279061,0.139197,1.499739
L24,0.062914,0.062914,0.087011,0.000000,0.000000,0.666830,0.031952,0.092946,0.000000,0.000000,0.031952,0.031952,0.031952,0.000000,0.056798,-0.033006,0.000000,0.025642,0.000000,0.314905,0.122103,0.000000,-0.033006,0.000000,0.031952,0.031952,0.056798,0.092946,-0.033006,-0.124298,-0.033006,0.031952,0.062914,0.000000,0.220543,0.409785,0.439511,0.062914,0.031952,-0.095310,0.031952,0.062914,0.161544,-0.026317,-0.060219,0.210071,3.247551
L25,-0.033006,-0.033006,-0.060219,0.031952,0.031952,0.092946,-0.095310,0.062914,0.062914,0.056798,0.056798,0.000000,0.062914,0.000000,0.062914,0.025642,-0.067139,-0.033006,-0.033006,0.876550,0.215321,0.031952,0.031952,0.025642,0.000000,0.056798,0.087011,0.025642,0.092946,0.062914,0.031952,0.031952,-0.033006,0.000000,0.098846,0.791993,0.405465,0.031952,0.031952,0.122103,0.122103,0.000000,0.220543,0.062914,0.215321,-0.154151,4.624845
L26,0.122103,0.122103,0.031952,0.031952,0.031952,0.056798,0.087011,0.031952,0.062914,-0.033006,0.062914,0.031952,0.062914,0.000000,0.056798,0.031952,0.000000,0.031952,-0.060219,-0.188836,-0.124298,0.062914,0.062914,-0.033006,0.000000,0.000000,0.031952,0.031952,0.000000,0.092946,0.062914,0.031952,0.031952,0.092946,0.314905,-0.067139,0.215321,0.031952,0.000000,0.031952,0.098846,0.000000,0.286057,-0.053346,-0.006515,-0.139113,9.499488
L27,0.000000,-0.033006,-0.060219,0.031952,0.031952,0.062914,0.000000,0.031952,0.031952,0.062914,0.031952,0.000000,0.000000,0.031952,0.031952,0.092946,0.000000,0.031952,0.056798,0.374693,0.025642,0.031952,0.000000,0.000000,0.056798,0.031952,0.062914,-0.060219,0.000000,0.062914,-0.033006,0.031952,0.062914,0.087011,0.000000,0.092946,0.150433,0.031952,0.062914,0.000000,0.122103,0.031952,0.314905,-0.053346,0.031952,-0.067139,2.827083
L28,0.062914,0.056798,0.062914,0.000000,0.031952,0.000000,0.000000,0.000000,0.000000,0.062914,0.031952,0.031952,0.062914,0.031952,0.000000,0.031952,0.000000,0.031952,-0.033006,0.000000,0.031952,0.062914,0.031952,0.031952,0.025642,0.000000,0.000000,0.031952,0.056798,0.000000,0.031952,0.000000,0.031952,-0.033006,0.092946,0.025642,0.087011,0.031952,0.056798,0.087011,-0.033006,0.000000,0.414086,-0.336472,0.215321,0.031952,7.663310
L29,0.062914,0.031952,0.031952,0.031952,0.056798,0.031952,0.000000,0.000000,0.000000,-0.033006,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031952,0.000000,0.000000,0.000000,0.000000,0.000000,0.031952,0.031952,0.031952,0.031952,0.000000,0.000000,0.031952,0.031952,0.000000,0.062914,-0.208639,0.098846,0.031952,6.233774
L30,0.062914,0.062914,-0.033006,0.000000,0.031952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031952,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031952,0.000000,0.000000,0.000000,0.000000,0.062914,0.000000,0.000000,0.031952,0.000000,0.000000,0.031952,-0.154151,0.183403,0.092946,9.808826
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.245314
