layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: presented,9: with,10: multiple,11: sclerosis,12:.,13: A,14: patient,15: has,16: the,17: following,18: condition,19::,20: multiple,21: sclerosis,22:.,"23:
",24:Prov,25:ide,26: information,27: about,28: its,29: demographic,30: and,31: past,32: medical,33: history,34:.,35: You,36: must,37: start,38: with,39: the,40: following,41::,"42: """,43:Gender,44::,"45: ""","46:
",47:<,48:|,49:ass,50:istant,51:|>,"52:
",53:Gender,54::
L1,0.010471,-1.462833,0.274437,0.298153,0.246037,0.366104,0.005249,-0.135036,-0.775385,-1.027516,-0.082238,-0.256591,0.090514,0.128254,-0.223143,0.104834,-0.082238,-0.804372,0.005249,0.237773,0.118952,-0.178120,-0.341749,0.286365,0.128254,0.401950,-0.834225,-0.263417,-0.117125,-0.190778,-0.305382,0.010471,-0.537494,-0.636866,-0.190778,-0.319770,-0.065240,-0.070874,-0.502092,-0.021277,-0.602633,-0.775385,0.358778,-0.769687,0.857769,0.871073,0.622273,0.290310,0.373377,0.114268,0.173511,-0.141079,-0.284179,-0.076540,2.265047
L2,0.443335,0.351398,-0.048527,-0.082238,0.005249,-0.087969,-0.243078,0.199713,-0.864997,-0.998528,-0.117125,0.539873,-0.451233,-0.364222,-0.327043,-0.319770,-0.117125,-0.334369,0.587787,-0.229744,-0.223143,-0.184429,-0.105360,-0.210071,-0.129030,-0.532999,-0.291197,-1.057369,-0.422718,-0.877576,-0.864997,-0.256591,0.000000,-0.497753,-0.677481,-0.387212,-0.564893,0.343963,0.639080,-0.210071,0.321320,-0.929535,0.298153,-0.480586,-0.537494,0.951454,0.610909,-0.048527,0.229439,-0.021277,-0.203599,-0.037538,-0.263417,-0.434840,-0.493434
L3,0.041243,-0.159428,0.489548,0.173511,-0.263417,0.075986,0.095310,-0.903218,-0.631903,-1.136149,-0.341749,0.901444,0.191055,-0.026668,-0.284179,-0.422718,-0.099530,-0.434840,-0.021277,-0.312550,-0.105360,0.128254,0.212561,0.764243,-0.229744,-0.828183,-0.519636,-0.810272,0.298153,-0.714424,-0.356675,-0.398908,-0.277211,-1.049821,-1.057369,-0.418710,-0.082238,-0.515221,-0.291197,-0.037538,0.132873,-0.451233,-0.394994,-1.169486,0.871073,-1.049821,1.129703,-0.197168,-0.159428,0.100083,0.085695,-0.263417,0.164622,-0.497753,0.071096
L4,-0.165620,-0.093732,0.186698,0.286365,0.225247,0.394883,-0.430783,-0.588313,-0.270290,-0.672313,-0.312550,1.912268,-0.398908,-0.165620,-0.015915,-0.555676,0.051293,-0.005277,-0.476339,-0.015915,0.041243,-0.334369,-0.804372,-0.387212,-0.129030,-0.651904,0.278429,-0.387212,-1.027516,-0.564893,-0.641854,-0.256591,-0.171850,-0.455374,-0.447110,0.191055,0.128254,-0.070874,-1.072636,-0.165620,-0.263417,-0.256591,-1.355203,-0.434840,0.241914,-0.949738,0.146603,0.305935,-0.111226,-0.147158,0.066182,-0.519636,-0.410742,0.109562,2.114351
L5,-0.402837,-0.319770,-0.319770,-0.459532,0.090514,0.987386,-0.312550,-0.394994,-0.597837,-0.883925,-0.054067,0.773999,-0.747214,0.142048,-0.379489,0.266405,0.336472,0.208297,-0.111226,-0.607452,-0.171850,-0.284179,-0.463707,-0.752785,-0.021277,-0.076540,0.066182,-0.190778,-0.672313,-0.709062,-0.334369,-0.054067,0.305935,-0.467900,0.246037,-0.123060,0.892860,-0.379489,0.036180,-0.327043,-0.229744,-0.015915,-0.502092,0.987386,1.634387,-0.626965,2.828247,0.290310,0.132873,-0.048527,-0.117125,-0.341749,-0.223143,2.088610,-1.152679
L6,-0.524071,-0.277211,0.250144,0.177926,-0.010582,0.521297,-0.190778,-0.883925,0.071096,-0.111226,0.182321,-0.065240,-1.027516,0.294239,0.114268,0.593617,0.182321,0.195394,0.274437,0.495979,0.151139,0.394883,0.693147,0.290310,0.177926,-0.147158,0.195394,0.759329,2.083381,0.031091,0.358778,-0.349184,0.682565,0.061244,-0.822177,-0.048527,-0.184429,-0.263417,-0.203599,-0.229744,-0.602633,0.128254,-1.750515,2.728884,0.387765,-1.720662,4.017615,0.298153,0.100083,-0.082238,-0.178120,-0.515221,0.476561,0.380597,0.802709
L7,2.187823,1.713323,-0.129030,-0.236389,0.169076,-2.762112,-0.111226,-0.451233,-0.243078,-0.270290,0.036180,-0.178120,-0.583585,0.270429,-0.270290,0.075986,0.114268,-0.099530,-0.840304,-0.672313,0.237773,-0.588313,-0.781116,-0.709062,-0.005277,-0.223143,-0.298264,-0.349184,-0.786879,-0.387212,-0.593063,-0.730685,0.000000,-0.852574,0.237773,-0.026668,0.483076,-0.178120,-0.197168,-0.147158,-0.312550,-0.822177,-1.119889,-1.119889,1.435084,-0.356675,-0.048527,0.155653,-0.256591,-0.117125,-0.021277,-0.455374,-0.291197,0.521297,-0.542008
L8,0.104834,-0.059638,-0.430783,-0.256591,-0.043017,0.533719,-0.210071,-0.284179,0.282405,-0.015915,-0.048527,0.443335,-0.203599,-0.070874,-0.210071,0.118952,-0.026668,-0.117125,0.128254,-0.394994,-0.117125,-0.467900,0.010471,-1.064973,0.085695,-0.203599,-0.804372,-0.048527,-0.719815,-1.315198,-0.781116,-0.430783,0.061244,-0.305382,0.321320,0.095310,0.502369,0.000000,0.682565,-0.093732,0.429730,1.464716,0.051293,2.988866,2.067528,-0.037538,1.329445,0.080852,0.100083,-0.037538,-0.349184,-0.871267,-0.256591,0.429730,1.841384
L9,-0.147158,-0.043017,-1.609437,-0.277211,0.015666,0.090514,-0.147158,-0.135036,0.142048,-0.129030,-0.010582,1.149905,-0.284179,0.000000,0.056281,0.199713,0.025975,-0.153274,-0.076540,-0.082238,0.000000,0.010471,0.031091,-0.877576,-0.117125,0.025975,-0.434840,-0.117125,0.036180,-1.119889,-0.387212,-0.197168,-0.277211,-0.636866,0.164622,-0.430783,-0.105360,-0.447110,-0.747214,0.177926,-0.197168,0.066182,-0.210071,0.456758,0.708813,0.262364,1.735838,0.146603,0.025975,-0.249812,-0.434840,-0.646866,1.807425,0.036180,0.793230
L10,-0.203599,-0.054067,0.025975,-0.135036,0.104834,-0.054067,0.104834,-0.410742,-0.190778,0.071096,0.090514,0.521297,-0.284179,-0.256591,-0.371827,-0.135036,-0.223143,-0.043017,0.151139,0.123614,0.036180,0.100083,0.085695,0.071096,0.041243,-0.147158,-0.070874,-0.123060,0.212561,-0.171850,0.080852,-0.277211,-0.147158,-0.327043,0.095310,-0.010582,0.208297,-0.054067,1.022072,-0.032088,0.237773,0.593617,-0.021277,-0.190778,1.226866,-0.588313,2.295189,0.483076,-0.117125,-0.117125,-0.379489,-1.152679,-0.631903,-0.574195,-1.027516
L11,0.031091,-0.054067,-0.165620,-0.135036,0.056281,-0.105360,-0.129030,-0.005277,-0.178120,-0.165620,0.036180,0.160148,-0.387212,-0.249812,-0.263417,-0.123060,-0.082238,-0.054067,-0.076540,-0.249812,-0.037538,0.294239,-0.223143,-0.617161,-0.082238,-0.249812,-0.111226,-0.223143,-0.129030,-0.588313,-0.775385,-0.203599,-0.111226,-0.298264,-0.284179,-0.319770,0.071096,0.123614,0.671870,0.085695,-0.341749,-0.758387,-1.440360,1.080912,0.429730,-1.583461,0.294239,0.336472,-0.093732,-0.178120,-0.291197,-1.558143,0.041243,1.286765,-1.509353
L12,-0.135036,-0.129030,0.114268,-0.210071,-0.270290,-0.371827,-0.015915,-0.210071,0.114268,0.278429,-0.005277,-0.709062,-0.165620,-0.026668,-0.105360,-0.111226,-0.159428,-0.093732,-0.216586,-0.105360,0.056281,-0.493434,-0.190778,0.545989,0.071096,-0.418710,-0.364222,-0.447110,-0.463707,-0.781116,-0.472111,-0.210071,-0.105360,-0.693147,-0.076540,-0.190778,-0.082238,-0.037538,-0.371827,-0.165620,-0.159428,0.109562,0.436556,0.983457,0.328925,-1.636105,-1.914818,0.000000,-0.054067,-0.026668,-0.065240,-0.270290,1.066524,1.634387,1.233020
L13,-0.054067,-0.037538,-0.364222,0.031091,-0.256591,-0.105360,-0.178120,0.000000,0.000000,-0.319770,0.164622,0.036180,-0.426742,-0.305382,-0.015915,-0.184429,-0.123060,-0.032088,-0.178120,-0.178120,-0.117125,0.489548,0.010471,0.046281,0.118952,-0.178120,-0.026668,-0.153274,-0.093732,0.005249,0.366104,-0.123060,-0.210071,-0.752785,-0.037538,-0.082238,-0.082238,-0.165620,-0.387212,-0.082238,-0.430783,-0.054067,-0.178120,0.394883,-0.858766,-0.607452,-0.597837,0.195394,0.085695,-0.135036,-0.210071,-0.394994,0.195394,0.835195,1.821148
L14,-0.210071,0.025975,0.100083,-0.037538,0.204014,-0.147158,-0.043017,-0.141079,-0.117125,-0.105360,-0.043017,-0.037538,-0.111226,-0.203599,-0.147158,-0.190778,-0.043017,0.151139,0.085695,0.051293,0.085695,0.095310,-0.178120,-0.190778,-0.010582,-0.065240,0.587787,0.169076,-0.135036,-1.136149,0.071096,-0.178120,-0.065240,0.328925,0.061244,0.025975,-0.015915,-0.117125,0.056281,0.010471,-0.117125,-0.364222,0.155653,-0.422718,-0.256591,-0.546543,-0.583585,-0.203599,0.031091,-0.026668,-0.093732,-0.463707,0.502369,1.743232,-0.364222
L15,-0.129030,-0.105360,0.114268,-0.054067,0.080852,-0.005277,-0.165620,-0.010582,-0.229744,-0.076540,0.114268,0.408968,-0.229744,-0.141079,-0.249812,-0.229744,-0.043017,0.041243,0.020834,-0.037538,-0.076540,0.173511,-0.123060,0.104834,0.071096,0.169076,0.031091,0.137471,0.100083,-0.798507,0.137471,0.041243,0.090514,0.066182,-0.804372,-0.037538,-0.284179,-0.147158,0.204014,-0.082238,-0.059638,0.010471,-0.043017,1.195516,0.666479,-0.135036,0.020834,-0.021277,0.137471,0.041243,-0.117125,0.005249,-0.093732,1.978457,-2.028146
