layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:You,7: are,8: a,9: helpful,10: clinical,11: assistant,12: for,13: inpatient,14: documentati,15:.,16: Condition,17::,18: multiple,19: sclerosis,20:.,"21:
",22:Create,23: a,24: concise,25: patient,26: summary,27: emphasizing,28: demographic,29: and,30: PM,31:H,32:.,33: Start,34: with,35::,"36: """,37:Gender,38::,"39: ""","40:
",41:<,42:|,43:ass,44:istant,45:|>,"46:
",47:Gender,48::
L1,-0.055828,0.509920,-0.065444,0.061423,0.061423,0.061423,0.061423,0.061423,-0.094858,-0.060625,0.000000,0.000000,-0.060625,0.127290,-0.027525,0.123298,0.061423,-0.036871,0.061423,-0.316758,0.250812,0.127290,0.123298,0.004515,-0.004535,-0.065444,0.000000,0.004515,0.185334,-0.036871,0.127290,0.250812,0.061423,0.127290,-0.156416,0.123298,0.376389,0.065669,-0.120048,0.004515,0.061423,-0.125163,0.000000,0.061423,-0.004535,-0.036871,-0.125163,0.192824,0.442479
L2,0.370158,0.325422,0.000000,0.000000,0.000000,-0.060625,0.185334,0.061423,-0.125163,0.192824,0.000000,0.192824,0.192824,-0.341917,0.031183,-0.065444,0.061423,-0.032187,0.127290,-0.188677,0.127290,0.000000,-0.004535,0.000000,0.061423,-0.065444,-0.055828,-0.065444,-0.120048,-0.060625,0.127290,0.442479,0.061423,0.061423,-0.065444,0.000000,-0.065444,-0.594142,-0.188677,0.065669,0.065669,0.000000,0.127290,0.123298,0.061423,0.004515,0.065669,0.000000,0.185334
L3,0.061423,0.123298,0.000000,0.127290,0.061423,-0.060625,0.000000,-0.060625,-0.065444,-0.060625,0.000000,0.250812,0.065669,-0.500323,0.000000,0.004515,0.123298,-0.316758,0.185334,1.630925,0.192824,0.061423,0.000000,-0.060625,0.065669,0.123298,1.007066,-0.183227,-0.435318,-0.060625,0.000000,0.442479,0.057158,0.061423,-0.065444,-0.060625,0.312264,-0.125163,-0.125163,-0.348307,0.000000,0.127290,0.057158,0.185334,0.061423,0.061423,0.127290,0.382581,0.123298
L4,-0.060625,-0.060625,0.000000,0.061423,-0.156416,-0.065444,0.065669,0.000000,0.000000,-0.130305,-0.256499,0.123298,0.250812,-0.380883,-0.414556,0.061423,-0.094858,-0.094858,0.127290,3.385233,0.185334,0.057158,-0.032187,0.061423,0.185334,0.000000,0.243744,0.004515,-0.470909,0.061423,0.000000,0.250812,-0.094858,0.065669,0.127290,0.061423,0.504471,0.382581,-0.060625,-0.004535,-0.244871,0.250812,-0.060625,0.061423,-0.125163,-0.120048,0.185334,0.192824,0.127290
L5,0.000000,0.000000,0.123298,-0.004535,-0.341917,0.061423,0.185334,-0.156416,0.061423,0.127290,0.000000,0.185334,0.250812,0.061423,0.065669,0.504471,0.000000,0.123298,0.061423,3.513906,-0.032187,0.119290,-0.060625,0.061423,0.031183,-0.250668,0.192824,-0.120048,-0.280169,0.000000,0.004515,-0.310566,-0.280169,0.061423,-0.032187,0.004515,0.250812,-0.414556,-0.183227,0.061423,-0.442336,0.061423,0.000000,0.061423,0.061423,0.127290,0.376389,0.000000,0.370158
L6,0.065669,0.127290,0.127290,0.123298,0.000000,0.004515,0.123298,0.127290,0.057158,0.185334,0.185334,0.442479,0.250812,0.185334,-0.316758,0.000000,0.185334,0.192824,0.061423,0.632523,-0.032187,0.185334,0.061423,0.127290,0.004515,0.312264,-0.036871,0.004515,-0.125163,0.127290,0.192824,0.004515,0.000000,-0.060625,0.061423,-0.065444,0.250812,-0.041576,0.376389,0.312264,0.061423,0.123298,-0.004535,0.061423,0.000000,-0.125163,0.250812,-0.099845,-0.407730
L7,0.127290,-0.151139,0.061423,0.061423,0.185334,-0.032187,-0.060625,0.061423,-0.065444,-0.060625,-0.036871,0.442479,0.250812,0.250812,0.305620,0.061423,0.192824,-0.156416,0.127290,1.137079,0.127290,0.000000,0.127290,0.061423,0.061423,0.123298,0.000000,-0.125163,0.000000,0.004515,0.000000,0.065669,-0.094858,0.061423,0.000000,0.185334,-0.004535,-0.478182,0.376389,-0.161721,0.004515,0.185334,0.185334,0.127290,-0.099845,-0.216379,0.065669,-0.156416,0.312264
L8,-0.060625,0.061423,0.127290,0.061423,0.127290,0.376389,0.061423,0.185334,0.123298,0.127290,0.192824,0.376389,0.127290,0.376389,0.504471,0.061423,0.312264,0.127290,0.312264,1.382895,0.250812,0.000000,0.127290,0.061423,0.123298,0.376389,-0.065444,0.000000,0.004515,0.000000,0.127290,0.061423,0.192824,0.000000,0.000000,0.250812,0.376389,1.198983,0.061423,0.000000,-0.060625,0.185334,0.123298,0.061423,0.000000,0.065669,-0.060625,0.004515,-0.065444
L9,0.061423,0.000000,-0.250668,0.123298,0.061423,0.250812,0.000000,0.061423,0.127290,0.000000,-0.060625,0.000000,0.000000,0.250812,0.000000,0.000000,0.250812,0.061423,0.004515,0.504471,0.250812,0.185334,0.061423,0.000000,0.250812,-0.065444,0.000000,0.185334,-0.316758,0.061423,0.061423,0.004515,0.312264,0.127290,0.061423,-0.120048,0.185334,0.312264,-0.156416,0.127290,0.185334,0.061423,-0.060625,0.000000,0.000000,0.185334,0.000000,0.192824,1.007066
L10,0.061423,0.061423,0.000000,0.127290,0.061423,0.257829,-0.125163,-0.004535,0.127290,0.061423,0.000000,0.376389,0.004515,0.185334,-0.060625,0.061423,0.061423,0.000000,-0.060625,0.185334,0.127290,0.127290,0.123298,0.061423,0.000000,0.127290,0.250812,-0.125163,0.061423,0.127290,-0.004535,-0.156416,0.131266,0.127290,-0.032187,0.061423,0.312264,-0.256499,-0.130305,-0.256499,0.250812,-0.065444,0.061423,0.127290,0.004515,-0.060625,-0.120048,-0.507814,0.318865
L11,0.185334,0.000000,0.127290,0.127290,0.127290,0.123298,0.061423,0.061423,-0.125163,-0.125163,0.061423,0.250812,-0.125163,-0.120048,-0.188677,0.000000,0.185334,0.127290,0.000000,-0.125163,-0.125163,0.250812,0.127290,0.061423,-0.060625,0.127290,0.061423,0.192824,-0.120048,0.000000,0.000000,0.318865,-0.060625,-0.060625,-0.060625,0.000000,0.185334,0.887835,0.000000,0.123298,-0.060625,0.185334,0.127290,0.061423,0.000000,-0.060625,0.090775,0.442479,0.250812
L12,0.004515,0.061423,0.061423,0.061423,-0.060625,-0.125163,-0.060625,0.061423,0.000000,0.061423,-0.060625,-0.120048,0.061423,0.004515,-0.120048,0.004515,0.185334,-0.130305,0.123298,-0.530628,-0.060625,0.185334,0.061423,0.004515,-0.060625,-0.250668,0.185334,0.065669,0.192824,0.000000,0.123298,0.192824,0.185334,0.004515,-0.156416,0.065669,-0.065444,0.758816,0.312264,-0.286175,0.127290,0.061423,0.065669,0.000000,0.061423,0.061423,0.382581,-0.374282,0.436648
L13,0.061423,0.061423,-0.060625,0.000000,0.061423,0.061423,0.185334,0.061423,0.061423,0.061423,0.000000,-0.216379,0.000000,0.061423,0.061423,0.127290,0.185334,-0.156416,0.000000,-0.065444,-0.065444,0.065669,0.061423,0.065669,-0.060625,0.250812,-0.032187,0.061423,-0.060625,0.127290,0.000000,0.312264,0.312264,-0.094858,-0.125163,-0.065444,-0.036871,-0.125163,0.442479,0.123298,0.127290,0.000000,0.061423,0.000000,0.004515,0.061423,-0.130305,-0.125163,0.567984
L14,-0.055828,0.000000,0.061423,-0.125163,0.065669,-0.094858,0.000000,0.000000,-0.060625,0.000000,0.000000,-0.060625,0.000000,-0.188677,0.250812,0.127290,0.000000,0.057158,0.000000,-0.565857,0.061423,0.061423,0.000000,0.000000,0.061423,0.004515,0.127290,0.123298,-0.125163,0.061423,0.057158,0.127290,0.127290,0.057158,-0.060625,-0.120048,0.000000,-0.244871,0.026787,-0.060625,-0.183227,0.185334,0.127290,0.061423,-0.060625,-0.094858,-0.125163,-0.055828,-0.060625
L15,0.000000,0.000000,0.061423,0.061423,-0.060625,0.000000,-0.060625,0.057158,-0.065444,0.000000,-0.060625,0.061423,0.127290,0.000000,-0.125163,0.061423,-0.442336,-0.060625,0.127290,0.498991,0.061423,0.000000,0.185334,0.127290,0.000000,-0.125163,0.123298,0.000000,-0.089895,-0.156416,0.000000,0.000000,-0.060625,-0.065444,-0.004535,-0.094858,-0.348307,0.061423,0.192824,-0.065444,0.065669,0.061423,0.061423,0.000000,0.057158,0.000000,-0.507814,0.331937,0.632523
L16,0.065669,0.065669,0.000000,0.127290,-0.060625,0.061423,0.000000,0.061423,-0.125163,-0.060625,0.000000,0.000000,0.000000,0.004515,-0.060625,0.004515,0.123298,-0.060625,0.127290,1.322057,0.127290,-0.060625,-0.183227,0.000000,-0.060625,-0.188677,-0.156416,-0.060625,-0.156416,-0.060625,-0.060625,0.061423,-0.060625,-0.060625,-0.156416,-0.120048,-0.120048,-0.310566,0.250812,-0.188677,0.061423,0.127290,0.127290,0.123298,0.061423,0.004515,-0.188677,-0.374282,-0.227679
L17,0.000000,0.061423,0.057158,0.061423,0.127290,-0.060625,0.061423,0.061423,0.000000,0.000000,0.000000,0.004515,0.127290,0.000000,0.061423,-0.036871,-0.244871,-0.156416,0.061423,-0.125163,0.061423,-0.065444,0.000000,-0.060625,-0.036871,0.436648,0.061423,0.127290,-0.060625,-0.094858,0.061423,-0.060625,0.123298,0.123298,0.000000,0.065669,-0.310566,0.504471,0.185334,0.004515,-0.120048,0.127290,0.065669,0.061423,0.061423,0.119290,-0.449403,0.627703,0.578188
L18,0.127290,0.061423,0.004515,0.004515,0.061423,0.061423,0.061423,0.185334,0.061423,0.000000,0.185334,1.262412,0.127290,0.567984,0.627703,0.000000,-0.065444,0.000000,0.192824,11.890678,1.007066,0.250812,0.000000,0.257829,-0.060625,2.197225,0.192824,-0.060625,0.627703,0.185334,0.318865,0.627703,0.127290,0.061423,0.318865,0.504471,0.504471,6.518393,0.318865,0.123298,0.061423,0.000000,0.250812,0.185334,-0.120048,0.000000,-0.316758,1.808956,-0.739452
L19,0.004515,0.000000,-0.060625,0.000000,-0.032187,0.127290,-0.060625,-0.060625,0.000000,0.004515,0.000000,0.061423,0.000000,0.000000,0.192824,0.000000,0.127290,0.004515,-0.060625,0.123298,0.127290,-0.004535,-0.125163,-0.125163,0.061423,-0.380883,-0.060625,0.065669,0.004515,0.004515,0.000000,0.185334,0.123298,0.057158,0.000000,0.000000,-0.316758,0.442479,-0.188677,-0.222013,0.057158,-0.032187,0.185334,0.061423,-0.032187,0.057158,-0.032187,0.567984,0.688612
L20,-0.156416,0.000000,-0.060625,-0.060625,-0.156416,-0.032187,0.061423,-0.060625,0.061423,-0.125163,-0.060625,-0.374282,0.061423,-0.060625,-0.156416,-0.004535,-0.099845,0.004515,-0.036871,-0.876374,-0.216379,-0.060625,-0.125163,-0.060625,0.000000,-0.322989,-0.094858,-0.060625,-0.065444,-0.065444,0.000000,-0.130305,0.000000,-0.060625,0.061423,-0.156416,-0.125163,-0.348307,0.069897,-0.065444,-0.060625,0.000000,0.000000,-0.125163,0.061423,0.192824,-0.194156,-0.538350,4.319296
L21,-0.060625,-0.060625,-0.036871,-0.060625,-0.060625,-0.060625,0.000000,-0.032187,-0.156416,0.000000,-0.125163,0.312264,0.000000,0.376389,0.061423,-0.060625,0.000000,0.004515,0.312264,4.699451,0.192824,0.000000,-0.060625,0.061423,-0.065444,0.318865,0.127290,0.000000,0.312264,-0.004535,-0.060625,0.061423,0.000000,-0.032187,0.061423,0.004515,0.376389,1.502568,0.250812,0.376389,0.192824,0.000000,-0.060625,-0.060625,-0.060625,0.061423,0.000000,0.185334,4.508370
L22,-0.060625,0.061423,0.000000,-0.060625,-0.094858,-0.060625,0.000000,-0.125163,-0.004535,-0.060625,-0.161721,-0.374282,-0.125163,-0.188677,-0.222013,-0.125163,-0.156416,0.057158,-0.094858,-1.067429,-0.094858,-0.060625,0.061423,-0.060625,0.000000,-0.380883,-0.060625,-0.060625,-0.216379,0.000000,-0.060625,0.057158,-0.156416,-0.060625,-0.032187,-0.060625,-0.125163,-0.530628,0.061423,-0.004535,-0.216379,-0.216379,0.000000,0.000000,-0.094858,0.250812,0.185334,-0.322989,1.231201
L23,0.000000,0.000000,-0.060625,-0.060625,-0.125163,-0.060625,-0.065444,-0.060625,-0.125163,-0.060625,0.000000,-0.316758,-0.060625,-0.156416,-0.004535,-0.125163,-0.060625,-0.374282,-0.060625,-1.135483,-0.060625,0.061423,0.000000,-0.060625,0.000000,-0.565857,-0.156416,-0.060625,-0.060625,-0.094858,-0.060625,-0.060625,-0.004535,-0.060625,-0.060625,-0.156416,-0.407730,-0.507814,0.131266,-0.060625,-0.125163,-0.060625,0.061423,-0.125163,0.061423,-0.065444,-0.188677,-0.310566,0.769354
L24,0.061423,0.127290,-0.060625,-0.060625,-0.125163,0.312264,-0.036871,-0.060625,-0.036871,0.000000,0.000000,-0.060625,-0.125163,-0.125163,-0.036871,-0.060625,-0.125163,0.000000,-0.125163,0.627703,0.000000,-0.060625,-0.060625,0.000000,-0.060625,-0.060625,-0.060625,0.000000,0.004515,0.000000,-0.060625,-0.060625,0.061423,-0.060625,-0.060625,0.000000,0.061423,0.504471,0.250812,0.123298,0.000000,-0.060625,0.004515,0.061423,0.185334,-0.183227,-0.060625,0.123298,4.196419
L25,0.057158,-0.004535,-0.060625,-0.060625,-0.125163,-0.060625,0.000000,0.000000,0.061423,-0.060625,0.000000,0.061423,0.000000,-0.156416,0.000000,-0.125163,-0.125163,-0.060625,-0.060625,1.936819,-0.065444,-0.060625,-0.125163,0.061423,-0.060625,0.000000,0.000000,0.061423,0.065669,0.000000,0.000000,-0.060625,0.000000,-0.065444,-0.060625,0.061423,0.123298,0.442479,0.376389,-0.060625,0.061423,0.000000,-0.060625,0.061423,0.061423,-0.156416,0.123298,-0.449403,2.891126
L26,0.000000,-0.125163,0.061423,0.000000,0.000000,0.000000,-0.060625,0.000000,0.000000,-0.060625,0.061423,-0.125163,-0.060625,0.000000,-0.060625,0.000000,0.000000,0.000000,-0.125163,-0.470909,-0.060625,0.000000,-0.060625,-0.125163,0.061423,-0.280169,0.000000,0.000000,-0.125163,-0.060625,-0.060625,-0.060625,0.061423,0.000000,0.061423,-0.060625,-0.125163,-0.435318,0.243744,0.061423,-0.125163,-0.125163,0.004515,-0.060625,0.065669,-0.183227,-0.032187,-0.348307,11.245165
L27,0.000000,0.000000,-0.060625,0.061423,-0.060625,0.061423,-0.060625,0.000000,0.000000,0.061423,0.061423,0.127290,0.000000,-0.060625,0.000000,0.000000,0.061423,0.061423,-0.060625,1.131256,0.061423,0.000000,0.061423,0.000000,0.000000,-0.060625,0.061423,0.061423,0.061423,0.061423,-0.060625,0.061423,0.061423,-0.060625,0.061423,0.061423,0.000000,-0.060625,0.065669,-0.060625,0.000000,0.000000,0.004515,0.000000,0.065669,-0.120048,0.127290,-0.120048,4.435600
L28,0.061423,0.000000,0.061423,0.000000,0.061423,0.061423,0.000000,0.061423,0.061423,0.000000,0.061423,0.061423,0.000000,0.000000,0.061423,0.061423,0.000000,0.000000,0.061423,0.000000,0.000000,0.000000,0.061423,0.061423,0.000000,0.000000,0.061423,0.061423,0.000000,0.061423,0.061423,0.061423,0.061423,0.000000,0.061423,0.061423,0.000000,-0.060625,0.123298,0.000000,0.061423,0.000000,0.000000,0.061423,0.069897,-0.250668,0.000000,-0.060625,7.403215
L29,0.000000,0.000000,0.061423,0.061423,0.004515,0.000000,0.000000,0.000000,0.061423,0.061423,0.061423,0.000000,0.000000,0.061423,0.000000,0.061423,0.000000,0.000000,0.000000,0.000000,0.061423,0.000000,0.000000,0.000000,0.061423,0.000000,0.000000,0.000000,0.061423,0.061423,0.061423,0.000000,0.061423,0.061423,0.000000,0.000000,0.000000,0.061423,0.061423,0.000000,0.000000,0.000000,0.061423,0.061423,0.061423,-0.177807,0.004515,0.004515,6.972326
L30,0.065669,0.061423,0.000000,0.000000,0.061423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061423,0.000000,0.061423,0.000000,0.061423,0.061423,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.061423,0.000000,0.000000,0.061423,0.000000,0.000000,0.000000,0.000000,0.061423,0.000000,0.000000,0.000000,0.061423,0.000000,0.061423,0.061423,-0.060625,0.061423,0.061423,11.479100
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5.408996
