layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: is,9: being,10: evaluated,11: for,12: multiple,13: sclerosis,14:.,"15:
",16:Prov,17:ide,18: a,19: brief,20: presentatio,21: focused,22: on,23: demographic,24: details,25: and,26: prior,27: medical,28: history,29:.,30: Your,31: response,32: must,33: start,34: with,35::,"36: """,37:Gender,38::,"39: ""","40:
",41:<,42:|,43:ass,44:istant,45:|>,"46:
",47:Gender,48::
L1,0.509627,-0.049090,0.000000,-0.024244,0.091492,-0.120782,0.091492,-0.120782,-0.183520,-0.061748,-0.155149,0.129030,-0.061748,-0.343081,-0.250459,-0.155149,-0.087556,-0.343081,-0.183520,-0.212719,-0.558867,0.063790,-0.502873,-0.120782,0.035298,-0.309883,-0.061748,-0.250459,-0.368723,0.129030,0.063790,0.041061,-0.055399,-0.212719,-0.205339,-0.281712,-0.277751,-0.373062,0.328743,-0.355820,-0.024244,-0.030397,0.284683,0.041061,0.005970,-0.127561,-0.094113,0.247982,1.133910
L2,0.052490,0.074963,-0.061748,-0.127561,-0.373062,-0.183520,-0.120782,0.257285,-0.120782,0.129030,0.069392,0.011905,-0.120782,-0.220154,-0.373062,-0.155149,-0.061748,-0.343081,-0.155149,-0.250459,0.315728,0.165210,0.063790,0.537998,0.252644,-0.120782,-0.155149,0.063790,-0.030397,-0.250459,-0.120782,-0.024244,-0.435862,-0.435862,-0.338870,-0.155149,-0.473603,-1.007119,0.005970,0.190274,0.123753,-0.212719,0.035298,0.129030,-0.087556,-0.127561,0.495134,0.102362,0.502407
L3,0.129030,-0.120782,-0.030397,-0.220154,-0.190740,-0.055399,0.069392,-0.155149,-0.155149,-0.061748,-0.120782,0.069392,-0.183520,-0.590785,-0.094113,0.005970,-0.061748,-0.652085,-0.435862,-0.309883,0.289178,0.160121,-0.277751,0.565586,0.631399,0.160121,-0.190740,-0.212719,0.195212,-0.242796,0.000000,-0.055399,-0.127561,-0.281712,-0.368723,-0.155149,-0.012048,-0.943606,-0.087556,-0.623755,0.107753,-0.055399,-0.120782,0.035298,-0.227645,-0.061748,0.284683,0.705052,0.320085
L4,-0.127561,0.063790,-0.502873,-0.277751,-0.313973,0.000000,-0.094113,-0.087556,-0.220154,-0.183520,0.160121,-0.024244,-0.120782,-0.663646,0.139502,-0.120782,0.000000,-0.368723,-0.373062,-0.403969,-0.663646,0.000000,-0.527937,0.185311,-0.212719,0.041061,-0.094113,-0.061748,0.219544,-0.408463,-0.120782,-0.338870,-0.030397,-0.036589,0.123753,0.878458,0.383264,0.957352,-1.007119,0.631399,-0.205339,0.320085,-0.347309,0.063790,0.063790,-0.120782,0.257285,0.822177,-0.355820
L5,-0.538141,-0.408463,-0.061748,0.035298,-0.468807,-0.281712,0.224340,0.069392,-0.120782,-0.061748,-0.024244,-0.403969,-0.030397,1.570361,-0.068138,-0.155149,-0.120782,-0.309883,-0.250459,-0.250459,0.185311,-0.220154,-0.717390,-0.183520,-0.408463,0.195212,-0.061748,0.058156,0.247982,-0.473603,-0.440503,0.058156,-0.094113,0.091492,0.375068,-0.301753,0.165210,0.572366,0.883421,-0.036589,0.509627,0.096942,-0.024244,-0.030397,0.005970,0.005970,0.000000,0.516796,0.243298
L6,0.224340,0.102362,0.000000,0.035298,-0.305809,-0.574699,0.129030,-0.309883,0.280169,0.029501,-0.155149,-0.120782,-0.148180,0.160121,0.175311,0.495134,-0.061748,0.190274,-0.030397,-0.094113,0.631399,0.129030,0.134280,0.069392,-0.155149,0.502407,-0.155149,0.000000,0.023670,1.193741,0.035298,0.379174,-0.055399,-0.094113,-0.527937,-0.564117,-0.087556,0.681099,-0.265963,0.450351,0.509627,0.096942,-0.087556,-0.094113,-0.183520,-0.183520,-0.313973,-0.030397,-1.311331
L7,0.710952,0.537998,-0.212719,-0.183520,0.129030,2.694384,-0.242796,-0.120782,0.035298,-0.061748,-0.220154,-0.281712,-0.183520,0.160121,0.102362,0.035298,-0.061748,-0.120782,-0.094113,-0.120782,0.320085,-0.183520,-0.522874,-0.399495,-0.464033,-0.497935,-0.120782,0.005970,-0.590785,-0.313973,-0.120782,0.005970,-0.277751,-0.120782,0.185311,-0.190740,-1.147701,-0.464033,1.019733,0.558760,-0.564117,0.102362,0.069392,-0.087556,-0.183520,-0.212719,-0.285688,-0.381795,-0.351555
L8,-0.061748,-0.155149,-0.183520,0.005970,-0.176351,0.261903,-0.087556,-0.055399,-0.190740,-0.127561,-0.061748,-0.343081,-0.212719,0.375068,0.160121,-0.061748,-0.190740,-0.120782,0.069392,-0.155149,0.035298,0.219544,0.102362,-0.403969,-0.338870,-0.120782,-0.155149,-0.061748,-0.497935,0.756937,-0.373062,-0.338870,-0.094113,-0.030397,0.160121,-0.220154,0.938790,0.565586,-0.355820,0.631399,0.822177,-0.120782,0.000000,0.005970,-0.061748,-0.155149,-0.943606,1.070270,0.224340
L9,-0.120782,-0.250459,-0.876667,-0.183520,-0.030397,0.005970,0.005970,-0.127561,-0.155149,0.005970,0.063790,-0.343081,-0.061748,0.069392,-0.440503,-0.183520,-0.120782,-0.024244,-0.120782,-0.120782,0.572366,0.160121,-0.087556,-0.030397,-0.183520,-0.148180,0.035298,0.000000,-0.468807,0.011905,-0.120782,-0.417513,-0.055399,-0.030397,-0.127561,0.129030,0.558760,-0.212719,-0.403969,0.883421,0.243298,-0.183520,0.063790,-0.061748,0.096942,-0.120782,-0.564117,0.391394,-0.169234
L10,-0.030397,-0.030397,0.035298,-0.212719,-0.120782,0.284683,0.195212,-0.087556,0.261903,0.129030,-0.190740,-0.087556,0.005970,-0.114047,0.102362,0.160121,-0.120782,0.252644,-0.087556,-0.183520,0.063790,-0.030397,-0.094113,0.000000,0.190274,-0.087556,-0.212719,0.005970,0.102362,0.345838,-0.127561,0.315728,0.134280,-0.250459,-0.468807,-0.289680,0.457955,-0.120782,-1.429113,-0.258181,0.592433,-0.094113,0.069392,0.029501,-0.120782,-0.055399,-0.657849,-0.155149,0.086013
L11,-0.055399,-0.114047,-0.120782,-0.120782,-0.155149,-0.220154,0.005970,-0.127561,0.063790,0.160121,0.096942,-0.061748,0.035298,-0.408463,0.096942,0.257285,-0.127561,-0.055399,0.005970,-0.120782,-0.281712,-0.343081,0.005970,-0.055399,0.129030,-0.281712,-0.030397,0.129030,0.035298,0.280169,0.035298,-0.155149,0.058156,0.005970,0.370944,-0.657849,-0.543283,2.898654,-0.176351,-0.169234,-0.250459,0.311352,0.011905,-0.061748,-0.127561,-0.049090,-0.227645,2.254124,-0.711274
L12,-0.055399,-0.094113,0.035298,0.000000,-0.155149,-0.220154,0.005970,-0.403969,0.195212,-0.061748,-0.183520,-0.250459,-0.343081,-0.468807,-0.309883,0.096942,0.129030,0.029501,-0.030397,-0.220154,0.200126,0.000000,-0.061748,-0.220154,-0.309883,-0.250459,-0.183520,-0.309883,-0.347309,-0.120782,-0.094113,-0.313973,-0.281712,-0.094113,-0.281712,-0.533026,-0.305809,2.441565,-0.162167,-1.147701,-0.120782,0.315728,-0.024244,-0.061748,-0.120782,-0.055399,-0.094113,1.804650,-0.640657
L13,-0.183520,-0.183520,-0.148180,-0.030397,-0.176351,-0.343081,-0.343081,-0.061748,0.005970,-0.055399,-0.030397,0.069392,-0.030397,-0.464033,0.005970,-0.094113,-0.120782,-0.120782,-0.183520,-0.120782,-0.155149,0.035298,-0.127561,-0.024244,0.190274,0.129030,-0.183520,0.005970,0.005970,-0.006006,-0.183520,-0.277751,0.000000,-0.061748,-0.094113,-0.377419,-0.943606,0.888359,-0.564117,-0.399495,-0.377419,0.134280,0.005970,-0.127561,0.041061,0.091492,-0.351555,-0.087556,2.536923
L14,-0.120782,-0.148180,-0.030397,0.005970,0.005970,-0.068138,0.000000,-0.120782,0.005970,-0.120782,-0.220154,-0.127561,-0.061748,-0.408463,-0.250459,-0.120782,-0.061748,-0.030397,-0.087556,-0.087556,-0.061748,0.160121,-0.061748,-0.435862,-0.094113,-0.114047,0.069392,0.096942,0.123753,-0.120782,-0.155149,-0.183520,-0.250459,-0.155149,-0.094113,-0.227645,-0.596205,-0.055399,0.434966,0.185311,-0.343081,-0.148180,0.069392,0.035298,-0.220154,-0.585394,-0.754895,0.005970,-0.403969
L15,-0.061748,-0.061748,-0.120782,0.005970,0.257285,0.005970,0.005970,0.000000,-0.030397,0.000000,-0.061748,-0.120782,-0.155149,0.631399,-0.087556,0.063790,0.029501,-0.055399,0.005970,-0.061748,0.257285,0.035298,-0.006006,-0.285688,0.063790,-0.061748,0.041061,-0.087556,-0.533026,-0.148180,-0.183520,-0.190740,0.005970,-0.061748,0.029501,-0.596205,-0.322203,1.378781,0.341592,-0.522874,-0.120782,0.069392,0.102362,-0.055399,-0.030397,-0.055399,-0.309883,1.820290,0.837843
L16,-0.176351,-0.176351,0.000000,0.000000,-0.061748,-0.155149,-0.055399,-0.445165,-0.220154,0.005970,-0.030397,-0.190740,0.069392,0.637748,0.195212,0.069392,-0.087556,-0.087556,-0.094113,-0.094113,-0.087556,0.005970,-0.242796,-0.277751,-0.373062,-0.212719,0.069392,-0.176351,-0.343081,-0.242796,-0.242796,0.005970,-0.094113,0.005970,-0.114047,-0.024244,-0.399495,0.465502,0.324424,-0.212719,0.516796,0.000000,0.134280,0.035298,0.195212,-0.454555,-0.250459,0.257285,2.769214
L17,-0.120782,-0.087556,0.005970,0.129030,-0.087556,-0.094113,-0.087556,0.096942,-0.120782,-0.183520,-0.094113,-0.055399,-0.155149,-0.473603,-0.094113,-0.250459,-0.087556,0.063790,-0.061748,-0.061748,-0.120782,0.005970,0.000000,0.134280,-0.183520,-0.212719,0.096942,-0.061748,0.005970,0.134280,-0.061748,-0.242796,-0.242796,-0.127561,-0.305809,-0.087556,-0.623755,0.434966,0.214725,-0.527937,-0.468807,-0.120782,0.063790,-0.030397,0.261903,-0.114047,-0.687177,1.503412,-0.669477
L18,-0.055399,-0.055399,-0.061748,0.035298,-0.120782,-0.061748,0.190274,1.078450,1.141587,0.509627,0.315728,-0.120782,0.005970,4.395631,1.384796,0.315728,0.005970,0.005970,0.134280,0.005970,0.631399,0.160121,-0.061748,1.070270,0.195212,0.069392,0.315728,0.134280,0.699117,0.699117,0.063790,-0.061748,0.005970,0.069392,0.063790,-0.068138,0.155006,12.621349,2.254124,0.029501,0.011905,0.160121,0.035298,0.096942,0.102362,0.129030,0.091492,3.791106,3.782419
L19,-0.183520,-0.055399,-0.183520,0.063790,-0.148180,0.134280,0.005970,-0.343081,-0.061748,-0.127561,-0.120782,-0.087556,0.069392,-0.440503,-0.502873,0.029501,0.063790,-0.120782,-0.120782,0.029501,-0.087556,0.035298,-0.024244,0.102362,0.134280,0.000000,0.000000,-0.030397,0.069392,0.005970,-0.061748,-0.055399,-0.061748,-0.055399,-0.212719,-0.281712,-0.841327,1.070270,0.155006,0.822177,0.403467,-0.258181,0.035298,-0.120782,0.165210,0.129030,0.502407,-0.652085,1.062023
L20,-0.061748,0.035298,-0.120782,0.063790,-0.120782,-0.212719,0.096942,-0.408463,-0.190740,-0.087556,-0.061748,-0.094113,-0.120782,-0.943606,-0.313973,0.063790,-0.120782,-0.120782,-0.030397,-0.030397,-0.061748,-0.087556,-0.155149,-0.212719,0.091492,0.005970,-0.127561,0.000000,-0.343081,-0.155149,-0.061748,0.005970,-0.055399,0.005970,-0.277751,-0.155149,-0.190740,-0.663646,0.411435,-0.364403,-0.558867,-0.120782,0.160121,-0.055399,0.011905,0.200126,0.195212,-1.092642,8.697107
L21,-0.120782,-0.120782,-0.155149,-0.120782,-0.183520,-0.120782,-0.055399,0.565586,0.442688,0.129030,0.005970,0.190274,0.069392,1.700930,0.509627,0.000000,-0.055399,-0.055399,0.035298,0.063790,0.005970,0.035298,0.190274,0.450351,0.005970,0.160121,0.005970,-0.061748,-0.030397,0.379174,0.005970,-0.120782,-0.030397,0.063790,-0.030397,0.165210,0.509627,1.951029,0.442688,0.000000,-0.277751,-0.120782,-0.024244,-0.055399,-0.114047,0.134280,-0.564117,0.509627,6.926447
