layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:The,7: patient,8: carries,9: a,10: diagnosis,11: of,12: rheumatoid,13: arthritis,14:.,"15:
",16:Sum,17:mar,18:ize,19: demographic,20: profile,21: and,22: past,23: medical,24: history,25: in,26: 2,27:-,28:4,29: sentences,30:.,31: Start,32: with,33::,"34: """,35:Gender,36::,"37: ""","38:
",39:<,40:|,41:ass,42:istant,43:|>,"44:
",45:Gender,46::
L1,0.093090,-0.956732,0.035932,-0.037271,0.152407,-0.006116,0.460815,0.183337,-0.194592,0.053425,-0.130053,0.178248,-0.037271,0.372404,0.247241,0.302811,0.059189,-0.187212,-0.499709,-0.279585,0.152407,0.213340,0.081917,0.115069,0.030032,0.093090,-0.158224,0.030032,0.087519,-0.283625,0.183337,-0.006116,0.093090,-0.158224,0.193438,-0.408519,-0.012270,-0.069429,-0.095920,0.152407,0.183337,0.087519,0.000000,-0.012270,0.030032,-0.012270,0.218254
L2,0.115069,-0.018462,-0.130053,-0.194592,-0.130053,-0.089231,-0.283625,-0.158224,0.030032,-0.279585,0.147158,0.024098,-0.202027,-0.069429,0.030032,0.275412,-0.089231,0.178248,-0.259624,0.242468,0.035932,0.152407,0.152407,0.059189,0.188401,0.247241,-0.130053,-0.030962,0.556125,-0.445906,-0.102654,-0.006116,0.188401,0.093090,0.734944,-0.082587,-0.385842,-0.037271,0.053425,-0.006116,0.030032,0.087519,0.147158,-0.069429,0.280031,-0.187212,-0.043621
L3,-0.095920,-0.095920,-0.069429,0.059189,-0.062914,-0.102654,0.059189,-0.130053,0.030032,-0.037271,-0.095920,-0.095920,0.120489,-0.006116,-0.255679,-0.062914,-0.006116,0.120489,-0.069429,0.298296,0.468478,0.093090,-0.089231,0.183337,0.152407,-0.069429,-0.187212,-0.095920,0.372404,0.018127,-0.062914,0.302811,-0.030962,0.087519,-0.123133,-0.130053,-0.043621,-0.639722,-0.232332,0.059189,-0.158224,0.120489,0.147158,-0.062914,0.125880,-0.069429,-0.202027
L4,-0.158224,-0.006116,-0.006116,-0.158224,-0.445906,-0.158224,0.024098,0.093090,-0.030962,-0.130053,-0.062914,-0.130053,1.533452,-0.030962,-0.030962,0.125880,0.120489,-0.006116,-0.102654,-0.283625,-0.062914,-0.030962,0.059189,0.147158,0.342551,0.053425,0.000000,0.053425,0.024098,-0.775734,-0.095920,-0.123133,0.035932,0.183337,0.125880,0.093090,-0.663115,-0.880359,-0.350596,0.307305,-0.062914,-0.037271,0.024098,-0.341975,0.059189,0.213340,-0.255679
L5,-0.130053,-0.346276,-0.089231,-0.062914,-0.320743,-0.187212,-0.062914,0.152407,-0.217064,0.053425,0.000000,-0.165392,-0.413116,-0.069429,-0.012270,-0.062914,0.087519,-0.095920,0.429563,0.024098,0.437468,0.030032,0.087519,-0.158224,-0.012270,0.213340,-0.255679,-0.062914,0.024098,-0.474894,-0.069429,-0.037271,-0.024693,0.000000,0.183337,0.024098,0.024098,-0.413116,0.316234,0.147158,-0.006116,0.030032,0.059189,-0.130053,0.251992,0.203438,-0.329182
L6,0.338213,0.087519,0.147158,-0.062914,0.152407,0.024098,0.093090,-0.062914,0.030032,-0.194592,-0.006116,-0.354934,0.059189,-0.194592,-0.102654,0.030032,0.024098,0.152407,0.284629,-0.102654,-0.089231,0.223144,0.183337,-0.062914,0.251992,0.247241,0.218254,0.120489,0.183337,-0.645519,0.218254,0.064920,-0.341975,-0.095920,-0.756061,0.769430,-0.030962,-0.194592,0.445311,0.338213,0.093090,-0.006116,0.059189,-0.251750,0.668455,0.041797,0.342551
L7,0.368194,0.157629,-0.158224,0.030032,0.157629,0.098631,0.125880,-0.095920,-0.346276,-0.095920,0.120489,-0.346276,0.935615,0.098631,0.064920,-0.255679,-0.151107,0.000000,-0.158224,-0.069429,0.193438,-0.312375,0.030032,-0.006116,0.188401,-0.006116,-0.069429,-0.062914,-0.006116,-0.165392,0.266110,0.030032,0.680877,0.157629,0.298296,0.173133,0.527755,-0.165392,-0.403942,0.183337,0.064920,-0.006116,0.024098,-0.130053,0.024098,0.173133,0.758067
L8,-0.069429,-0.130053,-0.006116,0.053425,0.000000,0.280031,0.152407,-0.062914,0.183337,0.059189,-0.224669,0.311780,1.220902,0.850776,-0.006116,-0.062914,-0.069429,0.120489,0.333856,0.018127,-0.123133,0.087519,0.059189,0.059189,0.307305,0.237672,-0.095920,-0.006116,0.270772,-0.403942,-0.158224,-0.069429,0.242468,0.120489,0.498556,-0.037271,0.053425,-0.037271,-0.130053,0.218254,0.087519,-0.037271,-0.006116,-0.123133,-0.263585,-0.504747,0.513262
L9,-0.158224,-0.130053,-1.110882,0.000000,-0.158224,0.030032,-0.095920,-0.095920,0.059189,-0.037271,-0.158224,0.035932,0.498556,0.030032,0.093090,-0.194592,0.053425,0.059189,-0.130053,0.018127,0.064920,0.059189,0.120489,-0.095920,-0.130053,0.247241,0.000000,-0.069429,0.087519,0.024098,-0.062914,-0.069429,-0.062914,0.218254,0.030032,-0.259624,-0.441155,-0.346276,0.270772,0.059189,0.115069,-0.095920,-0.224669,-0.251750,0.329479,0.030032,1.779489
L10,0.120489,-0.130053,-0.095920,-0.187212,-0.130053,-0.123133,0.183337,0.035932,0.213340,-0.158224,-0.137022,-0.062914,0.968559,0.505936,0.120489,0.098631,-0.062914,-0.030962,-0.012270,0.053425,0.152407,0.000000,0.087519,0.183337,0.030032,0.087519,-0.037271,-0.030962,0.120489,0.468478,0.498556,-0.037271,-0.095920,0.115069,0.311780,0.342551,0.247241,-0.422376,0.491121,-0.158224,-0.030962,-0.089231,-0.030962,-0.030962,0.491121,-0.316550,0.758067
