layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prep,7:are,8: a,9: brief,10: patient,11: presentatio,12: for,13: rheumatoid,14: arthritis,15:.,"16:
",17:Prior,18:it,19:ize,20: demographic,21: information,22: followed,23: by,24: major,25: PM,26:H,27:.,28: Begin,29: exactly,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L1,0.535020,0.622695,0.174353,0.145366,0.246009,0.246009,0.115513,0.046520,0.052993,0.059423,-0.107631,0.103318,0.052993,-0.158127,0.208064,0.145366,0.097164,0.180051,0.145366,-0.107631,0.046520,0.072162,0.059423,-0.041673,0.115513,0.208064,0.456305,0.213574,0.394062,-0.138402,0.229923,0.084741,0.434517,-0.048790,0.235314,0.151231,-0.020619,0.219054,0.059423,0.090972,0.097164,0.026847,-0.048790,0.109434,0.939157
L2,0.287682,0.665559,0.267063,0.240676,0.208064,0.272258,-0.006826,0.059423,0.026847,0.180051,0.097164,0.629968,-0.006826,0.078472,-0.070452,0.240676,0.219054,0.139466,0.020203,0.090972,-0.070452,-0.048790,-0.048790,0.109434,0.180051,0.127561,0.456305,0.180051,0.430102,0.046520,0.246009,0.246009,0.090972,-0.400376,-0.048790,0.277426,0.026847,0.000000,0.191351,0.157062,0.282567,0.103318,0.494364,-0.479573,0.121555
L3,0.208064,0.240676,-0.013699,0.185717,0.145366,0.208064,0.139466,0.219054,0.084741,0.020203,0.006780,0.090972,0.375543,0.570249,0.115513,0.180051,0.332577,0.272258,0.115513,0.297834,-0.122898,0.006780,0.180051,0.145366,0.235314,0.213574,0.752571,0.317835,0.168623,-0.166127,0.412245,0.473399,0.629968,0.347105,0.006780,0.174353,0.090972,0.256591,0.208064,0.213574,0.115513,0.307885,0.607989,-0.360570,0.196953
L4,0.109434,0.180051,0.078472,0.267063,-0.034606,0.180051,-0.006826,0.065813,-0.013699,-0.215520,0.224503,-0.085158,0.127561,1.646825,0.020203,0.103318,0.256591,0.180051,0.026847,-0.020619,-0.202941,-0.013699,-0.041673,0.026847,0.240676,0.139466,0.473399,0.327687,0.033448,0.078472,0.162859,0.202524,0.366154,0.292771,0.287682,0.103318,-0.317604,0.277426,0.145366,0.240676,0.052993,-0.027588,0.196953,0.490206,0.196953
L5,0.121555,0.103318,0.000000,0.246009,-0.138402,0.585516,0.109434,0.020203,-0.013699,-0.070452,0.267063,0.180051,0.109434,0.020203,0.151231,0.403195,0.202524,0.202524,0.115513,0.097164,0.421213,0.046520,0.059423,0.059423,0.078472,0.416739,0.407730,0.430102,0.139466,-0.034606,0.307885,0.229923,0.451985,-0.150190,0.109434,0.272258,-0.326993,0.272258,0.287682,0.097164,0.213574,0.157062,0.486031,0.356675,0.464889
L6,0.185717,0.090972,0.078472,0.084741,-0.013699,-0.092593,0.145366,0.145366,-0.013699,0.213574,0.145366,0.151231,0.191351,0.277426,-0.115235,0.168623,0.109434,0.267063,0.196953,0.097164,0.090972,-0.280902,0.115513,0.224503,0.145366,0.277426,0.157062,0.337444,0.622695,0.033448,0.196953,-0.077778,-0.312942,0.224503,0.174353,0.665559,-0.150190,0.157062,0.072162,0.174353,-0.006826,-0.271934,0.451985,0.033448,-0.092593
L7,0.607989,0.398639,0.145366,-0.063179,0.337444,2.519998,0.145366,-0.013699,-0.077778,0.191351,0.020203,-0.055959,0.065813,1.570598,0.000000,0.084741,0.040005,0.127561,-0.034606,0.256591,0.052993,-0.077778,0.084741,0.097164,0.078472,0.145366,-0.223994,0.267063,-0.048790,-0.130620,-0.346042,-0.194642,-0.375312,-0.633724,0.208064,-0.249858,-0.559616,0.033448,0.246009,0.174353,-0.041673,-0.308301,-0.285417,-0.154151,0.046520
L8,0.090972,0.121555,0.151231,0.006780,0.090972,0.562527,0.185717,-0.034606,0.151231,0.139466,-0.013699,0.240676,0.090972,1.276768,0.347105,0.127561,0.040005,0.127561,0.084741,0.040005,-0.070452,-0.207116,-0.006826,-0.034606,0.145366,0.000000,0.157062,0.522996,0.065813,0.145366,0.202524,0.115513,0.282567,0.272258,0.256591,0.272258,-0.370374,0.121555,0.277426,0.059423,0.180051,-0.092593,-0.385262,-0.138402,0.162859
L9,0.020203,-0.034606,-0.431306,-0.027588,0.033448,0.121555,0.115513,0.084741,0.139466,0.430102,-0.006826,0.481838,0.235314,0.593064,-0.122898,0.097164,0.046520,0.180051,0.145366,0.000000,0.145366,-0.170151,0.084741,0.020203,0.084741,-0.034606,0.272258,0.267063,0.208064,0.115513,0.246009,0.464889,0.251314,0.771619,0.151231,0.514899,-0.541916,0.097164,0.127561,-0.041673,0.065813,0.065813,-0.186412,0.351902,0.629968
L10,0.059423,0.052993,0.046520,0.052993,0.090972,0.416739,0.059423,0.145366,0.145366,0.059423,-0.006826,0.302872,0.443289,1.206012,0.157062,0.208064,0.127561,0.052993,0.065813,-0.299085,-0.055959,-0.107631,0.213574,0.046520,0.020203,0.052993,0.139466,0.224503,0.115513,0.121555,0.020203,0.229923,0.000000,-0.400376,-0.308301,-0.271934,0.026847,0.127561,0.020203,-0.034606,0.033448,-0.375312,-0.070452,-0.308301,-0.365460
L11,0.180051,0.145366,0.109434,0.084741,0.213574,-0.034606,0.026847,0.052993,0.033448,0.121555,-0.041673,0.272258,0.078472,3.496508,1.321302,0.240676,-0.048790,0.052993,0.065813,-0.158127,0.145366,0.020203,0.059423,-0.055959,0.078472,0.084741,0.246009,0.267063,0.127561,0.059423,0.292771,0.307885,0.020203,0.240676,0.121555,-0.380275,-0.447138,0.157062,0.103318,0.065813,-0.115235,-0.182322,0.272258,0.954988,-0.355704
L12,0.208064,0.084741,0.026847,0.000000,-0.034606,-0.100083,0.202524,0.121555,0.115513,0.065813,-0.130620,0.272258,0.246009,0.277426,0.219054,0.000000,0.078472,0.084741,0.115513,-0.034606,0.026847,-0.077778,0.103318,-0.041673,0.020203,0.084741,0.127561,0.267063,-0.006826,0.026847,0.139466,-0.236842,0.213574,0.297834,0.577912,-0.285417,-0.441833,0.246009,0.115513,0.020203,0.145366,0.133531,-0.130620,0.407730,0.356675
L13,0.059423,0.145366,0.078472,0.084741,0.052993,0.078472,-0.041673,0.121555,0.109434,0.246009,-0.006826,0.219054,0.157062,-0.020619,-0.263045,0.013514,-0.013699,0.180051,0.020203,0.052993,-0.162119,-0.271934,0.026847,-0.041673,0.139466,0.020203,0.196953,0.224503,0.046520,-0.107631,-0.138402,0.000000,0.072162,0.814702,0.097164,0.013514,-0.553681,0.065813,0.040005,0.090972,0.224503,0.026847,-0.085158,-0.485083,1.928263
L14,0.127561,0.033448,0.145366,-0.006826,0.185717,-0.186412,0.020203,-0.063179,0.090972,0.020203,-0.041673,-0.263045,-0.092593,0.229923,-0.322288,-0.034606,0.026847,0.059423,0.115513,0.078472,0.026847,-0.138402,0.090972,0.145366,-0.013699,0.115513,0.256591,0.375543,0.000000,0.127561,0.145366,0.033448,0.246009,-0.223994,-0.299085,-0.027588,-0.727753,0.121555,0.103318,0.059423,-0.013699,-0.395313,-0.245500,-0.178248,0.443289
L15,0.084741,0.052993,0.052993,0.090972,0.121555,0.145366,0.052993,0.109434,0.145366,0.157062,0.109434,0.052993,0.246009,0.498505,0.078472,0.078472,0.168623,0.115513,0.208064,0.277426,-0.130620,-0.107631,0.097164,0.157062,0.133531,0.180051,0.040005,0.180051,0.174353,0.026847,0.151231,-0.130620,0.040005,0.490206,0.407730,-0.158127,0.425668,0.033448,0.246009,0.033448,0.115513,0.040005,0.538996,1.037846,2.227011
L16,0.127561,0.013514,0.078472,0.020203,0.052993,-0.063179,0.208064,0.000000,0.046520,0.115513,0.026847,0.013514,-0.063179,0.162859,0.097164,0.052993,0.052993,0.084741,0.145366,-0.027588,0.052993,-0.100083,-0.006826,0.026847,0.052993,0.180051,0.133531,0.240676,-0.006826,0.065813,0.020203,0.174353,0.229923,-0.048790,0.033448,-0.170151,0.272258,0.208064,0.317835,0.115513,0.224503,-0.228259,-0.219748,-0.006826,0.272258
L17,0.052993,-0.041673,0.052993,0.078472,0.097164,0.059423,0.084741,0.109434,0.145366,0.059423,0.065813,-0.158127,0.059423,0.615369,0.277426,-0.130620,0.162859,-0.006826,0.115513,0.115513,0.145366,0.033448,0.052993,-0.020619,0.115513,0.000000,0.246009,0.059423,0.084741,-0.006826,0.180051,0.103318,-0.013699,1.138618,0.494364,-0.267479,-0.447138,0.151231,-0.020619,0.052993,0.157062,0.006780,-0.322288,1.056940,0.327687
L18,0.090972,0.026847,0.121555,0.180051,0.157062,0.090972,0.180051,0.240676,0.121555,0.302872,0.347105,0.562527,0.282567,9.776280,3.120595,0.562527,0.078472,0.151231,0.033448,0.127561,0.527020,0.307885,0.389465,0.127561,0.059423,0.246009,0.347105,0.151231,0.157062,0.180051,0.240676,0.256591,0.679448,6.331078,0.370860,0.121555,-0.299085,-0.070452,0.224503,0.097164,0.033448,0.040005,0.332577,1.746534,0.965405
