layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Please,7: draft,8: a,9: short,10: admission,11:-,12:style,13: patient,14: presentatio,15: for,16: rheumatoid,17: arthritis,"18:,",19: including,20: demographic,21: and,22: pertinent,23: PM,24:H,25:.,26: Start,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L1,0.074108,-0.377027,-0.066249,0.126294,0.181253,0.068138,-0.066249,-0.254065,-0.066249,-0.190044,-0.254065,0.186586,0.000000,0.109199,-0.115382,0.253449,-0.129875,0.056089,0.243449,0.120628,0.056089,0.186586,-0.006431,0.181253,0.062132,-0.129875,0.120628,0.062132,0.068138,0.114930,0.680244,0.120628,0.263350,0.062132,0.126294,0.379490,0.430783,0.186586,0.126294,0.120628,-0.190044,0.175891,1.614553
L2,0.790785,0.718465,0.056089,0.000000,-0.197826,-0.066249,-0.129875,-0.249942,-0.190044,-0.313657,-0.367725,-0.122602,-0.258206,0.154151,0.361790,0.062132,-0.495979,-0.377027,-0.122602,0.181253,0.114930,0.062132,0.181253,-0.129875,-0.129875,0.253449,-0.182322,-0.066249,0.000000,0.126294,0.375094,-0.773190,-0.386417,0.737041,-0.190044,0.131928,0.056089,0.186586,0.243449,0.056089,0.302002,-0.595508,0.109199
L3,0.181253,0.062132,-0.122602,0.243449,-0.073122,0.062132,0.062132,0.126294,-0.318053,-0.129875,0.181253,-0.006431,-0.439698,0.056089,-0.066249,0.186586,0.062132,0.243449,0.191891,0.062132,-0.372365,0.126294,0.186586,0.181253,0.181253,0.186586,-0.309281,-0.867805,-0.066249,-0.190044,0.109199,-0.066249,-0.182322,0.633724,-0.129875,-0.006431,0.056089,0.186586,0.062132,0.181253,0.243449,-0.059423,0.191891
L4,0.243449,0.181253,-0.137201,0.000000,0.126294,0.068138,-0.006431,-0.377027,-0.190044,0.000000,0.043894,-0.006431,-0.377027,0.191891,0.443205,0.673729,0.563272,0.311436,0.311436,0.120628,-0.129875,0.000000,-0.059423,0.126294,0.361790,0.120628,-0.066249,-0.377027,0.370679,0.191891,0.879733,0.555946,-0.066249,0.165080,-0.254065,0.503103,0.120628,0.243449,0.120628,0.191891,0.357316,0.191891,0.383866
L5,0.114930,0.114930,0.050010,0.306730,0.120628,0.114930,-0.012903,-0.190044,-0.444686,0.120628,-0.144581,0.126294,-0.625009,0.186586,0.879733,0.186586,0.181253,0.181253,0.062132,0.375094,-0.386417,-0.197826,0.062132,-0.073122,-0.555617,0.062132,0.238411,0.062132,1.313172,0.191891,0.503103,-0.550046,-0.439698,0.640503,-0.229574,0.311436,0.120628,0.248461,0.311436,0.050010,0.175891,1.249093,0.325422
L6,-0.190044,-0.129875,0.126294,0.126294,0.320782,-1.632128,-0.006431,0.050010,0.175891,0.126294,0.000000,-0.006431,-0.233615,0.050010,0.000000,0.238411,0.311436,-0.129875,0.306730,0.426607,-0.066249,0.434941,0.186586,-0.059423,-0.637057,0.056089,0.175891,-0.444686,-0.449698,-0.480313,-0.506561,0.518488,0.062132,0.863647,-0.262364,0.626898,0.120628,-0.006431,-0.006431,-0.313657,0.154151,-0.167054,-0.344840
L7,0.366244,0.248461,0.181253,0.056089,0.311436,1.791759,0.175891,0.056089,0.114930,0.000000,0.056089,0.062132,-0.129875,-0.129875,-0.309281,-0.019418,1.128088,0.248461,0.120628,-0.073122,-0.501256,-0.066249,0.056089,0.120628,0.062132,0.248461,-0.197826,-0.501256,-0.631015,0.056089,-0.538996,-0.511894,0.518488,0.062132,-0.815749,0.186586,0.181253,0.126294,-0.066249,-0.190044,-0.241745,0.548566,0.633724
L8,-0.059423,-0.066249,0.243449,0.000000,0.248461,0.755279,0.120628,0.000000,0.000000,0.000000,-0.190044,-0.059423,0.181253,-0.059423,0.633724,0.563272,0.686716,0.434941,0.126294,0.186586,-0.258206,0.062132,-0.066249,0.126294,0.114930,0.000000,0.120628,-0.129875,-0.129875,0.000000,0.620025,1.379863,0.379490,0.673729,-0.237672,0.000000,0.120628,0.186586,-0.059423,-0.059423,-0.674099,0.253449,0.443205
L9,0.056089,-0.006431,-0.719122,0.120628,0.243449,0.370679,-0.006431,0.056089,0.056089,0.000000,-0.006431,-0.006431,0.370679,0.426607,0.430783,0.175891,0.366244,-0.066249,0.243449,0.306730,-0.073122,0.062132,-0.122602,0.120628,-0.073122,0.248461,-0.066249,-0.066249,0.306730,0.126294,0.439082,0.422415,0.316120,0.718465,-0.254065,0.186586,0.056089,0.062132,0.120628,-0.006431,0.126294,0.375094,2.868772
L10,-0.066249,0.056089,0.062132,0.243449,-0.006431,0.434941,-0.006431,0.181253,0.056089,0.186586,0.186586,0.120628,-0.059423,0.443205,0.126294,-0.309281,0.874400,0.306730,-0.059423,0.302002,-0.470003,0.062132,-0.066249,-0.006431,0.062132,0.000000,0.238411,-0.129875,0.056089,0.175891,-0.006431,-1.098612,-0.122602,-0.322468,-0.381711,0.248461,0.186586,0.062132,0.120628,-0.066249,-0.249942,-0.266540,-0.197826
