layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Pro,7:du,8:ce,9: a,10: discharge,11:-,12:brief,13: style,14: summary,15: for,16: rheumatoid,17: arthritis,"18:,",19: limited,20: to,21: demographic,22: and,23: prior,24: medical,25: history,26:.,27: Start,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L1,0.269512,-0.728827,-0.332062,-0.093463,-0.093463,0.057784,-0.055024,-0.055024,0.496186,0.246534,-0.548784,-0.168020,-0.024082,-0.042532,-0.093463,0.079993,-0.100016,-0.036344,-0.086953,-0.126665,-0.391853,0.011827,-0.189356,-0.106612,-0.074059,-0.100016,-0.036344,-0.055024,-0.248586,0.011827,0.063382,-0.055024,0.074487,-0.030194,0.074487,-0.248586,-0.067673,-0.067673,-0.106612,-0.036344,-0.048758,0.063382,-0.086953
L2,0.241874,0.117712,0.085470,-0.100016,-0.018007,-0.042532,-0.106612,-0.055024,0.164206,-0.168020,-0.728827,-0.374402,-0.311545,-0.189356,-0.432269,-0.024082,-0.374402,0.184196,-0.133440,-0.126665,-0.182193,-0.036344,0.000000,-0.168020,0.052153,-0.036344,0.079993,-0.080485,-0.113252,0.117712,-0.479179,-0.030194,0.174251,-0.218533,0.046491,-0.263958,-0.011968,-0.086953,-0.100016,-0.154044,0.000000,0.011827,-0.240987
L3,-0.161007,-0.106612,-0.074059,0.005931,-0.093463,-0.080485,-0.093463,-0.024082,0.287522,-0.086953,-0.327925,-0.086953,-1.097331,0.046491,0.237193,-0.332062,-0.336216,-0.161007,-0.196571,-0.106612,-0.263958,-0.182193,-0.196571,0.096333,-0.113252,0.128232,-0.168020,-0.024082,-0.048758,0.046491,-0.080485,0.169241,-0.042532,-0.344577,0.154059,-0.055024,-0.140261,-0.042532,-0.080485,-0.048758,0.011827,-0.147129,0.029309
L4,-0.018007,-0.055024,-0.119936,-0.048758,-0.218533,-0.030194,-0.036344,-0.005966,-0.005966,-0.140261,-0.340388,-0.295430,-1.142912,-0.256242,0.023516,0.074487,0.698760,0.169241,0.107080,-0.030194,-0.042532,0.138643,-0.080485,-0.093463,-0.067673,0.085470,-0.119936,-0.074059,0.040796,0.189132,-0.036344,-0.538539,-0.011968,-0.559135,-0.147129,-0.119936,-0.055024,-0.042532,-0.196571,0.046491,0.063382,-0.140261,0.352309
L5,-0.005966,-0.126665,-0.211158,0.079993,-0.147129,-0.126665,-0.042532,-0.100016,-0.074059,-0.651736,-0.553946,-0.271733,-0.735010,-0.119936,0.343910,-0.203838,-0.175081,-0.106612,-0.100016,0.029309,-0.340388,-0.061328,-0.042532,-0.080485,0.011827,-0.196571,-0.175081,0.023516,0.023516,0.198930,-0.140261,-0.086953,-0.005966,-1.062306,-0.248586,-0.168020,-0.042532,-0.030194,-0.119936,-0.080485,-0.067673,0.223015,-1.942072
L6,-0.119936,-0.126665,-0.011968,-0.018007,0.090916,-0.832671,-0.005966,-0.055024,0.011827,0.085470,-0.488831,-0.080485,-0.686579,0.169241,0.040796,-0.196571,-0.601646,-0.291441,0.035069,0.011827,-0.042532,0.251172,-0.182193,-0.055024,-0.106612,-0.374402,-0.378737,-0.106612,-0.488831,-0.005966,-0.042532,-0.518358,0.184196,0.122986,-0.374402,-0.182193,-0.024082,-0.074059,-0.154044,-0.147129,-0.378737,0.107080,-0.686579
L7,-0.055024,-0.189356,-0.042532,-0.011968,-0.126665,0.413153,-0.067673,-0.196571,-0.133440,-0.319701,-0.474388,-0.106612,-0.503485,0.000000,0.029309,-0.061328,0.417081,-1.133628,-0.080485,-0.161007,-0.133440,-0.140261,-0.203838,0.035069,-0.093463,-0.483993,0.017688,-0.074059,-0.126665,0.377093,-0.315615,-0.189356,-0.574866,-0.233446,-0.427697,-0.154044,-0.005966,-0.036344,-0.147129,-0.100016,-0.126665,0.046491,0.389258
L8,-0.018007,-0.119936,-0.018007,0.057784,-0.067673,0.194043,-0.042532,0.017688,-0.161007,-0.106612,-0.414105,-0.154044,-0.469619,0.122986,0.246534,0.023516,0.444151,0.223015,0.122986,-0.119936,-0.211158,-0.067673,-0.233446,0.005931,-0.042532,-0.119936,0.052153,0.023516,-0.423146,-0.106612,-0.080485,0.287522,-0.248586,-0.147129,-0.299434,-0.067673,-0.036344,-0.042532,-0.061328,0.074487,-0.674829,-0.030194,-0.119936
L9,-0.048758,-0.119936,0.107080,-0.080485,-0.036344,-0.067673,-0.048758,-0.086953,-0.011968,-0.011968,-0.543648,-0.080485,0.040796,0.291974,-0.113252,0.005931,0.545647,0.169241,-0.154044,-0.086953,0.133451,-0.086953,0.128232,-0.024082,-0.005966,-0.005966,0.208634,-0.048758,0.063382,-0.175081,-0.036344,0.057784,-0.147129,-0.168020,-0.086953,-0.140261,-0.086953,-0.055024,-0.093463,0.023516,-0.126665,-0.030194,0.063382
L10,-0.074059,-0.061328,-0.048758,-0.133440,-0.093463,-0.263958,-0.093463,-0.086953,-0.042532,-0.030194,-0.344577,-0.080485,-0.018007,-0.074059,-0.093463,-0.086953,0.459296,-0.154044,-0.030194,-0.113252,0.133451,-0.248586,0.023516,-0.048758,-0.024082,-0.030194,-0.030194,-0.074059,0.057784,-0.024082,-0.042532,0.005931,-0.279570,-0.256242,-0.080485,-0.005966,0.005931,-0.011968,-0.011968,0.040796,-0.663216,0.096333,-0.119936
