layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: short,9: paragraph,10: (,11:2,12:-,13:4,14: sentences,15:),16: for,17: a,18: rheumatoid,19: arthritis,20: patient,"21:,",22: including,23: demographic,24: and,25: clinically,26: relevant,27: PM,28:H,29:.,30: Start,31: exactly,32: with,33::,"34: """,35:Gender,36::,"37: ""","38:
",39:<,40:|,41:ass,42:istant,43:|>,"44:
",45:Gender,46::
L1,-0.124513,0.836085,0.088636,0.000000,-0.034743,0.119408,-0.193111,0.000000,0.061485,-0.410355,0.088636,0.000000,0.119408,0.128028,-0.034743,-0.158224,-0.065515,-0.163955,-0.187212,0.061485,0.000000,-0.091901,0.093090,0.218254,0.218254,-0.034743,0.028848,-0.034743,0.145050,0.061485,-0.034743,-0.158224,0.123727,0.028848,-0.055152,-0.158224,-0.024693,-0.065515,-0.187212,0.218254,0.000000,0.061485,0.119408,0.000000,0.210379,-0.065515,0.688257
L2,-0.353197,-0.108074,-0.004890,0.093090,-0.065515,-0.130053,-0.124513,0.028848,-0.029705,0.028848,-0.029705,0.028848,0.028848,0.093090,-0.158224,-0.254106,0.088636,-0.029705,0.088636,-0.034743,-0.097263,-0.034743,-0.065515,0.218254,0.088636,-0.187212,0.119408,-0.158224,0.311780,0.088636,0.123727,0.214324,-0.124513,0.252939,0.149261,-0.395756,-0.374250,0.267977,0.123727,0.000000,0.182322,0.245334,0.182322,-0.130053,0.304611,0.186378,0.275412
L3,0.000000,-0.124513,-0.102654,0.024098,-0.217064,0.028848,0.028848,-0.065515,0.214324,-0.410355,-0.034743,-0.065515,-0.187212,0.088636,-0.474894,-0.097263,0.061485,-0.065515,0.245334,0.339950,0.093090,-0.004890,-0.029705,0.551921,0.024098,0.000000,0.182322,-0.217064,0.311780,0.186378,-0.124513,-0.091901,-0.065515,0.033576,-0.039806,-0.683438,-0.097263,-0.535518,0.153454,-0.060320,-0.034743,0.093090,0.028848,0.028848,0.024098,0.500036,0.157629
L4,-0.029705,0.028848,-0.187212,-0.034743,-0.097263,0.028848,-0.004890,-0.158224,-0.029705,-0.506769,-0.065515,-0.097263,-0.034743,0.024098,-0.374250,-0.193111,-0.097263,-0.034743,0.648252,0.056887,0.339950,-0.091901,0.439041,-0.009804,0.182322,0.088636,0.523429,0.061485,0.517632,0.367349,-0.247836,0.119408,-0.097263,0.028848,0.439041,-0.319064,-0.523096,-0.494696,-0.273154,0.214324,-0.039806,0.093090,0.115069,0.056887,0.360570,0.282792,0.009709
L5,-0.097263,0.024098,-0.193111,-0.097263,-0.193111,-0.065515,-0.130053,-0.158224,-0.060320,0.028848,-0.097263,-0.034743,0.024098,0.028848,-0.339403,-0.158224,0.153454,-0.193111,0.494101,0.056887,0.084162,0.119408,-0.029705,-0.102654,0.275412,0.061485,0.145050,-0.097263,0.590493,0.648252,-0.286057,0.061485,-0.070737,-0.124513,0.128028,0.174158,-0.367183,-0.292572,-0.440208,0.153454,-0.034743,0.024098,0.182322,0.093090,0.304611,-0.543886,0.546287
L6,0.000000,0.056887,-0.097263,-0.065515,-0.065515,-0.130053,-0.065515,-0.158224,-0.130053,-0.527219,0.088636,-0.004890,0.056887,0.088636,0.028848,0.061485,0.061485,-0.223144,0.407090,-0.187212,-0.097263,0.093090,0.374083,-0.065515,0.214324,-0.004890,-0.135624,0.093090,0.394018,0.339950,0.149261,-0.163955,-0.353197,-0.158224,-0.199046,1.290374,-0.065515,-0.199046,-0.381367,0.339950,0.093090,0.000000,0.088636,-0.065515,0.551921,0.360570,0.128028
L7,0.955511,0.803859,-0.124513,-0.034743,-0.065515,0.731429,-0.034743,0.000000,-0.034743,0.149261,0.093090,0.000000,0.028848,-0.004890,-0.097263,0.028848,-0.254106,0.028848,0.683343,-0.217064,-0.693147,-0.374250,0.123727,-0.560836,-0.187212,0.028848,-0.065515,0.061485,-0.119003,0.000000,0.028848,-0.158224,0.153454,0.028848,0.056887,-0.211022,0.128028,-0.346276,-0.823200,-0.004890,0.093090,-0.004890,-0.034743,-0.279585,0.024098,0.206419,0.380772
L8,-0.097263,0.088636,-0.004890,-0.029705,0.093090,0.339950,-0.065515,0.056887,-0.130053,0.214324,-0.065515,-0.034743,-0.029705,0.056887,-0.217064,0.056887,0.000000,-0.004890,0.557523,0.432732,0.084162,0.061485,-0.060320,-0.374250,-0.034743,0.000000,-0.097263,-0.004890,-0.102654,-0.024693,-0.065515,-0.158224,-0.102654,-0.065515,0.557523,-0.065515,-0.152526,0.426383,0.210379,0.182322,-0.130053,0.088636,-0.029705,-0.187212,-0.055152,-0.470980,0.877499
L9,-0.097263,-0.097263,-0.748299,0.119408,0.056887,0.282792,-0.097263,-0.065515,-0.004890,-0.065515,-0.034743,-0.065515,0.088636,0.088636,-0.254106,-0.065515,-0.004890,-0.124513,0.563094,-0.065515,-0.135624,-0.034743,0.061485,0.529192,0.149261,0.000000,0.028848,0.000000,0.119408,0.157629,-0.254106,-0.029705,-0.193111,-0.004890,-0.034743,0.194443,-0.217064,0.229950,-0.065515,-0.004890,0.056887,0.061485,-0.029705,-0.247836,-0.135624,0.494101,0.165928
L10,-0.029705,-0.004890,-0.004890,-0.097263,0.028848,0.252939,-0.158224,0.028848,0.028848,0.061485,0.024098,0.061485,0.028848,-0.065515,0.128028,-0.187212,0.088636,0.088636,0.590493,0.000000,-0.353197,0.182322,0.252939,0.140822,-0.217064,-0.124513,-0.065515,-0.004890,0.339950,0.033576,-0.091901,-0.004890,-0.158224,0.245334,0.557523,-0.163955,-0.065515,-0.169718,0.245334,-0.091901,0.123727,-0.065515,-0.158224,-0.374250,-0.044895,-0.102654,-0.254106
L11,-0.004890,-0.060320,0.000000,-0.065515,0.088636,-0.158224,-0.065515,0.024098,-0.254106,-0.065515,-0.004890,-0.029705,-0.034743,-0.034743,-0.034743,-0.158224,-0.060320,-0.124513,1.068907,0.463887,0.439041,0.061485,-0.097263,-0.009804,-0.346276,0.061485,-0.130053,-0.004890,0.033576,-0.124513,-0.060320,-0.060320,0.028848,0.275412,0.494101,1.565562,0.097525,-0.578078,0.056887,-0.319064,0.028848,0.024098,-0.158224,-0.403029,0.088636,1.020870,-0.247836
L12,-0.004890,0.000000,-0.065515,-0.034743,-0.029705,-0.187212,-0.065515,0.028848,-0.060320,-0.247836,-0.034743,0.056887,-0.065515,0.088636,0.186378,-0.034743,0.088636,0.061485,0.033576,0.123727,-0.565119,-0.004890,0.000000,-0.217064,-0.029705,-0.097263,-0.130053,0.088636,0.093090,0.000000,-0.034743,-0.034743,-0.279585,-0.060320,0.061485,0.318897,0.304611,-0.531360,-0.527219,-0.124513,0.056887,0.028848,-0.034743,-0.124513,-0.374250,0.707675,0.844506
L13,0.056887,-0.124513,-0.130053,-0.091901,-0.124513,-0.029705,-0.034743,-0.065515,-0.124513,0.028848,0.056887,-0.034743,-0.029705,-0.029705,-0.319064,-0.124513,-0.004890,0.056887,-0.034743,-0.217064,0.627632,-0.346276,-0.004890,-0.319064,0.093090,0.061485,-0.163955,-0.004890,-0.130053,0.214324,0.056887,0.028848,-0.097263,-0.223144,-0.130053,0.374083,0.056887,-0.193111,-0.432661,-0.009804,0.000000,-0.124513,0.061485,-0.065515,-0.299129,-0.360165,0.622411
