layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Clinical,7: task,8::,9: summarize,10: a,11: case,12: of,13: sarc,14:oid,15:osis,16:.,"17:
",18:Report,19: demographic,20: and,21: pertinent,22: prior,23: medical,24: history,25: in,26: concise,27: form,28:.,29: First,30: characters,31: must,32: be,33::,"34: """,35:Gender,36::,"37: ""","38:
",39:<,40:|,41:ass,42:istant,43:|>,"44:
",45:Gender,46::
L1,-0.044255,-1.571216,-0.085831,-0.053346,-0.114542,-0.411980,-0.354821,-0.211309,-0.104880,0.000000,-0.095310,-0.277632,-0.154151,-0.114542,2.959364,-0.386172,-0.129212,-0.044255,-0.030772,-0.260634,-0.216671,0.163384,-0.154151,-0.271934,0.170710,-0.124298,-0.062520,0.094917,-0.260634,-0.149113,-0.174560,-0.030772,-0.008696,-0.451985,-0.081126,0.071011,-0.324424,0.000000,-0.013072,-0.030772,-0.021883,0.163384,-0.030772,-0.076442,-0.324424,-0.169418,-0.159214
L2,-0.300754,-0.085831,-0.216671,-0.062520,-0.222062,-0.312519,-0.312519,-0.271934,-0.124298,-0.216671,0.000000,-0.169418,-0.039740,-0.300754,-0.398992,-0.646627,-0.013072,-0.379823,0.054751,0.356675,-0.243921,-0.139113,-0.114542,-0.095310,-0.222062,-0.044255,-0.095310,0.177983,0.554034,-0.174560,-1.193922,-0.392562,0.075035,-0.367244,-0.144100,-0.500775,-0.222062,-0.425138,-0.465684,-0.174560,-0.085831,0.062914,0.071011,-0.169418,-0.211309,-0.159214,0.415515
L3,-0.190144,-0.062520,-0.104880,0.133531,-0.081126,-0.216671,-0.124298,-0.164303,0.156004,0.133531,-0.289126,-0.179727,0.050644,-0.013072,-0.693147,0.313324,-0.324424,-0.249461,-0.129212,0.593064,0.034046,-0.238411,-0.249461,-0.159214,0.098846,0.118264,-0.154151,0.192372,0.025642,0.058840,-1.047968,0.029853,0.338326,-0.190144,0.098846,0.083035,0.017168,-0.458811,-0.104880,0.199489,-0.205976,0.029853,-0.053346,-0.030772,-0.184922,-0.379823,0.185203
L4,-0.085831,-0.124298,-0.139113,-0.062520,-0.312519,-0.030772,-0.144100,0.050644,-0.260634,0.213574,-0.200671,-0.030772,-0.044255,-0.053346,2.519998,0.133531,-0.266268,-0.081126,-0.021883,-0.081126,0.090972,0.192372,0.141079,0.008621,0.034046,0.062914,-0.076442,0.066971,-0.057923,0.206556,-0.688827,0.227463,0.465665,0.148569,0.268009,1.660081,0.000000,-0.260634,-0.109699,0.102760,-0.048790,-0.021883,-0.114542,-0.114542,0.148569,0.287682,0.254676
L5,-0.026317,0.079043,-0.271934,-0.179727,-0.004338,-0.179727,0.075035,0.362717,-0.104880,0.102760,-0.144100,0.012903,-0.004338,-0.035246,0.356675,0.213574,-0.431782,-0.062520,0.046520,0.503003,-0.030772,-0.062520,-0.030772,-0.104880,-0.330430,-0.062520,0.008621,-0.081126,0.118264,-0.238411,-1.208311,0.156004,-0.053346,-0.807688,0.110542,-0.438471,-0.216671,-0.392562,-0.139113,-0.095310,-0.044255,0.102760,0.133531,-0.044255,0.034046,-0.048790,-0.227482
L6,-0.109699,-0.179727,-0.104880,-0.039740,-0.053346,-0.965081,-0.190144,-0.104880,-0.289126,0.247942,-0.124298,-0.184922,-0.090560,-0.090560,-0.053346,0.083035,-0.294923,-0.277632,-0.124298,1.862098,-0.159214,-0.124298,-0.062520,-0.081126,-0.124298,0.102760,0.206556,-0.013072,-0.129212,-0.190144,-0.392562,0.163384,0.163384,-0.544578,-0.582605,-0.788457,0.133531,-0.134150,0.102760,-0.472604,-0.324424,-0.179727,-0.021883,-0.418537,-0.398992,-0.594301,-0.827297
L7,0.054751,-0.008696,-0.062520,-0.062520,-0.144100,0.762140,-0.035246,-0.114542,-0.013072,0.008621,0.008621,-0.085831,-0.300754,0.029853,-0.760286,0.268009,-0.085831,-0.095310,-0.124298,0.538996,-0.057923,-0.067139,0.125927,-0.169418,-0.124298,-0.095310,0.046520,0.588267,0.098846,0.110542,-0.723919,-0.044255,-0.104880,0.731368,-0.062520,-0.354821,-0.044255,-0.398992,-0.124298,0.133531,0.017168,-0.053346,-0.030772,-0.418537,-0.367244,0.046520,-0.144100
L8,-0.144100,-0.085831,0.029853,-0.030772,0.133531,0.350596,-0.114542,-0.048790,0.071011,0.199489,0.206556,0.008621,0.050644,0.156004,2.278487,0.626008,0.050644,-0.139113,-0.159214,0.762140,0.038221,-0.062520,0.012903,-0.129212,0.156004,0.102760,0.021414,0.062914,-0.013072,-0.312519,-0.255032,-0.205976,0.125927,-0.271934,0.029853,1.220715,0.000000,0.087011,-0.500775,0.090972,-0.114542,-0.062520,0.075035,-0.081126,-0.361013,-0.179727,-0.590387
L9,-0.114542,-0.159214,0.778172,-0.053346,-0.017468,-0.008696,0.042379,-0.200671,0.125927,0.206556,-0.184922,0.356675,-0.030772,0.185203,0.368723,0.004320,-0.211309,-0.076442,-0.139113,0.125927,-0.053346,-0.053346,0.000000,-0.139113,-0.294923,-0.095310,-0.144100,0.170710,-0.211309,-0.062520,-0.976509,-0.451985,-0.057923,-0.451985,-0.567220,-0.159214,0.141079,-0.071780,-0.139113,0.021414,0.042379,-0.021883,-0.030772,-0.184922,0.025642,-0.154151,-0.030772
L10,-0.124298,-0.159214,0.029853,-0.053346,0.058840,0.148569,0.094917,-0.154151,-0.090560,-0.071780,-0.184922,0.029853,-0.119408,-0.169418,0.578606,-0.184922,0.021414,-0.030772,-0.030772,0.185203,-0.159214,-0.114542,0.000000,0.029853,0.062914,-0.044255,-0.174560,-0.200671,0.004320,0.062914,-0.205976,0.079043,-0.266268,-0.184922,0.177983,-0.373513,0.374693,-0.174560,-0.260634,-0.085831,-0.076442,-0.062520,-0.216671,-0.438471,-0.266268,-0.277632,-0.598230
L11,-0.095310,-0.030772,0.000000,-0.095310,0.017168,-0.184922,-0.154151,-0.190144,0.000000,-0.312519,-0.030772,-0.039740,-0.169418,-0.030772,3.022007,0.075035,0.050644,-0.211309,-0.085831,0.313324,-0.053346,-0.154151,-0.017468,-0.095310,0.133531,0.094917,-0.030772,-0.053346,-0.053346,-0.114542,-0.751070,-0.035246,-0.095310,-0.392562,0.071011,2.474390,-0.017468,-0.425138,-0.479573,0.141079,-0.085831,-0.030772,-0.169418,-0.139113,0.038221,0.213574,-0.567220
L12,-0.076442,-0.081126,-0.062520,0.000000,0.071011,-0.405465,0.029853,-0.114542,-0.076442,0.062914,-0.095310,-0.255032,-0.013072,-0.124298,0.000000,-0.342551,0.062914,-0.095310,-0.057923,0.133531,-0.095310,-0.184922,-0.249461,-0.190144,0.110542,-0.134150,-0.190144,-0.095310,-0.294923,-0.249461,-0.582605,0.038221,0.213574,0.199489,0.380628,0.227463,0.350596,-0.200671,0.234336,0.213574,-0.205976,-0.062520,-0.095310,0.163384,1.189584,-0.134150,-1.124929
