layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: hand,9:off,10:-,11:style,12: summary,13: for,14: a,15: patient,16: with,17: sarc,18:oid,19:osis,20:.,21: Include,22: demographic,23: first,"24:,",25: then,26: key,27: PM,28:H,29:.,30: Begin,31: exactly,32: with,33::,"34: """,35:Gender,36::,"37: ""","38:
",39:<,40:|,41:ass,42:istant,43:|>,"44:
",45:Gender,46::
L1,0.317282,-1.246345,0.124911,0.062390,0.000000,0.062390,-0.061967,0.000000,-0.188348,0.252744,0.000000,-0.247032,-0.252541,0.000000,-0.188348,-0.123162,-0.502278,0.000000,1.183595,0.000000,0.062390,0.124911,0.183751,0.183751,0.004283,0.000000,-0.061967,0.000000,0.504799,0.004283,0.000000,-0.128028,0.124911,0.000000,0.569985,-0.057411,-0.553199,0.317282,0.124911,0.311013,0.124911,0.252744,0.246055,0.124911,-0.061967,0.311013,0.812360
L2,-0.193543,0.054293,-0.061967,0.000000,0.004283,-0.061967,0.190869,-0.118320,0.000000,1.891741,0.004283,-0.309375,-0.440403,-0.066543,0.132458,-0.123162,-0.188348,0.000000,-0.066543,-0.183180,-0.188348,0.124911,0.377907,0.000000,0.062390,0.066414,0.062390,0.062390,0.317282,0.124911,0.066414,-0.188348,-0.247032,0.000000,0.000000,-0.560689,-0.183180,0.372007,-0.061967,0.062390,0.190869,0.252744,0.246055,0.000000,0.252744,0.058350,0.560229
L3,0.124911,0.000000,-0.061967,0.000000,0.000000,0.062390,0.372007,-0.188348,0.062390,1.325468,0.124911,-0.128028,0.565119,0.190869,0.124911,-0.375865,-0.061967,0.000000,0.058350,0.631180,0.124911,0.190869,-0.183180,-0.183180,0.000000,0.062390,0.000000,0.124911,0.749471,0.000000,-0.057411,-0.188348,-0.375865,0.062390,-0.061967,-0.502278,0.066414,-0.061967,0.000000,0.132458,0.000000,0.062390,-0.061967,0.124911,0.000000,0.004283,0.317282
L4,0.062390,0.062390,-0.188348,0.124911,0.062390,0.252744,0.124911,0.062390,0.124911,0.383772,0.062390,-0.123162,0.246055,-0.004301,0.183751,0.252744,-0.066543,0.062390,2.130171,0.819950,-0.123162,0.190869,-0.061967,0.124911,0.124911,-0.061967,0.124911,0.066414,0.440606,-0.123162,-0.123162,-0.061967,0.004283,0.252744,0.197936,0.004283,0.132458,0.555315,0.190869,0.377907,-0.061967,0.062390,0.062390,0.124911,0.062390,0.004283,0.509967
L5,-0.066543,-0.061967,0.000000,0.066414,-0.247032,0.190869,0.062390,-0.123162,-0.061967,0.265989,0.000000,0.004283,0.311013,0.000000,-0.128028,-0.188348,0.066414,0.066414,0.440606,0.626604,0.062390,0.004283,-0.061967,0.377907,0.066414,0.124911,0.124911,0.062390,0.440606,-0.004301,-0.375865,0.062390,0.000000,-0.004301,-0.057411,-0.502278,-0.252541,-0.258082,-0.008621,0.190869,0.062390,0.183751,0.435066,0.190869,0.183751,-0.137832,-0.568236
L6,-0.123162,0.062390,0.000000,0.124911,0.000000,-0.252541,0.062390,0.124911,0.124911,-0.427158,0.000000,0.004283,-0.247032,-0.061967,-0.309375,0.070422,-0.309375,0.252744,0.190869,0.499604,0.190869,0.183751,0.062390,0.190869,0.062390,0.190869,0.000000,-0.123162,0.066414,0.246055,-0.247032,-0.188348,-0.315240,-0.375865,-0.315240,-0.502278,-0.004301,0.560229,-0.132918,0.190869,0.062390,0.000000,0.000000,-0.057411,0.304704,-0.634797,-0.697448
L7,0.878682,0.569985,-0.061967,0.000000,0.132458,2.101199,0.066414,0.066414,0.311013,-0.929250,0.246055,0.124911,0.688846,0.000000,0.124911,-0.071141,0.000000,0.377907,-0.746023,0.569985,-0.309375,0.066414,0.000000,0.132458,0.062390,0.124911,-0.128028,0.062390,0.132458,0.246055,0.000000,-0.066543,-0.128028,-0.252541,-0.183180,-0.495211,0.377907,0.311013,-0.433759,0.190869,0.124911,0.124911,-0.061967,-0.118320,0.070422,0.555315,0.749471
L8,0.066414,0.062390,0.190869,0.183751,0.124911,0.317282,-0.123162,0.124911,0.062390,-0.309375,0.000000,0.317282,0.259389,0.190869,0.132458,0.440606,0.190869,0.252744,1.194052,1.316305,0.317282,0.062390,0.124911,0.000000,-0.061967,0.132458,0.124911,0.062390,0.197936,0.190869,0.000000,-0.061967,-0.188348,-0.061967,0.252744,1.886549,0.252744,0.560229,0.000000,0.124911,0.062390,0.062390,0.246055,-0.123162,-0.071141,0.819950,0.435066
L9,0.000000,0.062390,0.555315,0.062390,0.311013,0.372007,0.246055,0.190869,0.183751,0.008547,0.062390,0.252744,0.066414,0.190869,0.062390,0.058350,0.440606,0.252744,0.688846,0.311013,-0.188348,0.062390,0.190869,0.252744,0.062390,0.190869,0.004283,0.062390,0.252744,0.062390,-0.061967,-0.066543,0.000000,-0.061967,0.252744,0.383772,-0.061967,0.246055,-0.123162,0.124911,0.062390,0.183751,0.183751,0.190869,0.311013,0.631180,0.298354
L10,0.124911,-0.123162,0.000000,-0.061967,0.190869,0.383772,0.124911,0.062390,0.004283,-0.118320,0.062390,0.124911,0.066414,0.252744,0.062390,0.317282,0.124911,0.062390,-0.123162,0.440606,0.000000,0.252744,0.252744,0.317282,0.124911,0.124911,0.183751,0.062390,0.499604,0.317282,0.117306,0.000000,0.183751,0.117306,0.372007,-0.433759,-0.258082,0.004283,-0.004301,0.317282,0.062390,0.124911,0.062390,-0.247032,0.252744,-0.560689,0.190869
