layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prov,7:ide,8: 4,9: bullet,10: points,11: summar,12:izing,13: demographic,14: and,15: past,16: medical,17: history,18: for,19: sarc,20:oid,21:osis,22:.,23: Start,24: exactly,25: with,26::,"27: """,28:Gender,29::,"30: ""","31:
",32:<,33:|,34:ass,35:istant,36:|>,"37:
",38:Gender,39::
L1,0.117780,-0.269974,0.350397,0.156695,0.331350,0.077290,0.043674,0.097740,0.164299,0.156695,0.215970,0.278707,0.125685,0.039391,0.271927,0.215970,0.064816,0.428986,0.156695,0.056413,0.723905,-0.355389,0.278707,0.043674,0.318446,0.496426,0.149032,0.237323,-0.088634,0.149032,0.117780,0.375243,0.423155,0.077290,0.186771,0.064816,0.237323,0.258229,0.399486,0.375243
L2,0.647464,0.479988,0.496426,0.208750,0.047938,0.186771,0.129614,0.265102,0.507237,0.022075,0.434783,0.097740,0.278707,-0.036367,0.271927,-0.128439,0.381359,0.381359,0.387438,0.318446,0.554489,-0.069310,0.141310,0.265102,0.237323,0.806939,0.141310,0.156695,-0.180532,0.337739,0.121740,0.574794,0.318446,0.251308,0.030771,0.030771,0.141310,-0.088634,0.331350,0.496426
L3,0.223138,0.030771,0.324919,0.251308,0.022075,0.113804,0.064816,0.311932,0.528514,0.125685,0.097740,0.285441,0.894613,-0.213143,-0.027150,0.179337,-0.078925,0.292130,0.298774,0.251308,1.024487,-0.734126,-0.355389,0.292130,0.164299,0.554489,0.523237,0.208750,0.285441,0.230256,0.623823,0.428986,0.350397,0.109812,0.026433,0.013304,0.093683,0.035090,0.337739,0.311932
L4,0.171846,0.201477,0.381359,0.171846,0.008889,0.171846,0.141310,0.068991,0.538985,0.073149,0.501846,0.271927,0.164299,0.440547,0.194151,0.258229,-0.088634,-0.441818,0.688660,0.344088,1.018056,-0.421199,-0.118338,0.164299,-0.008968,1.307348,0.331350,-0.330231,0.670560,0.523237,1.408350,0.507237,0.468877,0.125685,0.008889,-0.083768,-0.008968,0.081413,0.507237,0.559604
L5,0.179337,0.129614,0.113804,0.171846,-0.013483,0.117780,0.085520,0.298774,0.331350,0.623823,0.584794,0.141310,0.043674,0.311932,0.017699,0.097740,-0.041007,-0.123376,0.318446,0.411391,1.297639,-0.064537,0.141310,0.271927,0.085520,0.362897,0.579807,-0.258347,0.171846,0.081413,2.828978,0.324919,0.237323,0.081413,0.047938,0.073149,-0.235489,0.215970,0.479988,1.976040
L6,0.060623,0.171846,-0.074106,0.223138,0.085520,-0.128439,0.237323,0.179337,0.434783,-0.031748,-0.175199,0.141310,-0.407686,0.030771,0.179337,0.171846,-0.118338,-0.293643,0.930459,0.417290,0.179337,-0.191285,-0.018018,0.171846,-0.103375,-0.004474,-0.462870,0.030771,-0.164617,0.244340,0.517932,0.512599,0.337739,0.230256,0.030771,-0.185894,-0.235489,-0.428025,0.753758,-0.957256
L7,0.393480,0.399486,0.271927,0.164299,0.201477,0.916275,0.129614,0.331350,0.271927,-0.083768,-0.113325,0.113804,-0.180532,0.237323,0.423155,0.208750,0.258229,0.171846,0.298774,0.399486,0.417290,-0.428025,-0.567439,0.331350,0.305375,0.068991,-0.018018,-0.361778,0.179337,-0.169894,0.544180,-0.113325,0.517932,0.318446,-0.004474,0.077290,-0.175199,0.697588,-0.235489,-1.317229
L8,0.113804,0.030771,0.186771,0.223138,0.093683,0.633347,0.156695,0.278707,0.129614,0.356667,0.141310,0.125685,-0.202154,0.285441,0.265102,0.156695,-0.004474,0.507237,0.782745,0.381359,1.167587,0.423155,0.604499,0.186771,0.381359,0.117780,0.223138,-0.498974,0.060623,0.043674,0.362897,-0.045669,0.517932,0.318446,0.081413,0.043674,0.208750,-0.098437,-0.083768,-0.434898
L9,0.194151,0.156695,-0.207633,0.077290,0.030771,0.171846,0.194151,0.097740,0.008889,0.141310,0.292130,0.093683,-0.311770,0.468877,0.052184,0.251308,0.258229,0.068991,-0.434898,0.517932,0.589757,-0.059786,-0.269974,0.171846,0.223138,0.035090,0.619027,0.278707,0.638075,0.298774,0.265102,-0.235489,0.298774,0.149032,0.043674,0.141310,0.008889,0.073149,0.073149,-0.407686
L10,0.156695,0.237323,0.125685,0.113804,0.030771,0.715209,0.164299,0.271927,0.237323,-0.108338,0.285441,0.141310,0.000000,0.141310,0.093683,0.113804,-0.050353,0.109812,0.121740,0.311932,0.599609,0.164299,-0.055058,0.237323,0.141310,0.244340,0.164299,-0.050353,0.109812,-0.169894,0.047938,-0.059786,0.171846,0.501846,0.149032,0.129614,-0.400998,0.538985,0.501846,0.305375
L11,0.223138,0.186771,-0.004474,0.194151,0.068991,0.156695,0.156695,-0.027150,0.141310,0.237323,0.129614,0.030771,-0.229856,0.141310,0.311932,0.258229,0.013304,-0.004474,-0.083768,0.223138,0.894613,0.507237,-0.521279,0.285441,0.149032,0.022075,-0.022574,-0.004474,0.194151,-0.031748,-0.772043,0.113804,0.265102,0.129614,0.060623,-0.164617,-0.224254,0.538985,0.179337,1.068381
L12,0.109812,0.208750,0.141310,0.208750,0.141310,0.350397,0.109812,0.109812,0.271927,0.060623,0.440547,0.081413,-0.258347,-0.036367,0.047938,0.093683,-0.041007,0.068991,-0.128439,-0.434898,0.446277,-0.336462,0.559604,0.258229,0.149032,0.121740,0.186771,-0.055058,0.774548,0.599609,0.026433,0.533764,0.230256,0.271927,0.109812,0.047938,0.208750,-0.615833,-0.022574,-0.349040
L13,0.141310,0.125685,0.285441,0.125685,0.186771,0.125685,0.194151,0.194151,0.305375,0.156695,0.141310,0.141310,-0.311770,0.125685,0.298774,0.156695,0.141310,0.446277,0.089610,0.113804,0.512599,-0.269974,-0.428025,0.077290,-0.050353,0.000000,-0.118338,-0.207633,0.285441,0.013304,-0.069310,0.077290,0.507237,0.258229,0.077290,0.298774,-0.123376,0.208750,-0.045669,0.428986
L14,0.125685,0.251308,0.156695,0.171846,0.278707,0.428986,0.109812,0.237323,0.318446,0.201477,0.171846,0.077290,0.141310,0.089610,0.064816,0.030771,0.077290,0.113804,0.186771,0.077290,0.093683,0.141310,0.237323,0.244340,0.237323,0.164299,0.337739,-0.421199,-0.368209,0.026433,0.479988,-0.059786,0.271927,0.285441,0.156695,-0.018018,-0.324040,0.298774,0.047938,1.080576
L15,0.156695,0.194151,0.077290,0.113804,0.251308,0.113804,0.237323,0.081413,0.171846,0.109812,0.523237,0.171846,0.109812,0.271927,0.237323,0.017699,0.013304,-0.045669,0.237323,0.305375,0.428986,0.305375,0.101780,0.039391,0.047938,-0.027150,-0.441818,-0.269974,0.665983,0.141310,0.278707,-0.702089,0.047938,0.156695,0.156695,-0.018018,-0.381196,-0.224254,0.998512,1.049805
L16,-0.036367,0.125685,0.194151,0.156695,0.073149,0.113804,0.081413,0.077290,0.043674,0.208750,-0.022574,0.129614,0.141310,0.156695,0.064816,0.089610,0.026433,0.156695,-0.069310,0.097740,0.194151,0.156695,-0.045669,0.089610,0.000000,0.081413,0.060623,0.298774,-0.441818,0.039391,0.237323,0.278707,0.093683,0.194151,0.129614,0.141310,-0.831759,0.077290,-0.868314,-1.334034
