layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:As,7: a,8: clinical,9: documentati,10: task,11: for,12: sarc,13:oid,14:osis,"15:,",16: summarize,17: demographic,18: information,19: and,20: significant,21: prior,22: medical,23: history,24: only,25:.,26: Begin,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L1,0.184386,-5.046290,-0.085999,0.051899,0.358275,-0.059726,-0.070090,-0.085999,-0.226249,-2.013114,-0.091144,-0.044534,-0.167490,2.693783,-1.521742,1.001895,-1.881198,0.265222,0.056359,-0.457743,-0.232171,0.188295,-0.465213,-0.341919,0.471710,-0.044534,-0.091144,-0.075153,-0.959352,0.429708,0.542588,-0.309314,-1.308857,-0.070090,0.553476,0.212382,-0.009685,0.160610,-0.112651,0.065497,0.429708,0.864990
L2,1.680793,0.595882,0.585448,-0.173073,0.595882,-0.140033,-0.421207,-0.220362,0.358275,-1.104599,-2.049004,-0.070090,-0.180096,-0.827152,0.663600,-0.790157,-2.927669,0.364836,0.520449,-1.049311,-0.947137,0.302445,-0.054740,0.542588,-0.220362,0.265222,-0.627689,-0.749487,-1.257883,0.397007,0.569590,-0.029417,0.384262,0.336652,-0.442968,0.184386,-0.239623,0.047137,-0.117935,0.302445,0.494942,-0.214509
L3,0.051899,0.279566,0.780206,0.279566,-0.389428,-0.054740,-0.049469,0.152558,-0.636549,-2.503787,-2.843346,-0.457743,-0.239623,-2.013114,-0.531069,-0.457743,-4.497033,1.128407,1.015632,0.118115,0.509193,0.509193,0.453925,0.477569,-0.618907,-0.288677,-0.641009,-1.362570,-0.571936,0.143420,0.227498,-0.784982,-0.636549,0.574904,-0.450328,0.004808,-0.112651,-0.414057,0.069898,0.272420,0.580190,0.323110
L4,0.056359,-0.128588,0.569590,0.113922,0.477569,-0.106739,-0.696136,-0.232171,-1.133434,-0.226249,-1.711136,0.888504,0.204737,3.252802,0.526030,0.828650,1.146524,0.288428,1.015632,0.193159,0.629060,0.358275,0.265222,1.237969,-0.593013,0.184386,-0.769615,-0.309314,0.429708,0.257972,-0.106739,0.329904,-1.711136,0.740585,-0.535082,0.069898,0.065497,0.235902,0.358275,-0.691424,-0.220362,-0.563628
L5,-0.049469,-0.414057,-0.341919,-0.406958,0.343355,0.122811,-0.348569,-0.472740,-0.584529,-1.009762,-0.208691,0.227498,-0.101514,1.666663,-0.837979,1.341639,0.828650,0.147492,-0.769615,0.028577,0.302445,0.336652,0.139332,1.356303,0.767172,-0.905522,-0.263849,-0.133958,0.272420,1.296312,-0.739573,1.081623,1.243415,0.692285,-0.465213,0.168599,-0.232171,-0.054740,0.295461,-0.150925,-1.133434,0.569590
L6,-0.368790,-0.180096,0.051899,-0.715209,-0.161938,-1.792556,0.459888,0.336652,-0.269999,1.604278,0.358275,-0.457743,-1.022772,-1.660320,0.526030,1.275488,1.933594,-0.984240,-1.362570,-0.507328,-0.335312,0.243313,0.219968,0.397007,-0.004831,-0.389428,-0.029417,0.888504,-1.362570,-0.064738,-0.472740,0.403318,-0.450328,-1.257883,-0.457743,-0.059726,-0.101514,-0.180096,-0.328749,0.188295,-0.515179,-0.232171
L7,-0.610201,-0.480323,-0.355264,-0.593013,0.219968,1.068769,-0.185750,0.042635,0.828650,0.028577,0.302445,1.029184,0.537099,-2.250762,-0.156416,0.019093,-0.004831,-0.263849,-1.611962,-1.090488,0.069898,-0.641009,0.168599,-0.328749,-1.737546,-0.101514,0.092152,1.170181,-0.368790,0.377828,-2.626143,-0.014600,-0.539110,-0.739573,-0.106739,0.295461,0.009592,0.056359,-0.406958,-0.759500,-1.225289,0.212382
L8,-0.173073,-0.355264,-0.535082,0.164613,0.409591,0.004808,-0.049469,-0.465213,0.009592,0.903878,-0.710406,0.696986,0.126967,2.070833,1.062279,-0.355264,2.199874,-0.984240,-0.827152,-0.282412,0.803667,-0.117935,0.235902,0.397007,0.795199,1.457729,-0.180096,1.100600,-0.859990,1.243415,0.118115,0.219968,0.970278,0.113922,-1.193724,-0.112651,0.004808,-0.214509,-0.034431,0.558877,0.692285,0.595882
L9,-0.180096,-0.054740,-6.362930,-0.472740,0.047137,0.126967,0.056359,-0.133958,-0.832551,-0.414057,-0.821783,-1.978468,0.417376,-0.220362,-0.774711,0.147492,-1.438992,-0.208691,0.896221,-1.326443,0.687561,0.250669,0.109711,-0.465213,-0.472740,-0.335312,-0.527073,-0.623288,-1.308857,0.227498,1.022431,-0.618907,0.963115,0.644009,-1.479511,0.180463,-0.112651,-0.112651,-0.123248,-1.009762,0.243313,1.113054
L10,-0.059726,0.109711,-0.399910,-0.226249,0.663600,0.257972,-0.167490,-0.232171,0.564248,1.075217,-0.004831,-0.421207,0.542588,-0.535082,1.280735,1.380274,0.872890,0.820391,0.812064,1.075217,0.888504,0.606208,-0.173073,0.471710,0.113922,0.023846,-0.888204,0.272420,-0.959352,0.065497,-0.457743,0.279566,0.820391,-0.080242,0.009592,0.009592,-0.173073,-0.226249,-0.150925,-1.660320,0.126967,0.023846
