layer,feature_idx,gate_sign,token_identity,n_hits,n_runs,n_conditions,n_prompt_vars,n_temps,n_seeds,mean_norm_effect,median_norm_effect,std_norm_effect,sign_consistency
18,19114,positive,<blank>,652,652,6,3,9,5,0.03391500381634634,0.0,0.16073517490955525,0.4340490797546012
18,8953,positive,Do,264,263,6,3,9,5,0.04058083441824395,0.0,0.2840796870538484,0.2689393939393939
18,8953,positive,fe,17,17,4,3,9,5,0.0,0.0,0.0,0.0
18,8953,positive,CR,4,4,2,2,4,3,0.0,0.0,0.0,0.0
18,8953,positive,Den,8,4,2,2,2,3,0.0,0.0,0.0,0.0
18,8953,positive,Le,2,2,2,2,2,1,0.0,0.0,0.0,0.0
18,8953,positive,Ms,8,8,2,1,7,1,0.0,0.0,0.0,0.0
18,8953,positive,Ne,3,3,2,2,3,2,0.0,0.0,0.0,0.0
18,8953,positive,Sm,4,4,2,2,3,2,0.0,0.0,0.0,0.0
18,8953,positive,Un,2,2,2,1,2,1,0.0,0.0,0.0,0.0
18,8953,positive,Ab,2,2,1,1,2,1,0.0,0.0,0.0,0.0
18,8953,positive,Al,3,1,1,1,1,1,0.0,0.0,0.0,0.0
18,8953,positive,Ar,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,Ast,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,Bi,16,16,1,2,9,5,0.0,0.0,0.0,0.0
18,8953,positive,Cit,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,Di,2,2,1,1,2,1,0.0,0.0,0.0,0.0
18,8953,positive,Ext,2,2,1,1,2,1,0.0,0.0,0.0,0.0
18,8953,positive,He,3,3,1,1,3,1,0.0,0.0,0.0,0.0
18,8953,positive,Ig,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,Ins,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,Li,2,2,1,1,2,1,0.0,0.0,0.0,0.0
18,8953,positive,Mat,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,Mr,7,7,1,1,7,1,0.0,0.0,0.0,0.0
18,8953,positive,PD,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,Pa,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,Pal,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,Pen,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,Pul,5,5,1,2,3,3,0.0,0.0,0.0,0.0
18,8953,positive,Qu,2,2,1,1,2,1,0.0,0.0,0.0,0.0
18,8953,positive,Rev,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,Rom,3,3,1,2,3,2,0.0,0.0,0.0,0.0
18,8953,positive,SS,2,2,1,2,2,2,0.0,0.0,0.0,0.0
18,8953,positive,Sed,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,ast,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,ec,18,17,1,2,9,5,0.0,0.0,0.0,0.0
18,8953,positive,gal,2,2,1,1,2,1,0.0,0.0,0.0,0.0
18,8953,positive,ne,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,oc,3,2,1,2,2,2,0.0,0.0,0.0,0.0
18,8953,positive,on,2,2,1,1,2,2,0.0,0.0,0.0,0.0
18,8953,positive,ot,1,1,1,1,1,1,0.0,0.0,,0.0
18,8953,positive,rh,3,3,1,1,2,3,0.0,0.0,0.0,0.0
18,8953,positive,vo,1,1,1,1,1,1,0.0,0.0,,0.0
