family,layer,feature_idx,latent_label,mean_norm_effect,ci_low,ci_high,n_rows
A,11,112606,L11:F112606,0.18962246823943474,0.15264336064985531,0.22778853525818776,250
C,11,112606,L11:F112606,0.10819424671355907,0.05136172325912831,0.1748076816483529,225
A,12,23848,L12:F23848,0.18000792129470702,0.09164531087938299,0.26463752379512256,75
C,12,23848,L12:F23848,0.2712542231498947,0.055103158775440086,0.5343951554817572,45
A,18,12895,L18:F12895,0.172953271694305,0.08286768762132514,0.2589580311052293,75
C,18,12895,L18:F12895,0.15391543129000812,0.0039991464947709745,0.3289610239386227,65
A,18,14727,L18:F14727,0.3038591736743897,0.2644716961668335,0.3448843800024045,50
C,18,14727,L18:F14727,0.05276772355103008,0.0008195795975356278,0.11201776496920467,225
A,18,6930,L18:F6930,0.23739560360241396,0.1898234752831996,0.28703545458711044,50
C,18,6930,L18:F6930,0.08876541011116074,0.02490526247508708,0.14380763556660173,40
A,19,126496,L19:F126496,0.27947878552075256,0.24150384808581773,0.31894784243048524,250
C,19,126496,L19:F126496,0.1690037386220543,0.11515241620053245,0.23609012667097012,225
A,20,26533,L20:F26533,0.3656597773005326,0.35802861670291203,0.37329093789815315,10
C,20,26533,L20:F26533,,,,0
A,25,23584,L25:F23584,0.13952484002630952,0.11411286786521482,0.16212674949140912,645
C,25,23584,L25:F23584,0.11160793378549695,0.07682040072646945,0.14851904600497842,550
A,25,3008,L25:F3008,0.1557305139022142,0.11764768562409485,0.19217095830999445,270
C,25,3008,L25:F3008,0.0861064020766747,0.03983787125233547,0.13817572408732334,325
A,3,84633,L3:F84633,0.5738247691123365,0.5257971058457067,0.6254272084682418,250
C,3,84633,L3:F84633,0.7100873934586541,0.5580750783381097,0.8988032851314797,225
