layer,feature_idx,mean_c,mean_a,pooled_mean
3,84633,0.7100873934586541,0.5738247691123365,0.6419560812854953
12,23848,0.2712542231498946,0.18000792129470702,0.22563107222230083
19,126496,0.16900373862205434,0.2794787855207526,0.2242412620714035
20,26533,0.0,0.36565977730053256,0.18282988865026628
18,14727,0.052767723551030064,0.3038591736743897,0.17831344861270987
18,12895,0.15391543129000815,0.17295327169430497,0.16343435149215657
18,6930,0.08876541011116074,0.23739560360241396,0.16308050685678735
11,112606,0.10819424671355907,0.1896224682394347,0.1489083574764969
25,23584,0.11160793378549697,0.1395248400263095,0.12556638690590322
25,3008,0.08610640207667468,0.1557305139022142,0.12091845798944445
