family,run_id,sweep_rows,sweep_mean_norm_effect,condition_semantic_rows,condition_semantic_mean_norm_effect,random_magnitude_matched_rows,random_magnitude_matched_mean_norm_effect
A,simple_v17_5cond_local_strict_ci_promptA__r01_s42,1071,0.16371103678995058,1071,0.13806575095349613,1050,0.13725879428195692
A,simple_v17_5cond_local_strict_ci_promptA__r02_s43,1071,0.16371103678995058,1071,0.1408104352411719,1050,0.1392895427951209
A,simple_v17_5cond_local_strict_ci_promptA__r03_s44,1071,0.16371103678995058,1071,0.13851038174508215,1050,0.13732110228409716
A,simple_v17_5cond_local_strict_ci_promptA__r04_s45,1071,0.16371103678995058,1071,0.14263041599243242,1050,0.13899727490897376
A,simple_v17_5cond_local_strict_ci_promptA__r05_s46,1071,0.16371103678995058,1071,0.13800458404954852,1050,0.13417988188971847
C,simple_v17_5cond_local_strict_ci__r01_s42,985,0.10350135497498529,985,0.07342660400597648,931,0.06637963662640906
C,simple_v17_5cond_local_strict_ci__r02_s43,985,0.10350135497498529,985,0.0691859752504329,931,0.0640277790955291
C,simple_v17_5cond_local_strict_ci__r03_s44,985,0.10350135497498529,985,0.07190804020996468,931,0.061257215663394725
C,simple_v17_5cond_local_strict_ci_extra__r01_s45,985,0.10350135497498529,985,0.06779794422308831,931,0.06224290396336166
C,simple_v17_5cond_local_strict_ci_extra__r02_s46,985,0.10350135497498529,985,0.07357176098944412,931,0.06325114819367621
