layer,rewrite_scores_mean,rewrite_scores_median,rewrite_scores_trimmed_mean,rewrite_scores_topk_mean,rewrite_scores_num_units,logprob_scores_mean,logprob_scores_median,logprob_scores_trimmed_mean,logprob_scores_topk_mean,logprob_scores_num_units,logprob_delta_scores_mean,logprob_delta_scores_median,logprob_delta_scores_trimmed_mean,logprob_delta_scores_topk_mean,logprob_delta_scores_num_units
0,0.6133076108281205,0.8622230037566154,0.6405849528221735,0.88142024430922,155,-4.242052127950588,-0.7337488331989087,-3.3576055193911567,-0.6586614192758216,155,9.623700186988922,13.1320034817406,10.50814679554835,13.207090895663688,155
1,-2.1168343474769302e-05,-6.034274326427088e-05,-6.446089894165204e-05,0.00037380483788525764,155,-13.856756251663729,-13.841429608406836,-13.839067409393406,-13.662216971376104,155,0.008996063275780846,0.024322706532671257,0.02668490554610428,0.20353534356340452,155
2,3.176564602413369e-05,0.00010638819066732522,4.488014183430261e-05,0.00043100409539884607,155,-13.864867948896444,-13.864953626125006,-13.865931833250508,-13.704321763551068,155,0.0008843660430648168,0.00079868881450508,-0.00017951831100016015,0.16143055138844428,155
3,3.190067691311733e-05,1.887395572397978e-05,2.55973239476964e-05,0.0004127305691156746,155,-13.870318991004616,-13.858536177335605,-13.858958927004542,-13.68040540016811,155,-0.004566676065108466,0.007216137603904603,0.0067933879349664815,0.1853469147714,155
4,6.854470312234954e-05,-0.00013498944589950806,-0.00012408594147591756,0.0005037325230910272,155,-13.798005091073112,-13.841641858723843,-13.830054719328945,-13.603172015327349,155,0.067747223866396,0.024110456215666407,0.03569759561056385,0.2625802996121624,155
5,0.00040094894267992824,0.0002659558410091596,0.0002903732263205876,0.0008398666467720401,155,-13.846964116680313,-13.867368738092617,-13.863626668121768,-13.667067746438951,155,0.018788198259193048,-0.0016164231531093647,0.002125646817740934,0.19868456850055963,155
6,0.00020935907545116135,4.93954857736225e-07,3.0637849543058214e-05,0.0007383085193390388,155,-13.820244646808433,-13.83454533976257,-13.830186899103706,-13.617241257332298,155,0.045507668131075485,0.03120697517693686,0.035565415835805234,0.2485110576072106,155
7,-7.813081815376641e-05,-8.251845673282421e-05,-0.00018879245940927374,0.00037666852422614376,155,-13.855918066213675,-13.876164732598673,-13.882959004692777,-13.631889810002725,155,0.009834248725832297,-0.010412417659164485,-0.017206689753270103,0.23386250493678373,155
8,0.00011434617276200585,6.163241233744268e-05,5.959623177413735e-05,0.0005827555087487644,155,-13.739598232524182,-13.809955236438057,-13.783143826113763,-13.555405501602321,155,0.12615408241532625,0.05579707850145188,0.08260848882574591,0.3103468133371873,155
9,-0.00016285580898947014,-0.00013534029529828036,-0.00015342032746131404,0.00014511031229474573,155,-13.892959533209138,-13.858629756071927,-13.848594976482996,-13.686527620513939,155,-0.027207218269630302,0.007122558867578855,0.01715733845651257,0.17922469442556702,155
10,-0.00012319958539756598,-8.94811270559477e-05,-0.0001457448574604849,0.000293140761161183,155,-13.838094530422829,-13.852167516474207,-13.840086426260966,-13.686827338433748,155,0.027657784516676383,0.013584798465301471,0.025665888678542203,0.1789249765057616,155
11,0.00017755378550699547,-1.3548637469930034e-05,-3.258046144009363e-05,0.000564004151658806,155,-13.744727485040382,-13.840499096368351,-13.822163427868448,-13.553768423927464,155,0.12102482989912484,0.025253218571156602,0.04358888707106226,0.311983891012044,155
12,6.81849063370814e-05,-4.4114750316141234e-05,-2.6825558568356785e-05,0.0003355506717030871,155,-13.844847004606093,-13.874106503889664,-13.870059755752957,-13.694901785736446,155,0.02090531033341862,-0.008354188950155432,-0.004307440813449404,0.17085052920306595,155
13,-0.00019058541342556576,-0.0001077199919006577,-0.00016939523847394507,7.673233218293297e-05,155,-13.862356745474024,-13.89238867162115,-13.888688423864615,-13.729124333421966,155,0.003395569465484256,-0.02663635668163922,-0.0229361089251043,0.13662798151754046,155
14,1.1412724701321145e-05,-2.8121530927056748e-05,1.4362566602704273e-05,0.0002744340815303487,155,-13.909992762177046,-13.881816364216279,-13.895588762704204,-13.771198136637002,155,-0.04424044723753822,-0.016064049276771738,-0.02983644776469606,0.09455417830250824,155
15,-7.688078735021056e-05,-6.094624982177911e-05,-0.00013729934134753201,0.00020445632563042705,155,-13.811068843351848,-13.861117012716111,-13.854596221555855,-13.682917382419927,155,0.054683471587662985,0.0046353022233973475,0.01115609338365172,0.18283493251957936,155
16,0.00016032841710160483,6.935279642704935e-05,7.379206895381953e-05,0.00047452602334575915,155,-13.858213172162024,-13.86667978324718,-13.87011284755877,-13.73425724555265,155,0.007539142777485762,-0.000927468307673437,-0.004360532619263269,0.13149506938685776,155
17,0.00023531325442585936,1.181065012896133e-05,3.660065625522159e-05,0.0005719093757685307,155,-13.822441202145491,-13.853642391044312,-13.849235479817986,-13.70323451936558,155,0.04331111279401853,0.012109923895191778,0.016516835121522556,0.16251779557392712,155
18,0.008133412644324444,0.0003921563769953566,0.0009559825562913874,0.011976938270187627,155,-13.134400663503296,-13.652231936654061,-13.498266856086035,-12.739056221746303,155,0.7313516514362128,0.21352037828544806,0.3674854588534714,1.1266960931932042,155
19,-0.00017076368098984038,-8.113935370103366e-05,-0.00019992477090900257,0.00020372238310281766,155,-13.830507035538176,-13.87284071806211,-13.870573225065671,-13.68934481927231,155,0.03524527940133472,-0.007088403122600775,-0.004820910126161872,0.17640749566719635,155
20,1.1471460508414517e-05,-8.149250807623649e-05,-0.00014211177273867946,0.00041728099291738613,155,-13.840907098738453,-13.882255924858981,-13.899899923542947,-13.653561126208675,155,0.02484521620105648,-0.016503609919473652,-0.034147608603435624,0.21219118873083348,155
21,0.0010239323326793675,9.900132708642031e-05,0.00020916275693884154,0.0016507169579672726,155,-13.543634328091068,-13.821438644870849,-13.74466394837819,-13.319143700838278,155,0.3221179868484407,0.0443136700686617,0.12108836656131926,0.5466086141012307,155
22,-0.0002692585644678531,-0.00012071786054988362,-0.00022116462032971388,4.7648624771760316e-05,155,-13.97635924133946,-13.924285989376996,-13.960368973217397,-13.803209294935025,155,-0.11060692639995126,-0.058533674437487644,-0.09461665827788937,0.06254302000448346,155
23,-0.0001959284458644517,-3.38635437430874e-05,-8.188619142921393e-05,4.682595218201318e-05,155,-13.985019710114445,-13.902346812061419,-13.93631103955124,-13.817713262352322,155,-0.11926739517493795,-0.03659449712190928,-0.0705587246117306,0.04803905258718365,155
24,0.00019035225515884958,3.494264172097187e-05,7.091930663711162e-05,0.0003555653409710685,155,-13.714105148277275,-13.842669803630798,-13.823765533136177,-13.598648236033135,155,0.1516471666622352,0.023082511308712066,0.04198678180333168,0.26710407890637494,155
25,5.0453559122399936e-05,5.943139295859803e-05,5.536033793996187e-05,0.000237293240109769,155,-13.731360804294397,-13.835297299495018,-13.820368492470175,-13.602911697662737,155,0.1343915106451108,0.030455015444492323,0.04538382246932973,0.2628406172767723,155
26,0.0003777449621084629,7.138900823080011e-06,-1.1770819207508308e-05,0.0006742514825428546,155,-13.721683938314616,-13.87876867664795,-13.885892327516318,-13.551264628034167,155,0.1440683766248922,-0.013016361708443154,-0.020140012576807986,0.314487686905342,155
27,4.761105167413115e-05,4.1972800681833176e-05,4.270535800640937e-05,0.00013612196406459696,155,-13.775730998064668,-13.85151692373803,-13.849685546154918,-13.691237858660262,155,0.09002131687483964,0.014235391201478917,0.016066768784591883,0.1745144562792487,155
28,1.3439718044026035e-05,4.015879840740273e-07,1.755400343688381e-05,0.00010772991116516673,155,-13.735417113773124,-13.865061252162498,-13.864667723385466,-13.6182844292558,155,0.13033520116638495,0.0006910627770089632,0.0010845915540405268,0.2474678856837097,155
29,0.0006013505129014397,8.302788774017245e-06,3.098978643686492e-05,0.000878177350421401,155,-13.720581241784801,-13.865263919577146,-13.86332474089209,-13.616951504448872,155,0.14517107315470779,0.0004883953623643177,0.002427574047419296,0.24880081049063435,155
30,0.000299625954991269,-1.231525581510317e-06,1.6660351153997767e-06,0.0005012717427340367,155,-13.675664998834574,-13.868761119924987,-13.865604623548426,-13.556378276985209,155,0.19008731610493443,-0.0030088049854777826,0.00014769139108453873,0.3093740379543014,155
31,-4.690756114178614e-05,0.0,0.0,7.267436513336754e-06,155,-13.782477407093756,-13.86575231493951,-13.86575231493951,-13.727206172854963,155,0.08327490784575203,0.0,0.0,0.1385461420845446,155
