logprob_delta_scores
  layer 18, rel 0: 5.69165
  layer 18, rel 1: 3.18644
  layer 21, rel 0: 1.78807
  layer 18, rel -1: 1.65932
  layer 11, rel 0: 1.29626
  layer 21, rel 1: 1.05749
  layer 18, rel 2: 1.0475
  layer 25, rel 0: 1.00194
  layer 8, rel 0: 0.832523
  layer 18, rel 6: 0.730824
  layer 18, rel -2: 0.680439
  layer 18, rel 7: 0.560413
rewrite_scores
  layer 18, rel 0: 0.122355
  layer 18, rel 1: 0.0258159
  layer 18, rel -1: 0.0193449
  layer 18, rel 6: 0.0136335
  layer 18, rel 9: 0.00543153
  layer 18, rel 3: 0.00508433
  layer 21, rel 0: 0.00413804
  layer 11, rel 0: 0.00341889
  layer 6, rel 2: 0.00333286
  layer 18, rel 7: 0.00328908
  layer 18, rel 4: 0.00323492
  layer 18, rel 8: 0.00275036
