condition,prompt_id,cot_label,num_tokens,keyword_used,condition_token_indices,condition_token_labels,l18_condition_last,l18_condition_mean,l18_condition_max,l18_full_mean,l18_full_max
asthma,1,A_var1,206,asthma,"27,65", asthma_27| asthma_65,0.0245361328125,0.49273681640625,0.9609375,0.017322947678056734,0.9609375
asthma,10,A_var10,209,asthma,"26,63,132", asthma_26| asthma_63| asthma_132,0.5078125,0.5582682291666666,0.96484375,0.03733599357057416,0.96484375
asthma,11,C_var1,198,asthma,"27,73,122", asthma_27| asthma_73| asthma_122,0.046875,0.4000651041666667,0.9140625,0.028622405697601012,0.9140625
asthma,12,C_var2,201,asthma,"29,75,125", asthma_29| asthma_75| asthma_125,0.060302734375,0.5122884114583334,0.96484375,0.02613701511971393,0.96484375
asthma,13,C_var3,200,asthma,"24,71,123", asthma_24| asthma_71| asthma_123,0.107421875,0.4544270833333333,0.984375,0.034927978515625,0.984375
asthma,14,C_var4,200,asthma,"28,74,124", asthma_28| asthma_74| asthma_124,0.02685546875,0.4373372395833333,0.94921875,0.00856201171875,0.94921875
asthma,15,C_var5,197,asthma,"25,71,121", asthma_25| asthma_71| asthma_121,0.11767578125,0.49755859375,0.8828125,0.04699273278870558,0.8828125
asthma,16,C_var6,200,asthma,"26,71,125", asthma_26| asthma_71| asthma_125,0.08984375,0.4007161458333333,0.87890625,-0.01816650390625,0.87890625
asthma,17,C_var7,203,asthma,"27,74,126", asthma_27| asthma_74| asthma_126,0.1474609375,0.5270182291666666,0.9921875,0.023859634775246306,0.9921875
asthma,18,C_var8,200,asthma,"25,73,125", asthma_25| asthma_73| asthma_125,0.07666015625,0.4314778645833333,0.98046875,0.030712890625,0.98046875
asthma,19,C_var9,206,asthma,"30,76,129", asthma_30| asthma_76| asthma_129,0.0830078125,0.4020182291666667,0.859375,0.045901696658828886,0.859375
asthma,2,A_var2,203,asthma,"29,66", asthma_29| asthma_66,0.039794921875,0.4554443359375,0.87109375,0.010893422394550493,0.87109375
asthma,20,C_var10,200,asthma,"26,73,124", asthma_26| asthma_73| asthma_124,0.1474609375,0.5882161458333334,0.984375,0.05373046875,0.984375
asthma,3,A_var3,199,asthma,"24,63,143", asthma_24| asthma_63| asthma_143,0.65234375,0.6149088541666666,0.98828125,0.05988683652638191,0.98828125
asthma,4,A_var4,209,asthma,"28,65,132", asthma_28| asthma_65| asthma_132,0.07763671875,0.3857421875,0.96875,0.017531545538651317,0.96875
asthma,5,A_var5,204,asthma,"25,62,132", asthma_25| asthma_62| asthma_132,0.78125,0.6627604166666666,0.98828125,0.0378717160692402,0.98828125
asthma,6,A_var6,201,asthma,"26,64", asthma_26| asthma_64,0.1259765625,0.43212890625,0.73828125,0.015249072022699005,0.73828125
asthma,7,A_var7,206,asthma,"27,65,133", asthma_27| asthma_65| asthma_133,0.30078125,0.4208170572916667,0.90625,0.01772537972163228,0.90625
asthma,8,A_var8,205,asthma,"25,62,126", asthma_25| asthma_62| asthma_126,0.25390625,0.462890625,0.98046875,0.04366365758384146,0.98046875
asthma,9,A_var9,208,asthma,"30,68,132", asthma_30| asthma_68| asthma_132,0.2197265625,0.4944661458333333,0.96875,0.038923997145432696,0.96875
depression,1,A_var1,206,depression,"27,65", depression_27| depression_65,0.00396728515625,0.355499267578125,0.70703125,0.006226437763103004,0.70703125
depression,10,A_var10,209,depression,"26,63,132", depression_26| depression_63| depression_132,0.11474609375,0.195556640625,0.458984375,0.008937123859898326,0.458984375
depression,11,C_var1,198,depression,"27,73,122", depression_27| depression_73| depression_122,0.01031494140625,0.23472086588541666,0.61328125,0.007673013089883207,0.61328125
depression,12,C_var2,201,depression,"29,75,125", depression_29| depression_75| depression_125,0.0235595703125,0.3577880859375,0.80859375,0.012793393870491294,0.80859375
depression,13,C_var3,200,depression,"24,71,123", depression_24| depression_71| depression_123,0.018798828125,0.2875162760416667,0.80859375,0.008422088623046876,0.80859375
depression,14,C_var4,200,depression,"28,74,124", depression_28| depression_74| depression_124,0.0130615234375,0.2898356119791667,0.75,0.013221359252929688,0.75
depression,15,C_var5,197,depression,"25,71,121", depression_25| depression_71| depression_121,0.04443359375,0.33642578125,0.67578125,0.020215339467005076,0.67578125
depression,16,C_var6,200,depression,"26,71,125", depression_26| depression_71| depression_125,0.0103759765625,0.18168131510416666,0.44921875,0.00617828369140625,0.44921875
depression,17,C_var7,203,depression,"27,74,126", depression_27| depression_74| depression_126,0.0166015625,0.3525390625,0.84375,0.01252182833666872,0.84375
depression,18,C_var8,200,depression,"25,73,125", depression_25| depression_73| depression_125,0.00213623046875,0.21970621744791666,0.6484375,0.004886379241943359,0.6484375
depression,19,C_var9,206,depression,"30,76,129", depression_30| depression_76| depression_129,0.010009765625,0.18668619791666666,0.48828125,0.008557662223149272,0.48828125
depression,2,A_var2,203,depression,"29,66", depression_29| depression_66,0.00433349609375,0.174041748046875,0.34375,0.004824821584917641,0.34375
depression,20,C_var10,200,depression,"26,73,124", depression_26| depression_73| depression_124,0.01153564453125,0.30853271484375,0.74609375,0.009142303466796875,0.74609375
depression,3,A_var3,199,depression,"24,63,143", depression_24| depression_63| depression_143,0.08056640625,0.3222249348958333,0.87890625,0.008252781240185301,0.87890625
depression,4,A_var4,209,depression,"28,65,132", depression_28| depression_65| depression_132,0.007415771484375,0.118743896484375,0.345703125,0.004571284974020634,0.345703125
depression,5,A_var5,204,depression,"25,62,132", depression_25| depression_62| depression_132,0.208984375,0.3451334635416667,0.796875,0.0291134703393076,0.796875
depression,6,A_var6,201,depression,"26,64", depression_26| depression_64,0.02099609375,0.198974609375,0.376953125,0.010560144832478234,0.41015625
depression,7,A_var7,206,depression,"27,65,133", depression_27| depression_65| depression_133,0.0703125,0.22200520833333334,0.58203125,0.0056014570217688105,0.58203125
depression,8,A_var8,205,depression,"25,62,126", depression_25| depression_62| depression_126,0.0283203125,0.24552408854166666,0.69921875,0.006897270388719512,0.69921875
depression,9,A_var9,208,depression,"30,68,132", depression_30| depression_68| depression_132,0.0034637451171875,0.1372833251953125,0.40625,0.0037517914405235876,0.40625
multiple_sclerosis,1,A_var1,208,sclerosis,"28,67", sclerosis_28| sclerosis_67,6.341934204101562e-05,0.021027803421020508,0.0419921875,0.0002791984723164485,0.0419921875
multiple_sclerosis,10,A_var10,212,sclerosis,"27,65,135", sclerosis_27| sclerosis_65| sclerosis_135,0.00726318359375,0.051513671875,0.14453125,0.0018369206842386498,0.14453125
multiple_sclerosis,11,C_var1,201,sclerosis,"28,75,125", sclerosis_28| sclerosis_75| sclerosis_125,0.000415802001953125,0.0762494405110677,0.2216796875,0.0019842688717059236,0.2216796875
multiple_sclerosis,12,C_var2,204,sclerosis,"30,77,128", sclerosis_30| sclerosis_77| sclerosis_128,0.00022125244140625,0.10017140706380208,0.291015625,0.0023371565575693166,0.291015625
multiple_sclerosis,13,C_var3,203,sclerosis,"25,73,126", sclerosis_25| sclerosis_73| sclerosis_126,0.00017547607421875,0.1546452840169271,0.462890625,0.0028796172494371538,0.462890625
multiple_sclerosis,14,C_var4,203,sclerosis,"29,76,127", sclerosis_29| sclerosis_76| sclerosis_127,0.000194549560546875,0.12676874796549478,0.376953125,0.0026185265902815193,0.376953125
multiple_sclerosis,15,C_var5,200,sclerosis,"26,73,124", sclerosis_26| sclerosis_73| sclerosis_124,0.00482177734375,0.23191324869791666,0.60546875,0.00635650634765625,0.60546875
multiple_sclerosis,16,C_var6,203,sclerosis,"27,73,128", sclerosis_27| sclerosis_73| sclerosis_128,0.0012664794921875,0.08172098795572917,0.220703125,0.0025111607142857145,0.220703125
multiple_sclerosis,17,C_var7,206,sclerosis,"28,76,129", sclerosis_28| sclerosis_76| sclerosis_129,0.000888824462890625,0.14000574747721353,0.404296875,0.003320703228700508,0.404296875
multiple_sclerosis,18,C_var8,203,sclerosis,"26,75,128", sclerosis_26| sclerosis_75| sclerosis_128,5.817413330078125e-05,0.10695934295654297,0.3203125,0.0017433236972451797,0.3203125
multiple_sclerosis,19,C_var9,209,sclerosis,"31,78,132", sclerosis_31| sclerosis_78| sclerosis_132,0.0,0.15181477864583334,0.42578125,0.003609018462696714,0.42578125
multiple_sclerosis,2,A_var2,205,sclerosis,"30,68", sclerosis_30| sclerosis_68,0.00054168701171875,0.014614105224609375,0.0286865234375,0.0005868865222465701,0.0322265625
multiple_sclerosis,20,C_var10,203,sclerosis,"27,75,127", sclerosis_27| sclerosis_75| sclerosis_127,0.0001220703125,0.09952799479166667,0.29296875,0.0018710526339526248,0.29296875
multiple_sclerosis,3,A_var3,202,sclerosis,"25,65,146", sclerosis_25| sclerosis_65| sclerosis_146,0.0027618408203125,0.13748677571614584,0.404296875,0.0037205667778997136,0.404296875
multiple_sclerosis,4,A_var4,212,sclerosis,"29,67,135", sclerosis_29| sclerosis_67| sclerosis_135,0.00064849853515625,0.016019185384114582,0.046875,0.0007986842461352078,0.0830078125
multiple_sclerosis,5,A_var5,207,sclerosis,"26,64,135", sclerosis_26| sclerosis_64| sclerosis_135,0.00144195556640625,0.10689798990885417,0.318359375,0.0022615257668610355,0.318359375
multiple_sclerosis,6,A_var6,203,sclerosis,"27,66", sclerosis_27| sclerosis_66,0.013671875,0.091796875,0.169921875,0.004712785993303571,0.2333984375
multiple_sclerosis,7,A_var7,209,sclerosis,"28,67,136", sclerosis_28| sclerosis_67| sclerosis_136,0.00064849853515625,0.01422882080078125,0.04150390625,0.0004102533513849432,0.04150390625
multiple_sclerosis,8,A_var8,208,sclerosis,"26,64,129", sclerosis_26| sclerosis_64| sclerosis_129,0.00162506103515625,0.04515838623046875,0.1318359375,0.0010772301600529598,0.1318359375
multiple_sclerosis,9,A_var9,211,sclerosis,"31,70,135", sclerosis_31| sclerosis_70| sclerosis_135,0.00109100341796875,0.05518341064453125,0.162109375,0.0014831036752999112,0.162109375
