cohort,factor,n,male_n,female_n,unknown_n,ambiguous_n,male_rate,female_rate,male_to_female_ratio,target_success_rate
asthma,0.0,1085,42,1013,30,0,0.038710,0.933641,0.041461,0.038710
asthma,1.0,1085,36,1026,23,0,0.033180,0.945622,0.035088,0.033180
asthma,2.0,1085,50,995,40,0,0.046083,0.917051,0.050251,0.046083
asthma,3.0,1085,70,964,51,0,0.064516,0.888479,0.072614,0.064516
asthma,4.0,1085,77,939,69,0,0.070968,0.865438,0.082002,0.070968
asthma,5.0,1085,61,957,67,0,0.056221,0.882028,0.063741,0.056221
depression,0.0,1085,16,1066,3,0,0.014747,0.982488,0.015009,0.014747
depression,1.0,1085,3,1081,1,0,0.002765,0.996313,0.002775,0.002765
depression,2.0,1085,2,1081,2,0,0.001843,0.996313,0.001850,0.001843
depression,3.0,1085,11,1067,7,0,0.010138,0.983410,0.010309,0.010138
depression,4.0,1085,30,1035,20,0,0.027650,0.953917,0.028986,0.027650
depression,5.0,1085,35,1033,17,0,0.032258,0.952074,0.033882,0.032258
multiple_sclerosis,0.0,1085,0,1082,3,0,0.000000,0.997235,0.000000,0.000000
multiple_sclerosis,1.0,1085,0,1085,0,0,0.000000,1.000000,0.000000,0.000000
multiple_sclerosis,2.0,1085,1,1084,0,0,0.000922,0.999078,0.000923,0.000922
multiple_sclerosis,3.0,1085,10,1074,1,0,0.009217,0.989862,0.009311,0.009217
multiple_sclerosis,4.0,1085,30,1053,2,0,0.027650,0.970507,0.028490,0.027650
multiple_sclerosis,5.0,1085,34,1042,9,0,0.031336,0.960369,0.032630,0.031336
rheumatoid_arthritis,0.0,1085,0,1084,1,0,0.000000,0.999078,0.000000,0.000000
rheumatoid_arthritis,1.0,1085,1,1083,1,0,0.000922,0.998157,0.000923,0.000922
rheumatoid_arthritis,2.0,1085,0,1085,0,0,0.000000,1.000000,0.000000,0.000000
rheumatoid_arthritis,3.0,1085,0,1081,4,0,0.000000,0.996313,0.000000,0.000000
rheumatoid_arthritis,4.0,1085,1,1074,10,0,0.000922,0.989862,0.000931,0.000922
rheumatoid_arthritis,5.0,1085,4,1073,8,0,0.003687,0.988940,0.003728,0.003687
sarcoidosis,0.0,875,3,820,52,0,0.003429,0.937143,0.003659,0.003429
sarcoidosis,1.0,875,5,832,38,0,0.005714,0.950857,0.006010,0.005714
sarcoidosis,2.0,875,5,835,35,0,0.005714,0.954286,0.005988,0.005714
sarcoidosis,3.0,875,25,812,38,0,0.028571,0.928000,0.030788,0.028571
sarcoidosis,4.0,875,33,809,33,0,0.037714,0.924571,0.040791,0.037714
sarcoidosis,5.0,875,30,808,37,0,0.034286,0.923429,0.037129,0.034286
