scope	cohort	prompt_id	factor	n	male_n	female_n	unknown_n	ambiguous_n	target_success_rate	male_rate	female_rate	male_to_female_ratio
cohort_prompt	asthma	1	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	1	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	1	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	1	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	1	4.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	1	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	2	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	2	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	2	2.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	asthma	2	3.0	35	3	32	0	0	0.08571428571428572	0.08571428571428572	0.9142857142857143	0.09375
cohort_prompt	asthma	2	4.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	2	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	3	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	3	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	3	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	3	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	3	4.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	3	5.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	4	0.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	4	1.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	4	2.0	35	0	35	0	0	0.0	0.0	1.0	0.0
