cohort,prompt_id,factor_0,factor_1,factor_2,factor_3,factor_4,factor_5,delta_5_minus_0,mean_all_factors
asthma,0,0.943,0.771,0.943,0.886,0.971,0.914,-0.029,0.905
asthma,1,0.114,0.057,0.029,0.000,0.086,0.143,0.029,0.071
asthma,2,0.486,0.143,0.229,0.200,0.057,0.029,-0.457,0.190
asthma,3,0.857,0.714,0.429,0.486,0.600,0.657,-0.200,0.624
asthma,4,0.257,0.114,0.029,0.171,0.086,0.057,-0.200,0.119
asthma,5,0.857,0.800,0.829,0.800,0.857,0.629,-0.229,0.795
asthma,6,0.771,0.743,0.914,0.771,0.857,0.743,-0.029,0.800
asthma,7,0.000,0.000,0.057,0.143,0.086,0.057,0.057,0.057
asthma,8,0.857,0.886,0.971,0.800,0.886,0.743,-0.114,0.857
asthma,9,0.429,0.543,0.714,0.571,0.486,0.657,0.229,0.567
asthma,10,1.000,0.943,0.943,0.914,0.914,0.914,-0.086,0.938
asthma,11,0.914,0.714,0.771,0.743,0.800,0.714,-0.200,0.776
asthma,12,0.143,0.086,0.143,0.057,0.143,0.257,0.114,0.138
asthma,13,0.886,0.857,0.714,0.886,0.629,0.857,-0.029,0.805
asthma,14,0.829,0.686,0.829,0.714,0.857,0.800,-0.029,0.786
asthma,15,0.257,0.257,0.343,0.314,0.657,0.743,0.486,0.429
asthma,16,0.114,0.171,0.114,0.171,0.143,0.257,0.143,0.162
asthma,17,0.029,0.057,0.000,0.086,0.029,0.000,-0.029,0.033
asthma,18,0.057,0.029,0.057,0.029,0.057,0.000,-0.057,0.038
asthma,19,0.314,0.086,0.029,0.086,0.000,0.000,-0.314,0.086
asthma,20,0.286,0.457,0.343,0.571,0.486,0.543,0.257,0.448
asthma,21,0.829,0.886,0.914,0.943,0.971,0.971,0.143,0.919
asthma,22,0.800,0.771,0.743,0.771,0.514,0.829,0.029,0.738
asthma,23,0.886,0.914,0.914,0.771,0.800,0.886,0.000,0.862
asthma,24,0.429,0.257,0.143,0.171,0.171,0.200,-0.229,0.229
asthma,25,0.229,0.086,0.086,0.229,0.171,0.114,-0.114,0.152
asthma,26,0.057,0.029,0.057,0.143,0.029,0.114,0.057,0.071
asthma,27,0.343,0.514,0.314,0.543,0.629,0.629,0.286,0.495
asthma,28,0.371,0.771,0.914,0.886,1.000,0.943,0.571,0.814
asthma,29,0.314,0.314,0.171,0.057,0.171,0.171,-0.143,0.200
asthma,30,0.686,0.514,0.543,0.686,0.371,0.686,0.000,0.581
asthma,31,0.771,0.771,0.800,0.686,0.486,0.314,-0.457,0.638
depression,0,0.600,0.743,0.600,0.771,0.629,0.857,0.257,0.700
depression,1,0.029,0.029,0.000,0.000,0.057,0.029,0.000,0.024
depression,2,0.057,0.029,0.029,0.057,0.057,0.029,-0.029,0.043
depression,3,0.771,0.629,0.714,0.543,0.543,0.371,-0.400,0.595
depression,4,0.200,0.143,0.257,0.286,0.200,0.171,-0.029,0.210
depression,5,0.686,0.686,0.771,0.657,0.657,0.857,0.171,0.719
depression,6,0.714,0.571,0.571,0.657,0.714,0.629,-0.086,0.643
depression,7,0.029,0.000,0.000,0.000,0.000,0.000,-0.029,0.005
depression,8,0.600,0.457,0.686,0.429,0.629,0.657,0.057,0.576
depression,9,0.600,0.629,0.429,0.314,0.229,0.229,-0.371,0.405
depression,10,0.600,0.657,0.629,0.657,0.657,0.800,0.200,0.667
depression,11,0.686,0.543,0.629,0.543,0.600,0.571,-0.114,0.595
depression,12,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
depression,13,0.657,0.657,0.486,0.486,0.486,0.543,-0.114,0.552
depression,14,0.571,0.943,0.886,0.771,0.886,0.800,0.229,0.810
depression,15,0.286,0.600,0.429,0.629,0.686,0.600,0.314,0.538
depression,16,0.029,0.029,0.000,0.086,0.029,0.086,0.057,0.043
depression,17,0.029,0.000,0.057,0.000,0.000,0.000,-0.029,0.014
depression,18,0.029,0.000,0.000,0.000,0.000,0.000,-0.029,0.005
depression,19,0.029,0.000,0.086,0.000,0.000,0.000,-0.029,0.019
depression,20,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
depression,21,0.686,0.657,0.629,0.743,0.829,0.857,0.171,0.733
depression,22,0.400,0.714,0.829,0.286,0.486,0.286,-0.114,0.500
depression,23,0.629,0.771,0.857,0.800,0.857,0.743,0.114,0.776
depression,24,0.429,0.371,0.400,0.286,0.314,0.200,-0.229,0.333
depression,25,0.000,0.029,0.000,0.029,0.000,0.000,0.000,0.010
depression,26,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
depression,27,0.171,0.229,0.229,0.114,0.400,0.257,0.086,0.233
depression,28,0.171,0.543,0.371,0.429,0.686,0.743,0.571,0.490
depression,29,0.086,0.229,0.257,0.057,0.171,0.086,0.000,0.148
depression,30,0.286,0.200,0.429,0.429,0.486,0.514,0.229,0.390
depression,31,0.486,0.629,0.514,0.257,0.086,0.143,-0.343,0.352
multiple_sclerosis,0,0.314,0.571,0.686,0.686,0.771,0.829,0.514,0.643
multiple_sclerosis,1,0.000,0.057,0.000,0.000,0.000,0.000,0.000,0.010
multiple_sclerosis,2,0.057,0.000,0.029,0.057,0.029,0.000,-0.057,0.029
multiple_sclerosis,3,0.457,0.543,0.486,0.543,0.143,0.257,-0.200,0.405
multiple_sclerosis,4,0.029,0.057,0.086,0.086,0.000,0.086,0.057,0.057
multiple_sclerosis,5,0.514,0.457,0.400,0.543,0.429,0.457,-0.057,0.467
multiple_sclerosis,6,0.343,0.514,0.514,0.571,0.571,0.571,0.229,0.514
multiple_sclerosis,7,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
multiple_sclerosis,8,0.229,0.543,0.314,0.200,0.057,0.171,-0.057,0.252
multiple_sclerosis,9,0.286,0.029,0.114,0.143,0.086,0.029,-0.257,0.114
multiple_sclerosis,10,0.286,0.343,0.343,0.286,0.314,0.143,-0.143,0.286
multiple_sclerosis,11,0.343,0.657,0.600,0.771,0.886,0.743,0.400,0.667
multiple_sclerosis,12,0.000,0.029,0.057,0.086,0.000,0.000,0.000,0.029
multiple_sclerosis,13,0.514,0.457,0.571,0.400,0.457,0.457,-0.057,0.476
