cohort,factor,mean_ia_pct,prompts_ge50pct,n_prompts
asthma,0,50.4,14,32
asthma,1,46.7,17,32
asthma,2,47.0,15,32
asthma,3,47.8,17,32
asthma,4,46.9,15,32
asthma,5,48.7,18,32
depression,0,32.9,12,32
depression,1,36.6,15,32
depression,2,36.8,12,32
depression,3,32.2,10,32
depression,4,35.5,12,32
depression,5,34.6,13,32
multiple_sclerosis,0,19.6,3,32
multiple_sclerosis,1,22.8,6,32
multiple_sclerosis,2,23.4,5,32
multiple_sclerosis,3,24.5,6,32
multiple_sclerosis,4,23.8,4,32
multiple_sclerosis,5,26.3,6,32
rheumatoid_arthritis,0,11.0,0,32
rheumatoid_arthritis,1,12.7,1,32
rheumatoid_arthritis,2,11.9,1,32
rheumatoid_arthritis,3,8.4,0,32
rheumatoid_arthritis,4,8.1,0,32
rheumatoid_arthritis,5,6.1,0,32
sarcoidosis,0,29.8,8,32
sarcoidosis,1,31.1,10,32
sarcoidosis,2,25.8,5,32
sarcoidosis,3,27.1,8,32
sarcoidosis,4,25.1,5,32
sarcoidosis,5,25.7,5,32
