prompt_id,mean_ia_f5_pct,n_diseases_ge50pct,ia_f5_asthma_pct,ia_f5_depression_pct,ia_f5_multiple_sclerosis_pct,ia_f5_rheumatoid_arthritis_pct,ia_f5_sarcoidosis_pct
0,69.7,4,91.4,85.7,82.9,28.6,60.0
23,63.4,3,88.6,74.3,82.9,25.7,45.7
21,61.1,4,97.1,85.7,60.0,5.7,57.1
14,51.4,3,80.0,80.0,22.9,8.6,65.7
11,50.9,3,71.4,57.1,74.3,5.7,45.7
22,50.3,3,82.9,28.6,60.0,14.3,65.7
28,49.7,2,94.3,74.3,31.4,17.1,31.4
5,46.3,2,62.9,85.7,45.7,17.1,20.0
6,45.7,3,74.3,62.9,57.1,8.6,25.7
10,44.6,2,91.4,80.0,14.3,5.7,31.4
8,44.0,2,74.3,65.7,17.1,14.3,48.6
13,42.9,2,85.7,54.3,45.7,2.9,25.7
30,42.3,2,68.6,51.4,45.7,2.9,42.9
3,37.1,2,65.7,37.1,25.7,0.0,57.1
15,33.7,2,74.3,60.0,34.3,0.0,0.0
27,30.9,1,62.9,25.7,37.1,11.4,17.1
31,22.9,0,31.4,14.3,20.0,2.9,45.7
9,21.1,1,65.7,22.9,2.9,0.0,14.3
24,18.3,0,20.0,20.0,40.0,5.7,5.7
16,12.0,0,25.7,8.6,11.4,8.6,5.7
20,11.4,1,54.3,0.0,0.0,0.0,2.9
2,10.9,0,2.9,2.9,0.0,0.0,48.6
29,9.1,0,17.1,8.6,20.0,0.0,0.0
12,8.6,0,25.7,0.0,0.0,0.0,17.1
4,8.0,0,5.7,17.1,8.6,0.0,8.6
1,5.1,0,14.3,2.9,0.0,2.9,5.7
25,4.6,0,11.4,0.0,0.0,2.9,8.6
26,3.4,0,11.4,0.0,2.9,0.0,2.9
18,2.3,0,0.0,0.0,0.0,2.9,8.6
7,2.3,0,5.7,0.0,0.0,0.0,5.7
19,0.6,0,0.0,0.0,0.0,0.0,2.9
17,0.0,0,0.0,0.0,0.0,0.0,0.0
