cohort,prompt_id,ia_f0_pct,best_factor,ia_best_pct,ia_gain_pp,male_n_f0,male_n_best,n
asthma,0,94.3,4,97.1,2.9,33,34,35
asthma,1,11.4,5,14.3,2.9,4,5,35
asthma,2,48.6,0,48.6,0.0,17,17,35
asthma,3,85.7,0,85.7,0.0,30,30,35
asthma,4,25.7,0,25.7,0.0,9,9,35
asthma,5,85.7,0,85.7,0.0,30,30,35
asthma,6,77.1,2,91.4,14.3,27,32,35
asthma,7,0.0,3,14.3,14.3,0,5,35
asthma,8,85.7,2,97.1,11.4,30,34,35
asthma,9,42.9,2,71.4,28.6,15,25,35
asthma,10,100.0,0,100.0,0.0,35,35,35
asthma,11,91.4,0,91.4,0.0,32,32,35
asthma,12,14.3,5,25.7,11.4,5,9,35
asthma,13,88.6,0,88.6,0.0,31,31,35
asthma,14,82.9,4,85.7,2.9,29,30,35
asthma,15,25.7,5,74.3,48.6,9,26,35
asthma,16,11.4,5,25.7,14.3,4,9,35
asthma,17,2.9,3,8.6,5.7,1,3,35
asthma,18,5.7,0,5.7,0.0,2,2,35
asthma,19,31.4,0,31.4,0.0,11,11,35
asthma,20,28.6,3,57.1,28.6,10,20,35
asthma,21,82.9,4,97.1,14.3,29,34,35
asthma,22,80.0,5,82.9,2.9,28,29,35
asthma,23,88.6,1,91.4,2.9,31,32,35
asthma,24,42.9,0,42.9,0.0,15,15,35
asthma,25,22.9,0,22.9,0.0,8,8,35
asthma,26,5.7,3,14.3,8.6,2,5,35
asthma,27,34.3,4,62.9,28.6,12,22,35
asthma,28,37.1,4,100.0,62.9,13,35,35
asthma,29,31.4,0,31.4,0.0,11,11,35
asthma,30,68.6,0,68.6,0.0,24,24,35
asthma,31,77.1,2,80.0,2.9,27,28,35
depression,0,60.0,5,85.7,25.7,21,30,35
depression,1,2.9,4,5.7,2.9,1,2,35
depression,2,5.7,0,5.7,0.0,2,2,35
depression,3,77.1,0,77.1,0.0,27,27,35
depression,4,20.0,3,28.6,8.6,7,10,35
depression,5,68.6,5,85.7,17.1,24,30,35
depression,6,71.4,0,71.4,0.0,25,25,35
depression,7,2.9,0,2.9,0.0,1,1,35
depression,8,60.0,2,68.6,8.6,21,24,35
depression,9,60.0,1,62.9,2.9,21,22,35
depression,10,60.0,5,80.0,20.0,21,28,35
depression,11,68.6,0,68.6,0.0,24,24,35
depression,12,0.0,0,0.0,0.0,0,0,35
