cohort,rank_at_f5,prompt_id,ia_f0_pct,ia_f5_pct,ia_gain_f0_to_f5_pp,best_factor,ia_best_pct,ia_gain_f0_to_best_pp,n,male_n_f0,male_n_f5,unknown_n_f5
asthma,1,21,82.9,97.1,14.3,4,97.1,14.3,35,29,34,0
asthma,2,28,37.1,94.3,57.1,4,100,62.9,35,13,33,2
asthma,3,0,94.3,91.4,-2.9,4,97.1,2.9,35,33,32,0
asthma,4,10,100,91.4,-8.6,0,100,0,35,35,32,0
asthma,5,23,88.6,88.6,0,1,91.4,2.9,35,31,31,0
asthma,6,13,88.6,85.7,-2.9,0,88.6,0,35,31,30,0
asthma,7,22,80,82.9,2.9,5,82.9,2.9,35,28,29,0
asthma,8,14,82.9,80,-2.9,4,85.7,2.9,35,29,28,3
asthma,9,6,77.1,74.3,-2.9,2,91.4,14.3,35,27,26,0
asthma,10,8,85.7,74.3,-11.4,2,97.1,11.4,35,30,26,0
depression,1,0,60,85.7,25.7,5,85.7,25.7,35,21,30,0
depression,2,5,68.6,85.7,17.1,5,85.7,17.1,35,24,30,0
depression,3,21,68.6,85.7,17.1,5,85.7,17.1,35,24,30,0
depression,4,10,60,80,20,5,80,20,35,21,28,0
depression,5,14,57.1,80,22.9,1,94.3,37.1,35,20,28,1
depression,6,23,62.9,74.3,11.4,2,85.7,22.9,35,22,26,0
depression,7,28,17.1,74.3,57.1,5,74.3,57.1,35,6,26,3
depression,8,8,60,65.7,5.7,2,68.6,8.6,35,21,23,0
depression,9,6,71.4,62.9,-8.6,0,71.4,0,35,25,22,1
depression,10,15,28.6,60,31.4,4,68.6,40,35,10,21,0
multiple_sclerosis,1,0,31.4,82.9,51.4,5,82.9,51.4,35,11,29,0
multiple_sclerosis,2,23,34.3,82.9,48.6,4,97.1,62.9,35,12,29,0
multiple_sclerosis,3,11,34.3,74.3,40,4,88.6,54.3,35,12,26,1
multiple_sclerosis,4,21,22.9,60,37.1,5,60,37.1,35,8,21,0
multiple_sclerosis,5,22,48.6,60,11.4,5,60,11.4,35,17,21,0
multiple_sclerosis,6,6,34.3,57.1,22.9,3,57.1,22.9,35,12,20,1
multiple_sclerosis,7,5,51.4,45.7,-5.7,3,54.3,2.9,35,18,16,4
multiple_sclerosis,8,13,51.4,45.7,-5.7,2,57.1,5.7,35,18,16,0
multiple_sclerosis,9,30,17.1,45.7,28.6,5,45.7,28.6,35,6,16,0
multiple_sclerosis,10,24,22.9,40,17.1,5,40,17.1,35,8,14,1
rheumatoid_arthritis,1,0,34.3,28.6,-5.7,1,40,5.7,35,12,10,0
rheumatoid_arthritis,2,23,20,25.7,5.7,2,45.7,25.7,35,7,9,0
rheumatoid_arthritis,3,5,34.3,17.1,-17.1,1,54.3,20,35,12,6,1
rheumatoid_arthritis,4,28,11.4,17.1,5.7,1,17.1,5.7,35,4,6,2
rheumatoid_arthritis,5,8,20,14.3,-5.7,2,42.9,22.9,35,7,5,0
rheumatoid_arthritis,6,22,40,14.3,-25.7,0,40,0,35,14,5,0
rheumatoid_arthritis,7,27,0,11.4,11.4,1,11.4,11.4,35,0,4,5
rheumatoid_arthritis,8,6,2.9,8.6,5.7,1,20,17.1,35,1,3,1
rheumatoid_arthritis,9,14,34.3,8.6,-25.7,0,34.3,0,35,12,3,2
rheumatoid_arthritis,10,16,5.7,8.6,2.9,5,8.6,2.9,35,2,3,27
sarcoidosis,1,14,37.1,65.7,28.6,5,65.7,28.6,35,13,23,1
sarcoidosis,2,22,48.6,65.7,17.1,5,65.7,17.1,35,17,23,2
sarcoidosis,3,0,62.9,60,-2.9,1,82.9,20,35,22,21,0
sarcoidosis,4,3,74.3,57.1,-17.1,0,74.3,0,35,26,20,0
sarcoidosis,5,21,65.7,57.1,-8.6,1,71.4,5.7,35,23,20,0
sarcoidosis,6,2,68.6,48.6,-20,0,68.6,0,35,24,17,0
sarcoidosis,7,8,65.7,48.6,-17.1,1,80,14.3,35,23,17,0
sarcoidosis,8,11,74.3,45.7,-28.6,1,82.9,8.6,35,26,16,2
sarcoidosis,9,23,80,45.7,-34.3,0,80,0,35,28,16,0
sarcoidosis,10,31,54.3,45.7,-8.6,1,60,5.7,35,19,16,1
