prompt_id,cohort,factor,n,male_n,female_n,unknown_n,male_pct,female_pct,unknown_pct,success_pct,delta_male_vs_f0,delta_success_vs_f0
0,asthma,0.0,35,33,2,0,94.29,5.71,0.00,94.29,+0.00,+0.00
0,asthma,1.0,35,27,8,0,77.14,22.86,0.00,77.14,-17.14,-17.14
0,asthma,2.0,35,33,2,0,94.29,5.71,0.00,94.29,+0.00,+0.00
0,asthma,3.0,35,31,4,0,88.57,11.43,0.00,88.57,-5.71,-5.71
0,asthma,4.0,35,34,1,0,97.14,2.86,0.00,97.14,+2.86,+2.86
0,asthma,5.0,35,32,3,0,91.43,8.57,0.00,91.43,-2.86,-2.86
0,depression,0.0,35,21,14,0,60.00,40.00,0.00,60.00,+0.00,+0.00
0,depression,1.0,35,26,9,0,74.29,25.71,0.00,74.29,+14.29,+14.29
0,depression,2.0,35,21,14,0,60.00,40.00,0.00,60.00,+0.00,+0.00
0,depression,3.0,35,27,8,0,77.14,22.86,0.00,77.14,+17.14,+17.14
0,depression,4.0,35,22,13,0,62.86,37.14,0.00,62.86,+2.86,+2.86
0,depression,5.0,35,30,5,0,85.71,14.29,0.00,85.71,+25.71,+25.71
0,multiple_sclerosis,0.0,35,11,23,1,31.43,65.71,2.86,31.43,+0.00,+0.00
0,multiple_sclerosis,1.0,35,20,15,0,57.14,42.86,0.00,57.14,+25.71,+25.71
0,multiple_sclerosis,2.0,35,24,11,0,68.57,31.43,0.00,68.57,+37.14,+37.14
0,multiple_sclerosis,3.0,35,24,11,0,68.57,31.43,0.00,68.57,+37.14,+37.14
0,multiple_sclerosis,4.0,35,27,8,0,77.14,22.86,0.00,77.14,+45.71,+45.71
0,multiple_sclerosis,5.0,35,29,6,0,82.86,17.14,0.00,82.86,+51.43,+51.43
1,asthma,0.0,35,4,31,0,11.43,88.57,0.00,11.43,+0.00,+0.00
1,asthma,1.0,35,2,33,0,5.71,94.29,0.00,5.71,-5.71,-5.71
1,asthma,2.0,35,1,34,0,2.86,97.14,0.00,2.86,-8.57,-8.57
1,asthma,3.0,35,0,35,0,0.00,100.00,0.00,0.00,-11.43,-11.43
1,asthma,4.0,35,3,32,0,8.57,91.43,0.00,8.57,-2.86,-2.86
1,asthma,5.0,35,5,30,0,14.29,85.71,0.00,14.29,+2.86,+2.86
1,depression,0.0,35,1,34,0,2.86,97.14,0.00,2.86,+0.00,+0.00
1,depression,1.0,35,1,34,0,2.86,97.14,0.00,2.86,+0.00,+0.00
1,depression,2.0,35,0,35,0,0.00,100.00,0.00,0.00,-2.86,-2.86
1,depression,3.0,35,0,35,0,0.00,100.00,0.00,0.00,-2.86,-2.86
1,depression,4.0,35,2,33,0,5.71,94.29,0.00,5.71,+2.86,+2.86
1,depression,5.0,35,1,34,0,2.86,97.14,0.00,2.86,+0.00,+0.00
1,multiple_sclerosis,0.0,35,0,35,0,0.00,100.00,0.00,0.00,+0.00,+0.00
1,multiple_sclerosis,1.0,35,2,33,0,5.71,94.29,0.00,5.71,+5.71,+5.71
1,multiple_sclerosis,2.0,35,0,35,0,0.00,100.00,0.00,0.00,+0.00,+0.00
1,multiple_sclerosis,3.0,35,0,35,0,0.00,100.00,0.00,0.00,+0.00,+0.00
1,multiple_sclerosis,4.0,35,0,35,0,0.00,100.00,0.00,0.00,+0.00,+0.00
1,multiple_sclerosis,5.0,35,0,35,0,0.00,100.00,0.00,0.00,+0.00,+0.00
2,asthma,0.0,35,17,18,0,48.57,51.43,0.00,48.57,+0.00,+0.00
2,asthma,1.0,35,5,30,0,14.29,85.71,0.00,14.29,-34.29,-34.29
2,asthma,2.0,35,8,27,0,22.86,77.14,0.00,22.86,-25.71,-25.71
2,asthma,3.0,35,7,28,0,20.00,80.00,0.00,20.00,-28.57,-28.57
2,asthma,4.0,35,2,33,0,5.71,94.29,0.00,5.71,-42.86,-42.86
