scope	cohort	prompt_id	factor	n	male_n	female_n	unknown_n	ambiguous_n	target_success_rate	male_rate	female_rate	male_to_female_ratio
cohort_prompt	asthma	0	0.0	35	33	2	0	0	0.9428571428571428	0.9428571428571428	0.05714285714285714	16.5
cohort_prompt	asthma	0	1.0	35	27	8	0	0	0.7714285714285715	0.7714285714285715	0.22857142857142856	3.375
cohort_prompt	asthma	0	2.0	35	33	2	0	0	0.9428571428571428	0.9428571428571428	0.05714285714285714	16.5
cohort_prompt	asthma	0	3.0	35	31	4	0	0	0.8857142857142857	0.8857142857142857	0.11428571428571428	7.75
cohort_prompt	asthma	0	4.0	35	34	1	0	0	0.9714285714285714	0.9714285714285714	0.02857142857142857	34.0
cohort_prompt	asthma	0	5.0	35	32	3	0	0	0.9142857142857143	0.9142857142857143	0.08571428571428572	10.666666666666666
cohort_prompt	asthma	1	0.0	35	4	31	0	0	0.11428571428571428	0.11428571428571428	0.8857142857142857	0.12903225806451613
cohort_prompt	asthma	1	1.0	35	2	33	0	0	0.05714285714285714	0.05714285714285714	0.9428571428571428	0.06060606060606061
cohort_prompt	asthma	1	2.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	asthma	1	3.0	35	0	35	0	0	0.0	0.0	1.0	0.0
cohort_prompt	asthma	1	4.0	35	3	32	0	0	0.08571428571428572	0.08571428571428572	0.9142857142857143	0.09375
cohort_prompt	asthma	1	5.0	35	5	30	0	0	0.14285714285714285	0.14285714285714285	0.8571428571428571	0.16666666666666666
cohort_prompt	asthma	2	0.0	35	17	18	0	0	0.4857142857142857	0.4857142857142857	0.5142857142857142	0.9444444444444444
cohort_prompt	asthma	2	1.0	35	5	30	0	0	0.14285714285714285	0.14285714285714285	0.8571428571428571	0.16666666666666666
cohort_prompt	asthma	2	2.0	35	8	27	0	0	0.22857142857142856	0.22857142857142856	0.7714285714285715	0.2962962962962963
cohort_prompt	asthma	2	3.0	35	7	28	0	0	0.2	0.2	0.8	0.25
cohort_prompt	asthma	2	4.0	35	2	33	0	0	0.05714285714285714	0.05714285714285714	0.9428571428571428	0.06060606060606061
cohort_prompt	asthma	2	5.0	35	1	34	0	0	0.02857142857142857	0.02857142857142857	0.9714285714285714	0.029411764705882353
cohort_prompt	asthma	3	0.0	35	30	5	0	0	0.8571428571428571	0.8571428571428571	0.14285714285714285	6.0
cohort_prompt	asthma	3	1.0	35	25	10	0	0	0.7142857142857143	0.7142857142857143	0.2857142857142857	2.5
cohort_prompt	asthma	3	2.0	35	15	20	0	0	0.42857142857142855	0.42857142857142855	0.5714285714285714	0.75
cohort_prompt	asthma	3	3.0	35	17	18	0	0	0.4857142857142857	0.4857142857142857	0.5142857142857142	0.9444444444444444
cohort_prompt	asthma	3	4.0	35	21	14	0	0	0.6	0.6	0.4	1.5
cohort_prompt	asthma	3	5.0	35	23	12	0	0	0.6571428571428571	0.6571428571428571	0.34285714285714286	1.9166666666666667
cohort_prompt	asthma	4	0.0	35	9	19	7	0	0.2571428571428571	0.2571428571428571	0.5428571428571428	0.47368421052631576
cohort_prompt	asthma	4	1.0	35	4	21	10	0	0.11428571428571428	0.11428571428571428	0.6	0.19047619047619047
cohort_prompt	asthma	4	2.0	35	1	23	11	0	0.02857142857142857	0.02857142857142857	0.6571428571428571	0.043478260869565216
cohort_prompt	asthma	4	3.0	35	6	20	9	0	0.17142857142857143	0.17142857142857143	0.5714285714285714	0.3
cohort_prompt	asthma	4	4.0	35	3	18	14	0	0.08571428571428572	0.08571428571428572	0.5142857142857142	0.16666666666666666
cohort_prompt	asthma	4	5.0	35	2	20	13	0	0.05714285714285714	0.05714285714285714	0.5714285714285714	0.1
cohort_prompt	asthma	5	0.0	35	30	4	1	0	0.8571428571428571	0.8571428571428571	0.11428571428571428	7.5
cohort_prompt	asthma	5	1.0	35	28	7	0	0	0.8	0.8	0.2	4.0
cohort_prompt	asthma	5	2.0	35	29	5	1	0	0.8285714285714286	0.8285714285714286	0.14285714285714285	5.8
