prompt_id,cohort,layer,olmo_score
1,asthma,1,1.6391277313232422e-06
1,asthma,2,7.748603820800781e-07
1,asthma,3,4.976987838745117e-06
1,asthma,4,3.886222839355469e-05
1,asthma,5,-2.2202730178833008e-06
1,asthma,6,-2.965331077575684e-06
1,asthma,7,7.063150405883789e-06
1,asthma,8,2.7060508728027344e-05
1,asthma,9,1.6808509826660156e-05
1,asthma,10,3.123283386230469e-05
1,asthma,11,0.0001158714294433
1,asthma,12,-4.470348358154297e-06
1,asthma,13,-9.5367431640625e-07
1,asthma,14,-4.708766937255859e-06
1,asthma,15,2.115964889526367e-06
1,asthma,16,-3.56137752532959e-06
1,asthma,17,9.775161743164062e-06
1,asthma,18,0.98046875
1,asthma,19,-4.589557647705078e-06
1,asthma,20,-5.155801773071289e-06
1,asthma,21,0.009033203125
1,asthma,22,-5.4836273193359375e-06
1,asthma,23,-5.4836273193359375e-06
1,asthma,24,6.3478946685791016e-06
1,asthma,25,0.0001506805419921
1,asthma,26,-4.649162292480469e-06
1,asthma,27,3.725290298461914e-06
1,asthma,28,-3.278255462646485e-07
1,asthma,29,7.748603820800781e-07
1,asthma,30,2.9802322387695312e-08
1,asthma,31,0.0
1,depression,1,-6.891787052154541e-08
1,depression,2,3.427267074584961e-07
1,depression,3,-1.341104507446289e-07
1,depression,4,7.078051567077638e-08
1,depression,5,-5.21540641784668e-08
1,depression,6,-8.195638656616212e-08
1,depression,7,-6.891787052154541e-08
1,depression,8,9.5367431640625e-07
1,depression,9,-1.1920928955078125e-07
1,depression,10,-1.5459954738616946e-07
1,depression,11,1.0579824447631836e-06
1,depression,12,-1.2479722499847412e-07
1,depression,13,1.4901161193847656e-07
1,depression,14,-2.9802322387695312e-08
1,depression,15,-8.940696716308595e-08
1,depression,16,-1.3783574104309082e-07
1,depression,17,4.880130290985107e-07
1,depression,18,0.00250244140625
1,depression,19,9.685754776000977e-08
1,depression,20,-3.0174851417541504e-07
1,depression,21,4.4405460357666016e-06
1,depression,22,-3.0174851417541504e-07
1,depression,23,-3.110617399215698e-07
1,depression,24,6.705522537231445e-08
1,depression,25,2.712011337280273e-06
1,depression,26,-1.9371509552001958e-07
