prompt_id,layer,olmo_score
1,1,4.361500032246113e-07
1,2,2.9348302632570267e-07
1,3,1.2313248589634895e-06
1,4,9.821495041251183e-06
1,5,-4.7660432755947113e-07
1,6,-6.890622898936273e-07
1,7,1.7525744624435902e-06
1,8,7.0927198976278305e-06
1,9,4.242872819304466e-06
1,10,7.997849024832249e-06
1,11,2.9548420570775924e-05
1,12,-1.1456431820988655e-06
1,13,-1.9790604710578918e-07
1,14,-1.1452939361333847e-06
1,15,5.349284037947655e-07
1,16,-8.463393896818161e-07
1,17,2.574117388576269e-06
1,18,0.25747835636138916
1,19,-1.1307420209050179e-06
1,20,-1.4075776562094688e-06
1,21,0.0022614113986492157
1,22,-1.4883698895573616e-06
1,23,-1.4816178008913994e-06
1,24,1.6245758160948753e-06
1,25,3.861542791125971e-05
1,26,-1.2316741049289703e-06
1,27,9.73232090473175e-07
1,28,-7.334165275096895e-08
1,29,2.0791776478290558e-07
1,30,1.6065314412117004e-08
1,31,0.0
2,1,1.885928213596344e-07
2,2,2.7939677238464355e-07
2,3,1.2014061212539673e-07
2,4,2.421438694000244e-07
2,5,-7.91624188423158e-09
2,6,6.51925802230835e-07
2,7,-2.069864422082901e-07
2,8,4.176981747150421e-07
2,9,-2.235174179077149e-08
2,10,2.514570951461792e-07
2,11,8.833594620227815e-07
2,12,-1.816079020500183e-07
2,13,7.916241884231567e-08
2,14,-9.778887033462538e-09
2,15,2.0489096641540524e-08
2,16,-2.039596438407898e-07
2,17,2.523884177207947e-07
2,18,1.3861805200576782e-05
2,19,-1.4761462807655334e-07
2,20,-2.523884177207947e-07
2,21,7.217749953269958e-07
2,22,-2.491287887096405e-07
2,23,-1.550652086734772e-07
2,24,-1.8626451492309537e-09
2,25,2.873130142688751e-07
2,26,-8.195638656616211e-08
2,27,3.818422555923462e-08
2,28,-9.313225746154785e-09
2,29,-4.6566128730773926e-09
2,30,4.190951585769653e-09
2,31,0.0
3,1,1.8588005332276225e-05
3,2,5.433510523289442e-06
3,3,0.00010302395094186068
3,4,0.0002746586687862873
3,5,4.419824108481407e-06
3,6,-7.758091669529676e-06
3,7,7.356400601565838e-06
3,8,6.533111445605755e-06
3,9,3.1446805223816346e-05
3,10,0.00031668966403231025
3,11,0.0030377771181520075
3,12,-8.823422831483185e-06
3,13,-7.596667273901403e-06
3,14,-7.884358637966216e-06
3,15,-7.170921890065074e-06
3,16,-8.297734893858433e-06
3,17,1.538798096589744e-05
3,18,0.24744212627410886
3,19,-6.181711796671152e-06
3,20,-8.602612069807947e-06
3,21,0.007249973714351654
3,22,-9.59420867729932e-06
3,23,-9.516865247860553e-06
3,24,8.534407243132591e-06
3,25,0.0002791779115795964
3,26,-7.040347554720937e-06
3,27,3.6160345189273357e-06
3,28,5.2677933126688e-09
3,29,-1.367880031466484e-09
3,30,-9.313225746154785e-10
3,31,0.0
4,1,1.0537682101130486e-05
4,2,-3.114878199992377e-05
4,3,1.1336756870150566e-05
4,4,0.0010590851306915283
4,5,-4.601478576659844e-05
4,6,-3.141723573205668e-05
4,7,4.88739460706617e-05
4,8,0.0005468595772981644
4,9,-1.5506520867347717e-06
4,10,0.000300102168694126
4,11,0.0006347044836729765
4,12,-6.392132490872399e-05
4,13,-4.950352013108927e-05
4,14,-6.644707173107179e-05
4,15,4.7302106395351305e-05
4,16,-4.777591675519631e-05
4,17,0.0001056513283401509
4,18,0.21211791038513184
4,19,-5.5545009672635506e-05
4,20,-7.194117642938778e-05
4,21,0.0005561783909797668
4,22,-7.553002797064978e-05
4,23,-7.587647996840674e-05
4,24,6.668362766502725e-05
4,25,0.000370711088180542
4,26,-6.657012272624286e-05
4,27,8.373335003851906e-05
4,28,-3.259629011154175e-09
4,29,5.341134965419769e-07
4,30,5.364418029785156e-07
4,31,0.0
5,1,1.445971429347992e-05
5,2,-4.3990439735342056e-05
5,3,-7.589103188363822e-05
5,4,-3.430561628190945e-05
5,5,-4.455144517123699e-05
5,6,-8.199346484615774e-05
5,7,-4.726462066173554e-08
5,8,0.005636037676595151
5,9,0.00023395864991469922
5,10,0.00010766152990980374
5,11,0.00503565592225641
5,12,-9.115744614971477e-05
5,13,6.357661914078194e-05
5,14,-9.14473494048943e-05
5,15,-6.445421604438054e-05
5,16,-8.584745228289933e-05
5,17,1.739861909300089e-05
5,18,0.3573554754257202
5,19,-8.050224278119999e-05
5,20,-9.257497731596231e-05
5,21,0.002355904318392272
5,22,-9.374914225190253e-05
5,23,-9.525753557680475e-05
5,24,0.00010718597332014696
5,25,0.016638863366097194
5,26,-9.16718272492102e-05
5,27,-2.124626189470291e-05
5,28,-1.0965974070131779e-05
5,29,-1.0965974070131779e-05
5,30,-1.0967254638671875e-05
5,31,0.0
6,1,-2.2759195417165756e-08
6,2,-4.9156369641423225e-08
6,3,1.7433194443583485e-08
6,4,1.8917489796876914e-08
6,5,2.2561289370059967e-07
6,6,-1.5328987501561642e-07
6,7,-1.73458829522133e-08
6,8,3.3708056434988976e-07
6,9,-1.3323733583092692e-07
6,10,8.3498889580369e-08
6,11,2.5574699975550175e-06
6,12,-3.943569026887418e-08
6,13,2.043962012976408e-07
6,14,-1.5596742741763594e-07
6,15,-1.37049937620759e-07
6,16,-1.2057716958224773e-07
6,17,8.806819096207619e-08
6,18,0.005007804837077837
6,19,-3.5623088479042066e-08
6,20,-1.8072023522108793e-07
6,21,2.9538641683757305e-06
6,22,-2.5582266971468925e-07
6,23,-2.5656481739133596e-07
6,24,5.421752575784922e-07
6,25,7.093767635524273e-07
6,26,-1.504085958003998e-07
6,27,9.548966772854328e-08
6,28,5.238689482212067e-10
6,29,5.820766091346746e-11
6,30,3.4924596548080444e-10
6,31,0.0
7,1,3.269087756052613e-08
7,2,-1.8386344891041517e-08
7,3,5.058973329141736e-08
7,4,7.913331501185895e-08
7,5,-2.1478626877069473e-08
7,6,2.2046151570975764e-09
7,7,4.8712536226958036e-08
7,8,1.463195076212287e-08
7,9,-2.3355823941528797e-09
7,10,4.087632987648249e-08
7,11,1.2527743820101025e-07
7,12,-2.719752956181765e-08
7,13,2.7066562324762344e-09
7,14,-2.7699570637196302e-08
7,15,-2.1085725165903568e-08
7,16,-2.3072061594575647e-08
7,17,2.9445800464600328e-08
7,18,0.0004739068681374067
7,19,-2.4607288651168346e-08
7,20,-3.5190169000998146e-08
7,21,3.447785275056958e-07
7,22,-4.8494257498532534e-08
7,23,-5.136826075613499e-08
7,24,3.6248820833861834e-08
7,25,1.6092235455289483e-07
7,26,-3.596142050810158e-08
7,27,2.2373569663614038e-08
7,28,0.0
7,29,3.1213858164846897e-09
7,30,-2.182787284255027e-11
7,31,0.0
8,1,1.969409640878439e-05
8,2,-3.243490937165916e-06
8,3,8.901115506887436e-07
8,4,2.7206144295628933e-05
8,5,-3.934197593480349e-06
8,6,-6.482950993813574e-06
8,7,4.717032425105573e-06
8,8,0.00019205233547835916
8,9,8.392235031351447e-07
8,10,1.9794199033640325e-05
8,11,7.698910485487431e-05
8,12,-6.780392141081393e-06
8,13,7.127004209905863e-06
8,14,-6.922113243490457e-06
8,15,-2.691915142349899e-06
8,16,-6.024551112204789e-06
8,17,9.168084943667054e-06
8,18,0.2819923534989357
8,19,-6.68935535941273e-06
8,20,-7.133610779419542e-06
8,21,0.029671704163774848
8,22,-7.373251719400287e-06
8,23,-7.421665941365063e-06
8,24,1.6664169379509985e-05
8,25,0.0007796340505592525
8,26,-6.532151019200683e-06
8,27,1.3709126506000757e-05
8,28,-2.110027708113194e-08
8,29,-2.1012965589761737e-08
8,30,4.769535735249519e-07
8,31,0.0
9,1,1.7087440937757492e-06
9,2,-3.7597492337226868e-06
9,3,-2.8151553124189377e-06
9,4,-7.124152034521103e-06
9,5,-3.4836120903491974e-06
9,6,-4.038680344820023e-06
9,7,-6.258487701416016e-07
9,8,2.1715648472309113e-05
9,9,7.472001016139985e-06
9,10,1.2245960533618927e-05
9,11,1.2161210179328918e-05
9,12,-5.894573405385017e-06
9,13,3.052409738302231e-06
9,14,-6.85267150402069e-06
9,15,-3.4063123166561127e-06
9,16,-1.8826685845851898e-06
9,17,3.091059625148773e-06
9,18,0.006418982520699501
9,19,-6.866874173283576e-06
9,20,-7.1285758167505264e-06
9,21,9.785871952770891e-05
9,22,-8.53673554956913e-06
9,23,-8.342554792761803e-06
9,24,8.720438927412033e-06
9,25,3.584567457436734e-05
9,26,-6.1250757426023475e-06
9,27,7.659662514925003e-06
9,28,-5.569308996200562e-07
9,29,-1.1641532182693481e-08
9,30,-1.0710209608078003e-08
9,31,0.0
10,1,8.095666998997332e-07
10,2,-9.435461834073067e-07
10,3,5.312904249876738e-07
10,4,-2.2316817194223404e-07
10,5,-1.0672956705093384e-06
10,6,5.730253178626299e-07
10,7,8.660135790705681e-07
10,8,1.1291354894638062e-05
10,9,9.934883564710615e-07
10,10,2.0567094907164574e-06
10,11,5.248861270956695e-06
10,12,-1.4423276297748089e-06
10,13,-8.497008820995688e-07
10,14,-1.2936652638018131e-06
10,15,-1.16208684630692e-06
10,16,-1.089530996978283e-06
10,17,1.1146767064929008e-06
10,18,0.15476864017546174
10,19,-1.339038135483861e-06
10,20,-1.5539262676611543e-06
10,21,9.875377872957842e-05
10,22,-1.7036509234458208e-06
10,23,-1.6912672435864806e-06
10,24,1.1572847142815588e-06
10,25,1.1492054909467697e-05
10,26,-1.370062818750739e-06
10,27,8.462520781904459e-07
10,28,0.0
10,29,-8.923234418034554e-08
10,30,5.820766091346741e-11
10,31,0.0
11,1,7.62520357966423e-09
11,2,-6.271875463426114e-09
11,3,6.402842700481416e-10
11,4,1.2834789231419563e-08
11,5,-2.3865140974521637e-09
11,6,1.0768417268991466e-09
11,7,6.330083124339581e-09
11,8,6.941263563930989e-09
11,9,1.2194504961371422e-08
11,10,1.84372765943408e-08
11,11,7.722701411694288e-08
11,12,-7.566995918750763e-09
11,13,3.1577656045556077e-09
11,14,-1.151056494563818e-08
11,15,-8.207280188798904e-09
11,16,-2.6775524020195007e-09
11,17,2.313754521310329e-09
11,18,0.00012074306141584174
11,19,-7.639755494892597e-09
11,20,-1.552689354866743e-08
11,21,1.3568205758929253e-07
11,22,-1.9841536413878202e-08
11,23,-2.2497260943055153e-08
11,24,1.8335413187742237e-08
11,25,4.42523742094636e-08
11,26,-9.851646609604359e-09
11,27,6.315531209111214e-09
11,28,-6.984919309616089e-10
11,29,-3.346940502524376e-10
11,30,-1.0477378964424133e-09
11,31,0.0
12,1,3.393797669559717e-06
