prompt_id,peak_layer,peak_score
31,18,0.7352371215820312
28,18,0.7333984375
30,18,0.652984619140625
14,18,0.65252685546875
22,18,0.599884033203125
23,18,0.5924072265625
21,18,0.5486259460449219
16,18,0.548583984375
17,18,0.5104522705078125
1,18,0.502886962890625
29,2,0.5025100708007812
24,2,0.5007400512695312
26,2,0.5003954172134399
13,18,0.49974365234375
20,2,0.49921953678131104
6,2,0.4973773956298828
4,2,0.49404895305633545
3,18,0.49039459228515625
11,18,0.4838418960571289
15,2,0.45899246260523796
10,2,0.41469516754150393
18,18,0.40561676025390625
5,2,0.40388946533203124
7,18,0.3926832675933838
8,2,0.38202706575393675
19,18,0.34412384033203125
9,18,0.288646399974823
2,2,0.20042190551757813
27,18,0.19871368408203124
12,2,0.1968848705291748
25,2,0.15272235870361328
