layer,._156,presentation_155,patient_154,final_153,the_152,Generate_151,:_150,4_149,_148,Step_147,._146,condition_145,the_144,with_143,consistent_142
0,0.9983656793,1,0.8932243786,1,0.6382703439,0.1945522642,0.882328907,0.9994552264,0.996186585,0.9972761321,0.9994552264,1,0.9956418114,0.9983656793,0.8371127
1,0.9852911134,1,0.9580524345,0.9972761321,0.4982635342,0.996186585,0.9357167177,0.9994552264,0.9994552264,0.9978209057,1,1,0.9972761321,0.9994552264,0.9978209057
2,0.9760299625,1,0.9613210759,0.9220973783,0.5865168539,0.9438883214,0.9596867552,0.9994552264,0.9994552264,0.9978209057,0.9994552264,1,0.9989104528,0.9994552264,0.9825672455
3,0.9765747361,0.9994552264,0.9760299625,0.7831801158,0.5701736466,0.8572693224,0.9918283963,0.9994552264,0.9994552264,0.9994552264,0.9994552264,1,0.9989104528,0.9989104528,0.9852911134
4,0.9923731699,0.9994552264,0.9782090569,0.7831801158,0.5026217228,0.899216888,0.9989104528,0.9994552264,1,0.9994552264,0.9994552264,1,0.9994552264,0.9994552264,0.9929179435
5,0.8327545114,0.9978209057,0.7134490977,0.3854954035,0.2574736125,0.4857337419,0.9880149813,0.9989104528,0.9989104528,0.9994552264,0.9967313585,1,0.9956418114,0.9956418114,0.9613210759
6,0.88886619,0.989649302,0.528226081,0.2016343207,0.1640449438,0.2160708206,0.8648961525,0.9989104528,0.9978209057,0.9967313585,0.9972761321,1,0.9967313585,0.996186585,0.9684031324
7,0.9286346612,0.9912836227,0.7543071161,0.402928158,0.2890704801,0.3054136874,0.8687095676,0.9994552264,0.9972761321,0.996186585,0.9978209057,1,0.9983656793,0.996186585,0.9771195097
8,0.9711270003,0.9918283963,0.8512768131,0.5620020429,0.4331630916,0.4508682329,0.9400749064,0.9994552264,0.9983656793,0.9978209057,0.9983656793,1,0.9989104528,0.9978209057,0.989649302
9,0.9629553967,0.9901940756,0.7804562479,0.528226081,0.4072863466,0.4247191011,0.9329928498,0.9994552264,0.9983656793,0.9983656793,0.9989104528,1,0.9989104528,0.9978209057,0.989649302
10,0.9319033027,0.9950970378,0.847463398,0.7357848144,0.5783452503,0.7030983997,0.9684031324,0.9994552264,0.9989104528,0.9983656793,0.9989104528,0.9994552264,0.9989104528,0.9978209057,0.9950970378
11,0.9286346612,0.9956418114,0.8703438883,0.8921348315,0.7935308138,0.919918284,0.9956418114,0.9994552264,0.9994552264,0.9989104528,0.9994552264,0.9994552264,0.9994552264,0.9989104528,0.9983656793
12,0.9471569629,0.9978209057,0.9373510385,0.9727613211,0.9231869254,0.9885597549,0.9983656793,0.9994552264,0.9994552264,0.9994552264,0.9994552264,1,0.9994552264,0.9994552264,0.9994552264
13,0.9929179435,0.9989104528,0.9950970378,0.9989104528,0.9978209057,0.9994552264,0.9994552264,1,1,0.9994552264,1,1,1,1,0.9994552264
14,0.9635001702,0.996186585,0.9803881512,0.9945522642,0.9907388492,0.9978209057,0.9989104528,0.9994552264,0.9994552264,0.9989104528,0.9989104528,0.9994552264,0.9994552264,0.9994552264,0.9994552264
15,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,1,1,1,1,1,1
16,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,1,1,1,1
17,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,1,1,1,1
18,0.9994552264,0.9994552264,0.9994552264,0.9994552264,0.9994552264,1,0.9994552264,0.9994552264,1,0.9994552264,1,1,1,1,1
19,0.9885597549,0.9923731699,0.9929179435,0.9950970378,0.9956418114,0.9950970378,0.9940074906,0.9923731699,0.9950970378,0.9940074906,0.9950970378,0.9945522642,0.9956418114,0.996186585,0.996186585
20,0.8687095676,0.8855975485,0.8741573034,0.8937691522,0.9117466803,0.9073884917,0.8937691522,0.8774259448,0.9210078311,0.8774259448,0.9024855295,0.8981273408,0.9177391896,0.9368062649,0.9308137555
21,0.9564181137,0.9607763023,0.9640449438,0.9640449438,0.9629553967,0.9607763023,0.9613210759,0.9607763023,0.9749404154,0.965134491,0.9678583589,0.968947906,0.9722165475,0.9727613211,0.9711270003
22,-0.0151855635,-0.0151855635,-0.01232550221,-0.01232550221,-0.01232550221,-0.01375553286,-0.0151855635,-0.01375553286,-0.01375553286,-0.009329247531,-0.01082737487,-0.01375553286,-0.0151855635,-0.01082737487,-0.01082737487
23,-0.004766768812,-0.003200544774,-0.003200544774,-0.004766768812,-0.004766768812,-0.00633299285,-0.004766768812,-0.00633299285,-0.001634320735,-0.001566224038,0,-0.003200544774,-0.003200544774,0.001634320735,-0.001566224038
24,0,-0.001634320735,-0.001634320735,-0.00633299285,-0.003200544774,-0.004766768812,-0.00633299285,-0.004766768812,-0.00633299285,-0.001634320735,-0.001634320735,0,-0.001634320735,-0.004766768812,-0.001634320735
25,0.0100783112,0.0100783112,0.0100783112,0.0100783112,0.01361933946,0.01361933946,0.01184882533,0.01184882533,0.0100783112,0.01184882533,0.01184882533,0.01361933946,0.01361933946,0.01361933946,0.01184882533
26,0.01538985359,0.01538985359,0.01538985359,0.01538985359,0.01722846442,0.01722846442,0.01722846442,0.01361933946,0.01538985359,0.01538985359,0.01722846442,0.01722846442,0.01722846442,0.01538985359,0.01361933946
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
