layer,._153,presentation_152,patient_151,final_150,the_149,Produce_148,:_147,4_146,_145,Step_144,._143,condition_142,the_141,with_140,line_139
0,0.9981954887,1,0.8351879699,1,0.9909774436,1,0.9031578947,0.9993984962,0.9903759398,0.9963909774,0.9939849624,1,0.9723308271,0.9837593985,1
1,0.9903759398,1,0.9314285714,0.9993984962,0.937443609,1,0.9681203008,0.9981954887,0.9987969925,0.997593985,0.9987969925,1,0.9819548872,0.9981954887,1
2,0.9729323308,0.9993984962,0.9458646617,0.9945864662,0.9452631579,0.9969924812,0.9837593985,0.9993984962,0.9993984962,0.997593985,0.9981954887,1,0.9915789474,0.997593985,0.9993984962
3,0.9981954887,1,0.982556391,0.9873684211,0.9530827068,0.984962406,0.9969924812,0.9981954887,0.9993984962,0.9993984962,0.9993984962,1,0.9879699248,0.9963909774,0.9993984962
4,0.9981954887,0.9993984962,0.9831578947,0.9879699248,0.9356390977,0.8682706767,0.9987969925,0.997593985,0.9993984962,0.9993984962,0.9993984962,1,0.9939849624,0.9981954887,0.9993984962
5,0.9410526316,0.9987969925,0.7876691729,0.8393984962,0.7034586466,0.4171428571,0.9963909774,0.9987969925,0.9993984962,0.9987969925,0.9963909774,1,0.9789473684,0.9951879699,0.9993984962
6,0.9645112782,0.9933834586,0.6896240602,0.6745864662,0.5903759398,0.4881203008,0.9771428571,0.9993984962,0.9987969925,0.9981954887,0.9969924812,1,0.9969924812,0.9981954887,0.9993984962
7,0.9873684211,0.9933834586,0.7960902256,0.8237593985,0.7106766917,0.565112782,0.9717293233,0.9993984962,0.9981954887,0.9969924812,0.9951879699,1,0.997593985,0.9981954887,0.9993984962
8,0.997593985,0.9927819549,0.8544360902,0.9097744361,0.8393984962,0.7010526316,0.984962406,0.9993984962,0.9987969925,0.9981954887,0.997593985,1,0.9981954887,0.9987969925,0.9993984962
9,0.997593985,0.9915789474,0.7714285714,0.8676691729,0.7768421053,0.6078195489,0.9813533835,0.9993984962,0.9987969925,0.9981954887,0.9969924812,1,0.9981954887,0.9987969925,0.9993984962
