layer,._147,presentation_146,final_145,the_144,Produce_143,:_142,4_141,_140,Step_139,._138,plausible_137,it_136,keep_135,to_134,)_133
0,0.6900190278,0.1525844852,0.8882860782,0.9094211445,0.9763488544,0.9431366074,1,0.7529210108,0.9994967841,0.3068201475,0.9894324669,0.9698070482,-0.01777767294,0.1720841,0.0340142473
1,0.3853218223,0.1410105204,0.8867764306,0.6366781463,0.9713166958,0.9758456385,1,0.9984903524,1,0.7614756805,0.9854067399,0.9748392068,-0.01493922096,0.1596295073,0.04747527166
2,0.4967841361,0.09050022802,0.6794514947,0.5642150619,0.1987545407,0.9934581938,1,1,1,0.5561636081,0.9909421145,0.9682974006,-0.007626865437,0.1218883175,0.07175543709
3,0.3968957871,0.2305829441,0.5762922426,0.3468258087,0.755940306,1,1,1,1,0.6583164284,0.9984903524,0.9416269598,-0.009309493482,0.6256073973,0.2856850812
4,0.279143275,0.138620245,0.5204352817,0.2690789577,0.9914453303,1,1,1,1,0.804249029,0.9994967841,0.9396140963,-0.003019295183,0.8530609677,0.3848186064
5,0.07773112547,0.05319935211,0.1501942099,0.0972307402,0.7619788964,1,1,1,1,0.6759289837,0.9914453303,0.7644949757,0.01684200594,0.829913038,0.4600493781
6,0.5159063389,0.06074759007,0.1344687141,0.1061628218,0.3176392886,0.9994967841,1,1,1,0.8490352408,0.9828906606,0.8117972669,0.03042883427,0.9386076646,0.90388577
7,0.5154031231,0.09546948468,0.1694422167,0.164410058,0.4202953248,0.9989935683,1,1,0.9994967841,0.8550738312,0.992451762,0.9456526867,0.3214134076,0.9310594266,0.9129436555
8,0.51942885,0.2889559843,0.3244327027,0.2854334733,0.689515812,1,1,1,1,0.9270336997,0.9979871365,0.9904388986,0.8530609677,0.9854067399,0.9833938765
9,0.3843153905,0.2615307198,0.2720982529,0.2957493985,0.5989369565,0.9994967841,1,1,0.9994967841,0.9069050652,0.9969807048,0.981381013,0.8646349326,0.9788649337,0.9723231275
10,0.5596861191,0.4819392681,0.5440864273,0.5159063389,0.9013696907,1,1,1,1,0.9904388986,0.9994967841,0.9989935683,0.9939614096,0.9954710572,0.9708134799
11,0.6824707899,0.5632086302,0.8731896023,0.8641317168,0.9994967841,1,1,1,1,0.9969807048,0.9994967841,0.9994967841,0.9989935683,0.9959742731,0.9567234357
12,0.8183390731,0.7690239185,0.9758456385,0.9763488544,1,1,1,1,1,0.9969807048,1,0.9994967841,0.9994967841,0.9989935683,0.9823874448
13,0.9718199116,0.9582330833,0.9979871365,0.9979871365,1,1,1,1,1,0.9994967841,1,1,1,0.9994967841,0.9974839207
14,0.9064018493,0.870673523,0.9874196034,0.992451762,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9989935683,0.9989935683,0.9989935683,0.9989935683,0.9994967841,0.9989935683,0.9934581938
15,0.9989935683,0.9989935683,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841
16,0.9989935683,0.9989935683,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841
17,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841
18,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841,0.9994967841
19,0.9979871365,0.9979871365,0.9984903524,0.9984903524,0.9984903524,0.9984903524,0.9984903524,0.9979871365,0.9984903524,0.9984903524,0.9979871365,0.9984903524,0.9984903524,0.9984903524,0.9979871365
20,0.9456526867,0.9265304839,0.9466591184,0.9436398232,0.9426333915,0.9396140963,0.9516912771,0.9411237439,0.9587362992,0.9617555943,0.9506848453,0.9537041405,0.9587362992,0.9587362992,0.9461559026
21,0.9728263434,0.9768520703,0.9788649337,0.9788649337,0.9758456385,0.9718199116,0.9693038323,0.9682974006,0.9718199116,0.9748392068,0.9773552861,0.9768520703,0.9763488544,0.9748392068,0.9723231275
22,0.006117217845,0.006651884701,0.006117217845,0.006651884701,0.007218002548,0.007218002548,0.006117217845,0.006651884701,0.008381689233,0.007784120394,0.008381689233,0.007218002548,0.005551099998,0.006651884701,0.006651884701
23,-0.0004403138809,-0.0008963532575,-0.0004560393766,-0.0008963532575,-0.0004403138809,-0.001352392634,-0.0008963532575,-0.001352392634,-0.0008963532575,1.572549575e-05,0.0004874903681,-0.0008963532575,-0.0004403138809,-0.0004403138809,1.572549575e-05
24,-0.001792706515,-0.0022172949,-0.0022172949,-0.0022172949,-0.001352392634,-0.001792706515,-0.002233020396,-0.002657608781,-0.001792706515,-0.001792706515,-0.0008963532575,-0.0008963532575,-0.0004560393766,-0.001352392634,-0.0009120787533
25,0.0004874903681,0.0009592552405,0.0004874903681,0.0004874903681,0.001431020113,0.0009592552405,0.001431020113,0.0009592552405,0.0009592552405,0.001431020113,0.001431020113,0.001431020113,0.001431020113,0.001934235977,0.001431020113
26,0.0009435297448,0.0009435297448,0.0004717648724,0.001431020113,0.001934235977,0.001431020113,0.001431020113,0.0009592552405,0.001431020113,0.001934235977,0.001934235977,0.001934235977,0.001934235977,0.001934235977,0.001934235977
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
