layer,._150,presentation_149,final_148,the_147,Produce_146,:_145,4_144,_143,Step_142,._141,ibility_140,aus_139,pl_138,maintain_137,to_136
0,0.8147299714,0.3904666269,0.9728873129,0.9226786331,0.9994979132,0.9959833056,1,0.9292057614,0.9994979132,0.1896319076,0.8212570998,0.8543948285,0.2348197195,0.0226880472,0.08902626542
1,0.4100480121,0.52954467,0.9648539241,0.6264474221,0.9959833056,0.997489566,1,0.9994979132,1,0.6410079392,0.9854394829,0.5250258889,0.151849876,0.0009414127467,0.1045281953
2,0.4100480121,0.3749019362,0.8237675338,0.4893777262,0.5451093608,0.9989958264,1,1,1,0.5054445037,0.989958264,0.6259453353,0.1277497097,-0.005366052656,0.05908934007
3,0.3982489723,0.7198355666,0.5847742178,0.5456114476,0.9613393165,1,1,1,1,0.9422600182,0.9984937396,0.8960680328,0.1045281953,-0.01918128471,0.4133115762
4,0.4097969687,0.4893777262,0.473561992,0.4652775599,0.9989958264,1,1,1,1,0.937741237,0.9989958264,0.9422600182,0.1384190542,-0.02072284809,0.5958201274
5,0.1950293407,0.1385445759,0.1765776509,0.1841089528,0.9814227885,1,1,1,1,0.932720369,0.9944770452,0.9196661123,0.1564941789,-0.01241880315,0.716320959
6,0.7645212916,0.15436031,0.1616405686,0.2230206797,0.5094611981,0.9994979132,1,1,1,0.9929707848,0.9492892334,0.9292057614,0.2476229328,0.02661060031,0.8699595193
7,0.9051055951,0.1474566166,0.2385853704,0.3149025638,0.5335613644,0.9994979132,1,1,1,0.937741237,0.9588288825,0.9648539241,0.4371606992,0.1544858317,0.8343113566
8,0.8825116892,0.4652775599,0.4451940879,0.5004236357,0.8046882355,1,1,1,1,0.9799165281,0.9894561772,0.992468698,0.7529732953,0.6625976716,0.9633476637
9,0.7459440801,0.4524743465,0.3859478457,0.5044403301,0.7228480874,0.9994979132,1,1,1,0.9608372297,0.9849373961,0.9859415696,0.7730567672,0.6801707095,0.9387454106
10,0.7494586877,0.701258355,0.6826811435,0.7695421596,0.9487871466,1,1,1,1,0.9879499168,0.9984937396,0.9989958264,0.9859415696,0.9859415696,0.9894561772
11,0.7379106913,0.6791665359,0.9096243763,0.940251671,0.9994979132,1,1,1,1,0.992468698,0.9994979132,0.9994979132,0.9969874792,0.9934728716,0.9819248753
12,0.8388301378,0.823265447,0.9799165281,0.98744783,1,1,1,1,1,0.994979132,0.9994979132,0.9994979132,0.9984937396,0.9994979132,0.9969874792
13,0.9769040073,0.9743935733,0.9984937396,0.9989958264,1,1,1,1,1,0.9994979132,1,1,0.9994979132,1,0.9994979132
14,0.9141431575,0.8850221232,0.9914645244,0.9954812188,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9989958264,0.9994979132,0.9994979132,0.9989958264,0.9994979132,0.9984937396
15,0.9989958264,0.9989958264,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132
16,0.9989958264,0.9989958264,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132
17,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132
18,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132,0.9994979132
19,0.997489566,0.9969874792,0.997489566,0.997489566,0.9979916528,0.997489566,0.997489566,0.9969874792,0.9979916528,0.9979916528,0.9979916528,0.9979916528,0.997489566,0.9979916528,0.997489566
20,0.9241848935,0.9020930743,0.9151473311,0.9076160291,0.9166535915,0.9106285499,0.9141431575,0.9081181159,0.935230803,0.9372391502,0.9407537578,0.942762105,0.9337245426,0.9407537578,0.9297078482
21,0.9583267957,0.9623434901,0.9653560109,0.9648539241,0.9613393165,0.9543101014,0.9492892334,0.9492892334,0.9543101014,0.9593309693,0.9643518373,0.9648539241,0.9633476637,0.9598330561,0.9563184486
22,0.00564847648,0.00564847648,0.006181943704,0.006181943704,0.007750964948,0.006181943704,0.00564847648,0.00564847648,0.007217497725,0.006684030502,0.006684030502,0.006181943704,0.00564847648,0.006181943704,0.006684030502
23,-0.0008472714721,-0.001255216996,-0.0008472714721,-0.001255216996,-0.0008472714721,-0.001255216996,-0.001255216996,-0.0008472714721,-0.0008472714721,0,-0.000423635736,-0.000423635736,-0.001663162519,-0.000423635736,-0.000423635736
24,-0.0008472714721,-0.001663162519,-0.001663162519,-0.001255216996,-0.0008472714721,-0.001255216996,-0.001663162519,-0.001663162519,-0.001255216996,-0.0008472714721,-0.0008472714721,0.0004393259485,0,-0.000423635736,-0.000423635736
25,0.0008786518969,0.0008786518969,0.001317977845,0.0008786518969,0.001317977845,0.001772994006,0.002228010167,0.0008786518969,0.0008786518969,0.001317977845,0.001333668058,0.002228010167,0.001772994006,0.002228010167,0.001772994006
26,0.0008786518969,0.0008786518969,0.001317977845,0.001772994006,0.001772994006,0.001772994006,0.001317977845,0.001772994006,0.001772994006,0.002228010167,0.002228010167,0.002228010167,0.002228010167,0.001772994006,0.001772994006
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
