layer,._162,presentation_161,patient_160,final_159,the_158,Generate_157,:_156,4_155,_154,Step_153,._152,condition_151,the_150,with_149,consistent_148
0,0.9706850509,1,0.5734674899,1,0.6858414617,0.0002395199295,0.06503634071,0.9809452831,0.6755812295,0.6511521052,0.9985342525,1,0.9985342525,0.9965799226,0.3660642247
1,0.6184170786,0.9995114175,0.7337225453,0.9565161588,0.2417199821,0.9995114175,0.2874024445,0.9853425254,0.9682421384,0.7850237063,1,1,0.9985342525,0.9995114175,0.981922448
2,0.4334886078,0.9995114175,0.6145084187,0.5348694736,0.1818686276,0.9159638125,0.4723309154,0.9946255927,0.9726393808,0.8397449447,0.9995114175,1,0.9980456701,0.9995114175,0.692193034
3,0.373392962,0.999022835,0.5114175143,0.147545708,0.05440967164,0.1618367457,0.9242697147,0.9936484277,0.9941370102,0.9951141751,0.9975570876,1,0.9975570876,0.9941370102,0.8055441707
4,0.5847048871,0.9980456701,0.4298242391,0.1170093026,0.03730928464,0.1618367457,0.9897397678,0.9941370102,0.9980456701,0.9985342525,0.9980456701,1,0.9980456701,0.9946255927,0.8988634254
5,0.05950925134,0.8475622644,0.03150736762,0.009399010143,0.005028487126,0.006398808317,0.8055441707,0.9697078859,0.9697078859,0.9853425254,0.9682421384,1,0.9589590712,0.9003291729,0.3919590965
6,0.145591378,0.5695588301,0.02068221192,0.00385283552,0.002814597738,0.001533977238,0.2474608263,0.9887626028,0.9017949204,0.9032606678,0.9677535559,1,0.981922448,0.9638448961,0.6037596041
7,0.3589797787,0.7742748916,0.0536157251,0.01302520828,0.007200388957,0.004524636438,0.3846303592,0.9858311079,0.914498065,0.8930004356,0.9736165458,1,0.9843653605,0.9462559266,0.5578328504
8,0.5959422843,0.8500051769,0.1076040898,0.03150736762,0.02036157967,0.01261296681,0.5387781335,0.9956027576,0.9604248187,0.9584704887,0.9877854379,1,0.9912055153,0.9579819062,0.7850237063
9,0.296929803,0.7278595554,0.0763958835,0.0188194912,0.01261296681,0.009399010143,0.384386068,0.9912055153,0.9228039673,0.9301327045,0.9731279633,0.9995114175,0.9701964684,0.9149866475,0.6755812295
10,0.198846869,0.8495165944,0.1750284728,0.07975488809,0.02575125521,0.04753898044,0.5231434939,0.9892511853,0.9369728593,0.9482102565,0.9770366232,0.9926712627,0.9399043543,0.8837173684,0.7874666187
11,0.2115500136,0.8871374458,0.2417199821,0.2474608263,0.1017410999,0.2534459618,0.9135209,0.9975570876,0.9858311079,0.9785023706,0.9916940977,0.9960913401,0.9853425254,0.9687307209,0.9780137881
12,0.3169616849,0.9433244317,0.4452145874,0.6330745532,0.3992878338,0.7952839385,0.9833881955,0.9985342525,0.9882740203,0.9863196904,0.9921826802,0.9975570876,0.9921826802,0.9858311079,0.9926712627
13,0.8006583458,0.9877854379,0.9057035803,0.9882740203,0.9594476537,0.9965799226,0.999022835,0.9995114175,0.999022835,0.9985342525,0.9985342525,0.9995114175,0.9995114175,0.999022835,0.9995114175
14,0.2534459618,0.792841026,0.4259155792,0.7400741176,0.484056895,0.8055441707,0.9032606678,0.965799226,0.9389271893,0.9193838899,0.9135209,0.9785023706,0.9824110305,0.9716622158,0.9833881955
15,0.9755708757,0.9868082729,0.9877854379,0.9956027576,0.9941370102,0.9960913401,0.9951141751,0.9956027576,0.9951141751,0.9960913401,0.9970685051,0.9980456701,0.9985342525,0.9985342525,0.999022835
16,0.9741051283,0.9921826802,0.9897397678,0.9956027576,0.9946255927,0.9965799226,0.9931598452,0.9931598452,0.9902283503,0.9921826802,0.9951141751,0.9960913401,0.9975570876,0.9975570876,0.9985342525
17,0.9897397678,0.9956027576,0.9946255927,0.9970685051,0.9970685051,0.9980456701,0.9956027576,0.9956027576,0.9956027576,0.9956027576,0.9965799226,0.9985342525,0.9985342525,0.9980456701,0.9985342525
18,0.9965799226,0.9975570876,0.9980456701,0.9985342525,0.9985342525,0.9980456701,0.9970685051,0.9970685051,0.9970685051,0.9975570876,0.9980456701,0.9985342525,0.9985342525,0.9985342525,0.9985342525
