layer,._159,presentation_158,patient_157,final_156,the_155,Produce_154,:_153,4_152,_151,Step_150,._149,condition_148,the_147,with_146,line_145
0,0.986613368,0.9995041988,0.8180409656,1,0.970251929,1,0.2607604351,0.9856217657,0.964798116,0.9846301633,0.9930587834,1,0.9856217657,0.9618233089,1
1,0.9013355644,0.9995041988,0.8988565585,0.9970251929,0.8482848378,1,0.4680053299,0.9667813207,0.9955377893,0.9920671811,0.9970251929,1,0.9816553562,0.9975209941,1
2,0.8185367668,0.9995041988,0.9067893775,0.9682687242,0.8686126863,0.9995041988,0.7446623904,0.9910755787,0.9970251929,0.9935545846,0.9960335905,1,0.9935545846,0.9960335905,0.9995041988
3,0.9608317065,0.9995041988,0.9087725822,0.9038145704,0.7258219454,0.9826469586,0.9786805491,0.9915713799,0.9990083976,0.9990083976,0.9990083976,1,0.986613368,0.9935545846,0.9995041988
4,0.9747141396,0.9990083976,0.9251340213,0.9062935763,0.6078212637,0.5860060116,0.9960335905,0.9801679527,0.9995041988,0.9995041988,0.9985125964,1,0.9915713799,0.9950419882,0.9995041988
5,0.5235350624,0.9970251929,0.3455424375,0.4052864801,0.299680828,0.07223203495,0.9806637538,0.9950419882,0.9980167953,0.9980167953,0.9766973444,1,0.932571039,0.9806637538,0.9995041988
6,0.7040066933,0.9672771219,0.3066220446,0.3066220446,0.2634873416,0.05618047163,0.8259737845,0.9990083976,0.9970251929,0.9975209941,0.9915713799,1,0.9980167953,0.9980167953,0.9995041988
7,0.9528988875,0.9771931455,0.3978494624,0.4404883642,0.3527315546,0.09435716278,0.8239905798,0.9990083976,0.9970251929,0.9960335905,0.9851259645,1,0.9980167953,0.9975209941,0.9995041988
8,0.9950419882,0.9737225373,0.4997366056,0.5394007003,0.4129713985,0.1308605249,0.8666294816,0.9990083976,0.9970251929,0.9975209941,0.9920671811,1,0.9980167953,0.9965293917,0.9985125964
9,0.9732267361,0.9429828639,0.3750426079,0.3938830529,0.3098447523,0.09745592018,0.7897802981,0.9980167953,0.994546187,0.9935545846,0.9841343621,1,0.9960335905,0.9925629822,0.9965293917
10,0.5969136376,0.9583527006,0.4878373772,0.6380651359,0.3822317251,0.2421678907,0.9092683834,0.9985125964,0.9960335905,0.9950419882,0.9920671811,0.9985125964,0.9940503858,0.989092374,0.9930587834
11,0.5741067832,0.96231911,0.5309720802,0.7992005206,0.6628551951,0.6197204921,0.9885965728,0.9990083976,0.9980167953,0.9970251929,0.9955377893,0.9990083976,0.9965293917,0.9960335905,0.9970251929
12,0.676241827,0.9836385609,0.6628551951,0.9350500449,0.829940194,0.9246382201,0.9955377893,0.9990083976,0.9985125964,0.9975209941,0.9960335905,0.9990083976,0.9975209941,0.9970251929,0.9980167953
13,0.9573610982,0.994546187,0.9717393325,0.9970251929,0.994546187,0.9980167953,0.9990083976,0.9995041988,0.9995041988,0.9990083976,0.9990083976,0.9995041988,0.9995041988,0.9990083976,0.9990083976
14,0.5428713086,0.9157137988,0.7833348827,0.9553778935,0.9305878343,0.9801679527,0.9905797775,0.9955377893,0.994546187,0.9881007716,0.9801679527,0.9975209941,0.9950419882,0.994546187,0.9950419882
15,0.9940503858,0.9965293917,0.9965293917,0.9980167953,0.9985125964,0.9990083976,0.9990083976,0.9985125964,0.9990083976,0.9990083976,0.9990083976,0.9995041988,0.9990083976,0.9990083976,0.9995041988
16,0.9940503858,0.9970251929,0.9970251929,0.9980167953,0.9980167953,0.9985125964,0.9985125964,0.9980167953,0.9985125964,0.9985125964,0.9990083976,0.9990083976,0.9990083976,0.9985125964,0.9990083976
17,0.9960335905,0.9975209941,0.9975209941,0.9980167953,0.9980167953,0.9985125964,0.9980167953,0.9980167953,0.9985125964,0.9985125964,0.9985125964,0.9990083976,0.9990083976,0.9985125964,0.9990083976
18,0.9980167953,0.9985125964,0.9980167953,0.9985125964,0.9985125964,0.9990083976,0.9985125964,0.9985125964,0.9990083976,0.9985125964,0.9990083976,0.9990083976,0.9990083976,0.9990083976,0.9990083976
19,0.8423352236,0.8790245112,0.8824951195,0.9097641846,0.902822968,0.9172012023,0.8978649562,0.8924111431,0.9469492733,0.9266214248,0.932571039,0.9221592142,0.9409996591,0.9409996591,0.9538904899
20,0.4682532305,0.5314678814,0.4880852778,0.5200644542,0.5240308636,0.5433671098,0.5394007003,0.5394007003,0.6911158625,0.5200644542,0.5592327477,0.5394007003,0.5899724211,0.6350903288,0.6459979548
21,0.7292925537,0.7476371975,0.7649902389,0.7649902389,0.7506120046,0.7446623904,0.7476371975,0.7535868117,0.8532428496,0.7843264851,0.8021753277,0.8120913514,0.8140745561,0.8115955502,0.8115955502
22,-0.006422174708,-0.006282730625,-0.005996095566,-0.006143286542,-0.006422174708,-0.006561618791,-0.00669331598,-0.006561618791,-0.005996095566,-0.006282730625,-0.005848904589,-0.006422174708,-0.006422174708,-0.006422174708,-0.006282730625
23,-0.003548077221,-0.003548077221,-0.003362151777,-0.003726255771,-0.003548077221,-0.003726255771,-0.003726255771,-0.003726255771,-0.003362151777,-0.003548077221,-0.003176226333,-0.003362151777,-0.003548077221,-0.003176226333,-0.003548077221
24,-0.00157261938,-0.001990951628,-0.002200117753,-0.002401536984,-0.002401536984,-0.002401536984,-0.002796628552,-0.002401536984,-0.001789532398,-0.002602956215,-0.001998698522,-0.001990951628,-0.001789532398,-0.001990951628,-0.001781785504
25,0.0002401536984,0.0002401536984,0,0,0.0004803073967,0.0004803073967,0.0004803073967,0.0002401536984,0.0007282079886,0,0.0002401536984,0.0002401536984,0.0004803073967,0.0004803073967,0.0002401536984
26,0.0007282079886,0.0007282079886,0.0009761085805,0.0007282079886,0.0007282079886,0.0009761085805,0.0009761085805,0.0009761085805,0.0009761085805,0.0009761085805,0.0009761085805,0.0009761085805,0.0009761085805,0.0009761085805,0.0007282079886
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
