layer,._160,presentation_159,patient_158,final_157,the_156,Generate_155,:_154,4_153,_152,Step_151,._150,condition_149,the_148,with_147,consistent_146
0,0.9909062204,1,0.7574992106,1,0.4500789391,0.01291443006,0.5584464793,0.9853489106,0.9737290811,0.9818124408,0.9974739501,1,0.8155983581,0.9934322703,0.7372908115
1,0.9141143038,0.99949479,0.885822545,0.9838332807,0.2338490685,0.9828228608,0.8034733186,0.9888853805,0.9944426902,0.9833280707,0.99949479,1,0.9590779918,0.9979791601,0.9878749605
2,0.8979475845,0.99949479,0.8873381749,0.6458478055,0.2724976318,0.8155983581,0.9141143038,0.9944426902,0.9974739501,0.9893905905,0.9954531102,1,0.9898958004,0.9984843701,0.9656457215
3,0.8893590148,0.9984843701,0.8317650774,0.382380802,0.2335964635,0.3907167667,0.9904010104,0.9964635302,0.9984843701,0.9984843701,0.9939374803,1,0.9909062204,0.9909062204,0.9701926113
4,0.9348279129,0.9974739501,0.8201452479,0.3902115567,0.2184401642,0.7276918219,0.9979791601,0.9984843701,0.99949479,0.99898958,0.9969687401,1,0.9954531102,0.9959583202,0.9883801705
5,0.701926113,0.9666561415,0.3442374487,0.1184085886,0.09017998105,0.2730028418,0.9787811809,0.9919166404,0.9954531102,0.9959583202,0.9828228608,1,0.9570571519,0.9691821913,0.9403852226
6,0.8034733186,0.9267445532,0.2497631828,0.08519103252,0.0570887275,0.09908430692,0.7802336596,0.9959583202,0.9919166404,0.9934322703,0.9909062204,0.99949479,0.9813072308,0.9878749605,0.9610988317
7,0.8762235554,0.9666561415,0.5104515314,0.2069466372,0.1266182507,0.1955794127,0.8423744869,0.9979791601,0.9944426902,0.9944426902,0.9934322703,0.99949479,0.9934322703,0.9873697506,0.9706978213
8,0.9600884117,0.9858541206,0.701926113,0.3942532365,0.2626460373,0.2970003158,0.8999684244,0.99898958,0.9969687401,0.9974739501,0.9974739501,1,0.9969687401,0.9944426902,0.9904010104
9,0.909062204,0.9737290811,0.6049257973,0.3404483739,0.2126302494,0.2661825071,0.8544995264,0.9984843701,0.9954531102,0.9969687401,0.9964635302,0.99949479,0.9949479002,0.9904010104,0.9858541206
10,0.8691506157,0.9833280707,0.7211240922,0.6008841175,0.3902115567,0.5508683296,0.9494790022,0.9984843701,0.9969687401,0.9974739501,0.9969687401,0.99898958,0.9939374803,0.9934322703,0.9904010104
11,0.9151247237,0.9924218503,0.8378275971,0.8560151563,0.6948531734,0.9024944743,0.9944426902,0.99949479,0.9984843701,0.9984843701,0.99898958,0.99949479,0.9984843701,0.9979791601,0.9984843701
12,0.9383643827,0.9964635302,0.9353331228,0.9737290811,0.9252289233,0.9883801705,0.9984843701,0.99949479,0.99898958,0.99898958,0.99898958,0.99949479,0.99898958,0.9984843701,0.99898958
13,0.9883801705,0.9979791601,0.9919166404,0.9979791601,0.9964635302,0.99898958,0.99949479,0.99949479,0.99949479,0.99949479,0.99949479,1,0.99949479,0.99949479,0.99949479
14,0.8949163246,0.9858541206,0.9242185033,0.9828228608,0.9595832018,0.9919166404,0.9954531102,0.9974739501,0.9964635302,0.9959583202,0.9964635302,0.9984843701,0.9984843701,0.9974739501,0.9984843701
15,0.9979791601,0.9984843701,0.9984843701,0.99898958,0.99898958,0.99949479,0.99949479,0.99898958,0.99949479,0.99949479,0.99949479,0.99949479,0.99949479,0.99949479,0.99949479
16,0.9974739501,0.9984843701,0.9984843701,0.99898958,0.99898958,0.99949479,0.99898958,0.99898958,0.99898958,0.99898958,0.99949479,0.99949479,0.99949479,0.99949479,0.99949479
17,0.9984843701,0.99898958,0.9984843701,0.99898958,0.99898958,0.99949479,0.99898958,0.99898958,0.99898958,0.99898958,0.99949479,0.99949479,0.99949479,0.99949479,0.99949479
18,0.99898958,0.99898958,0.99898958,0.99898958,0.99898958,0.99949479,0.99898958,0.99898958,0.99898958,0.99898958,0.99949479,0.99949479,0.99949479,0.99949479,0.99949479
19,0.9444269024,0.9626144616,0.9595832018,0.9737290811,0.9737290811,0.9752447111,0.9676665614,0.9636248816,0.9686769814,0.9691821913,0.9742342911,0.9737290811,0.9797916009,0.9802968109,0.9823176508
20,0.5589516893,0.5978528576,0.5549100095,0.6165456268,0.6428165456,0.6498894853,0.5978528576,0.6013893274,0.635238396,0.6428165456,0.6645405747,0.6817177139,0.7185980423,0.7403220714,0.7580044206
21,0.840353647,0.8560151563,0.8691506157,0.8726870856,0.8656141459,0.862077676,0.8560151563,0.8580359962,0.8797600253,0.8726870856,0.8878433849,0.8954215346,0.9009788443,0.8979475845,0.8964319545
22,-0.006567729713,-0.006567729713,-0.006994000632,-0.006567729713,-0.00742027155,-0.00742027155,-0.007830754657,-0.006994000632,-0.006141458794,-0.006583517524,-0.006583517524,-0.00742027155,-0.00742027155,-0.006567729713,-0.006583517524
23,3.157562362e-05,-0.0005052099779,-0.001515629934,-0.001010419956,-0.001010419956,-0.002020839912,-0.001515629934,-0.0005052099779,-0.0005052099779,-0.002020839912,-0.001515629934,-0.001010419956,-0.001515629934,-0.0005052099779,-0.0005052099779
24,-0.001515629934,-0.002020839912,-0.002999684244,-0.003473318598,-0.002999684244,-0.002999684244,-0.003946952952,-0.003473318598,-0.003931165141,-0.003473318598,-0.002510262078,-0.002999684244,-0.002020839912,-0.002999684244,-0.002510262078
25,0.00217871803,0.001610356805,0.00217871803,0.00217871803,0.00217871803,0.002747079255,0.002747079255,0.002747079255,0.002747079255,0.001610356805,0.001610356805,0.001610356805,0.00217871803,0.00217871803,0.001610356805
26,0.003283864856,0.003283864856,0.003852226081,0.003852226081,0.003852226081,0.00445216293,0.00445216293,0.003852226081,0.00445216293,0.00445216293,0.005052099779,0.00445216293,0.00445216293,0.003852226081,0.003852226081
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
