layer,._157,presentation_156,patient_155,final_154,the_153,Produce_152,:_151,4_150,_149,Step_148,._147,condition_146,the_145,with_144,line_143
0,0.997916531,0.9994791328,0.9557262843,1,0.9901035224,0.9994791328,0.6312259913,0.9963539293,0.9916661241,0.995833062,0.9932287258,1,0.8536363044,0.9770818413,0.9994791328
1,0.980727912,0.9994791328,0.9864574517,0.9989582655,0.8937430822,1,0.8614493131,0.9963539293,0.997916531,0.9973956638,0.9973956638,1,0.9598932222,0.9953121948,0.9994791328
2,0.9729149033,0.9994791328,0.9916661241,0.9916661241,0.9442672049,0.9984373983,0.9619766912,0.9989582655,0.9989582655,0.997916531,0.9984373983,1,0.9885409206,0.9963539293,0.9994791328
3,0.9901035224,0.9994791328,0.9906243896,0.9718731688,0.8921804805,0.9656227619,0.9973956638,0.9989582655,0.9994791328,0.9994791328,0.997916531,1,0.9895826551,0.997916531,0.9994791328
4,0.9963539293,0.9994791328,0.9901035224,0.9781235758,0.8708249235,0.8708249235,0.9989582655,0.9994791328,0.9994791328,0.9994791328,0.9989582655,1,0.9947913276,0.9989582655,0.9994791328
5,0.9369750635,0.9989582655,0.8301972785,0.7989452438,0.6416433362,0.4041278729,0.9963539293,0.9989582655,0.9994791328,0.9994791328,0.9921869913,1,0.980727912,0.9963539293,0.9994791328
6,0.957288886,0.9953121948,0.7729018816,0.6531024155,0.5520541702,0.2642750179,0.9666644964,0.9994791328,0.9994791328,0.9989582655,0.9963539293,1,0.997916531,0.9989582655,0.9994791328
7,0.9927078586,0.997916531,0.9072856306,0.8838466046,0.7723810144,0.4244416954,0.9796861775,0.9994791328,0.9994791328,0.9989582655,0.9963539293,1,0.9984373983,0.9989582655,0.9994791328
8,0.9984373983,0.997916531,0.9322872583,0.9270785858,0.8749918614,0.528094277,0.9854157172,0.9994791328,0.9994791328,0.9989582655,0.9973956638,1,0.9994791328,0.9989582655,0.9994791328
9,0.9947913276,0.9953121948,0.8666579855,0.8958265512,0.8093625887,0.4450159516,0.9776027085,0.9994791328,0.9989582655,0.9989582655,0.9968747965,1,0.9989582655,0.9989582655,0.9994791328
10,0.959372355,0.9963539293,0.9041604271,0.9562471515,0.8645745166,0.7614428023,0.9916661241,0.9994791328,0.9994791328,0.9989582655,0.9984373983,0.9994791328,0.9989582655,0.9989582655,0.9989582655
11,0.9609349567,0.9968747965,0.9270785858,0.9828113809,0.9666644964,0.9557262843,0.9984373983,0.9994791328,0.9994791328,0.9994791328,0.9989582655,0.9994791328,0.9994791328,0.9994791328,0.9994791328
12,0.9802070447,0.997916531,0.9656227619,0.9937495931,0.9874991861,0.9953121948,0.9989582655,0.9994791328,0.9994791328,0.9989582655,0.9989582655,0.9994791328,0.9994791328,0.9994791328,0.9994791328
13,0.995833062,0.9984373983,0.9953121948,0.9984373983,0.9984373983,0.9989582655,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328
14,0.9557262843,0.9942704603,0.9776027085,0.9953121948,0.9947913276,0.9973956638,0.9984373983,0.9989582655,0.9989582655,0.9984373983,0.9973956638,0.9994791328,0.9989582655,0.9989582655,0.9989582655
15,0.9984373983,0.9989582655,0.9989582655,0.9989582655,0.9989582655,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328
16,0.9984373983,0.9989582655,0.9989582655,0.9989582655,0.9989582655,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328
17,0.9984373983,0.9984373983,0.9984373983,0.9984373983,0.9989582655,0.9989582655,0.9989582655,0.9989582655,0.9989582655,0.9989582655,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328
18,0.9989582655,0.9989582655,0.9989582655,0.9989582655,0.9989582655,0.9989582655,0.9994791328,0.9989582655,0.9994791328,0.9989582655,0.9994791328,0.9994791328,0.9994791328,0.9994791328,0.9994791328
19,0.9828113809,0.9864574517,0.9854157172,0.9880200534,0.9874991861,0.9885409206,0.9880200534,0.9859365844,0.9911452569,0.9895826551,0.9906243896,0.9890617879,0.9906243896,0.9911452569,0.9921869913
20,0.7947783059,0.8239468715,0.7999869783,0.8239468715,0.8171755974,0.8333224819,0.8265512078,0.8239468715,0.8598867114,0.8354059509,0.8499902337,0.8395728889,0.8723875252,0.8791587994,0.889055277
21,0.9333289928,0.9395793997,0.9463506739,0.9453089394,0.9447880721,0.9421837359,0.9395793997,0.9385376652,0.955205417,0.9479132756,0.9536428153,0.9557262843,0.957288886,0.955205417,0.953121948
