layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:The,7: patient,8: carries,9: a,10: diagnosis,11: of,12: asthma,13:.,"14:
",15:Sum,16:mar,17:ize,18: demographic,19: profile,20: and,21: past,22: medical,23: history,24: in,25: 2,26:-,27:4,28: sentences,29:.,30: Start,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L1,0.067441,-1.363283,0.000000,-0.186982,0.252174,-0.059898,0.438502,0.000000,-0.434962,0.190042,0.252174,0.316335,1.003814,-0.059898,0.000000,0.000000,-0.059898,-0.685418,-0.244690,-0.059898,0.123793,-0.059898,0.067441,0.007722,0.316335,-0.059898,0.000000,0.190042,-0.311210,-0.059898,-0.123613,-0.055791,-0.311210,0.258180,-0.365570,-0.440968,-0.382472,-0.059898,-0.059898,0.130619,0.190042,0.067441,0.000000,0.067441,-0.059898,-0.119237
L2,0.000000,0.246131,-0.244690,-0.311210,-0.311210,-0.059898,-0.182320,0.067441,0.258180,-0.123613,0.810064,0.190042,-1.064309,-0.186982,0.067441,-0.064021,0.190042,-0.440968,0.433490,0.007722,0.190042,0.123793,0.252174,0.316335,0.252174,-0.059898,-0.059898,0.438502,-0.562521,0.000000,0.060168,-0.059898,-0.059898,0.933197,-0.376806,-0.254640,-0.249652,0.130619,0.000000,0.123793,0.067441,0.130619,-0.059898,0.190042,-0.305933,0.116920
L3,-0.119237,0.067441,-0.249652,-0.059898,0.000000,-0.186982,0.316335,0.321969,0.252174,-0.059898,-0.249652,0.000000,0.443490,-0.059898,0.000000,0.067441,-0.064021,-0.249652,0.310670,0.870283,0.190042,0.007722,0.371294,0.252174,-0.305933,-0.186982,0.000000,0.438502,0.052842,0.000000,0.252174,-0.123613,0.000000,-0.311210,0.183611,-0.123613,-0.937827,-0.311210,0.123793,-0.123613,0.130619,0.000000,0.067441,0.123793,-0.186982,-0.316515
L4,-0.123613,0.007722,-0.434962,-0.123613,-0.685418,0.123793,0.000000,0.816937,-0.064021,0.000000,-0.123613,-0.249652,2.125823,0.123793,-0.119237,-0.059898,0.190042,-0.254640,-0.371173,0.067441,-0.182320,0.067441,0.190042,0.316335,0.060168,0.000000,0.000000,0.310670,-1.196233,0.130619,0.067441,0.130619,0.376627,0.123793,0.565134,-0.927975,-1.563947,-0.119237,0.501477,0.000000,0.007722,0.000000,-0.249652,0.190042,0.060168,-0.496709
L5,-0.059898,-0.123613,-0.064021,-0.305933,-0.748930,0.007722,0.316335,0.443490,-0.059898,0.000000,-0.123613,-0.311210,0.190042,0.067441,0.252174,0.123793,0.123793,0.438502,-0.059898,0.438502,0.067441,0.310670,0.130619,0.123793,0.252174,0.067441,-0.064021,-0.123613,-1.122127,-0.311210,-0.059898,-0.119237,0.252174,0.246131,-0.562521,-0.186982,-0.757160,0.547356,0.183611,-0.059898,0.067441,-0.123613,-0.305933,0.438502,0.304972,-0.632972
L6,0.310670,0.130619,0.123793,0.067441,0.067441,0.443490,0.376627,-0.625699,0.067441,0.060168,-0.186982,0.060168,-1.009651,-0.625699,0.258180,-0.123613,0.252174,0.190042,-0.434962,-0.305933,0.693143,0.190042,0.067441,0.007722,0.501477,0.316335,0.067441,0.443490,-0.799360,0.753312,0.123793,-0.365570,-0.244690,-1.363283,0.433490,0.183611,-0.254640,1.124119,0.376627,0.060168,-0.123613,0.190042,-0.119237,0.677518,-0.196372,0.067441
L7,0.629122,0.376627,-0.128009,0.190042,0.565134,-1.941996,0.190042,-0.311210,-0.186982,0.190042,0.190042,0.067441,1.124119,0.190042,-0.244690,-0.186982,0.190042,-0.123613,0.060168,0.196432,-0.434962,-0.123613,-0.059898,0.443490,0.067441,0.000000,0.000000,0.007722,-0.244690,0.371294,0.000000,0.681447,0.190042,0.496771,-0.440968,0.371294,-0.186982,-0.264690,0.190042,0.123793,0.000000,-0.119237,-0.182320,-0.316515,0.183611,0.883186
L8,-0.123613,-0.123613,-0.249652,0.123793,0.007722,0.443490,0.506161,-0.059898,0.190042,0.067441,-0.123613,0.501477,0.438502,0.190042,0.130619,-0.123613,0.190042,0.190042,0.123793,-0.123613,0.252174,0.190042,0.190042,0.316335,0.190042,0.123793,0.000000,0.624981,-0.685418,0.000000,-0.059898,0.123793,0.310670,0.876755,0.945318,0.067441,0.183611,-0.249652,0.438502,0.000000,0.067441,0.067441,-0.182320,-0.064021,-0.371173,0.810064
L9,-0.123613,-0.059898,-1.941996,-0.186982,-0.119237,0.000000,-0.059898,-0.186982,0.007722,-0.059898,-0.123613,-0.059898,1.316049,0.130619,-0.496709,-0.064021,0.067441,-0.254640,0.060168,-0.119237,-0.182320,0.067441,-0.059898,-0.059898,0.252174,-0.123613,-0.123613,0.060168,-0.562521,-0.371173,-0.059898,-0.119237,0.123793,0.067441,-0.618479,-0.618479,-0.249652,0.000000,-0.059898,-0.059898,-0.119237,0.000000,-0.244690,0.177139,-0.988598,2.250877
L10,0.123793,-0.059898,-0.059898,0.000000,0.067441,-0.119237,0.252174,-0.055791,0.123793,-0.059898,-0.186982,0.000000,1.134144,-0.123613,0.196432,-0.059898,0.000000,-0.311210,0.123793,0.316335,-0.059898,0.067441,0.252174,0.258180,0.310670,-0.186982,-0.123613,0.000000,0.316335,0.753312,-0.123613,-0.182320,-0.059898,0.506161,0.252174,0.060168,-0.748930,0.376627,-0.182320,-0.059898,0.130619,-0.186982,-0.059898,0.565134,-0.371173,1.256074
L11,-0.059898,0.067441,0.067441,-0.249652,-0.182320,-0.119237,0.381932,0.376627,0.316335,0.067441,-0.371173,0.316335,1.879518,0.501477,0.816937,-0.059898,-0.123613,-0.428991,0.310670,0.067441,-0.182320,0.067441,0.067441,0.506161,-0.059898,-0.123613,0.123793,0.130619,-0.562521,-0.064021,0.067441,0.060168,-0.249652,0.060168,1.380458,0.376627,-0.618479,-0.132423,0.438502,0.130619,0.123793,-0.059898,-0.371173,0.496771,0.685361,-0.064021
