layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Clinical,7: task,8::,9: summarize,10: a,11: case,12: of,13: asthma,14:.,"15:
",16:Report,17: demographic,18: and,19: pertinent,20: prior,21: medical,22: history,23: in,24: concise,25: form,26:.,27: First,28: characters,29: must,30: be,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L1,-0.039531,-0.967992,0.038027,0.123794,0.088947,-0.064022,-0.114880,-0.039531,0.137400,0.038027,0.088947,0.030537,0.293479,0.060169,0.088947,-0.059898,0.183613,0.177140,-0.027507,0.060169,0.030537,-0.089128,0.190044,-0.031499,-0.064022,0.196433,0.157467,0.060169,0.170625,0.164068,0.196433,-0.159332,0.202783,0.110001,-0.338024,0.144134,0.015385,0.022990,0.007722,0.067441,-0.055791,0.030537,-0.136859,0.081830,0.015385
L2,0.103032,0.258181,0.157467,0.088947,-0.064022,-0.064022,-0.269756,-0.031499,0.067441,-0.051701,0.030537,-0.023530,0.030537,-0.254642,0.081830,-0.311212,0.103032,0.123794,-0.055791,0.123794,-0.177681,-0.064022,0.022990,-0.011696,-0.154797,0.177140,0.649576,0.060169,-0.655120,-0.059898,-0.023530,0.103032,-0.114880,-0.186984,-0.168464,-0.295464,-0.068163,0.038027,0.007722,0.190044,0.103032,-0.168464,-0.132425,0.000000,0.227784
L3,0.000000,0.096015,0.170625,0.190044,0.038027,-0.031499,0.123794,0.321971,0.123794,0.227784,0.000000,0.000000,0.371296,-0.150282,-0.196373,-0.106222,-0.031499,0.578267,0.157467,-0.163888,-0.072321,-0.031499,0.137400,0.130620,-0.051701,0.355123,0.221592,0.264152,-0.782275,0.215361,0.327573,-0.093374,0.233938,0.258181,-0.145788,-0.316518,0.190044,0.067441,-0.210625,0.060169,-0.119238,0.030537,-0.145788,-0.274845,0.081830
L4,0.067441,-0.064022,0.007722,0.088947,-0.128010,0.196433,-0.097638,0.170625,-0.311212,0.418302,-0.031499,-0.154797,-0.031499,0.533815,-0.279960,0.130620,0.088947,-0.114880,0.183613,0.569533,0.130620,0.221592,0.157467,0.103032,0.081830,0.000000,0.190044,0.299243,-0.338024,0.215361,0.443492,0.586925,0.453393,1.356794,0.177140,-0.215421,-0.089128,-0.035507,0.007722,-0.055791,-0.031499,-0.089128,-0.015625,0.418302,0.327573
L5,0.240054,0.116921,-0.031499,0.060169,-0.128010,0.116921,0.196433,0.418302,0.157467,0.270086,0.067441,0.137400,0.110001,-0.290269,-0.186984,0.000000,0.177140,0.538350,0.000000,0.030537,-0.011696,0.000000,-0.114880,0.088947,0.007722,-0.168464,0.397683,-0.154797,-0.748938,0.164068,-0.068163,-0.724646,0.240054,-0.290269,-0.399668,-0.332604,-0.072321,-0.097638,0.038027,0.067441,-0.023530,-0.076496,-0.215421,0.060169,-0.023530
L6,-0.047628,0.007722,0.030537,0.103032,0.000000,-0.576226,0.038027,0.074662,-0.220241,-0.019570,0.060169,-0.145788,0.007722,-0.114880,0.190044,0.022990,0.096015,1.307704,0.007722,0.088947,0.030537,-0.007782,0.000000,0.123794,0.215361,0.067441,-0.019570,-0.220241,-0.428995,0.088947,0.252175,-0.549013,-0.604200,-0.590115,0.150823,-0.051701,0.299243,-0.376810,-0.205852,-0.119238,-0.084899,-0.327213,-0.447014,-0.220241,-0.670157
L7,0.202783,0.170625,0.130620,-0.064022,0.130620,0.731174,-0.023530,0.103032,-0.019570,0.000000,0.227784,-0.031499,0.157467,-0.119238,0.007722,0.067441,-0.186984,0.402878,-0.035507,-0.089128,0.030537,-0.031499,-0.055791,0.030537,0.144134,0.673577,0.157467,0.170625,-0.611317,-0.128010,-0.191667,0.633249,0.183613,-0.490364,0.103032,-0.376810,0.052842,0.000000,-0.015625,-0.093374,-0.035507,-0.399668,-0.177681,0.038027,0.246133
L8,-0.064022,-0.031499,0.067441,0.007722,0.123794,0.496774,0.221592,0.030537,0.130620,-0.031499,0.281851,0.196433,0.088947,0.215361,0.170625,-0.186984,-0.093374,0.723684,-0.055791,0.088947,0.000000,0.000000,0.137400,0.123794,0.116921,0.116921,-0.084899,-0.254642,0.110001,0.052842,0.000000,-0.244692,0.103032,1.433607,0.088947,0.150823,-0.376810,0.030537,-0.055791,-0.031499,0.130620,0.038027,-0.365574,-0.039531,-0.163888
L9,-0.007782,0.000000,0.227784,-0.123614,-0.023530,0.096015,0.038027,-0.191667,0.060169,0.130620,-0.132425,0.293479,-0.023530,0.463197,-0.039531,-0.043571,-0.128010,0.392461,0.067441,-0.064022,-0.031499,-0.031499,-0.064022,-0.027507,-0.177681,0.170625,-0.064022,-0.093374,-0.898999,-0.123614,-0.244692,-0.447014,-0.279960,0.240054,0.164068,0.067441,0.007722,-0.011696,0.130620,-0.023530,0.030537,-0.031499,0.157467,0.022990,0.299243
L10,-0.064022,-0.064022,-0.064022,0.060169,0.246133,0.392461,0.060169,-0.154797,-0.093374,-0.110542,-0.123614,-0.031499,0.022990,-0.210625,0.060169,0.030537,0.007722,0.371296,0.088947,-0.123614,-0.031499,-0.031499,0.030537,0.022990,-0.027507,-0.031499,0.196433,0.157467,-0.269756,0.164068,-0.110542,0.038027,0.221592,-0.119238,0.402878,-0.055791,-0.285101,0.067441,0.067441,-0.114880,-0.093374,-0.376810,-0.154797,-0.007782,-0.471555
