layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prep,7:are,8: a,9: brief,10: patient,11: presentatio,12: for,13: asthma,14:.,"15:
",16:Prior,17:it,18:ize,19: demographic,20: information,21: followed,22: by,23: major,24: PM,25:H,26:.,27: Begin,28: exactly,29: with,30::,"31: """,32:Gender,33::,"34: ""","35:
",36:<,37:|,38:ass,39:istant,40:|>,"41:
",42:Gender,43::
L1,1.066824,1.817417,-0.124634,-0.060377,0.191384,-0.056236,0.131569,-0.183873,-0.246843,-0.433157,-0.561525,-0.685305,-0.369000,0.318437,0.191384,-0.246843,0.131569,-0.433157,-0.808903,0.191384,-0.060377,0.000000,0.379059,0.253902,-0.183873,0.564044,-0.495282,0.131569,-0.060377,-0.060377,-0.183873,0.628580,0.318437,-0.939912,-1.001777,0.067947,-0.124634,-0.183873,-0.056236,-0.120220,-0.246843,-0.561525,0.191384,0.810896
L2,0.685274,1.309133,-0.183873,-0.183873,-0.308713,0.191384,-0.120220,-0.369000,-0.120220,-0.433157,-0.617872,0.060621,-0.685305,-0.308713,-0.120220,0.007782,0.000000,-0.246843,-0.060377,-0.120220,-0.183873,-0.183873,0.131569,0.131569,-0.495282,1.257174,0.007782,-0.374666,-0.246843,-0.246843,0.318437,-0.120220,-1.434109,-0.374666,0.568478,0.067947,-0.308713,0.067947,0.191384,0.191384,-0.183873,0.124696,-1.386111,-0.308713
L3,0.067947,0.000000,-0.433157,-0.183873,0.067947,-0.120220,-0.120220,-0.308713,0.191384,-0.561525,-0.369000,-0.124634,0.131569,-0.625144,-0.183873,0.379059,0.067947,0.131569,0.131569,-0.308713,0.067947,0.191384,0.191384,0.253902,0.191384,1.627965,0.509238,-0.685305,-0.685305,-0.129069,0.124696,0.379059,-0.561525,-0.561525,-0.374666,-0.120220,0.131569,-0.124634,0.191384,-0.308713,0.191384,0.441253,-1.240962,0.007782
L4,0.191384,-0.060377,-0.308713,0.000000,-0.369000,0.000000,-0.060377,-0.060377,-0.120220,-0.374666,0.000000,-0.120220,-0.625144,2.374850,0.318437,0.000000,0.191384,-0.183873,-0.561525,-0.183873,0.379059,0.000000,0.131569,-0.120220,0.131569,1.817417,-0.060377,-0.183873,0.067947,-0.308713,0.067947,0.632738,-0.625144,0.191384,0.436215,0.318437,0.253902,-0.246843,0.131569,0.060621,0.253902,0.318437,0.318437,0.884506
L5,-0.374666,-0.120220,-0.369000,-0.246843,-0.308713,0.504532,0.067947,-0.120220,-0.495282,-0.308713,0.753739,-0.246843,-0.183873,-0.314046,0.753739,0.000000,-0.308713,-0.060377,-0.246843,-0.124634,0.124696,0.067947,0.007782,0.067947,0.441253,1.693270,0.568478,-0.183873,0.000000,-0.060377,-0.183873,0.318437,-1.632903,0.067947,0.564044,0.441253,0.253902,0.000000,-0.183873,0.067947,0.000000,0.253902,-0.808903,-0.068710
L6,-0.246843,-0.060377,-0.246843,-0.124634,-0.369000,0.191384,0.131569,0.067947,-0.183873,0.504532,0.067947,0.761065,0.253902,-0.685305,0.632738,0.379059,0.067947,-0.246843,-0.246843,-0.561525,-0.617872,0.000000,0.318437,-0.183873,-0.246843,1.005864,0.312739,0.312739,-0.308713,-0.495282,-0.561525,-1.240962,0.940946,1.000134,1.188182,-0.741089,0.007782,-0.308713,-0.056236,-0.308713,-0.495282,0.312739,-1.254565,-0.625144
L7,0.628580,0.253902,-0.120220,-0.246843,0.253902,0.289618,0.000000,0.191384,-0.120220,0.067947,-0.246843,0.007782,-0.246843,0.318437,-0.120220,-0.314046,-0.120220,0.000000,0.191384,-0.561525,-0.433157,-0.120220,0.504532,-0.246843,-0.246843,0.131569,-0.183873,0.000000,-0.246843,-0.685305,-0.183873,-0.617872,-2.325738,-0.561525,-0.625144,-1.855969,0.000000,0.067947,-0.056236,-0.308713,-0.495282,-0.808903,-1.126210,0.000000
L8,-0.120220,-0.120220,0.067947,-0.056236,0.007782,0.379059,0.067947,-0.183873,-0.246843,-0.183873,-0.374666,-0.495282,0.007782,2.505470,-0.246843,-0.183873,-0.183873,-0.183873,-0.120220,-0.369000,-0.374666,0.067947,-0.246843,-0.120220,-0.369000,0.817817,0.131569,-0.183873,-0.060377,0.000000,-0.120220,0.568478,1.446872,0.504532,0.632738,-1.240962,0.067947,0.067947,0.000000,-0.120220,-0.369000,-0.433157,0.568478,-1.067724
L9,-0.060377,-0.060377,-2.110747,-0.120220,-0.120220,0.000000,-0.246843,-0.183873,0.131569,0.253902,-0.308713,-0.433157,-0.251855,-0.246843,-0.369000,-0.308713,-0.183873,-0.308713,-0.183873,-0.374666,-0.495282,-0.308713,-0.374666,0.000000,-0.120220,0.753739,0.124696,0.067947,0.000000,-0.060377,0.379059,0.067947,-0.188579,-0.183873,1.066824,-1.310906,0.000000,-0.120220,-0.246843,-0.120220,0.007782,-0.433157,-1.386111,0.362887
L10,-0.120220,-0.183873,-0.369000,0.007782,0.067947,0.318437,-0.246843,-0.308713,-0.308713,0.191384,-0.433157,0.318437,0.441253,1.257174,0.000000,-0.183873,-0.183873,-0.120220,-1.114236,-0.625144,-0.183873,-0.183873,-0.561525,-0.124634,-0.369000,0.564044,0.693117,-0.060377,-0.183873,-0.308713,0.067947,-0.120220,-1.807197,-1.188329,-0.056236,-0.183873,-0.308713,-0.369000,0.007782,-0.183873,-0.246843,-0.433157,-2.248823,-1.067724
