layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Generate,7: a,8: concise,9: patient,10: summary,11: for,12: asthma,13:.,"14:
",15:State,16: demographic,17: details,18: first,19: and,20: then,21: important,22: prior,23: medical,24: conditions,25:.,26: Begin,27: with,28::,"29: """,30:Gender,31::,"32: ""","33:
",34:<,35:|,36:ass,37:istant,38:|>,"39:
",40:Gender,41::
L1,0.441092,2.010402,-0.069733,0.060320,-0.069733,0.060320,0.121805,-0.454579,-0.064193,-0.768451,-0.886933,-0.187516,0.246698,-0.064193,0.126381,-0.193786,-0.193786,-0.193786,-0.126892,0.117207,0.184047,0.121805,0.121805,-0.132791,0.121805,-0.126892,-0.132791,0.628954,-0.064193,0.254763,-0.450506,1.008298,-0.132791,0.441092,0.372099,0.060320,-0.064193,-0.064193,-0.005195,-0.064193,0.121805,-0.064193
L2,-0.387493,0.171032,-0.005195,-0.193786,-0.193786,-0.126892,-0.132791,-0.252055,-0.121027,-0.321048,0.188348,-0.064193,-0.252055,0.379217,-0.064193,-0.064193,0.372099,-0.069733,-0.252055,-0.005195,0.060320,0.117207,-0.258744,0.000000,-0.121027,-0.446449,-0.446449,-0.328216,-0.321048,-0.258744,-0.265478,-0.132791,1.575715,0.126381,0.126381,0.188348,0.121805,-0.064193,0.121805,-0.064193,-0.015666,-0.698342
L3,-0.064193,-0.193786,-0.126892,-0.126892,-0.005195,-0.005195,-0.126892,-0.442408,-0.500516,-0.252055,-0.121027,-0.121027,-0.193786,0.005168,0.192631,-0.058683,0.748577,0.628954,0.000000,0.121805,-0.069733,-0.010417,0.000000,-0.126892,0.379217,0.060320,-0.132791,-0.757340,0.126381,0.493052,-0.168940,0.060320,0.628954,1.074135,0.313259,-0.064193,0.184047,-0.379888,-0.005195,0.055430,-0.571342,0.060320
L4,-0.005195,0.121805,-0.321048,-0.126892,-0.005195,0.060320,-0.321048,-0.126892,-0.132791,-0.462776,1.200339,-0.687979,1.059875,-0.187516,-0.121027,0.179727,0.121805,0.687952,-0.328216,-0.446449,-0.258744,-0.200095,0.060320,-0.005195,0.693147,-0.193786,-0.265478,-0.132791,0.117207,0.313259,-0.279083,0.434403,-0.132791,1.509245,0.628954,0.060320,0.121805,-0.005195,0.126381,-0.698342,0.107948,1.382401
L5,-0.005195,-0.069733,-0.069733,-0.126892,-0.138726,-0.126892,0.060320,0.121805,-0.321048,-0.010417,-0.387493,0.188348,-0.258744,-0.252055,-0.126892,0.246698,-0.005195,-0.193786,0.246698,-0.200095,-0.132791,-0.265478,-0.069733,0.060320,-0.005195,0.055430,-0.193786,-0.080907,-0.252055,1.008298,-1.007077,0.499361,-0.015666,1.692902,0.246698,0.060320,0.060320,0.121805,-0.187516,-0.258744,-0.200095,-1.599127
L6,-0.064193,-0.126892,-0.509100,-0.069733,-0.132791,-0.693147,-0.379888,-0.379888,-0.005195,0.250738,-1.014194,0.060320,-0.379888,0.000000,-0.252055,0.743663,-0.313930,0.628954,0.313259,-0.064193,0.121805,-0.069733,-0.442408,0.126381,0.000000,-0.193786,0.121805,-0.069733,-0.252055,-0.058683,-1.057997,0.246698,-0.064193,0.499361,0.121805,0.055430,-0.005195,-0.126892,-0.313930,-0.703564,-0.575940,1.638040
L7,0.748577,0.246698,0.184047,0.060320,0.372099,0.098602,0.126381,0.246698,0.242641,-0.193786,0.698315,0.372099,1.249055,-0.313930,-0.446449,0.184047,-0.126892,-0.126892,-0.005195,0.434403,-0.193786,-0.069733,-0.126892,0.121805,0.121805,0.121805,0.242641,0.250738,0.121805,-0.387493,-1.035856,0.000000,-0.513419,0.000000,0.126381,0.060320,-0.064193,-0.193786,-0.379888,-0.132791,-0.015666,1.513817
L8,0.000000,-0.005195,-0.442408,-0.005195,0.305654,0.065186,-0.064193,0.060320,0.117207,-0.138726,1.814808,-0.321048,1.254981,-0.504799,-0.450506,0.305654,-0.206444,0.188348,-0.005195,-0.005195,-0.064193,0.055430,-0.005195,-0.193786,0.055430,0.184047,0.060320,0.560356,0.499361,0.117207,1.059875,0.372099,1.129227,-0.126892,-0.064193,0.000000,0.000000,0.060320,-0.126892,0.060320,-0.080907,1.052668
L9,0.121805,-0.064193,-1.370869,-0.069733,0.246698,-0.069733,-0.005195,0.060320,0.313259,-0.571342,-0.513419,0.372099,0.121805,-0.379888,-0.126892,0.060320,0.230371,0.499361,0.242641,0.000000,-0.258744,0.184047,-0.005195,-0.132791,-0.069733,0.055430,0.060320,-0.005195,0.434403,0.246698,0.242641,-0.252055,0.184047,-0.258744,0.313259,-0.005195,0.060320,0.055430,-0.126892,0.060320,-0.200095,-0.774053
L10,-0.064193,0.060320,-0.005195,-0.069733,0.121805,-0.064193,-0.313930,-0.126892,0.121805,0.188348,0.372099,1.000708,0.819529,0.814952,0.117207,-0.064193,0.045577,-0.138726,-0.379888,-0.187516,-0.005195,0.121805,-0.064193,0.121805,0.250738,-0.321048,-0.187516,-0.193786,-0.064193,0.121805,0.117207,-0.517758,0.499361,0.188348,0.250738,-0.064193,0.060320,-0.132791,-0.442408,-0.886933,-0.193786,0.175389
L11,0.000000,-0.064193,0.060320,-0.126892,0.184047,0.000000,-0.258744,-0.069733,0.121805,-0.252055,-0.652532,0.121805,1.567103,0.372099,-0.126892,0.441092,0.238568,-0.132791,-0.252055,0.126381,-0.126892,0.121805,0.060320,0.121805,0.175389,0.184047,0.000000,-0.005195,-0.069733,-0.064193,1.371943,-0.504799,-0.825938,-0.637717,0.184047,0.060320,0.060320,-0.193786,-0.258744,0.050516,-0.200095,-0.454579
L12,-0.126892,-0.005195,-0.005195,0.060320,-0.064193,-0.005195,0.121805,-0.126892,0.188348,-0.069733,0.121805,0.055430,-1.168345,0.055430,-0.005195,-0.126892,0.693147,0.250738,-0.064193,-0.193786,0.060320,0.121805,-0.064193,-0.005195,0.313259,0.060320,-0.126892,0.117207,0.179727,-0.069733,1.129227,-0.069733,-0.005195,0.313259,-0.126892,-0.005195,-0.064193,0.000000,-0.058683,-0.562210,0.372099,-0.132791
