layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: brief,9: chart,10:-,11:ready,12: overview,13: for,14: a,15: patient,16: with,17: asthma,18:.,"19:
",20:Include,21: demographic,22: and,23: past,24: medical,25: history,"26:,",27: keeping,28: it,29: succ,30:inct,31:.,32: The,33: response,34: must,35: start,36: with,37::,"38: """,39:Gender,40::,"41: ""","42:
",43:<,44:|,45:ass,46:istant,47:|>,"48:
",49:Gender,50::
L1,0.816761,0.510826,0.115832,0.183782,0.000000,0.183782,0.000000,-0.068053,-0.063370,-0.063370,0.055451,-0.068053,-0.258862,0.191055,0.123614,-0.008811,0.688751,0.562119,-0.004396,-0.063370,-0.126041,0.434285,0.059592,-0.072759,0.123614,0.247408,0.183782,0.183782,0.176456,0.176456,0.115832,-0.008811,0.115832,0.115832,0.625094,0.123614,1.000374,0.176456,0.824483,0.500243,0.381795,0.063716,0.191055,0.123614,0.055451,0.067823,0.055451,-0.008811,-0.354172,0.055451,0.785262
L2,0.411296,0.701881,-0.063370,-0.008811,0.247408,-0.063370,-0.008811,0.059592,-0.258862,0.055451,0.115832,-0.192904,-0.198237,-0.136041,0.115832,0.307227,0.055451,-0.637696,0.115832,0.320047,0.176456,0.562119,0.059592,0.176456,0.176456,0.123614,0.176456,0.176456,0.123614,0.183782,0.247408,-0.126041,0.123614,0.313658,0.176456,-0.072759,0.375789,0.428587,0.183782,-1.209837,0.445585,1.313535,-0.264560,-0.008811,0.123614,0.123614,0.123614,-0.077487,0.059592,-0.131028,-0.287682
L3,0.300754,0.176456,-0.004396,0.369747,0.313658,0.247408,0.055451,-0.008811,-0.219859,-0.597040,0.055451,0.494910,-0.819188,0.176456,0.369747,-0.198237,0.176456,-0.299447,0.240535,0.428587,0.059592,0.191055,0.183782,0.115832,0.176456,0.176456,0.183782,0.247408,0.247408,0.247408,0.198275,-0.101469,0.059592,0.123614,0.375789,0.000000,0.562119,0.484157,0.620388,0.017392,0.313658,0.562119,0.562119,0.123614,-0.008811,0.307227,-0.101469,0.115832,0.107989,-0.509365,0.625094
L4,0.123614,0.123614,-0.225339,0.123614,0.123614,0.247408,0.059592,0.123614,-0.192904,-0.561811,-0.008811,-0.502092,-0.247562,-0.187599,0.176456,0.808979,0.369747,2.438526,0.313658,-0.008811,0.123614,-0.131028,0.240535,0.115832,0.055451,0.547005,0.176456,0.369747,0.115832,0.123614,0.369747,0.375789,-0.008811,0.375789,0.428587,0.176456,-0.058708,0.675448,0.808979,0.801136,0.439951,0.445585,0.313658,0.562119,-0.126041,0.183782,-0.072759,0.000000,0.059592,0.552068,1.633702
L5,0.038715,0.059592,-0.136041,0.191055,-0.004396,0.240535,0.183782,0.307227,0.307227,-0.438913,0.233615,-0.373100,-0.068053,0.115832,0.115832,0.123614,0.183782,-0.101469,0.240535,0.111918,0.247408,0.183782,0.240535,0.051293,0.240535,0.240535,0.313658,0.115832,0.176456,-0.008811,0.434285,0.059592,0.115832,-0.141079,0.059592,-0.329479,0.183782,-0.096627,-0.058708,-0.886051,0.369747,0.484157,0.281081,0.369747,0.000000,0.059592,0.307227,-0.063370,-0.412066,-0.710847,-0.385920
L6,0.059592,0.059592,0.115832,0.307227,-0.121078,-1.286210,0.183782,0.055451,-0.121078,-0.323400,0.428587,0.375789,-0.405465,-0.126041,-0.008811,-0.323400,0.115832,-0.058708,0.940555,-0.126041,0.183782,0.300754,-0.187599,0.115832,0.183782,0.240535,0.115832,0.115832,0.176456,0.176456,0.313658,0.000000,0.375789,-0.068053,0.500243,0.240535,0.748598,0.363668,0.313658,0.610909,1.390671,1.555371,0.313658,0.183782,-0.096627,0.123614,0.047118,-0.126041,-0.335595,-0.187599,0.369747
L7,1.193391,0.876930,-0.004396,0.115832,0.313658,1.299283,0.051293,0.123614,0.059592,0.557106,0.176456,-0.473518,0.688751,0.000000,0.059592,-0.136041,-0.264560,0.505548,0.115832,-0.502092,0.000000,-0.561811,-0.192904,0.000000,0.307227,0.240535,0.428587,0.123614,0.115832,0.307227,0.051293,0.307227,-0.136041,-0.008811,0.375789,0.055451,0.183782,0.051293,-0.311352,-1.963608,0.375789,0.434285,-0.601032,0.247408,0.183782,-0.063370,-0.008811,-0.311352,-0.854634,-0.354172,0.793231
L8,0.247408,0.183782,0.059592,0.055451,0.123614,0.615660,0.051293,0.055451,-0.004396,0.439951,0.176456,0.876930,0.500243,-0.121078,0.307227,0.684336,0.428587,0.876930,0.375789,-0.198237,-0.121078,-0.317358,-0.247562,0.059592,0.307227,0.247408,0.059592,0.176456,0.115832,-0.004396,0.240535,0.247408,0.055451,0.307227,0.059592,0.247408,0.123614,0.500243,0.500243,1.138732,0.240535,1.373049,0.123614,0.059592,0.059592,-0.008811,0.176456,-0.379490,-0.329479,0.176456,-0.116140
L9,0.055451,0.055451,-1.072636,0.183782,0.059592,0.176456,0.055451,0.055451,0.307227,0.067823,-0.063370,-0.379490,-0.192904,-0.068053,0.300754,-0.502092,-0.445739,1.068936,-0.198237,-0.192904,0.051293,-0.546544,0.059592,-0.101469,0.115832,0.021693,0.051293,0.123614,0.183782,0.059592,0.183782,-0.004396,-0.008811,-0.008811,-0.253196,0.183782,0.055451,0.620388,0.313658,0.008734,-0.026668,0.484157,0.313658,0.176456,0.051293,0.176456,0.307227,0.059592,0.115832,-0.161487,-0.524071
L10,0.000000,0.183782,0.059592,-0.008811,0.247408,0.254234,-0.063370,-0.008811,0.240535,0.059592,-0.072759,0.562119,0.176456,0.115832,0.247408,0.494910,0.500243,1.327587,0.375789,0.123614,0.183782,0.313658,0.183782,0.115832,0.254234,0.233615,0.307227,-0.072759,-0.004396,0.000000,0.055451,0.123614,0.115832,0.055451,-0.192904,0.123614,0.363668,0.357552,0.562119,-1.111857,-0.487703,0.756863,0.434285,0.123614,-0.063370,0.115832,-0.063370,-0.072759,-0.438913,-0.824175,0.115832
