layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:A,7: patient,8: has,9: asthma,10:.,11: Write,12: a,13: concise,14: clinical,15: summary,16: covering,17: demographic,18: and,19: relevant,20: past,21: medical,22: history,23:.,24: ,"25:
",26:Begin,27: exactly,28: with,29::,"30: """,31:Gender,32::,"33: ""","34:
",35:<,36:|,37:ass,38:istant,39:|>,"40:
",41:Gender,42::
L1,-0.124182,-0.501098,-0.124182,-0.247134,-0.124182,0.500528,-0.251817,-0.501098,-0.247134,0.879074,-0.247134,0.000000,-0.247134,-0.247134,-0.124182,-0.124182,0.000000,0.250489,0.000000,-0.124182,0.000000,0.378316,0.129867,-0.495092,-0.124182,-0.376656,0.000000,-0.501098,-0.501098,-0.745521,0.000000,0.250489,0.129867,-0.251817,-0.124182,-0.247134,0.000000,0.129867,-0.247134,-0.124182,-0.495092,0.129867,1.750731
L2,1.122608,1.122608,0.129867,-0.371352,0.129867,0.625166,-0.371352,-0.124182,-0.124182,-0.745521,-0.622639,-0.124182,0.129867,0.500528,0.250489,-0.124182,0.000000,0.500528,-0.124182,-0.376656,-0.247134,0.000000,0.378316,-0.501098,-0.124182,0.625166,-0.371352,-0.501098,-0.376656,-0.247134,-0.501098,-1.806133,-0.124182,-0.247134,0.000000,-0.371352,0.129867,0.123437,-0.124182,-0.124182,-0.376656,-0.876838,0.378316
L3,0.129867,0.000000,-0.371352,0.000000,-0.495092,-0.124182,0.129867,-0.247134,-0.501098,0.250489,-0.501098,-0.247134,0.000000,0.123437,-0.376656,-0.495092,0.500528,-0.247134,0.123437,-0.124182,0.000000,0.000000,0.123437,-0.371352,0.129867,0.250489,-0.251817,-0.745521,-1.135653,-0.247134,-0.124182,0.000000,0.000000,-0.124182,-0.371352,0.250489,-0.124182,0.129867,-0.501098,-0.124182,0.123437,-0.622639,0.625166
L4,-0.124182,0.000000,-1.124356,-0.622639,-0.745521,-0.376656,0.123437,0.250489,-0.247134,2.502333,0.625166,-0.247134,-0.622639,0.378316,-0.251817,-0.124182,0.378316,0.123437,-0.247134,-0.247134,-0.124182,0.378316,0.123437,-0.622639,0.250489,0.250489,-0.251817,-0.371352,-0.247134,0.000000,0.129867,0.500528,0.250489,0.500528,-0.501098,0.500528,0.000000,0.250489,0.000000,-0.124182,0.749866,-0.247134,1.255840
L5,-0.247134,0.000000,-0.501098,0.000000,-0.501098,0.500528,0.000000,0.000000,-0.124182,-1.923867,-0.745521,0.000000,-0.622639,0.625166,0.749866,-0.495092,0.000000,-0.371352,-0.124182,-0.371352,0.000000,0.123437,0.123437,-0.124182,0.123437,0.250489,-0.371352,-0.124182,0.749866,0.250489,-0.622639,-2.178629,-0.622639,-0.124182,-0.876838,0.250489,0.000000,-0.124182,0.000000,0.129867,0.378316,-2.178629,-0.128322
L6,-0.247134,-0.124182,0.250489,-0.124182,-0.247134,-0.247134,0.000000,-0.501098,0.123437,0.000000,0.625166,0.625166,0.378316,0.000000,-0.124182,0.000000,0.378316,-0.876838,-0.247134,-0.251817,-0.124182,0.250489,-0.622639,0.500528,0.123437,0.625166,0.000000,-0.753242,-0.997896,-1.438531,-1.502026,-0.997896,-0.376656,0.000000,-1.364443,0.250489,-0.371352,-0.124182,-0.124182,-0.501098,1.132064,-1.502026,-0.876838
L7,0.500528,0.000000,-0.124182,-0.247134,0.378316,-0.761023,-0.124182,0.000000,0.500528,1.504837,0.625166,0.250489,-0.124182,-0.371352,0.500528,0.500528,-0.124182,-0.997896,-0.501098,-0.371352,-0.124182,-0.124182,-0.124182,0.123437,0.000000,0.879074,0.000000,-0.124182,-0.247134,-0.371352,-0.753242,-2.354409,-0.745521,-0.997896,-1.681017,0.000000,-0.247134,0.129867,0.000000,-0.371352,-0.622639,-2.116144,0.879074
L8,-0.124182,-0.371352,-0.124182,0.123437,0.250489,0.625166,0.250489,0.749866,0.879074,1.380756,0.378316,-0.247134,-0.124182,-0.622639,-0.124182,-0.247134,-0.371352,0.123437,-0.501098,0.000000,0.129867,0.000000,0.129867,-0.124182,0.378316,1.122608,-0.124182,-0.247134,0.378316,0.250489,0.749866,3.874932,-0.371352,-0.124182,-1.256255,-0.124182,-0.251817,0.000000,-0.371352,-0.124182,-1.502026,0.378316,1.122608
L9,-0.124182,-0.124182,-2.245281,-0.247134,0.500528,0.123437,0.000000,-0.124182,-0.247134,0.378316,-0.124182,0.000000,0.000000,0.250489,-0.247134,-0.501098,0.250489,-0.501098,0.000000,-0.124182,0.000000,0.000000,-0.371352,0.625166,0.000000,0.250489,-0.124182,0.378316,0.500528,0.000000,0.500528,-0.247134,-0.622639,-0.124182,-1.875098,0.129867,-0.124182,-0.124182,0.123437,0.250489,-0.495092,-0.876838,-0.376656
L10,-0.124182,-0.247134,-0.124182,-0.124182,0.250489,-0.495092,0.378316,-0.247134,0.625166,2.004575,0.625166,0.250489,-0.124182,-0.124182,0.123437,0.129867,-0.247134,0.000000,0.250489,-0.124182,0.129867,-0.124182,0.378316,0.378316,0.129867,0.749866,0.123437,0.250489,0.250489,-0.371352,0.625166,-0.997896,-1.124356,-0.376656,-0.622639,0.129867,-0.247134,-0.247134,0.000000,-0.124182,0.000000,-1.623878,0.129867
