layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: hand,9:off,10:-,11:style,12: summary,13: for,14: a,15: patient,16: with,17: asthma,18:.,19: Include,20: demographic,21: first,"22:,",23: then,24: key,25: PM,26:H,27:.,28: Begin,29: exactly,30: with,31::,"32: """,33:Gender,34::,"35: ""","36:
",37:<,38:|,39:ass,40:istant,41:|>,"42:
",43:Gender,44::
L1,0.628259,-1.696919,0.000000,0.190144,-0.059316,0.248984,-0.059316,-0.255061,-0.183369,0.190144,-0.122375,-0.248327,-0.746922,-0.189678,-0.059316,-0.064888,0.503468,0.628259,0.000000,0.000000,0.127624,-0.064888,-0.189678,0.127624,-0.122375,0.065846,0.503468,-0.122375,-0.059316,-0.248327,0.000000,-0.064888,0.999630,-0.059316,-0.934783,-0.377075,-0.183369,0.060932,-0.128309,0.065846,-0.059316,-0.064888,-0.310630,0.190144,0.811511
L2,0.185806,0.360854,-0.310630,-0.248327,0.127624,-0.122375,0.127624,-0.248327,0.190144,3.140488,-0.059316,-0.248327,-0.560924,-0.310630,0.060932,-0.189678,-0.064888,-0.377075,-0.059316,-0.183369,0.185806,-0.248327,-0.064888,0.127624,-0.128309,0.185806,0.127624,0.248984,0.065846,-0.310630,-0.752462,0.000000,-0.369471,-0.687924,-0.369471,0.244894,-0.122375,-0.183369,0.065846,0.127624,0.060932,-0.128309,-0.122375,-0.377075,0.622657
L3,-0.064888,-0.059316,-0.189678,0.060932,0.127624,-0.059316,0.185806,-0.189678,0.123005,1.256495,0.065846,-0.064888,0.628259,0.000000,0.065846,-0.565522,0.127624,0.316071,0.065846,0.000000,-0.122375,-0.436031,-0.122375,0.000000,-0.122375,0.190144,0.816151,0.005222,-0.369471,-0.498682,-0.815520,-0.248327,-0.189678,-0.687924,-0.248327,-0.565522,-0.189678,-0.183369,-0.310630,0.127624,-0.248327,0.065846,-0.377075,-0.122375,0.382516
L4,0.190144,-0.059316,-0.377075,0.060932,0.000000,0.316071,0.127624,-0.122375,0.185806,0.257115,-0.059316,-0.310630,0.248984,0.000000,0.308408,0.005222,0.248984,2.503492,-0.128309,0.127624,-0.317799,-0.122375,0.000000,-0.122375,-0.122375,0.438086,0.316071,-0.189678,-0.183369,0.060932,-0.310630,0.005222,0.127624,0.000000,-0.122375,-0.128309,0.065846,0.308408,-0.122375,0.065846,-0.189678,-0.059316,-0.134279,0.253058,0.503468
L5,0.000000,0.060932,-0.128309,-0.122375,-0.189678,0.253058,0.253058,0.000000,0.060932,1.014926,-0.122375,0.127624,0.622657,-0.059316,-0.189678,-0.431991,0.375347,-0.560924,-0.122375,-0.122375,-0.565522,0.253058,-0.122375,0.123005,0.060932,-0.064888,0.316071,-0.317799,-0.189678,0.123005,-0.059316,-0.503002,-0.369471,-1.563389,-0.498682,-1.141397,-0.507340,0.123005,-0.248327,-0.059316,0.127624,0.065846,0.185806,-0.570141,-0.815520
L6,-0.248327,-0.122375,0.000000,0.123005,-0.248327,-0.627299,-0.183369,-0.122375,-0.059316,-0.617543,0.000000,0.127624,0.000000,-0.064888,-0.122375,-0.059316,-0.248327,-0.059316,0.185806,0.190144,-0.369471,0.190144,0.127624,0.123005,0.000000,-0.377075,-0.183369,0.248984,0.000000,-0.310630,-0.687924,-0.876514,-0.687924,-0.882824,-0.070490,0.055994,-0.202417,-0.189678,-0.128309,-0.059316,-0.064888,-0.248327,0.123005,-0.698395,-1.191827
L7,0.754079,0.564837,0.060932,-0.059316,0.375347,0.484298,0.185806,0.065846,0.253058,-1.055069,0.127624,0.060932,1.188672,0.060932,-0.122375,-0.248327,0.060932,1.129542,-0.565522,-0.122375,-0.377075,0.005222,0.065846,0.127624,0.000000,-0.310630,-0.059316,-0.122375,-0.064888,-0.622409,-0.560924,-0.503002,-0.556348,-0.996658,0.185806,0.308408,-0.752462,0.123005,-0.183369,-0.059316,-0.128309,-0.248327,-0.122375,0.065846,0.876776
L8,0.253058,0.000000,0.060932,0.000000,0.000000,0.253058,-0.122375,-0.059316,-0.122375,-0.431991,0.185806,0.190144,0.693146,0.127624,0.316071,0.438086,0.316071,0.876776,0.308408,-0.064888,0.005222,-0.122375,-0.248327,0.127624,-0.059316,0.000000,0.194464,0.000000,0.000000,-0.122375,-0.189678,0.060932,0.190144,1.816749,0.316071,0.744178,-0.310630,-0.122375,-0.064888,-0.064888,0.060932,-0.183369,-0.503002,0.628259,0.431306
L9,0.005222,0.065846,0.497119,-0.059316,0.127624,0.248984,0.185806,0.123005,0.123005,0.316071,0.065846,0.190144,0.185806,0.564837,0.000000,-0.189678,-0.064888,0.253058,-0.498682,0.000000,-0.248327,0.060932,0.065846,0.190144,0.000000,0.000000,0.127624,0.248984,0.065846,-0.122375,-0.248327,-0.436031,0.316071,0.628259,-0.248327,0.060932,-0.255061,-0.122375,-0.122375,-0.122375,0.065846,-0.183369,0.065846,0.375347,0.497119
L10,-0.059316,-0.064888,-0.122375,0.000000,0.253058,0.132221,0.185806,0.000000,0.000000,-0.560924,-0.059316,0.065846,-0.059316,0.123005,0.000000,0.132221,0.127624,0.316071,-0.128309,0.127624,0.190144,0.190144,0.248984,0.000000,0.127624,0.065846,0.316071,0.687897,0.060932,-0.183369,-0.064888,-0.070490,0.438086,-0.560924,-0.503002,-0.059316,-0.189678,0.065846,-0.059316,0.065846,0.000000,-0.248327,0.190144,-0.622409,0.127624
L11,0.000000,0.000000,0.185806,-0.059316,0.316071,0.000000,0.065846,0.253058,0.005222,-0.122375,0.000000,0.375347,-0.183369,0.253058,0.000000,0.503468,1.129542,3.004852,0.375347,0.190144,-0.122375,0.000000,0.190144,-0.122375,-0.122375,-0.059316,0.132221,-0.248327,0.253058,0.005222,0.000000,0.127624,0.876776,2.944989,-0.248327,-0.498682,-0.255061,0.000000,-0.059316,0.127624,-0.183369,-0.241638,0.546819,3.624968,0.564837
L12,-0.059316,-0.122375,-0.059316,-0.064888,0.000000,-0.122375,-0.183369,0.000000,-0.064888,-0.248327,0.000000,0.190144,0.503468,0.065846,-0.189678,-0.248327,-0.369471,-1.381068,-0.498682,-0.122375,0.444820,0.000000,0.253058,-0.059316,0.000000,0.127624,0.005222,0.127624,-0.122375,-0.122375,-0.248327,-0.189678,0.503468,1.129542,0.185806,-0.189678,-0.498682,-0.189678,-0.128309,-0.128309,-0.183369,-0.122375,0.633830,1.256495,1.175831
L13,0.000000,-0.059316,-0.059316,0.065846,0.127624,0.000000,0.000000,-0.183369,-0.122375,-0.064888,0.000000,0.123005,0.316071,0.000000,0.000000,0.127624,-0.310630,-0.436031,0.375347,0.000000,-0.248327,-0.183369,0.190144,0.000000,0.060932,-0.064888,0.564837,0.190144,0.065846,-0.248327,-0.122375,-0.064888,0.185806,0.190144,0.253058,-0.128309,-0.436031,0.060932,-0.122375,-0.122375,-0.059316,-0.059316,-0.128309,0.999630,0.060932
L14,-0.059316,0.065846,-0.059316,-0.122375,0.060932,-0.369471,0.060932,0.127624,0.000000,-0.189678,-0.059316,-0.183369,0.248984,-0.189678,-0.064888,-0.248327,-0.059316,-1.491068,-0.248327,0.065846,-0.059316,0.248984,0.065846,0.065846,0.065846,0.000000,0.190144,0.190144,-0.128309,-0.122375,-0.122375,-0.310630,0.065846,-0.122375,0.000000,0.308408,-0.498682,0.000000,-0.183369,0.065846,-0.436031,-0.183369,0.127624,-0.128309,-0.005249
L15,0.000000,-0.059316,0.000000,0.065846,-0.122375,-0.059316,0.000000,0.000000,0.065846,-0.059316,0.060932,-0.189678,0.503468,0.000000,-0.189678,0.065846,0.000000,-0.752462,-0.377075,0.000000,-0.248327,-0.189678,-0.059316,0.000000,0.000000,-0.059316,-0.122375,-0.189678,-0.122375,0.000000,-0.059316,-0.064888,0.190144,0.628259,0.065846,-0.122375,0.065846,0.123005,0.005222,0.000000,-0.064888,-0.317799,-0.377075,0.935990,2.379642
L16,0.000000,-0.059316,0.123005,0.060932,0.000000,-0.183369,0.000000,-0.122375,0.060932,-0.560924,0.000000,-0.310630,0.065846,-0.248327,0.060932,-0.248327,-0.122375,-0.377075,-0.248327,0.000000,-0.059316,0.190144,0.065846,0.190144,-0.183369,0.000000,-0.059316,0.190144,0.000000,-0.059316,-0.059316,0.060932,0.127624,-0.183369,-0.122375,-0.059316,-0.310630,-0.255061,0.127624,-0.059316,0.065846,0.070736,0.444820,-1.010944,0.797459
L17,-0.059316,-0.059316,0.000000,-0.122375,0.060932,-0.059316,0.000000,0.000000,0.123005,-0.122375,-0.064888,-0.122375,0.316071,0.000000,-0.498682,-0.310630,0.127624,0.000000,-0.377075,0.123005,0.000000,0.000000,-0.183369,-0.059316,-0.122375,0.065846,-0.122375,0.127624,0.000000,-0.059316,0.185806,0.123005,0.127624,1.374443,0.382516,0.185806,-0.687924,0.127624,-0.122375,0.000000,-0.122375,0.000000,0.375347,1.816749,2.454338
L18,0.065846,0.127624,0.000000,-0.059316,0.375347,0.065846,0.628259,0.564837,0.693146,2.569769,0.438086,0.816151,0.375347,0.190144,0.944170,2.818319,1.630163,12.144361,1.693739,0.375347,2.319714,0.754079,1.066694,0.316071,0.065846,0.316071,1.188672,0.253058,0.127624,0.127624,0.253058,0.190144,0.754079,8.815033,2.315588,1.059460,0.876776,0.248984,0.190144,0.127624,-0.183369,-0.053776,0.682620,9.057072,2.631925
L19,-0.122375,-0.248327,-0.183369,-0.183369,-0.189678,-0.122375,-0.122375,-0.064888,-0.183369,-0.122375,-0.059316,0.000000,0.253058,0.194464,0.065846,-0.560924,-0.565522,-0.876514,-0.122375,0.065846,-0.189678,0.190144,-0.377075,-0.128309,0.065846,-0.128309,0.123005,0.127624,0.000000,0.065846,0.127624,-0.248327,0.065846,-0.687924,-0.122375,0.185806,-0.064888,-0.377075,-0.310630,-0.122375,-0.183369,-0.122375,0.806849,0.876776,1.052174
L20,-0.064888,-0.059316,-0.122375,-0.183369,-0.059316,-0.310630,-0.122375,-0.059316,0.000000,-0.498682,-0.059316,-0.122375,-0.189678,-0.248327,-0.310630,-0.941472,-0.565522,-1.563389,-0.627299,-0.059316,-0.377075,-0.183369,-0.189678,-0.064888,-0.059316,-0.064888,-0.377075,0.000000,0.060932,0.000000,-0.183369,0.060932,-0.183369,-1.381068,-0.183369,-0.310630,-0.436031,-0.059316,0.123005,-0.059316,0.065846,0.375347,0.438086,-1.263286,4.875276
L21,-0.128309,-0.183369,-0.059316,-0.189678,-0.248327,0.065846,0.000000,0.065846,0.190144,0.000000,-0.122375,-0.122375,-0.310630,0.185806,0.754079,2.192559,0.876776,3.256685,0.316071,0.000000,0.935990,0.253058,0.127624,-0.183369,0.000000,-0.059316,-0.122375,-0.183369,0.000000,-0.059316,-0.122375,-0.064888,0.316071,3.319217,1.059460,0.935990,0.438086,-0.189678,-0.122375,-0.059316,-0.122375,-0.183369,-0.436031,1.617779,7.409902
L22,0.000000,-0.064888,-0.183369,-0.122375,-0.122375,-0.183369,-0.183369,-0.248327,-0.248327,-0.317799,0.000000,-0.059316,-0.183369,-0.248327,-0.815520,-1.818279,-0.876514,-2.613198,-0.996658,-0.064888,-0.809620,-0.183369,-0.255061,-0.064888,-0.064888,-0.310630,-0.128309,-0.248327,0.060932,0.000000,-0.122375,-0.369471,-0.622409,-0.996658,-0.622409,-0.248327,-0.815520,-0.498682,0.000000,-0.248327,-0.248327,0.127624,0.000000,-0.763635,-0.448252
L23,0.000000,0.000000,-0.064888,0.000000,-0.310630,-0.122375,0.000000,-0.128309,-0.059316,-0.064888,-0.059316,0.065846,0.000000,-0.128309,-0.377075,-1.884970,-0.377075,-2.613198,-0.815520,-0.064888,-0.183369,-0.128309,-0.498682,-0.128309,-0.122375,-0.189678,-0.183369,-0.122375,0.000000,-0.183369,-0.064888,-0.189678,-0.941472,-1.641350,-0.183369,-0.248327,-0.498682,-0.369471,-0.128309,-0.122375,0.000000,-0.189678,-0.498682,-0.503002,-0.803755
L24,-0.059316,0.060932,0.000000,0.060932,-0.059316,0.253058,-0.122375,0.000000,0.060932,0.000000,-0.064888,0.000000,-0.122375,0.000000,0.065846,0.316071,0.000000,0.316071,-0.064888,-0.059316,-0.183369,0.000000,0.000000,0.000000,-0.059316,-0.059316,0.000000,0.060932,0.000000,0.000000,-0.064888,-0.189678,0.065846,0.564837,0.444820,0.000000,-0.183369,0.000000,-0.183369,-0.059316,0.000000,-0.053776,-0.310630,0.127624,5.813347
L25,-0.122375,-0.059316,-0.122375,0.060932,-0.059316,-0.059316,0.000000,0.000000,0.000000,-0.059316,-0.064888,0.000000,-0.064888,-0.183369,0.065846,0.816151,0.000000,1.436080,0.000000,-0.064888,0.060932,-0.059316,0.000000,0.000000,-0.059316,0.000000,0.000000,-0.059316,0.000000,-0.059316,-0.059316,-0.064888,0.253058,1.256495,0.438086,0.065846,0.065846,0.190144,0.000000,0.000000,0.190144,-0.059316,0.060932,-0.758033,2.530533
L26,-0.122375,-0.059316,0.000000,0.000000,-0.059316,-0.059316,-0.059316,0.000000,0.000000,-0.183369,0.000000,0.000000,-0.059316,-0.059316,-0.248327,-0.934783,-0.310630,-1.003776,-0.248327,-0.059316,-0.122375,-0.122375,-0.183369,0.000000,-0.059316,-0.059316,-0.122375,-0.059316,0.000000,0.000000,0.000000,-0.122375,-0.183369,-0.498682,-0.059316,0.000000,-0.310630,-0.310630,0.065846,-0.059316,0.065846,-0.053776,-0.377075,-0.503002,8.940553
L27,0.000000,0.000000,-0.059316,-0.059316,0.000000,-0.064888,0.000000,-0.064888,-0.059316,-0.059316,-0.122375,0.000000,0.000000,0.000000,0.000000,0.065846,0.000000,0.127624,-0.059316,0.000000,0.000000,0.000000,-0.059316,-0.059316,-0.059316,-0.059316,0.000000,0.000000,0.000000,-0.059316,0.000000,0.000000,0.065846,0.000000,0.127624,-0.064888,-0.059316,0.000000,-0.059316,0.065846,0.132221,0.010417,0.123005,-0.377075,4.374602
L28,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.122375,0.000000,0.000000,-0.059316,-0.059316,0.000000,-0.059316,-0.059316,0.000000,0.000000,-0.059316,-0.059316,-0.059316,-0.059316,0.000000,-0.059316,-0.059316,0.000000,-0.122375,0.000000,0.000000,-0.059316,-0.059316,0.000000,-0.059316,0.194464,-0.369471,-0.064888,0.000000,7.321765
L29,-0.059316,-0.122375,-0.059316,0.000000,-0.122375,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,0.000000,-0.059316,0.000000,-0.059316,-0.059316,-0.122375,0.000000,-0.059316,0.000000,-0.303513,0.000000,-0.059316,7.806473
L30,0.000000,0.005222,-0.059316,0.000000,-0.122375,-0.059316,0.000000,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.064888,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,-0.059316,0.000000,0.000000,-0.059316,0.000000,0.000000,-0.122375,0.000000,-0.059316,-0.248327,0.000000,-0.059316,9.407695
L31,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.516023
