layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Prov,7:ide,8: 4,9: bullet,10: points,11: summar,12:izing,13: demographic,14: and,15: past,16: medical,17: history,18: for,19: asthma,20:.,21: Start,22: exactly,23: with,24::,"25: """,26:Gender,27::,"28: ""","29:
",30:<,31:|,32:ass,33:istant,34:|>,"35:
",36:Gender,37::
L1,-0.048750,-0.271683,-0.316371,-0.079183,-0.053758,-0.303398,0.116636,-0.290591,0.499016,0.000000,-0.053758,-0.142978,0.095237,0.112393,0.125069,-0.217014,-0.024078,0.487394,0.046484,-0.048750,0.004747,-0.211121,0.090902,-0.094754,-0.316371,-1.234279,0.120861,-1.537512,-1.140707,-0.053758,-0.253126,-0.154017,0.004747,0.004747,-0.053758,-0.009562,0.287482,-1.732451
L2,0.037358,0.073371,-0.205261,-0.132059,0.041931,-0.441388,-0.115900,-0.575799,0.236220,0.055527,-0.673508,-0.038808,0.356435,0.221078,-0.058792,-0.329515,-0.165180,-0.126643,-0.271683,-0.132059,0.103852,-1.014963,-0.028964,-0.486792,-0.053758,-0.105272,-0.048750,-0.641371,-0.234907,-0.038808,-0.271683,0.112393,-0.132059,-0.038808,-0.240944,-0.211121,0.618669,-0.014377
L3,-0.074046,-0.142978,-0.419436,0.000000,0.228678,-0.142978,0.014173,-0.614624,0.133431,-0.199436,-0.142978,-0.063851,-0.253126,0.809427,-0.376927,-0.176469,-0.342833,0.838646,-0.199436,-0.448813,0.129259,-0.148482,-0.074046,-0.498473,-0.217014,-0.376927,-0.479080,-0.563185,0.618669,0.082175,-0.115900,-0.009562,-0.137503,-0.038808,-0.110572,-0.448813,0.402020,-0.277946
L4,-0.058792,-0.028964,0.162161,0.103852,0.213420,-0.126643,0.154036,0.369672,0.336243,0.162161,0.103852,0.186146,0.213420,0.576797,0.213420,0.116636,-0.142978,-0.009562,0.170220,0.439505,-0.329515,0.499016,0.137586,0.538663,0.716268,0.141724,-0.673508,-0.851791,1.022280,-0.456295,-0.222943,-0.033874,-0.004769,-0.154017,0.280318,0.628869,-0.094754,-1.218063
L5,-0.265459,-0.132059,0.055527,-0.058792,0.683181,-0.259274,0.041931,0.294595,0.182188,0.389206,-0.068936,0.133431,0.129259,0.046484,-0.217014,-0.182161,-0.329515,-0.522252,0.356435,-0.228907,0.095237,-0.063851,0.178215,-0.756145,-0.222943,-0.756145,-0.316371,0.420938,1.716994,-1.186399,-0.205261,-0.170808,-0.058792,-0.014377,0.343019,0.301658,-1.041571,1.197683
L6,0.236220,0.108131,0.129259,0.120861,0.445618,0.427165,0.060018,-0.170808,-0.711547,0.251136,-0.105272,-0.142978,0.958674,0.280318,-0.148482,-0.094754,-0.024078,-0.322921,0.228678,0.077782,-0.259274,-0.412224,0.389206,0.308671,0.493222,-0.009562,0.349749,0.414672,0.273102,-0.813501,-0.397956,-0.247016,-0.048750,-0.154017,0.197926,0.597952,-0.033874,-0.664220
L7,-0.479080,-0.187887,-0.074046,0.090902,0.120861,-1.941115,0.018854,0.028149,0.103852,-0.159583,0.213420,0.032764,0.633930,0.178215,0.073371,-0.277946,0.028149,-0.434017,0.280318,0.560631,0.186146,-0.259274,0.004747,0.046484,0.457733,-0.165180,-0.370015,0.273102,0.228678,-2.564853,-0.193645,-0.024078,-0.063851,-0.043767,0.095237,0.653923,-1.759724,-0.336152
L8,-0.121257,-0.048750,0.009471,0.009471,0.023512,-0.240944,-0.132059,-0.290591,-0.182161,-0.165180,-0.829732,-0.068936,-0.126643,0.073371,0.082175,-0.063851,-0.014377,-0.664220,-0.526271,0.521863,0.213420,-0.356332,-0.159583,-0.296974,0.141724,0.186146,-0.271683,0.213420,0.190088,-1.068907,-0.115900,0.077782,-0.154017,0.004747,0.228678,0.265833,-0.342833,-0.554863
L9,-0.079183,-0.176469,0.301658,0.023512,-0.028964,-0.053758,0.004747,-0.105272,0.000000,0.023512,0.095237,0.137586,0.376226,-0.004769,0.018854,0.018854,0.068939,-0.033874,-0.448813,0.343019,-0.222943,-0.110572,0.251136,0.213420,-0.014377,0.533094,-0.309864,-0.142978,0.194015,-0.829732,0.174225,-0.089537,-0.024078,0.014173,-0.063851,-0.234907,-0.963780,-0.619032
L10,-0.126643,-0.089537,0.090902,-0.148482,0.103852,-0.033874,-0.121257,-0.009562,-0.024078,-0.105272,-0.390897,-0.084347,0.205703,0.009471,-0.205261,-0.038808,-0.028964,-0.132059,0.205703,0.329421,-0.271683,-0.043767,-0.349560,-0.614624,-0.701900,0.133431,0.046484,-0.205261,0.516200,-1.140707,0.055527,-0.019216,-0.089537,-0.028964,0.213420,0.692747,-0.434017,-0.121257
L11,-0.099999,-0.148482,0.037358,0.055527,0.073371,0.068939,-0.024078,-0.063851,-0.154017,0.182188,-0.641371,0.009471,0.082175,0.457733,-0.154017,-0.043767,0.000000,-0.397956,-0.132059,0.363075,0.527495,0.287482,0.236220,0.055527,0.258512,0.414672,0.182188,-0.650448,-0.217014,-0.176469,0.145845,-0.048750,-0.084347,-0.176469,0.451694,0.382737,-0.247016,0.073371
L12,-0.079183,-0.079183,-0.004769,-0.009562,-0.089537,0.280318,0.032764,-0.126643,-0.058792,-0.009562,-0.137503,-0.063851,-0.043767,-0.159583,-0.240944,-0.099999,-0.079183,0.023512,-0.154017,-0.349560,0.475635,-0.434017,-0.132059,-0.506337,-0.441388,0.037358,0.273102,0.308671,0.125069,-0.761225,-0.271683,0.023512,-0.084347,-0.137503,0.082175,-0.434017,0.041931,-0.659608
L13,-0.028964,0.046484,-0.024078,0.000000,-0.099999,0.051015,-0.019216,-0.121257,-0.058792,-0.028964,-0.132059,-0.028964,0.077782,0.055527,-0.028964,0.103852,-0.099999,0.145845,0.213420,-0.048750,-0.028964,0.158107,-0.048750,-0.028964,0.014173,-0.068936,0.041931,0.028149,-0.176469,-1.155707,-0.038808,-0.043767,-0.068936,0.051015,0.046484,0.457733,-0.115900,-0.383888
