layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Output,7: a,8: single,9: chart,10:-,11:style,12: line,13: for,14: asthma,15: using,16: this,17: pattern,18::,19: demographic,20: |,21: PM,22:H,23:.,24: Begin,25: exactly,26: with,27::,"28: """,29:Gender,30::,"31: ""","32:
",33:<,34:|,35:ass,36:istant,37:|>,"38:
",39:Gender,40::
L1,0.012903,-0.477815,-0.220707,-0.146601,-0.283356,-0.146601,0.172531,0.133529,-0.208635,0.167051,0.122101,0.006472,-0.359454,-0.124295,-0.046519,0.230902,-0.046519,-0.060218,0.019293,-0.081124,0.156002,-0.026317,-0.407081,-0.019672,-0.116969,0.050643,0.183400,0.122101,-0.046519,-0.116969,-0.232927,0.019293,0.000000,-0.095308,-0.039740,0.025642,-0.074107,0.092944,0.019293,-0.039740,-0.266262
L2,0.062913,-0.033006,-0.279055,-0.074107,-0.192762,0.031951,0.068992,0.031951,-0.300748,0.261361,0.116337,0.230902,0.500374,-0.266262,0.116337,0.044451,0.006472,-0.109697,0.177980,-0.296371,0.215317,-0.006515,-0.832236,-0.262034,0.236043,0.087010,-0.124295,-0.131675,-0.046519,-0.081124,0.464299,-0.169415,0.006472,0.038221,-0.039740,0.012903,-0.131675,0.006472,-0.169415,0.098844,-0.060218
L3,-0.095308,-0.081124,-0.220707,-0.053345,-0.139110,-0.116969,0.374688,0.075034,-0.095308,0.590660,-0.067138,0.693138,0.019293,0.144828,0.177980,-0.046519,0.050643,-0.509732,-0.088191,-0.451975,0.832334,-0.081124,-0.392553,-0.245298,0.305377,-0.039740,0.329018,-0.006515,-0.364116,0.144828,0.230902,0.236043,0.194153,-0.060218,0.012903,0.056797,0.031951,0.012903,-0.081124,0.199486,0.075034
L4,-0.131675,-0.088191,-0.088191,-0.019672,-0.124295,-0.109697,0.241158,0.333680,-0.177137,-0.109697,-0.046519,0.860191,0.204791,0.305377,0.210068,-0.019672,-0.124295,1.379766,-0.169415,-0.216667,1.499725,0.050643,-0.232927,0.068992,0.127831,-0.116969,0.210068,0.409779,-0.088191,0.188791,0.127831,-0.013072,0.019293,-0.232927,-0.053345,-0.006515,-0.081124,-0.074107,0.104709,-0.154148,-0.116969
L5,-0.253631,-0.131675,-0.139110,-0.139110,0.056797,-0.262034,0.177980,-0.253631,-0.216667,0.261361,-0.006515,0.706041,-0.124295,0.025642,-0.074107,-0.426785,-0.131675,0.342939,-0.046519,-0.074107,0.210068,-0.161752,-0.327415,0.310150,0.133529,-0.067138,-0.184919,0.038221,-0.033006,0.183400,0.133529,-0.116969,-0.124295,-0.019672,-0.081124,-0.026317,0.116337,-0.013072,0.122101,-0.102477,-0.220707
L6,0.038221,0.050643,0.025642,-0.026317,-0.081124,-0.033006,-0.161752,-0.262034,-0.131675,0.210068,-0.154148,0.310150,-0.131675,-0.548303,0.516000,0.204791,-0.095308,-0.305143,-0.296371,-0.102477,0.903208,0.025642,-1.252717,-0.392553,-0.300748,-0.039740,0.068992,-0.026317,-0.161752,0.183400,-0.161752,-0.322921,0.038221,-0.322921,-0.067138,0.050643,-0.088191,-0.161752,-0.208635,-0.116969,0.276249
L7,-0.026317,-0.053345,0.012903,0.012903,0.050643,2.321862,-0.033006,-0.102477,-0.204643,-0.208635,-0.169415,0.597829,-0.161752,0.183400,-0.102477,-0.441823,-0.019672,0.405459,0.087010,0.127831,0.314901,-0.095308,-0.421822,0.347537,0.044451,0.122101,0.361205,0.188791,0.266348,0.144828,-0.139110,-0.188832,-0.067138,-0.006515,0.006472,0.031951,-0.060218,-0.095308,-0.161752,-0.102477,0.266348
L8,-0.019672,-0.033006,0.006472,-0.006515,-0.060218,-0.139110,0.139195,-0.200667,-0.154148,-0.053345,0.056797,0.050643,-0.146601,0.144828,0.144828,-0.232927,-0.177137,0.139195,-0.116969,-0.053345,0.050643,-0.053345,-0.436785,-0.006515,-0.131675,0.025642,-0.188832,-0.081124,-0.296371,0.139195,-0.095308,-0.039740,-0.462231,-0.006515,0.000000,-0.006515,-0.019672,0.038221,-0.488341,0.361205,0.038221
L9,-0.026317,-0.006515,-0.249456,-0.039740,0.019293,-0.053345,-0.060218,-0.188832,-0.257824,0.215317,0.062913,0.271311,0.460209,0.038221,0.150431,-0.296371,0.038221,0.379142,0.104709,-0.013072,0.329018,-0.184919,-0.441823,-0.081124,0.062913,-0.006515,0.210068,0.116337,0.044451,0.374688,0.068992,-0.109697,0.241158,-0.039740,-0.102477,0.006472,-0.033006,-0.212643,0.025642,0.122101,-0.810096
L10,-0.039740,-0.033006,-0.013072,-0.102477,0.116337,0.019293,-0.019672,-0.039740,-0.060218,-0.116969,-0.095308,-0.053345,0.204791,0.167051,-0.026317,-0.116969,-0.131675,0.133529,-0.102477,0.568842,0.031951,0.075034,0.006472,0.225734,0.000000,-0.039740,0.062913,0.139195,0.383577,0.062913,0.062913,-0.169415,-0.411970,0.104709,-0.013072,0.025642,0.031951,-0.345597,0.379142,-0.154148,-0.208635
L11,0.031951,-0.053345,-0.081124,0.000000,0.056797,-0.013072,0.110540,0.056797,0.310150,0.025642,-0.026317,0.290919,-0.026317,-0.184919,0.025642,0.038221,0.104709,-0.220707,-0.313993,0.504304,-0.124295,-0.046519,-0.216667,-0.060218,-0.081124,-0.095308,0.044451,0.122101,0.612013,0.025642,-0.109697,0.167051,0.342939,-0.081124,-0.074107,0.056797,-0.095308,-0.296371,0.435312,-0.139110,-0.146601
