layer,0:<|endoftext|,1:<,2:|,3:user,4:|>,"5:
",6:Write,7: a,8: short,9: paragraph,10: (,11:2,12:-,13:4,14: sentences,15:),16: for,17: a,18: asthma,19: patient,"20:,",21: including,22: demographic,23: and,24: clinically,25: relevant,26: PM,27:H,28:.,29: Start,30: exactly,31: with,32::,"33: """,34:Gender,35::,"36: ""","37:
",38:<,39:|,40:ass,41:istant,42:|>,"43:
",44:Gender,45::
L1,0.005571,2.296418,0.000000,0.059638,0.000000,0.187892,-0.063422,-0.063422,-0.063422,-0.682033,0.250693,0.125820,0.187892,0.064887,-0.063422,0.125820,-0.124790,-0.375200,-0.183439,-0.124790,0.000000,0.250693,0.496193,0.064887,-0.183439,0.064887,0.059638,0.365573,-0.312188,-0.183439,-0.252911,0.000000,-0.124790,0.005571,-0.057487,-0.183439,-0.375200,-0.304583,0.250693,0.187892,0.125820,0.125820,0.059638,-0.190173,0.187892,1.117061
L2,-0.252911,-0.131140,0.000000,0.000000,-0.124790,-0.063422,-0.183439,-0.063422,0.064887,0.309782,-0.063422,-0.063422,-0.124790,0.187892,0.000000,-0.063422,0.000000,0.064887,0.125820,0.187892,-0.063422,0.000000,0.250693,0.000000,-0.245743,0.064887,0.064887,0.489367,-0.375200,-0.183439,-0.124790,-0.562411,0.064887,-0.124790,-1.060246,-0.371143,0.496193,0.187892,0.125820,0.187892,0.187892,0.064887,-0.063422,0.125820,-0.252911,0.373295
L3,0.000000,-0.183439,-0.124790,0.000000,0.059638,-0.124790,-0.063422,-0.063422,0.064887,-0.682033,0.000000,-0.183439,-0.190173,0.059638,-0.687574,-0.063422,0.187892,0.125820,0.562006,-0.063422,0.064887,0.000000,0.059638,0.125820,0.000000,-0.190173,-0.124790,0.555616,0.183252,-0.375200,-0.252911,-0.371143,-0.063422,-0.190173,-0.744732,0.000000,-1.144329,0.373295,0.187892,-0.190173,0.187892,0.000000,0.250693,0.059638,-0.124790,-0.057487
L4,-0.063422,0.064887,-0.190173,-0.183439,0.000000,0.125820,-0.183439,-0.063422,-0.057487,-0.252911,0.000000,-0.252911,-0.063422,-0.124790,-0.304583,0.000000,0.000000,0.000000,2.570091,0.992629,0.313872,0.440234,-0.438114,0.064887,0.000000,0.496193,-0.063422,0.857618,0.313872,-0.375200,-0.063422,-0.438114,0.125820,0.502973,0.059638,-0.500634,-0.817935,-0.245743,0.309782,0.000000,0.187892,-0.005602,0.187892,0.611706,-0.063422,-0.057487
L5,-0.124790,-0.063422,-0.245743,-0.245743,-0.063422,0.059638,-0.124790,-0.245743,-0.124790,0.064887,-0.124790,-0.063422,-0.183439,-0.124790,-0.496036,0.000000,0.250693,-0.252911,-0.433794,0.440234,0.125820,-0.245743,-0.438114,0.246336,0.125820,0.187892,-0.190173,0.425741,0.555616,-0.252911,-0.183439,-0.183439,-0.124790,0.130734,-0.876583,-0.371143,-0.383364,-0.750631,0.005571,-0.124790,0.000000,-0.190173,0.250693,0.246336,-1.316178,0.799065
L6,-0.312188,-0.124790,-0.190173,-0.190173,-0.124790,0.054361,-0.183439,0.000000,-0.124790,-0.496036,-0.063422,-0.063422,0.125820,0.059638,-0.124790,0.250693,0.064887,0.000000,-0.371143,-0.375200,0.125820,0.309782,0.187892,-0.063422,0.000000,-0.131140,-0.190173,0.169200,0.305675,-0.124790,-0.312188,-0.623035,-0.687574,-0.500634,-0.011236,0.000000,-0.379274,-0.750631,0.433014,0.064887,-0.124790,0.000000,0.000000,0.169200,0.049056,0.425741
L7,0.617748,0.617748,-0.124790,0.000000,0.059638,0.365573,-0.183439,0.000000,-0.183439,0.000000,0.187892,0.000000,-0.063422,-0.124790,-0.312188,-0.124790,-0.252911,0.000000,-0.628257,-0.312188,-0.438114,0.064887,-0.433794,-0.245743,-0.124790,0.120882,-0.063422,-0.304583,-0.183439,-0.063422,-0.245743,-0.190173,-0.252911,0.064887,-1.255554,-0.252911,-0.379274,-1.426177,0.059638,0.005571,-0.063422,-0.063422,-0.245743,-0.190173,-0.319850,0.562006
L8,-0.190173,-0.063422,-0.124790,-0.183439,0.125820,0.250693,-0.190173,0.000000,-0.124790,0.059638,0.000000,-0.124790,0.000000,-0.245743,-0.312188,0.064887,0.064887,0.064887,1.124347,0.125820,0.250693,0.125820,-0.371143,0.064887,0.187892,0.000000,0.000000,0.373295,-0.124790,0.000000,-0.245743,-0.190173,-0.312188,0.623754,1.194428,0.192511,0.241959,-0.069392,0.059638,-0.063422,0.000000,-0.245743,-0.183439,-0.319850,-0.869894,0.440234
L9,-0.124790,-0.063422,-1.690866,-0.124790,0.000000,0.125820,-0.124790,-0.124790,-0.063422,-0.500634,-0.063422,-0.245743,-0.063422,-0.063422,-0.433794,-0.252911,-0.063422,0.125820,-0.063422,-0.063422,-0.252911,0.125820,0.496193,-0.063422,-0.063422,0.064887,-0.063422,0.309782,0.064887,-0.124790,-0.124790,-0.190173,-0.252911,0.313872,-0.057487,-0.124790,-0.137529,-0.312188,0.059638,0.064887,-0.063422,0.059638,-0.118481,-0.131140,-0.623035,0.915171
L10,0.064887,-0.183439,-0.063422,-0.063422,0.125820,0.502973,0.000000,-0.190173,-0.124790,0.064887,0.000000,-0.063422,0.059638,0.187892,0.125820,-0.190173,-0.063422,-0.063422,0.125820,-0.375200,0.125820,0.059638,0.125820,-0.371143,0.000000,-0.063422,-0.124790,0.250693,0.373295,-0.063422,0.000000,-0.124790,-0.190173,0.747507,-0.687574,-0.063422,-0.505253,0.120882,0.064887,0.005571,0.000000,-0.124790,-0.245743,0.237564,-0.442452,-0.124790
L11,-0.124790,-0.063422,0.064887,-0.190173,0.064887,-0.183439,0.000000,-0.063422,-0.183439,-0.245743,-0.124790,-0.190173,-0.124790,-0.312188,0.059638,-0.312188,-0.124790,-0.312188,1.253559,0.440234,0.313872,0.000000,0.246336,-0.433794,-0.124790,-0.124790,0.000000,0.440234,0.000000,0.187892,0.125820,-0.063422,-0.124790,0.809065,5.565630,0.250693,-1.316178,-0.131140,-0.190173,0.064887,0.000000,-0.063422,-0.312188,0.187892,1.117061,0.064887
